,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,dnf_id,yay_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
13,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2022-01-03 13:33:31.000000,2022-01-02 13:33:23.000000,1489,99.0,1851.0,9036.0,2813.0,Statistical data visualization in Python.,162.0,38,True,2021-08-16 00:42:18.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,145522.0,132736.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,12786.0,6114020.0,6163430.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,3211551.0,,,,,1.0,209.0,,,,,,,,,,,,,,,,,,,,
14,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2022-01-06 13:32:42.000000,2022-01-05 21:03:39.000000,22434,2478.0,7392.0,48465.0,,scikit-learn: machine learning in Python.,2438.0,37,True,2021-12-25 20:30:08.000000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],337602.0,299714.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000000,37888.0,22290570.0,22450007.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879000,10841002.0,,,,,1.0,759.0,,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2022-01-06 13:53:18.000000,2022-01-06 07:51:33.000000,24892,244.0,,31753.0,32072.0,Apache Spark Python API.,2600.0,37,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,,,['spark'],760.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,760.0,14820530.0,14844811.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1408350.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,
16,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2022-01-06 14:03:02.000000,2022-01-06 07:48:24.000000,6167,1738.0,6773.0,14812.0,,matplotlib: plotting with Python.,1324.0,37,True,2021-12-11 08:22:08.000000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,560936.0,481832.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000000,79104.0,23898522.0,24038980.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086000,10674848.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2022-01-06 14:39:16.000000,2022-01-06 01:31:01.000000,2132,182.0,689.0,8899.0,10664.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,786.0,37,True,2021-10-26 15:00:11.000000,6.0.0,35.0,pyarrow,conda-forge/arrow,,,,1046.0,60.0,https://pypi.org/project/pyarrow,2021-11-18 03:54:39.000000,986.0,31910981.0,31923533.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,853550.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2022-01-06 12:23:00.000000,2022-01-05 23:10:49.000000,3508,4242.0,7735.0,8748.0,49694.0,A computer algebra system written in pure Python.,1121.0,37,True,2021-10-08 23:27:06.000000,sympy-1.9,40.0,sympy,conda-forge/sympy,,,,44702.0,38280.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,6422.0,1965205.0,1996401.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086000,1827289.0,,,,,1.0,441239.0,,,,,,,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2022-01-06 14:15:16.000000,2022-01-05 20:39:11.000000,1458,553.0,1063.0,5733.0,4902.0,TensorFlow's Visualization Toolkit.,275.0,37,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],93852.0,90238.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,3614.0,11884099.0,11938226.0,https://anaconda.org/conda-forge/tensorboard,2021-11-10 21:16:52.072000,2706384.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2022-01-05 23:17:32.000000,2021-12-22 23:51:33.000000,7337,118.0,1360.0,26134.0,1460.0,A toolkit for developing and comparing reinforcement learning algorithms.,333.0,36,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,,29019.0,25457.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,3562.0,1072442.0,1072442.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-12-31 11:55:49.000000,2021-12-04 17:24:08.000000,2214,1232.0,567.0,15039.0,2011.0,A game theoretic approach to explain the output of any machine learning model.,162.0,36,True,2021-10-20 18:36:57.000000,0.40.0,94.0,shap,conda-forge/shap,,,,4308.0,4172.0,https://pypi.org/project/shap,2021-10-20 19:13:31.000000,136.0,4589521.0,4607525.0,https://anaconda.org/conda-forge/shap,2021-10-24 14:05:16.285000,738201.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2022-01-06 13:44:28.000000,2022-01-06 00:55:39.000000,3433,163.0,2365.0,13344.0,2844.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",248.0,36,True,2021-10-27 23:58:39.000000,3.3.1,27.0,lightgbm,conda-forge/lightgbm,,,,11160.0,10604.0,https://pypi.org/project/lightgbm,2021-10-27 23:58:39.000000,556.0,10089498.0,10107530.0,https://anaconda.org/conda-forge/lightgbm,2021-11-20 15:50:31.621000,847727.0,,,,,1.0,133091.0,,,,,,,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-12-27 15:56:52.000000,2021-12-24 02:18:28.000000,4094,380.0,1361.0,12805.0,4263.0,Topic Modelling for Humans.,417.0,36,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,,,34226.0,29484.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,4742.0,9981339.0,9996010.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380000,760465.0,,,,,1.0,3503.0,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-12-25 19:29:13.000000,2021-12-21 03:49:19.000000,2078,1036.0,1160.0,10773.0,5375.0,The interactive graphing library for Python (includes Plotly Express).,191.0,36,True,2021-12-21 03:50:17.000000,5.5.0,276.0,plotly,conda-forge/plotly,,,,4995.0,9.0,https://pypi.org/project/plotly,2021-12-21 03:47:21.000000,4982.0,7320479.0,7401334.0,https://anaconda.org/conda-forge/plotly,2021-12-21 05:39:52.763000,2145418.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,47849.0,,,,,,,,,,,,,
25,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-12-10 08:11:05.000000,2021-11-08 20:50:44.000000,315,332.0,376.0,2635.0,1385.0,Computing with Python functions.,106.0,36,True,2021-10-07 14:42:42.000000,1.1.0,102.0,joblib,conda-forge/joblib,,,,158973.0,152363.0,https://pypi.org/project/joblib,2021-10-07 14:42:42.000000,6610.0,24240528.0,24341239.0,https://anaconda.org/conda-forge/joblib,2021-10-07 20:15:36.705000,6646980.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2022-01-03 19:26:56.000000,2021-12-18 21:53:00.000000,431,221.0,1056.0,1652.0,3857.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,172.0,36,True,2021-11-16 13:35:22.000000,3.6.0,31.0,h5py,conda-forge/h5py,,,,167655.0,144719.0,https://pypi.org/project/h5py,2021-11-16 13:35:22.000000,22936.0,10632891.0,10730588.0,https://anaconda.org/conda-forge/h5py,2021-11-26 22:25:41.747000,6836858.0,,,,,2.0,1653.0,,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2022-01-06 14:01:47.000000,2022-01-06 13:42:44.000000,2062,467.0,4002.0,16815.0,6361.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",597.0,35,True,2022-01-05 15:35:04.000000,1.5.8,201.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],6282.0,6268.0,https://pypi.org/project/pytorch-lightning,2022-01-05 15:35:04.000000,14.0,796108.0,816637.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-01-05 22:37:03.161000,386918.0,,,,,2.0,4965.0,,,,,,,,,,,,,,,,,,,,
28,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2022-01-06 10:08:20.000000,2022-01-05 23:40:27.000000,2264,481.0,1319.0,11901.0,1866.0,Open standard for machine learning interoperability.,217.0,35,True,2021-10-26 19:14:09.000000,1.10.2,24.0,onnx,conda-forge/onnx,,,,5450.0,5154.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000000,296.0,1175302.0,1182352.0,https://anaconda.org/conda-forge/onnx,2021-12-14 07:56:56.053000,335547.0,,,,,1.0,17345.0,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-12-29 13:04:08.000000,2021-12-29 13:03:52.000000,2536,205.0,1368.0,10338.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,412.0,35,True,2021-12-28 23:28:57.000000,3.6.7,49.0,nltk,conda-forge/nltk,,,,146735.0,125743.0,https://pypi.org/project/nltk,2021-12-28 23:28:57.000000,20992.0,8937525.0,8954317.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981000,1091537.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2022-01-05 21:29:45.000000,2021-12-28 16:41:50.000000,2451,327.0,2453.0,10120.0,,Network Analysis in Python.,561.0,35,True,2021-09-09 22:09:39.000000,2.6.3,70.0,networkx,conda-forge/networkx,,,,115321.0,94503.0,https://pypi.org/project/networkx,2021-12-15 13:42:18.312000,20818.0,15163663.0,15246944.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009000,5246763.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,,
31,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-12-01 00:24:43.000000,2021-11-23 08:52:10.000000,2509,679.0,2086.0,9501.0,28127.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,35,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,17424.0,11950.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,216266.0,243608.0,https://anaconda.org/conda-forge/theano,2021-11-10 16:59:17.809000,1804610.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-12-30 09:39:26.744000,2021-12-30 09:36:56.000000,1702,131.0,2202.0,9344.0,3898.0,WebGL2 powered visualization framework.,187.0,35,True,2021-12-09 17:45:11.000000,8.6.5,509.0,pydeck,conda-forge/pydeck,,,['jupyter'],3988.0,3426.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000000,2.0,577010.0,779818.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329000,64605.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-12-30 09:39:26.744000,560.0,200000.0,,,,,,,,,,,,,
33,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2022-01-06 07:09:08.000000,2022-01-05 22:28:29.000000,1773,144.0,2240.0,9296.0,,The friendly PIL fork (Python Imaging Library).,379.0,35,True,2022-01-02 22:19:51.000000,9.0.0,85.0,Pillow,conda-forge/pillow,,,,111426.0,,https://pypi.org/project/Pillow,2022-01-02 22:13:51.000000,111426.0,30783032.0,30958208.0,https://anaconda.org/conda-forge/pillow,2021-11-10 16:07:31.860000,12087183.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,Ray,ray-project/ray,,distributed-ml,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000000,2022-01-06 14:47:58.000000,2022-01-06 10:44:30.000000,3147,2164.0,6907.0,18730.0,10855.0,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",609.0,34,True,2021-12-22 00:59:29.000000,ray-1.9.1,62.0,ray,,,,,3817.0,3657.0,https://pypi.org/project/ray,2021-12-22 00:56:20.000000,160.0,656956.0,656956.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2022-01-05 09:21:07.000000,2022-01-03 01:34:07.000000,2314,103.0,851.0,15288.0,4015.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",571.0,34,True,2021-11-06 14:59:15.000000,3.0.3,73.0,luigi,luigi,,,,2294.0,1618.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,562182.0,562305.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,8758.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,
36,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2022-01-06 10:19:46.000000,2022-01-05 21:39:46.000000,1406,752.0,3382.0,9358.0,,Parallel computing with task scheduling.,495.0,34,True,2021-12-10 19:50:17.000000,2021.12.0,133.0,dask,conda-forge/dask,,,,36669.0,32753.0,https://pypi.org/project/dask,2021-12-10 19:50:17.000000,3916.0,4666587.0,4736908.0,https://anaconda.org/conda-forge/dask,2021-12-11 02:29:38.463000,4781842.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
37,Altair,altair-viz/altair,,data-viz,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000000,2021-12-30 22:37:26.000000,2021-12-29 13:37:47.000000,630,240.0,1348.0,7192.0,3109.0,Declarative statistical visualization library for Python.,133.0,34,True,2021-12-29 13:30:58.000000,4.2.0,28.0,altair,conda-forge/altair,,,,20757.0,20387.0,https://pypi.org/project/altair,2021-12-29 13:25:37.000000,370.0,3703128.0,3719029.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885000,1049503.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
38,Beam,apache/beam,,data-pipelines,https://github.com/apache/beam,https://github.com/apache/beam,Apache-2.0,2016-02-02 08:00:06.000000,2022-01-06 13:00:53.000000,2022-01-06 01:18:52.000000,3328,217.0,,5190.0,34139.0,"Unified programming model to define and execute data processing pipelines, including ETL, batch and stream processing.",1196.0,34,True,2021-12-30 02:00:52.000000,2.35.0,51.0,apache-beam,,,,,186.0,,https://pypi.org/project/apache-beam,2021-12-30 00:07:35.000000,186.0,4152372.0,4152372.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
