,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
18,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-03-04 13:40:11.000000,2021-03-04 13:35:47.000000,4363,452.0,1147.0,8495,1535.0,"Datasets, Transforms and Models specific to Computer Vision.",365.0,36,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],47581.0,42969.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,464992.0,465866.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34113.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-03-04 13:31:56.000000,2021-03-03 18:54:16.000000,3308,4053.0,7145.0,7866,46230.0,A computer algebra system written in pure Python.,1039.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,35801.0,29379.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,468199.0,495521.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1321968.0,,,,,1.0,416801.0,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-03-04 08:53:43.000000,2021-03-04 00:04:00.000000,2156,2080.0,2264.0,6069,13592.0,Statsmodels: statistical modeling and econometrics in Python.,302.0,36,True,2021-02-02 11:08:49.000000,0.12.2,25.0,statsmodels,conda-forge/statsmodels,,,,44818.0,38162.0,https://pypi.org/project/statsmodels,2021-02-02 11:08:49.000000,6656.0,1854500.0,1915456.0,https://anaconda.org/conda-forge/statsmodels,2021-02-15 17:38:00.380000,3474518.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-03-04 08:24:49.000000,2021-03-03 19:07:43.000000,1365,538.0,939.0,5180,4311.0,TensorFlow's Visualization Toolkit.,253.0,36,True,2021-01-14 20:49:19.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],59408.0,55794.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,3843642.0,3887112.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1738831.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-03-03 12:26:13.000000,2021-03-03 11:57:55.000000,393,188.0,963.0,1485,3576.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,160.0,36,True,2021-03-03 09:29:06.000000,3.2.0,26.0,h5py,conda-forge/h5py,,,,127344.0,104408.0,https://pypi.org/project/h5py,2021-03-03 09:55:22.000000,22936.0,3687193.0,3765592.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4702888.0,,,,,1.0,886.0,,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-03-04 05:35:54.000000,2021-03-03 21:45:52.000000,18712,3204.0,7237.0,50803,5425.0,Deep Learning for humans.,902.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1384341.0,1411262.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1480699.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-02-28 14:52:40.000000,2021-02-16 19:31:40.000000,6707,258.0,1063.0,23598,1242.0,A toolkit for developing and comparing reinforcement learning algorithms.,273.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,21877.0,18315.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,226722.0,226722.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-03-04 15:12:46.000000,2021-03-04 14:59:20.000000,8086,998.0,2091.0,20872,11808.0,"Platform to programmatically author, schedule, and monitor workflows.",1778.0,35,True,2021-02-08 22:50:02.000000,2.0.1,71.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2021-02-08 22:43:55.000000,294.0,553651.0,707022.0,https://anaconda.org/conda-forge/airflow,2021-02-16 09:49:35.732000,282439.0,https://hub.docker.com/r/apache/airflow,2021-03-03 05:39:39.328189,221.0,10351012.0,1.0,96771.0,stable/airflow,,,,,,,,,,,,,,,,,,,,
26,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-03-04 09:09:35.079000,2021-03-04 06:37:20.000000,7922,278.0,3680.0,20640,5241.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",507.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,15908.0,14316.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,1957534.0,1986998.0,https://anaconda.org/conda-forge/xgboost,2021-03-04 09:09:35.079000,1413223.0,,,,,1.0,1924.0,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-03-04 12:33:54.000000,2021-03-04 12:33:54.000000,3227,109.0,2039.0,12244,2376.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",210.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,6422.0,5866.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1082162.0,1095786.0,https://anaconda.org/conda-forge/lightgbm,2021-02-23 19:15:02.093000,507548.0,,,,,1.0,98208.0,,,,,,,,,,,,,,,,,,,,,
28,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-03-04 10:16:12.000000,2021-03-03 00:23:31.000000,3903,351.0,1259.0,11779,3849.0,Topic Modelling for Humans.,388.0,35,True,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,25981.0,21239.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,5426431.0,5440943.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,607478.0,,,,,1.0,3188.0,,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-02-27 18:25:41.000000,2021-01-14 02:04:12.000000,1753,818.0,1055.0,9010,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,2081034.0,2350162.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1235105.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,246672.0,,,,,,,,,,,,,,
30,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-03-04 14:58:38.000000,2021-03-04 14:51:04.000000,1236,758.0,2862.0,8003,6363.0,Parallel computing with task scheduling.,429.0,35,True,2021-02-05 19:29:50.000000,2021.2.0,112.0,dask,conda-forge/dask,,,,29569.0,25653.0,https://pypi.org/project/dask,2021-02-05 19:29:50.000000,3916.0,1376378.0,1428849.0,https://anaconda.org/conda-forge/dask,2021-02-06 12:05:38.376000,3043325.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,
31,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-03-04 14:53:00.000000,2021-03-04 10:00:11.000000,1815,134.0,567.0,7464,8669.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,634.0,35,True,2021-01-26 01:05:45.000000,3.0.0,30.0,pyarrow,conda-forge/arrow,,,,1018.0,32.0,https://pypi.org/project/pyarrow,2021-01-26 01:05:45.000000,986.0,11424146.0,11432517.0,https://anaconda.org/conda-forge/arrow,2021-03-01 02:57:56.890000,485562.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
32,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-02-09 20:01:33.000000,2021-02-09 16:47:12.000000,286,291.0,354.0,2359,1367.0,Computing with Python functions.,98.0,35,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,91926.0,85316.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,11607465.0,11668596.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,3423376.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-03-04 12:42:19.000000,2021-03-01 16:25:02.000000,6805,1820.0,7581.0,19303,11532.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",948.0,34,True,2021-03-03 01:00:20.000000,1.8.0,977.0,mxnet,mxnet,,,['mxnet'],2298.0,1854.0,https://pypi.org/project/mxnet,2021-02-07 21:07:57.000000,444.0,109469.0,110025.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,5850.0,,,,,2.0,23558.0,,1.0,,,,,,0.0,,,,,,,,,,,,,
34,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-03-04 15:23:22.000000,2021-03-04 15:21:51.000000,1414,405.0,562.0,14053,3543.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",74.0,34,True,2021-01-20 00:00:50.000000,1.19.0,137.0,dash,conda-forge/dash,,,,19572.0,17964.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,168605.0,175128.0,https://anaconda.org/conda-forge/dash,2021-01-21 16:17:38.594000,221794.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-03-04 00:35:24.000000,2021-03-04 00:35:24.000000,1719,964.0,507.0,11918,1914.0,A game theoretic approach to explain the output of any machine learning model.,152.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,2216.0,2080.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,816218.0,829230.0,https://anaconda.org/conda-forge/shap,2020-12-16 19:26:39.477000,403395.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-02-25 12:21:09.000000,2021-02-10 00:34:01.000000,2434,234.0,1224.0,9671,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,387.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,111975.0,90983.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,3799041.0,3810491.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,629792.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-03-02 07:51:50.000000,2021-03-02 07:51:50.000000,2501,674.0,2083.0,9364,28124.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",383.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15835.0,10361.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,117767.0,141757.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1343447.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
38,xlrd,python-excel/xlrd,,data-loading,https://github.com/python-excel/xlrd,https://github.com/python-excel/xlrd,BSD-3-Clause,2012-03-07 04:50:48.000000,2021-01-09 20:35:27.639000,2020-12-12 15:24:25.000000,406,3.0,,1862,502.0,Please use openpyxl where you can...,50.0,34,True,2020-12-11 10:14:20.000000,2.0.1,24.0,xlrd,conda-forge/xlrd,,,,78817.0,65243.0,https://pypi.org/project/xlrd,2020-12-11 10:14:20.000000,13574.0,3911767.0,3937674.0,https://anaconda.org/conda-forge/xlrd,2021-01-09 20:35:27.639000,1243556.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
