,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,brew_id,apt_id,yum_id,trending,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,gitlab_id,gitlab_url
10,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-01-21 12:32:43.000000,2021-01-21 12:32:07.000000,1559,240.0,1865.0,8122,11115.0,The friendly PIL fork (Python Imaging Library).,343.0,39,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,497519.0,386093.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,12808455.0,12927516.0,https://anaconda.org/conda-forge/pillow,2021-01-11 23:44:30.126000,6786496.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-01-21 14:33:44.000000,2021-01-21 14:15:55.000000,23235,216.0,,28581,29142.0,Apache Spark Python API.,2388.0,38,True,2020-09-07 15:29:07.000000,3.0.1,21.0,pyspark,conda-forge/pyspark,,,['spark'],1306.0,546.0,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,6259244.0,6278226.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,873187.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-01-21 12:52:01.000000,2021-01-21 08:59:17.000000,3200,90.0,4167.0,18075,11729.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,545.0,37,True,2020-12-11 14:45:05.000000,2.3.5,169.0,spacy,conda-forge/spacy,,,,23669.0,20603.0,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,817926.0,847553.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1389826.0,,,,,1.0,2927.0,,,,,,,,,,,,,,,,,,,,,,
13,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-01-21 05:04:07.000000,2021-01-21 05:04:06.000000,3936,498.0,3923.0,16568,11502.0,Asynchronous task queue/job queue based on distributed message passing.,1079.0,37,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,76119.0,47885.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1819510.0,1825856.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,368111.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-01-21 04:31:05.000000,2021-01-20 20:33:52.000000,2188,271.0,2291.0,8527,6389.0,Network Analysis in Python.,490.0,37,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,85722.0,64904.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,4870439.0,4927139.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2891731.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-01-21 14:34:04.000000,2021-01-21 13:31:51.000000,9690,507.0,5219.0,39711,6368.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,758.0,36,True,2021-01-21 08:14:39.000000,4.2.2,47.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",7195.0,7067.0,https://pypi.org/project/transformers,2021-01-21 08:11:31.000000,128.0,631099.0,632187.0,https://anaconda.org/conda-forge/transformers,2021-01-21 12:14:11.802000,15619.0,,,,,1.0,1243.0,,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-01-21 15:46:22.000000,2021-01-21 15:46:21.000000,1365,134.0,349.0,11994,2539.0,Faker is a Python package that generates fake data for you.,385.0,36,True,2021-01-20 16:02:22.000000,5.6.5,115.0,Faker,conda-forge/faker,,,,27359.0,22647.0,https://pypi.org/project/Faker,2021-01-20 16:02:04.000000,4712.0,1726008.0,1733910.0,https://anaconda.org/conda-forge/faker,2021-01-20 17:44:24.093000,363528.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-01-21 12:32:21.000000,2021-01-21 09:40:58.000000,4251,441.0,1069.0,8198,1420.0,"Datasets, Transforms and Models specific to Computer Vision.",354.0,36,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],44145.0,39533.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,637442.0,638363.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34108.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-01-21 11:49:29.000000,2021-01-21 05:07:16.000000,3209,3953.0,7093.0,7755,45863.0,A computer algebra system written in pure Python.,1034.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,34648.0,28226.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,499710.0,526625.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1250303.0,,,,,1.0,413059.0,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-01-21 04:18:20.000000,2021-01-20 21:39:05.000000,2145,2063.0,2242.0,5933,13546.0,Statsmodels: statistical modeling and econometrics in Python.,298.0,36,True,2020-10-29 16:36:43.000000,0.12.1,24.0,statsmodels,conda-forge/statsmodels,,,,42689.0,36033.0,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,1761938.0,1819708.0,https://anaconda.org/conda-forge/statsmodels,2021-01-12 04:40:51.933000,3177375.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-01-21 14:59:25.000000,2021-01-21 04:29:50.000000,1344,550.0,912.0,5128,4203.0,TensorFlow's Visualization Toolkit.,250.0,36,True,2021-01-14 20:44:05.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],55422.0,51808.0,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,4748729.0,4789551.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1551236.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-01-21 13:28:18.000000,2021-01-21 08:03:41.000000,1727,661.0,1476.0,4143,12465.0,Image processing in Python.,477.0,36,True,2021-01-19 08:17:34.000000,0.18.1,35.0,scikit-image,conda-forge/scikit-image,,,,73716.0,58942.0,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1656533.0,1693521.0,https://anaconda.org/conda-forge/scikit-image,2020-12-23 15:59:08.642000,2071337.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-19 08:42:21.000000,2021-01-19 08:39:24.000000,393,182.0,944.0,1474,3510.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,159.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,122236.0,99300.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,4669213.0,4746065.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4456453.0,,,,,1.0,785.0,,,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-01-21 14:40:58.000000,2021-01-20 22:28:51.000000,18697,3169.0,7227.0,50546,5372.0,Deep Learning for humans.,895.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1649310.0,1675795.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1403747.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-01-14 15:25:07.000000,2021-01-11 17:58:46.000000,6624,241.0,1063.0,23259,1241.0,A toolkit for developing and comparing reinforcement learning algorithms.,272.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,20895.0,17333.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,275346.0,275346.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-01-21 13:15:44.000000,2021-01-21 13:15:43.000000,7862,250.0,3650.0,20441,5194.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",501.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,14712.0,13120.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,2291027.0,2319596.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1313117.0,,,,,1.0,1900.0,,,,,,,,,,,,,,,,,,,,,,
26,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-01-21 15:42:20.000000,2021-01-21 15:42:19.000000,7764,979.0,1872.0,20346,11461.0,"Platform to programmatically author, schedule, and monitor workflows.",1714.0,35,True,2020-12-18 13:21:47.000000,2.0.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,507810.0,588245.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,264377.0,https://hub.docker.com/r/apache/airflow,2021-01-21 04:14:59.556210,203.0,5051819.0,1.0,78868.0,stable/airflow,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-01-21 13:11:19.000000,2021-01-21 02:33:44.000000,3176,92.0,1965.0,12087,2232.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",197.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,5903.0,5347.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1251619.0,1264711.0,https://anaconda.org/conda-forge/lightgbm,2021-01-15 08:38:34.182000,468855.0,,,,,1.0,86829.0,,,,,,,,,,,,,,,,,,,,,,
28,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-01-20 06:57:37.000000,2021-01-17 09:11:30.000000,3895,353.0,1247.0,11621,3849.0,Topic Modelling for Humans.,385.0,35,False,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,24946.0,20204.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,6700341.0,6715113.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,589032.0,,,,,1.0,2949.0,,,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-01-21 14:43:24.000000,2021-01-14 02:04:12.000000,1732,783.0,1046.0,8692,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,2415336.0,2532213.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1162646.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,94941.0,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-01-21 14:47:16.000000,2021-01-19 21:59:36.000000,1366,87.0,1666.0,8013,2742.0,Statistical data visualization using matplotlib.,147.0,35,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,90910.0,78124.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1644072.0,1679750.0,https://anaconda.org/conda-forge/seaborn,2020-12-21 10:06:33.576000,1890901.0,,,,,1.0,118.0,,,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-01-21 15:01:03.000000,2021-01-20 22:35:54.000000,1206,701.0,2800.0,7789,6293.0,Parallel computing with task scheduling.,422.0,35,True,2021-01-15 21:25:29.000000,2021.1.0,110.0,dask,conda-forge/dask,,,,28562.0,24646.0,https://pypi.org/project/dask,2021-01-15 21:25:29.000000,3916.0,1188128.0,1239050.0,https://anaconda.org/conda-forge/dask,2021-01-16 03:43:53.371000,2851673.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,
32,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-01-21 14:39:33.000000,2021-01-21 14:39:29.000000,1731,122.0,546.0,6922,8395.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,617.0,35,True,2020-10-19 21:15:12.000000,2.0.0,29.0,pyarrow,conda-forge/arrow,,,,1015.0,29.0,https://pypi.org/project/pyarrow,2020-10-19 21:15:12.000000,986.0,12942098.0,12950190.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093000,453191.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
33,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-01-12 11:48:34.000000,2020-12-28 10:07:59.000000,286,291.0,350.0,2317,1365.0,Computing with Python functions.,98.0,35,True,2020-12-14 14:21:00.000000,1.0.0,99.0,joblib,conda-forge/joblib,,,,84317.0,77707.0,https://pypi.org/project/joblib,2020-12-14 14:21:00.000000,6610.0,14720740.0,14774195.0,https://anaconda.org/conda-forge/joblib,2020-12-14 14:36:22.998000,2886619.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-01-21 11:40:07.000000,2021-01-20 22:37:51.000000,6808,1822.0,7545.0,19231,11503.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",948.0,34,True,2020-08-28 05:08:24.000000,1.7.0,976.0,mxnet,mxnet,,,['mxnet'],2187.0,1743.0,https://pypi.org/project/mxnet,2020-08-28 06:18:15.000000,444.0,135075.0,135645.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,5696.0,,,,,2.0,23376.0,,,,,,,0.0,,,,,,,,,,,,,,,
35,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-01-20 23:46:02.000000,2021-01-20 23:05:35.000000,1401,401.0,554.0,13756,3543.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",72.0,34,True,2021-01-20 00:00:50.000000,1.19.0,137.0,dash,conda-forge/dash,,,,18272.0,16664.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,206565.0,213073.0,https://anaconda.org/conda-forge/dash,2020-12-11 15:37:58.126000,208269.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-01-12 19:15:53.000000,2021-01-02 00:33:13.000000,2397,243.0,1222.0,9558,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,386.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,107575.0,86583.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,4545300.0,4556921.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,615926.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2020-11-01 11:19:03.292000,2020-09-05 10:39:50.000000,2501,674.0,2081.0,9326,28123.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",382.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15518.0,10044.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,180371.0,203875.0,https://anaconda.org/conda-forge/theano,2020-11-01 11:19:03.292000,1269267.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,,ml-experiments,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000000,2021-01-21 13:54:42.000000,2021-01-20 01:55:57.000000,1863,675.0,1034.0,8216,1857.0,Open source platform for the machine learning lifecycle.,276.0,34,True,2020-12-31 09:17:41.000000,1.13.1,40.0,mlflow,conda-forge/mlflow,,,,1974.0,1820.0,https://pypi.org/project/mlflow,2020-12-31 08:55:08.000000,154.0,2325100.0,2334713.0,https://anaconda.org/conda-forge/mlflow,2021-01-11 17:08:19.258000,201877.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
