,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-04-29 13:19:59.000000,2021-04-29 04:58:51.000000,23545,218.0,,29524,29941.0,Apache Spark Python API.,2447.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,,,['spark'],1345.0,585.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,9819658.0,9840304.0,https://anaconda.org/conda-forge/pyspark,2021-03-04 09:44:05.675000,1011667.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-04-29 14:47:35.000000,2021-04-28 19:55:27.000000,5436,2280.0,7454.0,17008,,The fundamental package for scientific computing with Python.,1312.0,38,True,2021-03-27 23:33:19.000000,1.20.2,97.0,numpy,conda-forge/numpy,,,,861360.0,691638.0,https://pypi.org/project/numpy,2021-03-27 22:16:26.000000,169722.0,70752922.0,71075882.0,https://anaconda.org/conda-forge/numpy,2021-03-28 21:35:26.037000,18682699.0,,,,,1.0,,334175.0,,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-04-29 09:33:24.000000,2021-04-28 13:37:41.000000,21371,2337.0,6855.0,45569,,scikit-learn: machine learning in Python.,2211.0,37,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],252681.0,214793.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,22110723.0,22243189.0,https://anaconda.org/conda-forge/scikit-learn,2021-04-28 21:30:13.539000,7814853.0,,,,,1.0,,686.0,,,,,,,,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-04-29 10:28:58.000000,2021-04-28 17:32:01.000000,7980,293.0,3745.0,20926,5309.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",513.0,37,True,2021-04-20 00:37:45.000000,1.4.1,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,17922.0,16330.0,https://pypi.org/project/xgboost,2021-04-12 18:26:19.000000,1592.0,5190489.0,5222603.0,https://anaconda.org/conda-forge/xgboost,2021-03-09 14:27:32.491000,1572360.0,,,,,1.0,,2270.0,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-04-29 10:20:26.000000,2021-04-28 12:42:02.000000,3383,102.0,4494.0,20306,14469.0,Industrial-strength Natural Language Processing (NLP) in Python.,581.0,37,True,2021-04-23 12:16:12.000000,3.0.6,177.0,spacy,conda-forge/spacy,,,,27281.0,24215.0,https://pypi.org/project/spacy,2021-04-23 12:16:12.000000,3066.0,2048285.0,2084237.0,https://anaconda.org/conda-forge/spacy,2021-04-24 09:37:43.886000,1794856.0,,,,,1.0,,3005.0,,,,,,,,,,,,,,,,,,,,
15,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-04-29 14:50:25.000000,2021-04-29 14:49:51.000000,1408,143.0,362.0,12449,2625.0,Faker is a Python package that generates fake data for you.,399.0,37,True,2021-04-29 14:50:26.000000,8.1.2,137.0,Faker,conda-forge/faker,,,,30865.0,26153.0,https://pypi.org/project/Faker,2021-04-29 14:50:15.000000,4712.0,4119332.0,4127841.0,https://anaconda.org/conda-forge/faker,2021-04-23 17:10:00.330000,416986.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-04-26 19:26:27.000000,2021-04-23 11:40:36.000000,1383,98.0,1742.0,8357,2766.0,Statistical data visualization using matplotlib.,152.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,,,105034.0,92248.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,4921725.0,4962619.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2290042.0,,,,,1.0,,161.0,,,,,,,,,,,,,,,,,,,,
17,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-04-29 14:23:39.000000,2021-04-29 11:51:09.000000,10575,720.0,6249.0,45338,7085.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,858.0,36,True,2021-04-13 15:25:42.000000,4.5.1,56.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",10334.0,10206.0,https://pypi.org/project/transformers,2021-04-13 15:21:35.000000,128.0,1969772.0,1971872.0,https://anaconda.org/conda-forge/transformers,2021-04-14 06:06:28.483000,36991.0,,,,,1.0,,1306.0,,,,,,,,,,,,,,,,,,,,
18,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-04-27 21:44:49.000000,2021-04-06 15:18:55.000000,6822,284.0,1069.0,24060,1244.0,A toolkit for developing and comparing reinforcement learning algorithms.,275.0,36,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,23322.0,19760.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,471364.0,471364.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
19,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-04-29 15:20:46.000000,2021-04-29 15:06:06.000000,8352,956.0,2408.0,21545,12247.0,"Platform to programmatically author, schedule, and monitor workflows.",1848.0,36,True,2021-04-19 21:11:50.000000,2.0.2,75.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2021-04-19 20:59:24.000000,294.0,1764398.0,2034067.0,https://anaconda.org/conda-forge/airflow,2021-04-20 10:47:28.101000,312878.0,https://hub.docker.com/r/apache/airflow,2021-04-28 18:57:32.837814,235.0,18810032.0,1.0,,119948.0,stable/airflow,,,,,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-04-29 03:58:33.000000,2021-04-29 02:11:08.000000,3268,119.0,2124.0,12466,2474.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",221.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,,,7244.0,6688.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,3704720.0,3719594.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,567157.0,,,,,1.0,,109053.0,,,,,,,,,,,,,,,,,,,,
21,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-04-29 06:39:17.000000,2021-04-29 06:39:14.000000,3950,358.0,1290.0,12002,4144.0,Topic Modelling for Humans.,394.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,,,27605.0,22863.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,8793047.0,8807969.0,https://anaconda.org/conda-forge/gensim,2021-04-02 10:56:03.560000,639520.0,,,,,1.0,,3304.0,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-04-29 13:45:14.000000,2021-04-29 00:02:50.000000,1791,865.0,1077.0,9391,4948.0,The interactive graphing library for Python (includes Plotly Express).,167.0,36,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,5276925.0,5407446.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1345257.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,106499.0,,,,,,,,,,,,,,
23,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-04-29 12:53:45.000000,2021-04-28 22:18:58.000000,4524,442.0,1227.0,8961,1663.0,"Datasets, Transforms and Models specific to Computer Vision.",381.0,36,True,2021-03-25 17:51:25.000000,0.9.1,23.0,torchvision,conda-forge/torchvision,,,['pytorch'],52876.0,48264.0,https://pypi.org/project/torchvision,2021-03-25 16:28:06.000000,4612.0,1460011.0,1461376.0,https://anaconda.org/conda-forge/torchvision,2021-04-22 07:21:30.407000,54635.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-04-29 15:01:15.000000,2021-04-29 14:08:34.000000,1885,157.0,587.0,7823,9127.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,670.0,36,True,2021-01-26 01:05:45.000000,3.0.0,31.0,pyarrow,conda-forge/arrow,,,,1026.0,40.0,https://pypi.org/project/pyarrow,2021-04-26 21:13:42.000000,986.0,24246585.0,24255925.0,https://anaconda.org/conda-forge/arrow,2021-04-28 01:14:17.024000,551071.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-04-29 13:18:56.000000,2021-04-29 13:18:56.000000,1379,550.0,963.0,5385,4459.0,TensorFlow's Visualization Toolkit.,257.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],65718.0,62104.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,9098998.0,9145832.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1920229.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-04-09 10:22:50.000000,2021-04-02 12:08:27.000000,286,291.0,358.0,2424,1370.0,Computing with Python functions.,99.0,36,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,103773.0,97163.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,28369326.0,28437508.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,3886409.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
27,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-04-28 16:47:25.000000,2021-04-28 16:45:14.000000,399,217.0,980.0,1512,3623.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,162.0,36,True,2021-03-05 10:04:46.000000,3.2.1,27.0,h5py,conda-forge/h5py,,,,135168.0,112232.0,https://pypi.org/project/h5py,2021-03-05 10:24:13.000000,22936.0,9154031.0,9237226.0,https://anaconda.org/conda-forge/h5py,2021-04-16 22:09:04.226000,5073614.0,,,,,1.0,,1031.0,,,,,,,,,,,,,,,,,,,,
28,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-04-28 00:44:28.000000,2021-04-08 21:29:36.000000,1453,418.0,572.0,14407,3544.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",74.0,35,True,2021-04-08 22:35:48.000000,1.20.0,137.0,dash,conda-forge/dash,,,,21388.0,19780.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,448697.0,455672.0,https://anaconda.org/conda-forge/dash,2021-04-10 06:31:33.446000,244136.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-04-26 01:04:51.000000,2021-04-26 01:04:51.000000,2467,235.0,1246.0,9827,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,395.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,,118780.0,97788.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,13188413.0,13200598.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,682363.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-04-28 00:09:40.000000,2021-04-26 05:53:03.000000,2286,286.0,2342.0,8998,,Network Analysis in Python.,508.0,35,True,2021-04-03 22:22:02.000000,2.5.1,53.0,networkx,conda-forge/networkx,,,,93777.0,72959.0,https://pypi.org/project/networkx,2021-04-03 22:22:02.000000,20818.0,12778512.0,12843188.0,https://anaconda.org/conda-forge/networkx,2021-04-04 01:32:23.917000,3492551.0,,,,,1.0,,51.0,,,,,,,,,,,,,,,,,,,,
31,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-04-29 12:32:37.000000,2021-04-29 08:55:00.000000,3371,4150.0,7305.0,8035,46756.0,A computer algebra system written in pure Python.,1061.0,35,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,,,37613.0,31191.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,1018680.0,1047489.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1431854.0,,,,,1.0,,422357.0,,,,,,,,,,,,,,,,,,,,
32,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-04-29 13:38:12.000000,2021-04-29 10:30:31.000000,6827,1888.0,7607.0,19431,11581.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",957.0,34,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,,,['mxnet'],2431.0,1987.0,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,245919.0,246473.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6098.0,,,,,2.0,,23744.0,,,,,,,0.0,,,,,,,,,,,,,
33,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-04-22 13:15:18.000000,2021-04-16 07:52:49.000000,2246,73.0,842.0,14482,3993.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-16 09:12:59.000000,3.0.3,72.0,luigi,luigi,,,,2078.0,1402.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,833957.0,834070.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,7016.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,,
34,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-04-29 12:11:05.706000,2021-04-06 00:10:26.000000,1811,1022.0,519.0,12463,1927.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,2558.0,2422.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2788018.0,2802567.0,https://anaconda.org/conda-forge/shap,2021-04-29 12:11:05.706000,465583.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-04-29 12:31:23.000000,2021-04-28 17:02:00.000000,1893,540.0,1020.0,10246,1733.0,Open standard for machine learning interoperability.,197.0,34,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,,,3254.0,2958.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1415815.0,1421570.0,https://anaconda.org/conda-forge/onnx,2021-04-19 16:03:25.171000,224232.0,,,,,1.0,,12019.0,,,,,,,,,,,,,,,,,,,,
36,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-04-29 07:32:59.000000,2021-04-13 19:05:58.000000,2517,673.0,2084.0,9403,28126.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,16286.0,10812.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,294289.0,320227.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1478500.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-04-29 01:09:16.000000,2021-04-29 00:34:17.000000,1534,84.0,2022.0,8637,3604.0,WebGL2 powered geospatial visualization layers.,159.0,34,True,2021-04-13 02:26:45.000000,0.6.2,463.0,pydeck,conda-forge/pydeck,,,['jupyter'],2106.0,1544.0,https://pypi.org/project/pydeck,2021-04-13 02:26:45.000000,2.0,222972.0,443283.0,https://anaconda.org/conda-forge/pydeck,2021-04-13 20:41:22.066000,27304.0,,,,,1.0,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-03-22 21:45:34.518000,560.0,218361.0,,,,,,,,,,,,,,
38,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-04-29 10:16:50.000000,2021-04-28 00:41:22.000000,1267,750.0,2996.0,8260,,Parallel computing with task scheduling.,444.0,34,True,2021-04-23 19:06:45.000000,2021.4.1,116.0,dask,conda-forge/dask,,,,30941.0,27025.0,https://pypi.org/project/dask,2021-04-23 19:06:45.000000,3916.0,4469999.0,4526076.0,https://anaconda.org/conda-forge/dask,2021-04-24 02:17:38.124000,3308594.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,
