,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-08-11 10:48:47.000000,2022-08-09 12:08:54,13572.0,306.0,1869,211.0,3842.0,113.0,2480.0,10036,The friendly PIL fork (Python Imaging Library).,407.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,44623038.0,874257.0,811102.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,44394377.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,17378310.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-08-11 13:39:30.000000,2022-08-10 14:38:26,51742.0,773.0,3708,282.0,11723.0,4455.0,8064.0,9477,A computer algebra system written in pure Python.,1163.0,45,True,2022-03-20 12:00:44.000,1.10.1,46.0,sympy,conda-forge/sympy,,459352.0,2582393.0,49183.0,44973.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2547968.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2265825.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-08-11 12:21:51.000000,2022-08-10 23:28:12,7236.0,298.0,19164,1946.0,5457.0,322.0,11159.0,55886,Deep Learning for humans.,1093.0,44,True,2022-05-13 20:03:15.000,2.9.0,66.0,keras,conda-forge/keras,['tensorflow'],,8304650.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8270529.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2456782.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-08-11 13:19:15.000000,2022-08-10 07:49:08,15569.0,141.0,3904,553.0,3252.0,99.0,5115.0,23944,Industrial-strength Natural Language Processing (NLP) in Python.,697.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,3146.0,4676727.0,44363.0,41988.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4635235.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2735633.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-08-11 13:21:26.000000,2022-08-11 13:21:26,5894.0,122.0,8440,929.0,3655.0,311.0,4228.0,23051,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",572.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4819.0,8298170.0,35982.0,34612.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8253670.0,https://anaconda.org/conda-forge/xgboost,2022-08-11 10:35:45.147,2889452.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-08-11 14:52:35.000000,2022-08-11 14:01:01,13935.0,1437.0,3749,423.0,16556.0,2654.0,8516.0,21537,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,740.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,74.0,ray,conda-forge/ray-tune,,,1740052.0,5849.0,5570.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1737479.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,51476.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-08-11 14:22:31.000000,2022-08-11 08:00:29,12616.0,1067.0,1799,285.0,7220.0,1111.0,2482.0,19779,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",431.0,44,True,2022-07-22 23:55:24.900,0.3.15,122.0,jax,conda-forge/jaxlib,,,586961.0,5500.0,5178.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,576455.0,https://anaconda.org/conda-forge/jaxlib,2022-07-28 06:40:04.372,388753.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-11 08:39:19.000000,2022-08-06 20:43:09,19641.0,96.0,3967,454.0,5239.0,702.0,6269.0,16560,"Interactive Data Visualization in the browser, from Python.",610.0,44,True,2022-05-18 19:00:14.000,2.4.3,130.0,bokeh,conda-forge/bokeh,,,3294038.0,58080.0,54527.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3167547.0,https://anaconda.org/conda-forge/bokeh,2022-08-09 14:12:00.447,8095472.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-08-10 23:19:57.000000,2022-08-10 04:44:57,7003.0,176.0,2657,273.0,2828.0,331.0,2631.0,11127,Network Analysis in Python.,611.0,44,True,2022-07-18 21:25:36.871,2.8.5,80.0,networkx,conda-forge/networkx,,60.0,18850950.0,128280.0,114816.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,18743247.0,https://anaconda.org/conda-forge/networkx,2022-07-19 07:19:04.156,7539261.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-08-10 20:08:06.478000,2022-08-09 17:20:29,13246.0,45.0,2037,187.0,3790.0,624.0,1851.0,5012,Image processing in Python.,563.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,4898686.0,119346.0,109980.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,4848373.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,3773535.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-08-11 11:19:27.000000,2022-08-11 11:19:24,33807.0,672.0,25868,2076.0,37457.0,224.0,,33598,Apache Spark Python API.,2700.0,43,True,2022-06-15 08:58:01.000,3.3.0,31.0,pyspark,conda-forge/pyspark,['spark'],,24633012.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,24604234.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,1870578.0,1.0,,1.0,stable/spark,,,,,,,,,,,,,,,,,,,,,,,
22,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-08-08 01:22:52.000000,2022-07-29 02:21:56,14325.0,33.0,2635,472.0,1367.0,225.0,1419.0,10965,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,43,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11670640.0,163593.0,151634.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11651182.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1401029.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-08-11 05:44:40.000000,2022-08-10 15:49:18,7317.0,137.0,1521,219.0,4783.0,764.0,3729.0,10198,Parallel computing with task scheduling.,554.0,43,True,2022-08-05 20:00:25.348,2022.8.0,149.0,dask,conda-forge/dask,,,6770840.0,41744.0,39077.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,6687845.0,https://anaconda.org/conda-forge/dask,2022-08-05 21:35:51.377,6224654.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-08-11 12:26:01.000000,2022-08-11 12:26:00,5136.0,100.0,1526,189.0,4182.0,582.0,1137.0,5939,TensorFlows Visualization Toolkit.,285.0,43,True,2022-08-10 20:20:31.999,2.10.0,43.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,13866506.0,121613.0,119193.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,13811276.0,https://anaconda.org/conda-forge/tensorboard,2022-08-11 03:39:08.506,3148142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-08-11 12:55:43.000000,2022-08-08 21:41:15,1702.0,100.0,7924,988.0,1380.0,35.0,1617.0,28245,A toolkit for developing and comparing reinforcement learning algorithms.,372.0,42,True,2022-07-28 20:04:04.087,0.25.1,103.0,gym,conda-forge/gym,,,638941.0,33971.0,31500.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,634084.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,136007.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-08-11 14:04:48.000000,2022-08-11 13:24:30,5588.0,104.0,2163,273.0,1390.0,1187.0,1207.0,11922,The interactive graphing library for Python (includes Plotly Express).,203.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,8375206.0,4135.0,12.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,8286851.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2964729.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,47179.0,,,,,,,,,,,,,,,,,,
27,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-08-11 10:40:59.000000,2022-08-10 16:57:41,4182.0,145.0,1821,1735.0,3950.0,158.0,2338.0,10077,WebGL2 powered visualization framework.,203.0,42,True,2022-07-28 07:55:09.948,8.8.6,547.0,pydeck,conda-forge/pydeck,['jupyter'],,1161335.0,4861.0,4439.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,862604.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,155219.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-07-28 07:55:09.948,398.0,293558.0,,,,,,,,,,,,,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-08-11 14:03:30.000000,2022-08-11 13:29:51,14689.0,105.0,2431,267.0,3588.0,2266.0,2548.0,7632,Statsmodels: statistical modeling and econometrics in Python.,380.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,8523740.0,72252.0,67739.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8431143.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6852240.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-08-11 08:09:41.000000,2022-08-11 08:09:41,2500.0,223.0,7273,610.0,2108.0,111.0,1542.0,22618,The fastai deep learning library.,613.0,41,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,['pytorch'],,289568.0,11139.0,10838.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,289568.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-08-11 14:22:38.000000,2022-08-11 12:30:22,36925.0,1227.0,4656,730.0,29850.0,2949.0,13020.0,18680,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,793.0,41,True,2022-07-12 03:54:24.000,2.3.1,55.0,paddlepaddle,,['paddle'],15319.0,73023.0,186.0,136.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,72811.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-08-03 14:11:20.000000,2022-06-16 14:46:20,2277.0,93.0,2548,250.0,473.0,1399.0,605.0,17141,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,3747405.0,6516.0,6241.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3718889.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1368771.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-08-11 13:23:48.000000,2022-08-11 13:23:48,3044.0,86.0,3541,449.0,2646.0,218.0,2556.0,14059,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",265.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,159554.0,5997959.0,15300.0,14670.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,5976794.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1139041.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-08-11 14:47:12.000000,2022-08-11 14:46:05,2028.0,83.0,2865,429.0,2326.0,301.0,1776.0,13062,Open standard for machine learning interoperability.,248.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17821.0,1470459.0,8303.0,7910.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1461822.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,474816.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-08-11 10:39:07.000000,2022-08-11 10:39:07,3021.0,284.0,2864,275.0,4011.0,925.0,1578.0,12423,Open source platform for the machine learning lifecycle.,463.0,41,True,2022-08-11 10:07:43.000,1.28.0,61.0,mlflow,conda-forge/mlflow,,,11965902.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,11948980.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,676909.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-08-11 14:31:17.000000,2022-08-11 14:31:16,2869.0,142.0,6143,378.0,3935.0,754.0,1869.0,12206,"Datasets, Transforms and Models specific to Computer Vision.",493.0,41,True,2022-08-05 20:19:15.000,0.13.1,32.0,torchvision,conda-forge/torchvision,['pytorch'],10178.0,3518535.0,3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,3512634.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,321587.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-08-11 14:29:32.000000,2022-08-11 11:52:52,3001.0,176.0,1631,245.0,866.0,103.0,1991.0,9678,Statistical data visualization in Python.,171.0,41,True,2021-08-16 00:42:18.000,0.11.2,29.0,seaborn,conda-forge/seaborn,,226.0,7339696.0,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,7279057.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4365889.0,1.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-08-11 14:04:45.000000,2022-08-10 08:07:52,13645.0,968.0,732,126.0,2618.0,114.0,1144.0,6769,A hyperparameter optimization framework.,203.0,41,True,2022-06-13 05:39:20.000,2.10.1,48.0,optuna,conda-forge/optuna,,,1461447.0,4168.0,3928.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,240.0,1452027.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,310861.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-08-11 14:37:54.000000,2022-08-11 11:35:12,4840.0,241.0,636,57.0,3924.0,1200.0,1927.0,1384,A distributed task scheduler for Dask.,282.0,41,True,2022-08-05 20:00:25.245,2022.8.0,180.0,distributed,conda-forge/distributed,,,4665785.0,25763.0,24576.0,https://pypi.org/project/distributed,2022-06-24 16:00:19.000,1187.0,4564357.0,https://anaconda.org/conda-forge/distributed,2022-08-05 21:20:37.671,7607168.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
