,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-05-24 12:48:13.000000,2023-05-24 12:47:43,14854.0,402.0,2029.0,219.0,4266.0,112.0,2714.0,10846.0,Python Imaging Library (Fork).,437.0,47,True,2023-04-01 09:33:34.000,9.5.0,92.0,Pillow,conda-forge/pillow,,,,1248488.0,1182873.0,https://pypi.org/project/Pillow,2023-01-02 21:32:51.909,65615.0,55698431.0,56032114.0,https://anaconda.org/conda-forge/pillow,2023-05-21 08:34:35.799,28363110.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-05-24 23:46:07.000000,2023-05-24 00:32:23,8199.0,385.0,19344.0,1915.0,6391.0,390.0,11430.0,58419.0,Deep Learning for humans.,1182.0,46,True,2023-05-01 21:51:04.013,2.13.0,78.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],586.0,,https://pypi.org/project/keras,2023-02-23 18:53:01.699,586.0,10101806.0,10139446.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3048851.0,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-05-25 14:31:52.000000,2023-05-23 23:20:41,54249.0,733.0,3961.0,289.0,12380.0,4729.0,8390.0,10700.0,A computer algebra system written in pure Python.,1224.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,67815.0,63278.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4537.0,7961022.0,8006471.0,https://anaconda.org/conda-forge/sympy,2023-05-15 20:27:39.985,3461004.0,,,,,1.0,501226.0,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-05-21 15:09:00.000000,2023-05-17 23:23:50,15053.0,118.0,2522.0,275.0,3775.0,2446.0,2670.0,8510.0,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,93470.0,93470.0,https://pypi.org/project/statsmodels,,,10192192.0,10311235.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,9880622.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-05-25 09:30:15.000000,2023-05-23 11:28:48,15920.0,92.0,4127.0,553.0,3749.0,105.0,5340.0,26208.0,Industrial-strength Natural Language Processing (NLP) in Python.,725.0,44,True,2023-05-25 11:16:21.000,3.2.6,216.0,spacy,conda-forge/spacy,,,,63574.0,60846.0,https://pypi.org/project/spacy,2023-01-20 09:51:09.566,2728.0,5176746.0,5217505.0,https://anaconda.org/conda-forge/spacy,2023-05-16 12:39:45.588,3056959.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-05-25 14:19:44.000000,2023-05-25 07:46:05,17469.0,1316.0,4452.0,444.0,21527.0,2821.0,11356.0,25733.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,864.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,10216.0,9722.0,https://pypi.org/project/ray,2023-02-24 06:15:04.778,494.0,2154837.0,2159282.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,128894.0,,,,,1.0,81.0,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-05-25 13:02:12.000000,2023-05-24 01:09:25,6358.0,147.0,8568.0,916.0,4374.0,364.0,4490.0,24176.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",605.0,44,True,2023-03-30 19:47:07.654,1.7.5,73.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,58366.0,56782.0,https://pypi.org/project/xgboost,2023-01-06 19:21:10.487,1584.0,8797142.0,8849946.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3903186.0,,,,,1.0,6586.0,,,,,,,,,,,,,,,,,,
19,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-05-25 13:48:32.000000,2023-05-25 13:23:23,16183.0,1202.0,2096.0,311.0,9986.0,1141.0,3065.0,23297.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",540.0,44,True,2023-05-12 01:13:18.000,jax-v0.4.10,71.0,jax,conda-forge/jaxlib,,,,12424.0,12424.0,https://pypi.org/project/jax,,,4315217.0,4331504.0,https://anaconda.org/conda-forge/jaxlib,2023-05-12 16:14:11.017,749207.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-05-25 13:30:11.000000,2023-05-25 12:23:04,4056.0,305.0,3379.0,289.0,5462.0,1109.0,1968.0,14426.0,Open source platform for the machine learning lifecycle.,582.0,44,True,2023-05-13 01:03:53.000,2.3.2,68.0,mlflow,conda-forge/mlflow,,,,19602.0,19602.0,https://pypi.org/project/mlflow,,,10374436.0,10401096.0,https://anaconda.org/conda-forge/mlflow,2023-05-18 17:43:16.977,1306346.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-05-19 20:06:57.000000,2023-05-16 03:49:31,3271.0,77.0,3603.0,443.0,2898.0,260.0,2725.0,14991.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",282.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,21948.0,21948.0,https://pypi.org/project/lightgbm,,,6075729.0,6103115.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1734734.0,,,,,2.0,190218.0,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-05-25 00:13:13.000000,2023-05-24 19:52:18,7769.0,186.0,1621.0,212.0,5334.0,923.0,3987.0,11048.0,Parallel computing with task scheduling.,581.0,43,True,2023-05-12 15:55:45.454,2023.5.0,170.0,dask,conda-forge/dask,,,,52378.0,49242.0,https://pypi.org/project/dask,2023-03-01 21:19:05.337,3136.0,7350434.0,7456688.0,https://anaconda.org/conda-forge/dask,2023-05-12 17:29:33.599,8925387.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-21 18:27:43.000000,2023-05-21 17:13:59,3147.0,28.0,1712.0,256.0,1002.0,119.0,2197.0,10741.0,Statistical data visualization in Python.,197.0,43,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,272502.0,261926.0,https://pypi.org/project/seaborn,2023-01-02 17:36:07.692,10576.0,8919711.0,9002226.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6683617.0,,,,,1.0,245.0,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-05-24 23:19:02.000000,2023-05-24 22:37:18,5507.0,139.0,1590.0,191.0,4616.0,637.0,1189.0,6247.0,TensorFlows Visualization Toolkit.,299.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],171293.0,168601.0,https://pypi.org/project/tensorboard,2023-01-13 22:24:05.115,2692.0,18903711.0,18964028.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,3980970.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-05-25 01:10:34.000000,2023-05-24 23:16:41,9271.0,426.0,2887.0,235.0,8918.0,642.0,5522.0,23320.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",872.0,42,True,2023-04-24 14:51:08.481,2.0.2,249.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],634.0,,https://pypi.org/project/pytorch-lightning,2023-01-18 02:35:00.780,634.0,4285548.0,4309108.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-04-24 18:49:45.463,810332.0,,,,,2.0,11856.0,4.0,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-05-25 14:13:42.000000,2023-05-25 11:32:03,41915.0,1806.0,5000.0,728.0,37258.0,992.0,15699.0,20287.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1034.0,42,True,2023-05-08 08:33:39.000,2.4.2,59.0,paddlepaddle,,,,['paddle'],251.0,251.0,https://pypi.org/project/paddlepaddle,,,115664.0,115853.0,,,,,,,,2.0,15350.0,,,,,,,,,,,,,,,,,,
27,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-05-25 12:01:40.000000,2023-05-22 03:01:15,5138.0,326.0,1182.0,122.0,1817.0,327.0,1834.0,17927.0,"Wrap UIs around any model, share with anyone.",158.0,42,True,2023-05-21 06:59:01.603,3.32.0,468.0,gradio,,,,,7358.0,7259.0,https://pypi.org/project/gradio,2023-02-20 00:20:01.258,99.0,3784421.0,3784421.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,
28,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-05-24 20:19:57.000000,2023-05-24 10:31:18,20111.0,136.0,4006.0,448.0,5708.0,688.0,6594.0,17600.0,"Interactive Data Visualization in the browser, from Python.",659.0,42,True,,,50.0,bokeh,conda-forge/bokeh,,,,69300.0,69300.0,https://pypi.org/project/bokeh,,,3388305.0,3542501.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11256342.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-05-24 14:19:07.000000,2023-05-19 13:46:56,5904.0,115.0,2334.0,278.0,1500.0,1342.0,1322.0,13499.0,The interactive graphing library for Python This project now includes Plotly Express!.,226.0,42,True,2023-04-05 18:48:14.000,5.14.1,289.0,plotly,conda-forge/plotly,,,,4912.0,,https://pypi.org/project/plotly,2023-01-23 19:05:16.751,4906.0,7944451.0,8026002.0,https://anaconda.org/conda-forge/plotly,2023-04-05 21:57:15.625,4234090.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,29279.0,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-05-24 22:57:57.000000,2023-05-24 17:32:16,7297.0,102.0,2820.0,281.0,3293.0,178.0,2798.0,12687.0,Network Analysis in Python.,652.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,159799.0,159799.0,https://pypi.org/project/networkx,,,25531583.0,25677820.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11552741.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-05-25 12:17:56.000000,2023-05-23 13:36:22,4446.0,93.0,1903.0,1711.0,4256.0,192.0,2477.0,10895.0,WebGL2 powered visualization framework.,225.0,42,True,2023-05-22 19:59:59.000,8.9.16,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],5952.0,5952.0,https://pypi.org/project/pydeck,,,1479558.0,1908994.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,368678.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,,,419983.0,,,,,,,,,,,
32,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-05-23 17:11:21.000000,2023-05-23 14:25:25,3499.0,95.0,732.0,149.0,1203.0,218.0,1594.0,8276.0,Declarative statistical visualization library for Python.,155.0,42,True,2023-05-09 15:04:23.000,5.0.0,34.0,altair,conda-forge/altair,,,,57699.0,57134.0,https://pypi.org/project/altair,2023-03-01 22:49:04.725,565.0,12261371.0,12283218.0,https://anaconda.org/conda-forge/altair,2023-05-09 19:10:00.456,1791489.0,,,,,1.0,43.0,,,,,,,,,,,,,,,,,,
33,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-05-24 22:38:06.000000,2023-05-24 22:03:21,13550.0,110.0,2062.0,187.0,4119.0,480.0,1967.0,5409.0,Image processing in Python.,617.0,42,False,2023-02-28 23:32:35.000,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,141641.0,141641.0,https://pypi.org/project/scikit-image,,,7163226.0,7223623.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5073407.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-05-25 07:00:36.000000,2023-05-24 00:33:23,5528.0,224.0,2187.0,288.0,3358.0,611.0,2695.0,24879.0,Streamlit A faster way to build and share data apps.,180.0,41,True,2023-04-27 18:43:04.434,1.22.0,199.0,streamlit,,,,,1571.0,758.0,https://pypi.org/project/streamlit,2023-03-09 21:00:47.459,813.0,1859010.0,1859010.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-05-25 14:14:28.000000,2023-05-24 14:22:38,6820.0,203.0,1891.0,407.0,941.0,739.0,802.0,18734.0,Data Apps & Dashboards for Python. No JavaScript Required.,136.0,41,True,2023-04-13 17:42:40.000,2.9.3,163.0,dash,conda-forge/dash,,,,48191.0,46826.0,https://pypi.org/project/dash,2023-01-30 17:00:04.941,1365.0,1516811.0,1532818.0,https://anaconda.org/conda-forge/dash,2023-05-23 04:47:30.947,960465.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-05-25 14:05:38.000000,2023-05-24 10:46:50,31892.0,593.0,4202.0,348.0,5771.0,1.0,6642.0,16374.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-05-24 07:43:27.000,3.5.10,100.0,rasa,,,,['tensorflow'],3362.0,3362.0,https://pypi.org/project/rasa,,,130477.0,130477.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-05-24 20:49:41.000000,2023-05-22 16:53:13,2364.0,147.0,3520.0,431.0,2756.0,378.0,2031.0,14762.0,Open standard for machine learning interoperability.,280.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,15927.0,15395.0,https://pypi.org/project/onnx,2022-12-12 13:26:02.139,532.0,3019164.0,3030509.0,https://anaconda.org/conda-forge/onnx,2023-05-15 20:27:33.538,730230.0,,,,,1.0,18858.0,,,,,,,,,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-05-24 14:19:23.000000,2023-05-21 12:26:11,4468.0,40.0,4345.0,432.0,1669.0,396.0,1435.0,14351.0,Topic Modelling for Humans.,446.0,41,True,2023-03-10 06:20:03.685,4.3.1,92.0,gensim,conda-forge/gensim,,,,49157.0,46075.0,https://pypi.org/project/gensim,2022-12-21 00:21:03.066,3082.0,3893187.0,3908837.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1060958.0,,,,,1.0,4366.0,,,,,,,,,,,,,,,,,,
