,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-04-03 14:40:02.000000,2025-04-03 14:40:02,34897.0,545.0,5306.0,351.0,12050.0,1723.0,9284.0,13514.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1763.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1334621.0,1284115.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,133122791.0,134259172.0,https://anaconda.org/conda-forge/scipy,2025-03-25 16:00:05.956,60010739.0,,,,,1.0,480123.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-04-03 11:38:48.000000,2025-04-03 11:38:47,52288.0,502.0,7781.0,586.0,19031.0,1615.0,9544.0,20972.0,matplotlib: plotting with Python.,1790.0,49,True,2025-02-27 19:18:10.000,3.10.1,132.0,matplotlib,conda-forge/matplotlib,,,,1702273.0,1646156.0,https://pypi.org/project/matplotlib,2025-02-27 19:18:10.000,56117.0,83541448.0,84042948.0,https://anaconda.org/conda-forge/matplotlib,2025-03-25 16:00:02.106,29087054.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-04-03 14:08:05.000000,2025-04-03 14:08:05,59805.0,465.0,4590.0,291.0,13855.0,5238.0,9066.0,13506.0,A computer algebra system written in pure Python.,1362.0,48,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,246186.0,242178.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,4008.0,42873350.0,43018546.0,https://anaconda.org/conda-forge/sympy,2025-03-25 16:00:05.047,8333601.0,,,,,1.0,556823.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-04-03 10:24:37.000000,2025-04-03 10:24:37,19409.0,355.0,2266.0,218.0,5402.0,98.0,3198.0,12669.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-01 13:28:40.000,11.2.0,101.0,Pillow,conda-forge/pillow,,,,2183899.0,2170540.0,https://pypi.org/project/Pillow,2025-04-01 13:28:40.000,13359.0,138087550.0,138998277.0,https://anaconda.org/conda-forge/pillow,2025-03-25 16:00:04.643,51911485.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-04-02 20:22:14.000000,2025-03-28 21:59:30,11435.0,166.0,19563.0,1902.0,7942.0,291.0,12167.0,62828.0,Deep Learning for humans.,1393.0,47,True,2025-04-02 20:22:14.000,3.9.2,108.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1794.0,,https://pypi.org/project/keras,2025-04-02 19:03:07.000,1794.0,14077826.0,14147064.0,https://anaconda.org/conda-forge/keras,2025-03-25 16:00:08.865,4015848.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-04-03 06:41:16.000000,2025-04-03 04:36:56,24651.0,1169.0,6184.0,480.0,31808.0,4449.0,16031.0,36368.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1192.0,47,True,2025-03-27 17:13:14.000,ray-2.44.1,126.0,ray,conda-forge/ray-tune,,,,23423.0,22499.0,https://pypi.org/project/ray,2025-03-27 16:47:43.000,924.0,7120696.0,7134613.0,https://anaconda.org/conda-forge/ray-tune,2025-03-29 00:15:40.437,723631.0,,,,,1.0,251.0,-1.0,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-04-03 14:56:07.000000,2025-04-03 14:56:06,7414.0,486.0,3369.0,324.0,5913.0,1118.0,3968.0,38589.0,Streamlit A faster way to build and share data apps.,356.0,46,True,2025-04-01 20:36:24.000,1.44.1,242.0,streamlit,,,,,806821.0,803305.0,https://pypi.org/project/streamlit,2025-04-01 20:36:16.000,3516.0,9214025.0,9214025.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-04-03 14:10:22.000000,2025-04-03 14:10:17,26729.0,1824.0,2962.0,328.0,18500.0,1551.0,4554.0,31831.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",854.0,46,True,2025-03-19 18:23:38.000,0.5.3,176.0,jax,conda-forge/jaxlib,,,,42606.0,40257.0,https://pypi.org/project/jax,2025-03-19 18:23:38.000,2349.0,8733391.0,8775712.0,https://anaconda.org/conda-forge/jaxlib,2025-03-25 16:00:51.738,2454619.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-04-02 05:55:23.000000,2025-04-02 05:55:23,7390.0,111.0,8751.0,905.0,5922.0,433.0,5054.0,26782.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",659.0,46,True,2025-03-15 13:45:01.000,3.0.0,88.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,144403.0,142075.0,https://pypi.org/project/xgboost,2025-03-15 13:45:01.000,2328.0,24812954.0,24917862.0,https://anaconda.org/conda-forge/xgboost,2025-03-25 16:00:16.789,5973208.0,,,,,1.0,15330.0,,,,,,,,,,,,,,,,,,,
19,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-04-03 13:07:04.000000,2025-04-03 13:07:00,8199.0,297.0,2130.0,425.0,1233.0,550.0,1409.0,22251.0,Data Apps & Dashboards for Python. No JavaScript Required.,174.0,46,True,2025-04-01 19:45:01.000,3.0.2,189.0,dash,conda-forge/dash,,,,83293.0,81712.0,https://pypi.org/project/dash,2025-04-01 19:43:14.000,1581.0,5332447.0,5362576.0,https://anaconda.org/conda-forge/dash,2025-04-02 04:16:23.319,1747477.0,,,,,1.0,88.0,3.0,,,,,,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-04-02 19:41:55.000000,2025-03-28 21:17:50,7686.0,270.0,2621.0,276.0,1844.0,647.0,2533.0,16954.0,The interactive graphing library for Python.,283.0,46,True,2025-03-17 15:02:47.000,6.0.1,304.0,plotly,conda-forge/plotly,,,,400657.0,392827.0,https://pypi.org/project/plotly,2025-03-31 18:47:11.000,7821.0,22360090.0,22573639.0,https://anaconda.org/conda-forge/plotly,2025-03-25 16:00:08.574,8868801.0,,,,,1.0,116.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,63231.0,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-04-03 08:47:13.000000,2025-04-03 08:45:59,44077.0,928.0,28461.0,2012.0,50471.0,203.0,,40860.0,Apache Spark Python API.,3212.0,45,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1780.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1780.0,36632182.0,36697342.0,https://anaconda.org/conda-forge/pyspark,2025-03-25 16:00:16.758,3779282.0,,,,,1.0,,,,,,,,,stable/spark,,,,,,,,,,,
22,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-04-03 10:42:46.000000,2025-04-03 10:42:45,53428.0,973.0,5702.0,715.0,53152.0,1736.0,17677.0,22661.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1365.0,45,True,2025-03-31 01:41:13.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],7776.0,7548.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,228.0,436655.0,436803.0,,,,,,,,1.0,15432.0,,,,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-03 08:36:54.000000,2025-04-02 16:17:50,20752.0,95.0,4214.0,434.0,6319.0,807.0,7134.0,19750.0,"Interactive Data Visualization in the browser, from Python.",710.0,45,True,2025-03-28 08:06:33.000,3.7.2,237.0,bokeh,conda-forge/bokeh,,,,101787.0,99873.0,https://pypi.org/project/bokeh,2025-03-28 08:06:33.000,1914.0,4060860.0,4340502.0,https://anaconda.org/conda-forge/bokeh,2025-04-01 14:09:20.444,16219243.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-03-25 16:00:09.760000,2025-03-15 01:00:12,14735.0,34.0,2887.0,459.0,1515.0,276.0,1587.0,13969.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,373809.0,369112.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,29315924.0,29379124.0,https://anaconda.org/conda-forge/nltk,2025-03-25 16:00:09.760,3096839.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-04-03 13:09:00.000000,2025-04-03 12:59:35,7606.0,279.0,2826.0,183.0,5023.0,488.0,5037.0,37253.0,"Wrap UIs around any model, share with anyone.",553.0,44,True,2025-04-01 21:41:44.000,5.23.3,634.0,gradio,,,,,66402.0,65265.0,https://pypi.org/project/gradio,2025-04-01 21:41:44.000,1137.0,8610385.0,8610385.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-03-28 08:48:50.000000,2025-03-28 08:48:48,10541.0,46.0,3463.0,251.0,10410.0,902.0,6369.0,29234.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1006.0,44,True,2025-03-19 20:28:20.000,2.5.1,286.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],45608.0,43979.0,https://pypi.org/project/pytorch-lightning,2025-03-19 20:28:20.000,1629.0,9294957.0,9320864.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-03-25 16:01:11.222,1487151.0,,,,,2.0,11786.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-04-03 12:21:40.000000,2025-04-03 10:49:54,7454.0,473.0,4435.0,307.0,10697.0,1789.0,2758.0,20018.0,Open source platform for the machine learning lifecycle.,833.0,44,True,2025-04-03 08:50:30.000,2.21.3,132.0,mlflow,conda-forge/mlflow,,,,57430.0,56396.0,https://pypi.org/project/mlflow,2025-04-03 04:58:16.000,1034.0,14786373.0,14839330.0,https://anaconda.org/conda-forge/mlflow,2025-04-03 10:43:30.416,3071554.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-04-03 13:10:42.076000,2025-04-03 11:10:31,1812.0,194.0,2566.0,146.0,684.0,1245.0,1133.0,16374.0,State-of-the-Art Text Embeddings.,219.0,44,True,2025-04-03 11:29:10.000,4.0.2,64.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],88616.0,86281.0,https://pypi.org/project/sentence-transformers,2025-04-03 11:29:04.000,2335.0,8284960.0,8296075.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-03 13:10:42.076,611344.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-04-03 05:13:51.000000,2025-04-03 05:13:51,7945.0,94.0,3253.0,280.0,4075.0,344.0,3082.0,15592.0,Network Analysis in Python.,768.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,387346.0,377716.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,78254074.0,78631656.0,https://anaconda.org/conda-forge/networkx,2025-03-25 16:00:12.530,21144631.0,,,,,1.0,106.0,-1.0,,,,,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-04-03 11:04:55.000000,2025-04-03 11:04:55,9522.0,132.0,1753.0,213.0,6243.0,1118.0,4394.0,13092.0,Parallel computing with task scheduling.,621.0,44,True,2025-03-21 22:18:07.000,2025.3.0,217.0,dask,conda-forge/dask,,,,75054.0,72285.0,https://pypi.org/project/dask,2025-03-21 22:18:07.000,2769.0,11285527.0,11504267.0,https://anaconda.org/conda-forge/dask,2025-03-25 16:00:05.363,12905662.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
31,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-04-02 08:10:43.000000,2025-04-02 08:10:43,15692.0,64.0,3091.0,285.0,4003.0,2851.0,2828.0,10548.0,Statsmodels: statistical modeling and econometrics in Python.,454.0,44,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,165802.0,161333.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16879034.0,17191121.0,https://anaconda.org/conda-forge/statsmodels,2025-03-25 16:00:06.856,18101102.0,,,,,2.0,35.0,-1.0,,,,,,,,,,,,,,,,,,
32,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-01 23:09:27.939000,2025-04-01 07:40:59,16226.0,8.0,4485.0,561.0,4045.0,198.0,5526.0,31311.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,43,True,2025-04-01 21:03:46.000,3.8.5,240.0,spacy,conda-forge/spacy,,,,126102.0,123049.0,https://pypi.org/project/spacy,2025-04-01 21:03:46.000,3053.0,14430519.0,14528523.0,https://anaconda.org/conda-forge/spacy,2025-04-01 23:09:27.939,5682812.0,,,,,1.0,2164.0,,,,,,,,,,,,,,,,,,,
33,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-04-03 06:14:58.000000,2025-04-03 06:14:55,21220.0,2337.0,2519.0,108.0,4623.0,1533.0,3664.0,20160.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",464.0,43,True,2025-04-02 06:14:22.000,1.65.2.de1,1117.0,litellm,,,,others,10909.0,9926.0,https://pypi.org/project/litellm,2025-04-01 19:00:41.000,983.0,6329036.0,6329264.0,,,,,,,,1.0,685.0,-1.0,,,,,,,,,,,,,,,,,,
34,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-04-03 14:54:44.000000,2025-04-03 07:01:19,3688.0,534.0,1859.0,195.0,4493.0,735.0,977.0,15077.0,Development repository for the Triton language and compiler.,384.0,43,True,2025-01-22 19:12:21.000,3.2.0,197.0,triton,,,,,60333.0,59997.0,https://pypi.org/project/triton,2025-01-22 19:12:21.000,336.0,21630027.0,21630027.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-03-25 16:00:08.893000,2025-01-26 16:55:13,3242.0,4.0,1949.0,262.0,1140.0,168.0,2452.0,12987.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,618634.0,607791.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,10843.0,24845968.0,25056167.0,https://anaconda.org/conda-forge/seaborn,2025-03-25 16:00:08.893,12191371.0,,,,,1.0,468.0,,,,,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-04-03 08:31:16.000000,2025-04-02 13:55:29,5134.0,94.0,2115.0,1665.0,5046.0,414.0,2774.0,12603.0,WebGL2 powered visualization framework.,284.0,43,True,2025-03-24 17:36:53.487,9.1.8,691.0,pydeck,conda-forge/pydeck,,,['jupyter'],9368.0,8869.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,7905920.0,8607951.0,https://anaconda.org/conda-forge/pydeck,2025-03-25 16:01:04.301,723610.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-03-24 17:36:53.487,342.0,689337.0,,,,,,,,,,,,
37,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2025-03-25 16:00:27.352000,2025-03-24 16:50:16,5892.0,10.0,1661.0,187.0,5067.0,694.0,1243.0,6831.0,TensorFlows Visualization Toolkit.,325.0,43,True,2025-02-12 08:17:27.000,2.19.0,64.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],309660.0,307206.0,https://pypi.org/project/tensorboard,2025-02-12 08:17:27.000,2454.0,24830607.0,24924513.0,https://anaconda.org/conda-forge/tensorboard,2025-03-25 16:00:27.352,5446596.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
