,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-06-12 13:53:17.000000,2025-06-11 13:19:09,19584.0,275.0,2293.0,221.0,5503.0,147.0,3225.0,12853.0,Python Imaging Library (Fork).,487.0,48,True,2025-04-12 17:56:01.000,11.2.1,102.0,Pillow,conda-forge/pillow,,,,2382338.0,2367294.0,https://pypi.org/project/Pillow,2025-04-12 17:47:10.000,15044.0,149045548.0,149984697.0,https://anaconda.org/conda-forge/pillow,2025-05-07 23:14:11.930,55409820.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-06-11 23:25:08.000000,2025-06-11 23:25:08,11557.0,153.0,19576.0,1895.0,8123.0,300.0,12237.0,63102.0,Deep Learning for humans.,1416.0,47,True,2025-05-19 22:58:28.000,3.10.0,109.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1859.0,,https://pypi.org/project/keras,2025-05-19 22:58:28.000,1859.0,14881236.0,14950275.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4142384.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-06-12 13:31:50.000000,2025-06-11 14:12:11,8025.0,340.0,2650.0,279.0,1894.0,668.0,2554.0,17278.0,The interactive graphing library for Python.,288.0,47,True,2025-05-27 20:21:46.000,6.1.2,308.0,plotly,conda-forge/plotly,,,,460224.0,451881.0,https://pypi.org/project/plotly,2025-05-27 20:21:46.000,8334.0,25056453.0,25227977.0,https://anaconda.org/conda-forge/plotly,2025-05-27 23:34:04.302,9826293.0,,,,,1.0,294.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,10436.0,,,,,,,,,,,,,
17,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-06-12 14:54:20.000000,2025-06-12 14:54:17,7747.0,450.0,3496.0,326.0,6306.0,1193.0,4111.0,39860.0,Streamlit A faster way to build and share data apps.,435.0,46,True,2025-05-12 20:40:35.000,1.45.1,244.0,streamlit,,,,,995981.0,992217.0,https://pypi.org/project/streamlit,2025-05-12 20:40:27.000,3764.0,13958462.0,13958462.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-06-10 17:25:54.000000,2025-06-10 17:25:54,7433.0,61.0,8779.0,903.0,5988.0,466.0,5078.0,26995.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",661.0,46,True,2025-05-25 09:09:35.000,3.0.2,90.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,167645.0,165168.0,https://pypi.org/project/xgboost,2025-05-25 09:09:35.000,2477.0,25422471.0,25527613.0,https://anaconda.org/conda-forge/xgboost,2025-05-26 23:05:23.787,6196005.0,,,,,1.0,16893.0,,,,,,,,,,,,,,,,,,,
19,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-06-12 14:20:52.000000,2025-06-09 13:12:19,8485.0,346.0,2162.0,423.0,1274.0,535.0,1448.0,22951.0,Data Apps & Dashboards for Python. No JavaScript Required.,183.0,46,True,2025-04-24 19:08:09.000,3.0.4,191.0,dash,conda-forge/dash,,,,89960.0,88278.0,https://pypi.org/project/dash,2025-04-24 19:06:41.000,1682.0,5189646.0,5220607.0,https://anaconda.org/conda-forge/dash,2025-04-27 13:39:41.261,1857608.0,,,,,1.0,89.0,,,,,,,,,,,,,,,,,,,
20,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-06-12 01:26:13.000000,2025-06-11 19:29:06,7795.0,242.0,2943.0,188.0,5213.0,455.0,5315.0,38552.0,"Wrap UIs around any model, share with anyone.",603.0,45,True,2025-06-11 19:47:53.000,5.33.2,651.0,gradio,,,,,82656.0,81356.0,https://pypi.org/project/gradio,2025-06-11 19:47:53.000,1300.0,7745232.0,7745232.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-06-12 14:24:35.000000,2025-06-12 14:16:31,28325.0,2087.0,3026.0,330.0,19970.0,1507.0,4767.0,32509.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",904.0,45,True,2025-05-21 18:30:19.000,jax-v0.6.1,178.0,jax,conda-forge/jaxlib,,,,48062.0,45524.0,https://pypi.org/project/jax,2025-05-21 18:10:42.000,2538.0,7841960.0,7887690.0,https://anaconda.org/conda-forge/jaxlib,2025-05-31 06:42:56.357,2743830.0,,,,,1.0,,,,,,,,jax-ml/jax,,,,,,,,,,,,
22,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-06-12 12:15:29.000000,2025-06-12 12:15:28,54176.0,984.0,5745.0,716.0,54235.0,1851.0,17790.0,22856.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1392.0,45,True,2025-03-31 01:41:13.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],8773.0,8540.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,233.0,386984.0,387129.0,,,,,,,,1.0,15437.0,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-06-08 14:58:39.000000,2025-06-08 14:58:39,8008.0,85.0,3362.0,281.0,4184.0,381.0,3100.0,15838.0,Network Analysis in Python.,778.0,45,True,2025-05-29 11:58:31.000,networkx-3.5,100.0,networkx,conda-forge/networkx,,,,433925.0,422298.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,94919629.0,95310441.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,22667137.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-06-12 05:37:22.000000,2025-06-12 05:37:22,14760.0,26.0,2928.0,458.0,1517.0,267.0,1601.0,14114.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,410465.0,404827.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,5638.0,30474086.0,30537139.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3215709.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-06-10 15:43:39.000000,2025-06-10 15:43:35,9570.0,65.0,1765.0,211.0,6299.0,1154.0,4420.0,13262.0,Parallel computing with task scheduling.,621.0,45,True,2025-05-20 19:54:20.000,2025.5.1,221.0,dask,conda-forge/dask,,,,78931.0,75991.0,https://pypi.org/project/dask,2025-05-20 19:54:20.000,2940.0,13657070.0,13875878.0,https://anaconda.org/conda-forge/dask,2025-05-20 21:44:45.329,13347305.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
26,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-06-12 11:57:23.000000,2025-06-12 11:55:49,44599.0,689.0,28587.0,2015.0,51132.0,183.0,,41288.0,Apache Spark Python API.,3242.0,44,True,2025-05-27 08:24:20.000,3.5.6,53.0,pyspark,conda-forge/pyspark,,,['spark'],1887.0,,https://pypi.org/project/pyspark,2025-05-27 08:24:20.000,1887.0,45566500.0,45632193.0,https://anaconda.org/conda-forge/pyspark,2025-05-23 07:05:33.236,3941628.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-05-28 15:28:05.000000,2025-05-28 15:23:38,16246.0,21.0,4513.0,564.0,4056.0,196.0,5550.0,31759.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,44,True,2025-05-23 08:54:03.000,3.8.7,242.0,spacy,conda-forge/spacy,,,,141310.0,138118.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,13447405.0,13545450.0,https://anaconda.org/conda-forge/spacy,2025-05-20 06:41:40.051,5880671.0,,,,,1.0,3016.0,,,,,,,,,,,,,,,,,,,
28,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-06-12 06:16:06.000000,2025-06-12 06:16:06,22527.0,2270.0,3163.0,122.0,5672.0,1339.0,4741.0,23969.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",600.0,44,True,2025-06-12 00:47:01.000,1.72.2-stable,1157.0,litellm,,,,others,16503.0,15231.0,https://pypi.org/project/litellm,2025-06-11 05:46:34.000,1272.0,9638684.0,9638916.0,,,,,,,,1.0,698.0,1.0,,,,,,,,,,,,,,,,,,
29,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-06-12 10:32:18.000000,2025-06-12 10:32:18,7969.0,576.0,4577.0,309.0,11527.0,1841.0,2897.0,20818.0,Open source platform for the machine learning lifecycle.,864.0,44,True,2025-06-11 23:55:08.000,3.0.0,142.0,mlflow,conda-forge/mlflow,,,,65310.0,64185.0,https://pypi.org/project/mlflow,2025-06-10 21:07:25.000,1125.0,18135301.0,18189786.0,https://anaconda.org/conda-forge/mlflow,2025-04-26 10:28:06.581,3269143.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-06-12 13:26:51.000000,2025-06-10 11:23:59,20784.0,39.0,4221.0,433.0,6353.0,826.0,7169.0,19913.0,"Interactive Data Visualization in the browser, from Python.",710.0,44,True,2025-05-12 12:13:27.000,3.7.3,241.0,bokeh,conda-forge/bokeh,,,,105347.0,103362.0,https://pypi.org/project/bokeh,2025-06-05 15:41:54.000,1985.0,3850187.0,4129306.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,16747190.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-06-12 14:51:14.000000,2025-06-12 02:12:33,4183.0,601.0,2003.0,195.0,5176.0,759.0,1036.0,15836.0,Development repository for the Triton language and compiler.,404.0,44,True,2025-05-29 23:39:36.000,3.3.1,199.0,triton,,,,,72421.0,71996.0,https://pypi.org/project/triton,2025-05-29 23:39:36.000,425.0,24159849.0,24159849.0,,,,,,,,1.0,,1.0,,,,,,triton-lang/triton,,,,,,,,,,,,
32,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-06-12 10:28:39.000000,2025-06-12 10:28:39,19389.0,431.0,1102.0,117.0,3969.0,63.0,1683.0,12108.0,A hyperparameter optimization framework.,303.0,44,True,2025-04-14 05:07:40.000,4.3.0,73.0,optuna,conda-forge/optuna,,,,29682.0,28435.0,https://pypi.org/project/optuna,2025-04-14 05:07:40.000,1247.0,4649505.0,4696968.0,https://anaconda.org/conda-forge/optuna,2025-04-22 14:57:16.783,2847800.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-06-12 12:01:48.000000,2025-06-12 12:01:46,10639.0,110.0,3506.0,254.0,10534.0,947.0,6390.0,29609.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1018.0,43,True,2025-04-25 20:23:05.000,2.5.1.post0,287.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],49235.0,47536.0,https://pypi.org/project/pytorch-lightning,2025-04-25 20:24:27.000,1699.0,9027486.0,9054016.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-04-28 12:17:16.982,1574222.0,,,,,2.0,13479.0,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-06-12 06:33:53.000000,2025-06-12 06:05:16,3210.0,135.0,3748.0,437.0,3822.0,318.0,2694.0,19095.0,Open standard for machine learning interoperability.,348.0,43,True,2025-05-12 23:07:37.000,1.18.0,36.0,onnx,conda-forge/onnx,,,,49148.0,47807.0,https://pypi.org/project/onnx,2025-05-12 22:01:31.000,1341.0,7123318.0,7153900.0,https://anaconda.org/conda-forge/onnx,2025-06-02 19:29:29.939,1819508.0,,,,,1.0,23653.0,,,,,,,,,,,,,,,,,,,
35,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-06-12 08:42:57.000000,2025-06-12 08:41:44,1578.0,108.0,2692.0,250.0,754.0,147.0,1474.0,17887.0,Download market data from Yahoo! Finances API.,135.0,43,True,2025-06-12 08:42:37.000,0.2.63,135.0,yfinance,ranaroussi/yfinance,,,,85181.0,84161.0,https://pypi.org/project/yfinance,2025-06-12 08:42:57.000,1020.0,3885279.0,3887367.0,https://anaconda.org/ranaroussi/yfinance,2025-03-25 16:27:42.706,98157.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-06-11 10:18:41.000000,2025-06-11 10:18:41,1841.0,75.0,2574.0,144.0,717.0,1248.0,1159.0,16891.0,State-of-the-Art Text Embeddings.,226.0,43,True,2025-04-15 13:47:13.000,4.1.0,65.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],121383.0,118999.0,https://pypi.org/project/sentence-transformers,2025-04-15 13:46:12.000,2384.0,9946441.0,9959502.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-22 14:57:36.121,744497.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-04-22 14:56:26.328000,2025-01-26 16:55:13,3242.0,,1998.0,257.0,1142.0,177.0,2463.0,13198.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,702659.0,691816.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,10843.0,24162329.0,24381678.0,https://anaconda.org/conda-forge/seaborn,2025-04-22 14:56:26.328,13160813.0,,,,,1.0,480.0,1.0,,,,,,,,,,,,,,,,,,
