,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-10-06 14:46:58.000000,2022-10-05 19:13:58,28837.0,601.0,4427,338.0,8629.0,1712.0,7109.0,10310,"Ecosystem of open-source software for mathematics, science, and engineering.",1364.0,49,True,2022-08-27 02:03:18.000,1.9.1,83.0,scipy,conda-forge/scipy,,357537.0,46131645.0,631587.0,573360.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,45762109.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,28137907.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-10-06 14:38:36.000000,2022-10-03 17:32:20,13753.0,273.0,1886,214.0,3921.0,121.0,2530.0,10187,The friendly PIL fork (Python Imaging Library).,411.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,46971091.0,923869.0,860714.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,46723434.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,19317263.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-10-06 11:53:04.000000,2022-10-06 08:54:33,52159.0,694.0,3744,282.0,11829.0,4524.0,8125.0,9663,A computer algebra system written in pure Python.,1177.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,466805.0,2829450.0,50859.0,46649.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2793376.0,https://anaconda.org/conda-forge/sympy,2022-09-30 23:50:08.948,2453960.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-10-06 10:56:07.000000,2022-10-06 03:04:37,7427.0,300.0,19175,1937.0,5600.0,334.0,11233.0,56326,Deep Learning for humans.,1114.0,45,True,2022-09-02 21:31:44.000,2.10.0,68.0,keras,conda-forge/keras,['tensorflow'],,9873997.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9838918.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2595859.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-10-06 13:41:18.000000,2022-10-04 09:23:04,15621.0,81.0,3946,553.0,3340.0,95.0,5155.0,24328,Industrial-strength Natural Language Processing (NLP) in Python.,701.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,3146.0,4873186.0,46277.0,43902.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4832033.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2795532.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-10-06 14:40:02.000000,2022-10-06 14:33:46,5965.0,122.0,8452,928.0,3754.0,311.0,4271.0,23249,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",578.0,44,True,2022-08-23 13:05:54.000,1.6.2,65.0,xgboost,conda-forge/xgboost,,5201.0,8352541.0,38118.0,36748.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8305461.0,https://anaconda.org/conda-forge/xgboost,2022-09-01 17:07:10.599,3151075.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-10-06 15:09:11.000000,2022-10-06 15:09:11,14480.0,1202.0,3910,426.0,17316.0,2779.0,8984.0,22239,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,766.0,44,True,2022-08-23 04:57:08.000,ray-2.0.0,76.0,ray,conda-forge/ray-tune,,,1991050.0,6290.0,6011.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1988130.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,64251.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-10-06 10:01:00.000000,2022-10-06 00:23:30,13289.0,1082.0,1887,286.0,7729.0,1129.0,2657.0,20467,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",457.0,44,True,2022-10-03 17:32:31.349,0.3.21,128.0,jax,conda-forge/jaxlib,,,608286.0,5974.0,5652.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,596610.0,https://anaconda.org/conda-forge/jaxlib,2022-09-30 09:19:55.364,455370.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-10-05 14:27:25.000000,2022-10-04 07:04:07,14370.0,57.0,2635,471.0,1382.0,225.0,1430.0,11098,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11464110.0,169431.0,157472.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11443755.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1506327.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-10-06 06:20:17.000000,2022-10-05 12:01:54,13290.0,56.0,2042,188.0,3852.0,637.0,1880.0,5070,Image processing in Python.,574.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,5090857.0,123478.0,114112.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,5038644.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,4020431.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-10-06 14:10:02.000000,2022-10-06 14:01:28,34284.0,720.0,26119,2074.0,38107.0,259.0,,34030,Apache Spark Python API.,2738.0,43,True,2022-07-15 14:55:05.769,3.2.2,31.0,pyspark,conda-forge/pyspark,['spark'],,26631040.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,26600806.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,2025717.0,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-10-06 12:33:04.000000,2022-10-06 12:33:04,7041.0,64.0,2724,278.0,2874.0,350.0,2643.0,11648,Network Analysis in Python.,616.0,43,True,2022-10-01 20:50:01.000,networkx-2.8.7,81.0,networkx,conda-forge/networkx,,60.0,18275701.0,133199.0,119735.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,18160320.0,https://anaconda.org/conda-forge/networkx,2022-10-01 23:32:58.825,8307467.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-10-06 01:13:56.000000,2022-10-05 15:07:20,7382.0,119.0,1536,220.0,4866.0,796.0,3792.0,10366,Parallel computing with task scheduling.,561.0,43,True,2022-09-30 18:57:47.467,2022.9.2,153.0,dask,conda-forge/dask,,,5910822.0,43025.0,40358.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,5822940.0,https://anaconda.org/conda-forge/dask,2022-10-01 02:48:44.071,6766976.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-10-05 23:43:41.000000,2022-10-05 18:48:08,5204.0,113.0,1537,191.0,4261.0,596.0,1140.0,5994,TensorFlows Visualization Toolkit.,288.0,43,True,2022-09-26 15:17:13.755,2.10.1,44.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,17492663.0,128093.0,125673.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,17436243.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3328831.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-06 11:28:03.000000,2022-10-04 16:38:12,1754.0,75.0,8009,995.0,1429.0,33.0,1659.0,28730,A toolkit for developing and comparing reinforcement learning algorithms.,383.0,42,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,1098070.0,35147.0,32676.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,1093100.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,149116.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-10-06 12:54:37.000000,2022-10-03 08:05:37,37815.0,1410.0,4722,736.0,31252.0,2985.0,13376.0,18966,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,829.0,42,True,2022-08-17 11:15:01.081,2.3.2,57.0,paddlepaddle,,['paddle'],15321.0,68791.0,193.0,143.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,68584.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-05 19:05:09.000000,2022-10-05 19:05:09,19769.0,181.0,3985,451.0,5337.0,684.0,6338.0,16752,"Interactive Data Visualization in the browser, from Python.",619.0,42,True,2022-05-18 19:00:14.000,2.4.3,137.0,bokeh,conda-forge/bokeh,,,3425594.0,3708.0,155.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3293344.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8728544.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-10-06 14:52:25.000000,2022-10-06 14:19:22,3061.0,235.0,6243,380.0,4155.0,783.0,1933.0,12513,"Datasets, Transforms and Models specific to Computer Vision.",506.0,42,True,2022-08-05 20:19:15.000,0.13.1,32.0,torchvision,conda-forge/torchvision,['pytorch'],12941.0,5883362.0,3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,5876671.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,376767.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-10-06 11:35:31.000000,2022-08-11 14:39:59,5599.0,63.0,2191,274.0,1405.0,1225.0,1218.0,12213,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-08-11 14:41:24.000,5.10.0,283.0,plotly,conda-forge/plotly,,,7772344.0,4158.0,12.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7684604.0,https://anaconda.org/conda-forge/plotly,2022-08-14 12:44:46.659,3205429.0,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,44424.0,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-10-05 12:28:19.730000,2022-10-05 12:25:50,4225.0,65.0,1849,1735.0,3992.0,169.0,2358.0,10245,WebGL2 powered visualization framework.,206.0,42,True,2022-10-04 10:17:58.385,8.8.12,556.0,pydeck,conda-forge/pydeck,['jupyter'],,1254968.0,5144.0,4707.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,908967.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,199383.0,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-10-05 12:28:19.730,413.0,339771.0,,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-10-05 11:39:16.000000,2022-10-04 23:46:17,3049.0,80.0,1641,247.0,909.0,112.0,2040.0,9872,Statistical data visualization in Python.,175.0,42,True,2022-09-06 03:06:52.511,0.12.0,31.0,seaborn,conda-forge/seaborn,,235.0,9228656.0,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,9163421.0,https://anaconda.org/conda-forge/seaborn,2022-09-06 19:11:47.177,4827268.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-09-30 18:28:49.000000,2022-09-26 18:06:15,14715.0,48.0,2431,271.0,3604.0,2266.0,2558.0,7794,Statsmodels: statistical modeling and econometrics in Python.,386.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,9362105.0,75165.0,70652.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,9264790.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7395968.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-10-06 14:39:31.000000,2022-09-15 23:39:32,3092.0,72.0,3611,452.0,2710.0,229.0,2595.0,14236,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",270.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,165494.0,7395288.0,16208.0,15565.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,7373059.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1242528.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-10-06 15:20:06.000000,2022-10-05 18:25:45,2071.0,80.0,3039,429.0,2388.0,315.0,1836.0,13359,Open standard for machine learning interoperability.,255.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17987.0,1732582.0,8961.0,8568.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1723282.0,https://anaconda.org/conda-forge/onnx,2022-09-26 01:58:13.778,531101.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-10-06 14:18:05.000000,2022-10-06 02:58:50,3255.0,355.0,2966,282.0,4400.0,982.0,1675.0,12756,Open source platform for the machine learning lifecycle.,492.0,41,True,2022-09-20 06:34:57.823,1.29.0,62.0,mlflow,conda-forge/mlflow,,,13861772.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,13840042.0,https://anaconda.org/conda-forge/mlflow,2022-09-20 12:50:43.646,912699.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-10-06 03:26:48.000000,2022-10-06 03:26:47,2555.0,132.0,7296,608.0,2129.0,118.0,1560.0,22843,The fastai deep learning library.,613.0,40,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,['pytorch'],,258591.0,11502.0,11201.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,258591.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-10-06 14:19:45.000000,2022-10-05 23:56:32,4998.0,228.0,1873,275.0,2672.0,540.0,2209.0,20856,Streamlit The fastest way to build data apps in Python.,154.0,40,True,2022-09-22 17:20:10.762,1.13.0,182.0,streamlit,,,,918822.0,843.0,422.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,918822.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-10-06 14:40:24.000000,2022-10-06 10:31:49,7812.0,679.0,2605,225.0,7229.0,651.0,4943.0,20212,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",774.0,40,True,2022-09-22 16:03:10.027,1.7.7,221.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],8594.0,2856825.0,485.0,89.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,396.0,2836483.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-09-23 22:18:39.548,562729.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-10-06 13:47:42.000000,2022-09-23 13:57:16,6420.0,154.0,1770,408.0,816.0,677.0,701.0,17438,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",126.0,40,True,2022-09-23 14:50:19.000,2.6.2,154.0,dash,conda-forge/dash,,,1211274.0,36904.0,35687.0,https://pypi.org/project/dash,2022-06-13 18:17:06.000,1217.0,1199092.0,https://anaconda.org/conda-forge/dash,2022-09-24 00:38:13.848,645685.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
