,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,updated_github_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-05-12 12:04:45.000000,2022-05-11 17:37:58,27811.0,480.0,4146,330.0,8001.0,1799.0,6724.0,9573,"Ecosystem of open-source software for mathematics, science, and engineering.",1269.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,563419.0,506583.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56836.0,42698035.0,43018768.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,22788739.0,,,,,1.0,346295.0,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-05-12 11:20:18.000000,2022-05-09 17:30:24,11925.0,96.0,4272,475.0,2598.0,551.0,4187.0,19311,Asynchronous task queue/job queue based on distributed message passing.,1210.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,84142.0,69282.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14860.0,4872138.0,4883381.0,https://anaconda.org/conda-forge/celery,2022-04-27 14:43:42.320,832008.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-05-12 14:02:12.000000,2022-05-12 13:26:04,16104.0,1083.0,10523,739.0,16609.0,944.0,4654.0,26193,"Platform to programmatically author, schedule, and monitor workflows.",2393.0,45,True,2022-05-01 00:37:18.000,2.3.0,110.0,apache-airflow,conda-forge/airflow,apache/airflow,,,467.0,,https://pypi.org/project/apache-airflow,2022-04-30 22:05:37.000,467.0,5830873.0,6683936.0,https://anaconda.org/conda-forge/airflow,2022-05-02 02:18:11.941,598913.0,https://hub.docker.com/r/apache/airflow,2022-05-08 22:26:51.004048,336.0,71359703.0,1.0,288126.0,stable/airflow,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-05-12 11:23:04.000000,2022-05-12 11:23:04,13227.0,558.0,1824,211.0,3750.0,110.0,2391.0,9753,The friendly PIL fork (Python Imaging Library).,396.0,45,True,2022-04-01 14:40:43.000,9.1.0,87.0,Pillow,conda-forge/pillow,,,,62658.0,,https://pypi.org/project/Pillow,2022-04-01 14:37:06.000,62658.0,42118223.0,42319096.0,https://anaconda.org/conda-forge/pillow,2022-04-13 03:19:38.560,14663789.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-05-12 14:07:33.000000,2022-05-11 23:39:44,6915.0,431.0,19084,1956.0,5228.0,324.0,11023.0,55166,Deep Learning for humans.,1062.0,44,True,2022-02-03 05:13:44.000,2.8.0,64.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],288.0,,https://pypi.org/project/keras,2022-04-22 17:58:51.000,288.0,9113993.0,9146342.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2232082.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-05-12 11:18:13.000000,2022-05-12 10:23:52,15424.0,125.0,3827,556.0,3075.0,101.0,5020.0,23323,Industrial-strength Natural Language Processing (NLP) in Python.,679.0,44,True,2022-04-29 07:49:22.000,3.3.0,194.0,spacy,conda-forge/spacy,,,,41013.0,38686.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2327.0,4960229.0,5001997.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2628527.0,,,,,1.0,3139.0,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-05-12 11:51:09.000000,2022-05-11 18:44:03,5767.0,114.0,8373,933.0,3504.0,273.0,4146.0,22602,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",559.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,31938.0,30602.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1336.0,8371070.0,8413098.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2603194.0,,,,,1.0,4085.0,,,,,,,,,,,,,,,,,,,,
17,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-10 03:57:57.000000,2022-05-09 16:05:53,14282.0,41.0,2572,472.0,1356.0,222.0,1397.0,10720,Suite of libraries and programs for symbolic and statistical natural language processing for English.,420.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,153138.0,141318.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13138931.0,13156755.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1229916.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-05-12 14:28:26.000000,2022-05-11 18:10:11,7178.0,193.0,1479,225.0,4625.0,731.0,3625.0,9855,Parallel computing with task scheduling.,530.0,44,True,2022-05-02 18:26:37.000,2022.5.0,142.0,dask,conda-forge/dask,,,,39152.0,36536.0,https://pypi.org/project/dask,2022-05-02 18:26:37.000,2616.0,5801907.0,5878306.0,https://anaconda.org/conda-forge/dask,2022-05-02 23:00:13.029,5500796.0,,,,,1.0,,stable/dask,1.0,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-05-12 03:34:22.000000,2022-05-10 22:30:47,50897.0,630.0,3654,290.0,11509.0,4450.0,7923.0,9185,A computer algebra system written in pure Python.,1143.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,46090.0,41958.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1720200.0,1752612.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2026733.0,,,,,1.0,451941.0,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-05-12 03:16:15.000000,2022-05-10 07:10:19,13201.0,109.0,1994,185.0,3741.0,623.0,1824.0,4893,Image processing in Python.,554.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,111465.0,102224.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9241.0,6715751.0,6762886.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3393740.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-05-12 14:43:02.000000,2022-05-12 14:12:42,12463.0,1191.0,3537,424.0,14516.0,2307.0,7892.0,20377,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",683.0,43,True,2022-05-10 20:48:58.000,ray-1.11.1,71.0,ray,conda-forge/ray-tune,,,,4983.0,4714.0,https://pypi.org/project/ray,2022-04-29 21:08:42.000,269.0,1021850.0,1023448.0,https://anaconda.org/conda-forge/ray-tune,2022-04-07 20:54:56.642,27176.0,,,,,1.0,,,-1.0,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-05-12 13:35:20.000000,2022-05-11 23:27:58,11529.0,1049.0,1601,266.0,6459.0,1097.0,2232.0,17425,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",394.0,43,True,2022-05-05 03:25:41.000,0.3.10,117.0,jax,conda-forge/jaxlib,,,,4583.0,4286.0,https://pypi.org/project/jax,2022-05-05 03:25:41.000,297.0,427447.0,436500.0,https://anaconda.org/conda-forge/jaxlib,2022-04-10 09:48:43.977,307812.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-05-12 13:34:00.000000,2022-05-10 18:12:28,19544.0,57.0,3929,459.0,5148.0,705.0,6199.0,16275,"Interactive Data Visualization in the browser, from Python.",603.0,43,True,2021-11-22 17:49:14.000,2.4.2,120.0,bokeh,conda-forge/bokeh,,,,54401.0,50872.0,https://pypi.org/project/bokeh,2022-04-27 03:15:18.000,3529.0,3938880.0,4056582.0,https://anaconda.org/conda-forge/bokeh,2022-04-13 06:00:47.827,7179859.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-05-12 12:49:09.000000,2022-05-12 04:32:29,6818.0,128.0,2581,275.0,2634.0,363.0,2519.0,10717,Network Analysis in Python.,591.0,43,True,2022-04-09 22:35:15.000,networkx-2.8,74.0,networkx,conda-forge/networkx,,,,120004.0,106750.0,https://pypi.org/project/networkx,2022-04-09 22:38:56.000,13254.0,18640786.0,18734608.0,https://anaconda.org/conda-forge/networkx,2022-04-10 05:15:19.223,6286104.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-05-12 09:45:32.000000,2022-05-12 09:45:32,14584.0,98.0,2431,262.0,3556.0,2266.0,2519.0,7358,Statsmodels: statistical modeling and econometrics in Python.,372.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,67278.0,62765.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,9024652.0,9109935.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6055125.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-05-11 22:55:47.000000,2022-05-09 19:12:04,5032.0,85.0,1494,193.0,4057.0,557.0,1116.0,5856,TensorFlows Visualization Toolkit.,278.0,43,True,2022-04-29 19:39:04.000,2.9.0,41.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],109414.0,107052.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2362.0,14430133.0,14483829.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2899628.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-05-12 12:36:53.000000,2022-05-12 06:22:21,33116.0,773.0,25565,2077.0,36499.0,212.0,,32814,Apache Spark Python API.,2667.0,42,True,2022-02-18 23:01:24.000,3.1.3,29.0,pyspark,conda-forge/pyspark,,,['spark'],811.0,,https://pypi.org/project/pyspark,2022-02-18 23:01:24.000,811.0,20240035.0,20265922.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1605046.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,,
28,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-05-12 14:09:04.000000,2022-05-12 13:33:48,1600.0,98.0,7789,995.0,1248.0,108.0,1469.0,27516,A toolkit for developing and comparing reinforcement learning algorithms.,357.0,42,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,31577.0,29139.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2438.0,561232.0,565417.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,104636.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-05-12 13:51:35.000000,2022-05-12 13:36:28,6950.0,426.0,2330,220.0,6160.0,478.0,4531.0,18369,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",675.0,42,True,2022-05-03 20:36:12.000,1.6.3,209.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9154.0,8795.0,https://pypi.org/project/pytorch-lightning,2022-05-03 20:47:46.000,359.0,3141637.0,3160689.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-05-04 00:29:27.477,433790.0,,,,,2.0,6555.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-05-12 04:20:12.000000,2022-05-11 19:36:41,2958.0,100.0,3459,449.0,2547.0,180.0,2473.0,13776,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,13548.0,12972.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,7014792.0,7034403.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,995865.0,,,,,2.0,148908.0,,,,,,,,,,,,,,,,,,,,
31,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-06 00:53:28.000000,2022-05-06 00:53:28,4383.0,76.0,4210,432.0,1605.0,374.0,1388.0,13167,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,35892.0,33014.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,5601823.0,5615994.0,https://anaconda.org/conda-forge/gensim,2022-05-02 02:02:36.733,791070.0,,,,,1.0,3523.0,,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-05-12 13:35:49.000000,2022-05-12 12:43:24,2719.0,259.0,5899,364.0,3681.0,705.0,1759.0,11592,"Datasets, Transforms and Models specific to Computer Vision.",484.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,4143743.0,4148190.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,231453.0,,,,,1.0,4905.0,,,,,,,,,,,,,,,,,,,,
33,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-05-11 18:45:56.000000,2022-05-11 01:37:53,5477.0,92.0,2143,271.0,1346.0,1153.0,1192.0,11477,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-05-11 01:36:25.000,5.8.0,279.0,plotly,conda-forge/plotly,,,,4055.0,9.0,https://pypi.org/project/plotly,2022-05-11 01:30:01.000,4042.0,7335146.0,7414794.0,https://anaconda.org/conda-forge/plotly,2022-05-11 04:58:57.208,2503419.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,43367.0,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-05-11 21:02:08.000000,2022-05-11 21:01:56,4037.0,94.0,1775,1743.0,3810.0,151.0,2273.0,9794,WebGL2 powered visualization framework.,193.0,42,True,2022-05-11 16:51:39.063,8.7.9,529.0,pydeck,conda-forge/pydeck,,,['jupyter'],4437.0,4029.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,23.0,975388.0,1270078.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,97506.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-05-11 16:51:39.063,385.0,291079.0,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-05-11 02:29:30.000000,2022-05-11 02:29:01,2825.0,11.0,1588,249.0,782.0,120.0,1906.0,9399,Statistical data visualization in Python.,167.0,42,True,2021-08-16 00:42:18.000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,165181.0,156339.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,8483313.0,8537796.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3759224.0,,,,,1.0,218.0,,1.0,,,,,,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-05-12 14:06:24.000000,2022-05-12 11:28:58,35679.0,1796.0,4496,729.0,27990.0,2904.0,12569.0,18160,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,730.0,41,True,2022-05-09 06:15:03.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],158.0,110.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,77499.0,77720.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-05-11 22:24:07.000000,2022-05-11 22:24:06,1944.0,48.0,2675,429.0,2204.0,276.0,1701.0,12476,Open standard for machine learning interoperability.,232.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,7079.0,6713.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,366.0,1015318.0,1023020.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,398692.0,,,,,1.0,17572.0,,,,,,,,,,,,,,,,,,,,
