,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-04-25 14:55:01.000000,2024-04-25 14:03:35,21414.0,917.0,5244.0,472.0,27304.0,3644.0,14181.0,31085.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1002.0,45,True,2024-04-17 23:31:04.000,ray-2.11.0,101.0,ray,conda-forge/ray-tune,,,,15512.0,15009.0,https://pypi.org/project/ray,2024-04-17 21:02:43.000,503.0,4114443.0,4119492.0,https://anaconda.org/conda-forge/ray-tune,2024-04-19 07:36:07.387,201910.0,,,,,1.0,211.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-04-25 13:58:31.000000,2024-04-25 13:58:27,20390.0,1261.0,2522.0,321.0,13243.0,1667.0,3829.0,27946.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",682.0,45,True,2024-04-03 22:09:19.000,jax-v0.4.26,160.0,jax,conda-forge/jaxlib,,,,25321.0,24397.0,https://pypi.org/project/jax,2024-04-03 21:45:34.000,924.0,5887821.0,5912308.0,https://anaconda.org/conda-forge/jaxlib,2024-04-07 22:22:00.984,1126427.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-04-25 14:06:10.000000,2024-04-24 20:35:52,6817.0,82.0,8652.0,912.0,5088.0,434.0,4753.0,25568.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",640.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,90542.0,88643.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1899.0,18889029.0,18993280.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4688225.0,,,,,1.0,8467.0,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-04-25 14:01:45.000000,2024-04-25 12:19:44,48049.0,1780.0,5428.0,721.0,45730.0,1929.0,16973.0,21616.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1193.0,45,True,2024-04-09 11:19:43.000,2.6.1,67.0,paddlepaddle,,,,['paddle'],5084.0,4978.0,https://pypi.org/project/paddlepaddle,2024-03-19 06:55:39.000,106.0,267405.0,267572.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-25 14:29:00.000000,2024-04-22 21:44:20,20465.0,92.0,4158.0,442.0,6040.0,759.0,6874.0,18836.0,"Interactive Data Visualization in the browser, from Python.",691.0,45,True,2024-04-11 21:02:24.000,3.4.1,200.0,bokeh,conda-forge/bokeh,,,,90493.0,86636.0,https://pypi.org/project/bokeh,2024-04-11 21:02:24.000,3857.0,5294700.0,5593202.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13731099.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-04-23 19:32:22.000000,2024-04-19 16:08:39,15315.0,46.0,2821.0,281.0,3876.0,2763.0,2751.0,9544.0,Statsmodels: statistical modeling and econometrics in Python.,426.0,45,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,,127300.0,121563.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,5737.0,17616116.0,17894290.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12796006.0,,,,,1.0,31.0,,1.0,,,,,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-04-25 15:36:21.000000,2024-04-25 07:13:01,6539.0,368.0,2121.0,155.0,3645.0,511.0,3620.0,28798.0,"Wrap UIs around any model, share with anyone.",302.0,44,True,2024-04-18 18:19:38.000,4.27.0,557.0,gradio,,,,,28695.0,28324.0,https://pypi.org/project/gradio,2024-04-18 18:19:38.000,371.0,5898663.0,5898663.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-04-23 07:21:23.000000,2024-04-16 10:00:22,16124.0,17.0,4283.0,554.0,3990.0,107.0,5493.0,28736.0,Industrial-strength Natural Language Processing (NLP) in Python.,750.0,44,True,2024-02-15 19:16:59.000,3.7.4,230.0,spacy,conda-forge/spacy,,,,89307.0,86236.0,https://pypi.org/project/spacy,2024-04-22 09:55:45.000,3071.0,8633723.0,8707424.0,https://anaconda.org/conda-forge/spacy,2024-04-04 16:04:13.461,3390260.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-04-24 17:18:21.000000,2024-04-22 17:52:43,10270.0,183.0,3247.0,246.0,10081.0,709.0,6176.0,26884.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",945.0,44,True,2024-04-23 19:06:46.000,2.2.3,270.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],32291.0,31449.0,https://pypi.org/project/pytorch-lightning,2024-04-23 19:06:46.000,842.0,4833000.0,4857190.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-04-12 18:53:30.868,1102964.0,,,,,2.0,7481.0,,-1.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,
26,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-04-25 13:32:38.000000,2024-04-25 08:48:47,5743.0,472.0,3930.0,289.0,8000.0,1428.0,2413.0,17268.0,Open source platform for the machine learning lifecycle.,723.0,44,True,2024-04-17 13:49:52.000,2.12.1,96.0,mlflow,conda-forge/mlflow,,,,34649.0,34056.0,https://pypi.org/project/mlflow,2024-04-17 03:38:20.000,593.0,12613597.0,12654412.0,https://anaconda.org/conda-forge/mlflow,2024-04-19 15:11:57.032,1877510.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-04-24 19:11:58.000000,2024-04-17 15:46:48,6434.0,106.0,2482.0,278.0,1626.0,1499.0,1403.0,15268.0,The interactive graphing library for Python This project now includes Plotly Express!.,261.0,44,True,2024-04-17 15:27:19.000,5.21.0,297.0,plotly,conda-forge/plotly,,,,265371.0,259478.0,https://pypi.org/project/plotly,2024-04-17 15:19:34.000,5886.0,15388916.0,15514755.0,https://anaconda.org/conda-forge/plotly,2024-04-17 19:12:51.910,5612993.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,6414.0,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-04-25 12:36:36.000000,2024-04-25 00:49:47,7679.0,105.0,3127.0,280.0,3751.0,319.0,2986.0,14178.0,Network Analysis in Python.,717.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,,261150.0,245589.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,15561.0,51207972.0,51558026.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,15402396.0,,,,,1.0,67.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-04-25 14:39:04.000000,2024-04-25 14:39:04,8169.0,126.0,1666.0,211.0,5794.0,1049.0,4150.0,11997.0,Parallel computing with task scheduling.,600.0,44,True,2024-04-19 21:09:49.000,2024.4.2,195.0,dask,conda-forge/dask,,,,62663.0,59447.0,https://pypi.org/project/dask,2024-04-19 21:09:49.000,3216.0,7539928.0,7773858.0,https://anaconda.org/conda-forge/dask,2024-04-20 03:30:51.092,10994713.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-04-25 13:30:59.000000,2024-04-25 11:12:45,4853.0,221.0,2030.0,1686.0,4702.0,292.0,2674.0,11695.0,WebGL2 powered visualization framework.,259.0,44,True,2024-04-23 19:13:04.000,9.0.10,650.0,pydeck,conda-forge/pydeck,,,['jupyter'],8048.0,7487.0,https://pypi.org/project/pydeck,2024-04-24 19:27:27.000,61.0,3199172.0,3633945.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,504953.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-04-23 19:12:37.056,500.0,424674.0,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-04-24 22:48:41.000000,2024-04-24 22:48:41,5821.0,76.0,1628.0,193.0,4986.0,664.0,1228.0,6539.0,TensorFlows Visualization Toolkit.,319.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],232397.0,229359.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,3038.0,28258415.0,28358712.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4613676.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-04-21 11:12:35.000000,2024-04-05 12:26:56,2648.0,58.0,3124.0,240.0,856.0,1115.0,1322.0,21618.0,A game theoretic approach to explain the output of any machine learning model.,237.0,43,True,2024-03-08 11:55:08.000,0.45.0,102.0,shap,conda-forge/shap,,,,17466.0,16976.0,https://pypi.org/project/shap,2024-03-08 11:55:08.000,490.0,7657403.0,7723193.0,https://anaconda.org/conda-forge/shap,2024-04-03 17:47:00.611,2631616.0,,,,,1.0,,,,shap/shap,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-04-25 02:04:30.000000,2024-04-23 16:49:48,2717.0,76.0,3599.0,438.0,3191.0,315.0,2406.0,16841.0,Open standard for machine learning interoperability.,313.0,43,True,2024-03-25 15:40:18.000,1.16.0,32.0,onnx,conda-forge/onnx,,,,27490.0,26743.0,https://pypi.org/project/onnx,2024-03-25 15:25:07.000,747.0,5382176.0,5403406.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,964630.0,,,,,1.0,20338.0,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-04-25 09:27:08.000000,2024-04-23 13:09:13,3457.0,43.0,3795.0,437.0,3120.0,345.0,2960.0,16049.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",300.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,32935.0,32059.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,7563334.0,7618561.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2262013.0,,,,,2.0,220345.0,,1.0,,,,,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-04-25 14:36:50.000000,2024-04-25 14:36:49,3234.0,5.0,1856.0,259.0,1103.0,150.0,2365.0,11957.0,Statistical data visualization in Python.,212.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,408178.0,396015.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,12163.0,17524352.0,17709325.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8508625.0,,,,,1.0,384.0,,,,,,,,,,,,,,,,,,,
36,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-04-25 15:49:50.000000,2024-04-25 15:17:14,2135.0,488.0,1262.0,178.0,2467.0,514.0,669.0,10979.0,Development repository for the Triton language and compiler.,248.0,43,True,2024-04-05 02:47:42.000,2.3.0,193.0,triton,,,,,23545.0,23434.0,https://pypi.org/project/triton,2024-04-05 02:47:42.000,111.0,10667461.0,10667461.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-04-24 20:38:10.000000,2024-04-22 15:43:08,7425.0,313.0,1985.0,417.0,1056.0,832.0,903.0,20490.0,Data Apps & Dashboards for Python. No JavaScript Required.,153.0,42,True,2024-03-06 20:00:34.000,2.16.1,177.0,dash,conda-forge/dash,,,,63419.0,61898.0,https://pypi.org/project/dash,2024-03-06 19:54:50.000,1521.0,2831703.0,2858955.0,https://anaconda.org/conda-forge/dash,2024-03-10 12:59:07.948,1253582.0,,,,,1.0,70.0,,,,,,,,,,,,,,,,,,,
