,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-09-11 22:28:51.000000,2024-09-11 22:28:51,33378.0,638.0,5121.0,347.0,11258.0,1808.0,8775.0,12893.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1681.0,50,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,411939.0,119356058.0,1133739.0,1088921.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,44818.0,118218736.0,https://anaconda.org/conda-forge/scipy,2024-09-09 09:00:52.252,52144621.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-09-12 00:13:03.000000,2024-09-12 00:13:03,58860.0,756.0,4370.0,292.0,13378.0,5124.0,8853.0,12766.0,A computer algebra system written in pure Python.,1325.0,49,True,2024-08-11 16:59:00.000,1.13.2,63.0,sympy,conda-forge/sympy,,,547366.0,30877309.0,171897.0,168480.0,https://pypi.org/project/sympy,2024-08-11 16:58:39.000,3417.0,30747568.0,https://anaconda.org/conda-forge/sympy,2024-08-12 22:08:15.340,6534198.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-09-11 22:29:47.000000,2024-09-11 22:29:41,10939.0,199.0,19415.0,1911.0,7437.0,239.0,11879.0,61590.0,Deep Learning for humans.,1329.0,48,True,2024-08-12 20:42:48.000,3.5.0,102.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,14051217.0,1541.0,,https://pypi.org/project/keras,2024-08-12 20:42:48.000,1541.0,13978804.0,https://anaconda.org/conda-forge/keras,2024-08-17 19:28:53.337,3693068.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-09-12 11:57:41.000000,2024-09-12 09:28:44,51014.0,496.0,7554.0,594.0,18324.0,1600.0,9248.0,19959.0,matplotlib: plotting with Python.,1720.0,48,True,2024-08-13 01:44:21.000,3.9.2,127.0,matplotlib,conda-forge/matplotlib,,,,72904145.0,1376686.0,1327914.0,https://pypi.org/project/matplotlib,2024-08-13 01:44:21.000,48772.0,72398630.0,https://anaconda.org/conda-forge/matplotlib,2024-08-22 20:32:53.714,25781280.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-09-12 11:47:49.000000,2024-09-12 11:47:49,18457.0,469.0,2210.0,220.0,5045.0,134.0,3068.0,12087.0,Python Imaging Library (Fork).,477.0,48,True,2024-07-01 09:51:39.000,10.4.0,98.0,Pillow,conda-forge/pillow,,,,115569948.0,1827281.0,1819599.0,https://pypi.org/project/Pillow,2024-07-01 09:45:22.000,7682.0,114690050.0,https://anaconda.org/conda-forge/pillow,2024-09-11 18:35:06.338,43994904.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-09-12 14:38:03.000000,2024-09-11 21:36:59,6626.0,212.0,2992.0,319.0,4850.0,926.0,3592.0,34507.0,Streamlit A faster way to build and share data apps.,241.0,46,True,2024-08-27 18:46:56.000,1.38.0,226.0,streamlit,,,,,5758032.0,506502.0,503826.0,https://pypi.org/project/streamlit,2024-08-27 18:46:49.000,2676.0,5758032.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-09-12 14:23:17.000000,2024-09-12 14:11:36,22931.0,1584.0,2722.0,326.0,15286.0,1687.0,4174.0,29793.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",746.0,46,True,2024-09-11 20:10:43.000,0.4.32,166.0,jax,conda-forge/jaxlib,,,,3414503.0,31675.0,29861.0,https://pypi.org/project/jax,2024-09-11 20:10:43.000,1814.0,3382350.0,https://anaconda.org/conda-forge/jaxlib,2024-08-31 00:56:55.014,1639847.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-09-12 12:13:05.000000,2024-09-12 12:13:04,50888.0,1988.0,5539.0,718.0,49684.0,1773.0,17323.0,22068.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1270.0,46,True,2024-06-27 10:00:34.000,3.0.0-beta0,69.0,paddlepaddle,,,['paddle'],15389.0,620795.0,6029.0,5869.0,https://pypi.org/project/paddlepaddle,2024-07-08 06:22:25.000,160.0,620637.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-09-12 06:51:25.000000,2024-09-12 03:39:21,22618.0,726.0,5571.0,474.0,28945.0,3963.0,14886.0,33007.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1068.0,45,True,2024-08-28 00:11:51.000,ray-2.35.0,114.0,ray,conda-forge/ray-tune,,,235.0,4511164.0,18452.0,17689.0,https://pypi.org/project/ray,2024-08-27 22:09:04.000,763.0,4502341.0,https://anaconda.org/conda-forge/ray-tune,2024-08-29 18:04:13.302,396958.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-09-11 07:55:08.000000,2024-09-11 07:54:19,7084.0,180.0,8699.0,910.0,5536.0,463.0,4887.0,26093.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",649.0,45,True,2024-07-31 08:14:26.000,2.1.1,83.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10706.0,20830976.0,108787.0,106842.0,https://pypi.org/project/xgboost,2024-07-31 08:14:26.000,1945.0,20726219.0,https://anaconda.org/conda-forge/xgboost,2024-08-28 02:29:22.781,5233692.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-09-12 11:05:26.000000,2024-09-12 10:04:09,20586.0,61.0,4176.0,443.0,6154.0,760.0,6972.0,19214.0,"Interactive Data Visualization in the browser, from Python.",698.0,45,True,2024-08-23 08:14:02.000,3.5.2,214.0,bokeh,conda-forge/bokeh,,,,4571770.0,93748.0,92039.0,https://pypi.org/project/bokeh,2024-08-23 08:14:02.000,1709.0,4280479.0,https://anaconda.org/conda-forge/bokeh,2024-08-23 12:55:11.815,14855848.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-04 01:00:39.000000,2024-09-04 01:00:39,14678.0,145.0,2856.0,463.0,1487.0,273.0,1548.0,13417.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,22908186.0,308556.0,303958.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4598.0,22842568.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2755997.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-09-12 11:32:29.000000,2024-09-12 11:32:29,15483.0,77.0,2865.0,283.0,3916.0,2828.0,2783.0,9976.0,Statsmodels: statistical modeling and econometrics in Python.,434.0,45,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,33.0,16406147.0,139581.0,135227.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,4354.0,16115598.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,14818049.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-09-12 14:17:32.000000,2024-09-12 14:17:28,42155.0,853.0,28177.0,2023.0,48058.0,215.0,,39276.0,Apache Spark Python API.,3119.0,44,True,2024-08-12 14:57:56.000,3.5.2,46.0,pyspark,conda-forge/pyspark,,['spark'],,30241764.0,1513.0,,https://pypi.org/project/pyspark,2024-08-12 14:57:56.000,1513.0,30175150.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3397362.0,2.0,,,,,,stable/spark,,,,,,,,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-09-12 15:20:42.000000,2024-09-10 21:38:52,7011.0,288.0,2393.0,170.0,4236.0,556.0,4185.0,32104.0,"Wrap UIs around any model, share with anyone.",377.0,44,True,2024-09-10 21:46:23.000,4.44.0,586.0,gradio,,,,,6286199.0,41076.0,40323.0,https://pypi.org/project/gradio,2024-09-10 21:46:23.000,753.0,6286199.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
25,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-09-11 21:46:54.000000,2024-09-10 12:29:03,16154.0,22.0,4355.0,560.0,4012.0,135.0,5511.0,29639.0,Industrial-strength Natural Language Processing (NLP) in Python.,757.0,44,True,2024-09-11 21:46:54.000,3.8.0,235.0,spacy,conda-forge/spacy,,,218.0,12272345.0,101016.0,98391.0,https://pypi.org/project/spacy,2024-09-11 21:46:54.000,2625.0,12193193.0,https://anaconda.org/conda-forge/spacy,2024-07-29 11:52:18.238,4036695.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-09-09 05:49:51.000000,2024-09-08 14:38:06,10416.0,87.0,3341.0,247.0,10264.0,762.0,6295.0,27946.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",969.0,44,True,2024-08-07 09:46:38.000,2.4.0,277.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],8379.0,6487702.0,37742.0,36318.0,https://pypi.org/project/pytorch-lightning,2024-08-07 09:46:38.000,1424.0,6462572.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1270733.0,2.0,,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-09-12 14:05:56.000000,2024-09-12 14:05:55,6456.0,381.0,4131.0,297.0,9007.0,1587.0,2561.0,18317.0,Open source platform for the machine learning lifecycle.,769.0,44,True,2024-08-30 22:00:41.000,2.16.0,111.0,mlflow,conda-forge/mlflow,,,,14022605.0,42812.0,41956.0,https://pypi.org/project/mlflow,2024-08-30 08:49:56.000,856.0,13977106.0,https://anaconda.org/conda-forge/mlflow,2024-09-04 14:05:24.643,2320464.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-09-12 14:09:02.000000,2024-09-09 20:42:45,6659.0,134.0,2535.0,273.0,1700.0,530.0,2438.0,15994.0,The interactive graphing library for Python This project now includes Plotly Express!.,266.0,44,True,2024-08-29 17:58:45.000,5.24.0,300.0,plotly,conda-forge/plotly,,,,18341463.0,307530.0,301355.0,https://pypi.org/project/plotly,2024-08-29 17:54:43.000,6166.0,18202858.0,https://anaconda.org/conda-forge/plotly,2024-08-30 03:08:35.026,6903501.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,5846.0,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-09-08 18:22:37.000000,2024-09-08 18:22:37,7782.0,82.0,3202.0,279.0,3868.0,347.0,3021.0,14716.0,Network Analysis in Python.,746.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,73.0,66637758.0,300496.0,291234.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,9262.0,66279037.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17577335.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-09-12 14:31:57.000000,2024-09-10 00:10:27,8314.0,97.0,1693.0,212.0,5956.0,1090.0,4246.0,12393.0,Parallel computing with task scheduling.,608.0,44,True,2024-08-30 20:43:20.000,2024.8.2,206.0,dask,conda-forge/dask,,,,10709223.0,66624.0,64299.0,https://pypi.org/project/dask,2024-08-30 20:43:20.000,2325.0,10481289.0,https://anaconda.org/conda-forge/dask,2024-08-31 00:34:24.911,11852572.0,1.0,,,,,,stable/dask,,,,,,,,,,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-09-12 08:57:36.000000,2024-09-07 03:06:18,2757.0,75.0,3233.0,240.0,956.0,760.0,1768.0,22483.0,A game theoretic approach to explain the output of any machine learning model.,251.0,43,True,2024-06-27 10:16:34.000,0.46.0,104.0,shap,conda-forge/shap,,,,6483054.0,20794.0,20051.0,https://pypi.org/project/shap,2024-06-27 10:16:34.000,743.0,6398488.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3805510.0,1.0,,,,,,,,shap/shap,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-09-12 14:42:56.000000,2024-09-12 14:42:52,7662.0,141.0,2041.0,418.0,1118.0,463.0,1340.0,21156.0,Data Apps & Dashboards for Python. No JavaScript Required.,161.0,43,True,2024-09-04 14:31:07.000,2.18.0,180.0,dash,conda-forge/dash,,,76.0,3342913.0,69949.0,68677.0,https://pypi.org/project/dash,2024-09-04 14:26:34.000,1272.0,3314141.0,https://anaconda.org/conda-forge/dash,2024-09-05 04:54:06.311,1467362.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-09-12 10:20:06.000000,2024-09-12 09:20:52,2817.0,71.0,3652.0,440.0,3335.0,333.0,2496.0,17629.0,Open standard for machine learning interoperability.,323.0,43,True,2024-08-01 13:15:32.000,1.16.2,34.0,onnx,conda-forge/onnx,,,21663.0,5638213.0,34062.0,33031.0,https://pypi.org/project/onnx,2024-08-01 13:10:23.000,1031.0,5614071.0,https://anaconda.org/conda-forge/onnx,2024-09-03 14:45:24.706,1217950.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-09-10 21:22:59.000000,2024-09-04 03:30:30,3566.0,78.0,3819.0,433.0,3250.0,367.0,3057.0,16527.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",318.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,234287.0,9868488.0,38224.0,37147.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,9810281.0,https://anaconda.org/conda-forge/lightgbm,2024-08-02 18:29:39.160,2667612.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-09-12 14:22:29.000000,2024-09-12 14:22:26,2678.0,291.0,1506.0,187.0,3174.0,627.0,768.0,12649.0,Development repository for the Triton language and compiler.,321.0,43,True,2024-07-09 07:22:23.000,3.0.0,195.0,triton,,,,,13952363.0,36387.0,36152.0,https://pypi.org/project/triton,2024-07-09 07:22:23.000,235.0,13952363.0,,,,1.0,,,,,,,,triton-lang/triton,,,,,,,,,,,,,,,,
36,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-09-12 15:08:54.000000,2024-09-12 15:08:48,17647.0,4429.0,1396.0,67.0,2474.0,550.0,2585.0,12165.0,"Python SDK, Proxy Server to call 100+ LLM APIs using the OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere,..",332.0,43,True,2024-09-12 15:02:03.000,1.44.25,943.0,litellm,,,others,231.0,1650457.0,3600.0,3209.0,https://pypi.org/project/litellm,2024-09-12 14:49:47.000,391.0,1650342.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-09-09 23:06:03.000000,2024-09-08 15:11:33,4979.0,71.0,2074.0,1679.0,4843.0,341.0,2716.0,12055.0,WebGL2 powered visualization framework.,272.0,43,True,2024-09-04 13:59:16.023,9.0.29,669.0,pydeck,conda-forge/pydeck,,['jupyter'],,5311349.0,8440.0,8036.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,105.0,4709462.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,604902.0,1.0,,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-09-04 13:59:16.023,299.0,590889.0,,,,,,,,,,,
38,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-09-12 12:28:38.000000,2024-09-12 12:28:38,18231.0,476.0,994.0,115.0,3639.0,69.0,1600.0,10509.0,A hyperparameter optimization framework.,271.0,43,True,2024-09-02 05:17:47.000,4.0.0,66.0,optuna,conda-forge/optuna,,,,3550259.0,18310.0,17359.0,https://pypi.org/project/optuna,2024-09-02 05:17:47.000,951.0,3519315.0,https://anaconda.org/conda-forge/optuna,2024-09-03 06:05:16.374,1578190.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
