,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-03-03 14:11:45.000000,2022-03-03 13:17:13,9105.0,706.0,13604,793.0,7089.0,439.0,8420.0,58824,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1165.0,48,True,2022-01-31 16:54:26.000,4.16.2,87.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1433.0,4262655.0,23955.0,23200.0,https://pypi.org/project/transformers,2022-01-31 16:52:49.000,755.0,4259062.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,103195.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-03-03 14:59:05.000000,2022-03-03 11:20:28,11842.0,48.0,4207,475.0,2500.0,517.0,4162.0,18746,Asynchronous task queue/job queue based on distributed message passing.,1184.0,46,True,2021-12-29 05:52:09.000,5.2.3,187.0,celery,conda-forge/celery,,,5497934.0,80376.0,65543.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000,14833.0,5486983.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,788524.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-03-03 14:59:00.000000,2022-03-03 14:46:51,15247.0,979.0,10106,737.0,15612.0,875.0,4263.0,25316,"Platform to programmatically author, schedule, and monitor workflows.",2299.0,45,True,2022-02-22 20:36:03.000,2.2.4,102.0,apache-airflow,conda-forge/airflow,,255280.0,6459059.0,449.0,,https://pypi.org/project/apache-airflow,2022-02-22 19:55:33.000,449.0,5654723.0,https://anaconda.org/conda-forge/airflow,2022-02-28 17:47:50.844,546438.0,1.0,,apache/airflow,stable/airflow,https://hub.docker.com/r/apache/airflow,2022-02-22 21:49:27.873222,319.0,65709814.0,,,,,,,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-03-01 23:43:43.000000,2022-03-01 23:43:42,14228.0,43.0,2562,472.0,1336.0,217.0,1380.0,10511,Suite of libraries and programs for symbolic and statistical natural language processing for English.,413.0,45,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11608553.0,144169.0,132358.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11811.0,11591600.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1135914.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-03-03 12:04:47.000000,2022-03-02 06:51:21,12734.0,381.0,1788,212.0,3649.0,152.0,2317.0,9519,The friendly PIL fork (Python Imaging Library).,386.0,45,True,2022-02-03 03:49:29.000,9.0.1,86.0,Pillow,conda-forge/pillow,,,39302096.0,62222.0,,https://pypi.org/project/Pillow,2022-02-03 03:41:36.000,62222.0,39119204.0,https://anaconda.org/conda-forge/pillow,2022-02-20 02:46:33.099,12985377.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-03-03 14:56:56.000000,2022-03-03 14:56:55,50433.0,981.0,3518,290.0,11369.0,4242.0,7831.0,8913,A computer algebra system written in pure Python.,1125.0,45,True,2021-10-08 23:27:06.000,sympy-1.9,43.0,sympy,conda-forge/sympy,,445457.0,2061474.0,43850.0,39742.0,https://pypi.org/project/sympy,2022-02-26 16:39:04.000,4108.0,2030219.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086,1888066.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-03-03 07:49:55.000000,2022-03-02 21:18:45,6541.0,279.0,18986,1969.0,5004.0,266.0,10880.0,54462,Deep Learning for humans.,1034.0,44,True,2022-02-03 05:13:44.000,2.8.0,61.0,keras,conda-forge/keras,['tensorflow'],,9105376.0,224.0,,https://pypi.org/project/keras,2022-01-31 19:00:05.000,224.0,9074488.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2069540.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-03-02 12:09:56.000000,2022-03-01 08:21:25,15328.0,127.0,3726,564.0,2963.0,100.0,4960.0,22520,Industrial-strength Natural Language Processing (NLP) in Python.,658.0,44,True,2022-03-01 12:13:12.000,3.2.3,192.0,spacy,conda-forge/spacy,,3127.0,4460175.0,37801.0,35544.0,https://pypi.org/project/spacy,2022-02-11 13:10:28.000,2257.0,4418164.0,https://anaconda.org/conda-forge/spacy,2022-02-12 12:08:41.343,2559750.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-03-03 13:36:29.000000,2022-03-03 13:36:29,5688.0,112.0,8315,937.0,3402.0,302.0,4066.0,22266,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",549.0,44,True,2022-01-17 16:17:38.000,1.5.2,61.0,xgboost,conda-forge/xgboost,,3734.0,8182016.0,28892.0,27611.0,https://pypi.org/project/xgboost,2022-01-17 16:17:38.000,1281.0,8142872.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2346377.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-03-03 10:24:51.000000,2022-03-03 10:24:48,19499.0,95.0,3866,460.0,5101.0,703.0,6150.0,16008,"Interactive Data Visualization in the browser, from Python.",599.0,44,True,2021-11-22 17:49:14.000,2.4.2,118.0,bokeh,conda-forge/bokeh,,,4188182.0,49884.0,46401.0,https://pypi.org/project/bokeh,2022-01-27 18:33:32.000,3483.0,4075898.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6624810.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-03-03 12:10:28.000000,2022-03-02 10:23:52,14511.0,222.0,2431,258.0,3520.0,2266.0,2494.0,7155,Statsmodels: statistical modeling and econometrics in Python.,361.0,44,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,7998938.0,63045.0,58532.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7917005.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5653433.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-03-03 08:07:46.000000,2022-03-01 09:55:08,13107.0,107.0,1962,185.0,3685.0,327.0,1989.0,4798,Image processing in Python.,545.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,5020528.0,103892.0,94802.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9090.0,4974847.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3197699.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-03-03 13:51:05.000000,2022-03-03 07:37:03,11495.0,889.0,3315,419.0,13268.0,2332.0,7298.0,19372,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",636.0,43,True,2022-02-04 19:23:01.000,ray-1.10.0,67.0,ray,conda-forge/ray-tune,,,921725.0,4289.0,4049.0,https://pypi.org/project/ray,2022-03-01 22:07:16.000,240.0,920188.0,https://anaconda.org/conda-forge/ray-tune,2022-02-07 13:21:59.855,23066.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-03-03 09:46:00.000000,2022-03-02 01:54:54,6728.0,83.0,2514,274.0,2500.0,330.0,2479.0,10383,Network Analysis in Python.,569.0,43,True,2022-02-28 22:34:59.000,networkx-2.7,72.0,networkx,conda-forge/networkx,,57.0,16286709.0,112715.0,99548.0,https://pypi.org/project/networkx,2022-02-28 22:37:45.000,13167.0,16200093.0,https://anaconda.org/conda-forge/networkx,2022-03-01 00:02:34.670,5630079.0,1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-03-03 10:08:05.000000,2022-03-02 17:44:17,7033.0,167.0,1449,228.0,4475.0,760.0,3484.0,9615,Parallel computing with task scheduling.,515.0,43,True,2022-02-25 17:41:00.000,2022.2.1,137.0,dask,conda-forge/dask,,,6060121.0,36899.0,34329.0,https://pypi.org/project/dask,2022-02-25 17:41:00.000,2570.0,5987765.0,https://anaconda.org/conda-forge/dask,2022-02-25 22:30:56.872,5064945.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
25,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-03-03 14:16:58.000000,2022-03-03 14:16:51,11041.0,563.0,2209,335.0,11824.0,211.0,705.0,9185,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,814.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,55269132.0,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,55256444.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,888205.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-03-03 09:05:05.000000,2022-03-02 16:48:14,4963.0,88.0,1472,191.0,3973.0,554.0,1097.0,5775,TensorFlows Visualization Toolkit.,277.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,13497497.0,99236.0,96935.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13444365.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2762870.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-03-03 14:03:48.000000,2022-03-03 13:52:19,32510.0,681.0,25242,2089.0,35698.0,248.0,,32187,Apache Spark Python API.,2631.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,['spark'],,18309786.0,774.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,774.0,18285175.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1476708.0,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
28,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-03-03 13:57:51.000000,2022-03-03 10:19:05,6620.0,434.0,2153,222.0,5793.0,490.0,4234.0,17514,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",630.0,42,True,2022-02-09 20:53:39.000,1.5.10,203.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],5562.0,1284231.0,7524.0,7214.0,https://pypi.org/project/pytorch-lightning,2022-02-09 20:53:39.000,310.0,1265076.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-02-12 08:07:33.695,398622.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-03-03 07:21:25.000000,2022-03-03 02:32:21,10649.0,756.0,1500,262.0,5886.0,987.0,2115.0,16564,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",367.0,42,True,2022-02-18 22:37:57.000,0.3.1,108.0,jax,conda-forge/jaxlib,,,308724.0,3849.0,3583.0,https://pypi.org/project/jax,2022-02-18 22:37:57.000,266.0,299974.0,https://anaconda.org/conda-forge/jaxlib,2022-02-18 21:08:29.093,280023.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-03-02 23:40:55.000000,2022-03-01 14:19:39,2890.0,94.0,3459,445.0,2472.0,168.0,2406.0,13507,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",252.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,140068.0,5792647.0,12135.0,11559.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,5774046.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,908723.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-03-01 08:46:25.000000,2022-02-09 18:45:14,5379.0,50.0,2110,271.0,1306.0,1097.0,1163.0,11068,The interactive graphing library for Python (includes Plotly Express).,191.0,42,True,2022-02-09 18:43:08.000,5.6.0,277.0,plotly,conda-forge/plotly,,,7400541.0,3852.0,9.0,https://pypi.org/project/plotly,2022-02-09 18:28:55.000,3839.0,7323072.0,https://anaconda.org/conda-forge/plotly,2022-02-10 14:36:08.196,2237405.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,44075.0,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-03-03 14:15:52.000000,2022-03-03 08:32:42,2510.0,225.0,5588,364.0,3363.0,650.0,1633.0,10992,"Datasets, Transforms and Models specific to Computer Vision.",463.0,42,True,2022-01-27 22:31:01.000,0.11.3,29.0,torchvision,conda-forge/torchvision,['pytorch'],,3317834.0,3482.0,,https://pypi.org/project/torchvision,2022-01-27 20:36:45.000,3482.0,3314301.0,https://anaconda.org/conda-forge/torchvision,2022-02-06 13:13:27.836,180232.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-03-03 13:19:10.000000,2022-03-03 12:52:40,3980.0,113.0,1733,1751.0,3747.0,131.0,2242.0,9532,WebGL2 powered visualization framework.,188.0,42,True,2022-02-25 17:15:23.000,8.7.0,521.0,pydeck,conda-forge/pydeck,['jupyter'],,1123895.0,4082.0,3680.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,17.0,820440.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,70531.0,1.0,,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-02-25 17:16:37.290,385.0,300634.0,,,,,,,,,,,,
34,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-03-02 20:42:58.000000,2022-03-02 16:50:25,1530.0,93.0,7603,997.0,1162.0,101.0,1400.0,26791,A toolkit for developing and comparing reinforcement learning algorithms.,348.0,41,True,2022-02-18 17:46:19.000,0.22.0,97.0,gym,conda-forge/gym,,,421794.0,29267.0,26878.0,https://pypi.org/project/gym,2022-02-18 17:46:19.000,2389.0,417801.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,91854.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-03-03 14:02:02.000000,2022-03-03 13:31:40,34286.0,1376.0,4285,736.0,25867.0,2796.0,12223.0,17693,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,709.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,['paddle'],15311.0,105754.0,138.0,94.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,105526.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-03-02 21:56:19.000000,2022-03-01 01:06:06,1905.0,50.0,2471,430.0,2148.0,517.0,1375.0,12122,Open standard for machine learning interoperability.,222.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,17462.0,1442189.0,6070.0,5724.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,346.0,1434945.0,https://anaconda.org/conda-forge/onnx,2022-03-01 13:35:47.004,359595.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2022-03-02 17:25:55.000000,2022-03-02 17:25:52,21890.0,2222.0,954,193.0,281.0,348.0,1387.0,6391,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",965.0,41,True,2022-01-14 11:45:18.000,1.0.4,101.0,catboost,conda-forge/catboost,,74568.0,3465319.0,212.0,,https://pypi.org/project/catboost,2022-01-14 00:21:12.000,212.0,3443762.0,https://anaconda.org/conda-forge/catboost,2022-02-04 07:12:46.792,928169.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
