,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
10,spaCy,explosion/spaCy,spacy,conda-forge/spacy,,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2020-12-31 14:45:02.000000,2020-12-27 21:12:37.000000,3189.0,90.0,4125.0,17932.0,11717.0,2020-12-11 14:45:05.000000,2.3.5,169.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,22977.0,19911.0,540.0,37,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,924790.0,953975.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1369092.0,True,1,2897.0,,,,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,celery,conda-forge/celery,,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2020-12-31 17:58:17.000000,2020-12-30 10:31:02.000000,3908.0,487.0,3913.0,16459.0,11476.0,2020-12-16 15:41:18.000000,5.0.5,171.0,Asynchronous task queue/job queue based on distributed message passing.,75257.0,47023.0,1070.0,37,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,2173819.0,2179980.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,357358.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
12,networkx,networkx/networkx,networkx,conda-forge/networkx,,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-01-01 08:25:41.000000,2021-01-01 04:05:53.000000,2155.0,253.0,2279.0,8420.0,6363.0,2020-08-22 20:10:33.000000,networkx-2.5,52.0,Network Analysis in Python.,84175.0,63357.0,483.0,37,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,5529671.0,5584527.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2797668.0,True,1,51.0,,,,,,,,,,,,,,,,,,,,,,,
13,boto3,boto/boto3,boto3,conda-forge/boto3,,db-clients,,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2020-12-31 23:19:19.816000,2020-12-31 19:05:36.000000,1296.0,306.0,1940.0,6024.0,4007.0,2020-12-31 20:22:05.000000,1.16.47,734.0,AWS SDK for Python.,114159.0,91069.0,108.0,37,https://pypi.org/project/boto3,2020-12-31 20:22:05.000000,23090.0,52318067.0,52400518.0,https://anaconda.org/conda-forge/boto3,2020-12-31 23:19:19.816000,4122593.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
14,SQLAlchemy,sqlalchemy/sqlalchemy,SQLAlchemy,conda-forge/sqlalchemy,,db-clients,,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2020-12-31 20:22:55.000000,2020-12-30 20:49:09.000000,491.0,150.0,5385.0,3145.0,13439.0,2020-12-18 21:13:06.000000,1.3.22,207.0,The Database Toolkit for Python.,309824.0,226118.0,448.0,37,https://pypi.org/project/SQLAlchemy,2020-12-18 21:13:06.000000,83706.0,13029007.0,13088570.0,https://anaconda.org/conda-forge/sqlalchemy,2020-12-19 08:49:20.725000,2855582.0,True,1,1160.0,,,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,transformers,conda-forge/transformers,,nlp,"['pytorch', 'tensorflow']",https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2020-12-31 11:23:49.000000,2020-12-30 09:09:51.000000,9531.0,574.0,4965.0,38770.0,6204.0,2020-12-17 17:09:51.000000,4.1.1,44.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,6671.0,6543.0,740.0,36,https://pypi.org/project/transformers,2020-12-17 16:27:28.000000,128.0,729089.0,730009.0,https://anaconda.org/conda-forge/transformers,2020-12-19 08:26:53.237000,13098.0,True,1,1238.0,,,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,Faker,conda-forge/faker,,data-loading,,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2020-12-30 19:38:52.000000,2020-12-30 16:05:41.000000,1343.0,137.0,342.0,11848.0,2500.0,2020-12-30 16:11:28.000000,5.3.0,104.0,Faker is a Python package that generates fake data for you.,26644.0,21932.0,379.0,36,https://pypi.org/project/Faker,2020-12-30 16:01:23.000000,4712.0,2116713.0,2124514.0,https://anaconda.org/conda-forge/faker,2020-12-30 16:52:11.983000,358878.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
17,redis,andymccurdy/redis-py,redis,,,db-clients,,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000000,2020-12-21 07:23:24.000000,2020-11-22 20:52:44.000000,1903.0,62.0,806.0,8998.0,1550.0,2020-06-01 21:30:33.000000,3.5.3,66.0,Redis Python Client.,49438.0,,248.0,36,https://pypi.org/project/redis,2020-06-01 21:30:33.000000,49438.0,8634899.0,8634899.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,sympy,conda-forge/sympy,,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-01-01 10:43:26.000000,2021-01-01 10:40:00.000000,3209.0,3953.0,7062.0,7704.0,45545.0,2020-12-12 23:23:00.000000,1.7.1,36.0,A computer algebra system written in pure Python.,34052.0,27630.0,1026.0,36,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,594587.0,620934.0,https://anaconda.org/conda-forge/sympy,2020-12-13 04:16:18.209000,1219414.0,True,1,411565.0,,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,statsmodels,conda-forge/statsmodels,,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2020-12-31 11:46:00.000000,2020-12-23 11:31:25.000000,2137.0,2066.0,2228.0,5857.0,13517.0,2020-10-29 16:36:43.000000,0.12.1,24.0,Statsmodels: statistical modeling and econometrics in Python.,41624.0,34968.0,296.0,36,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,2206961.0,2262660.0,https://anaconda.org/conda-forge/statsmodels,2020-11-21 19:18:02.779000,3063492.0,True,1,25.0,,,,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,tensorboard,conda-forge/tensorboard,,ml-experiments,['tensorflow'],https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2020-12-30 01:45:10.000000,2020-12-24 01:22:39.000000,1326.0,544.0,900.0,5101.0,4126.0,2020-11-12 03:15:42.000000,2.4.0,35.0,TensorFlow's Visualization Toolkit.,53468.0,49854.0,248.0,36,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,5359305.0,5398868.0,https://anaconda.org/conda-forge/tensorboard,2020-11-12 07:26:37.897000,1503421.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,scikit-image,conda-forge/scikit-image,,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2020-12-31 16:31:18.000000,2020-12-30 10:51:15.000000,1713.0,644.0,1471.0,4121.0,12449.0,2020-12-23 06:36:46.000000,0.18.1,35.0,Image processing in Python.,72139.0,57365.0,472.0,36,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1848990.0,1885055.0,https://anaconda.org/conda-forge/scikit-image,2020-12-23 15:59:08.642000,2019669.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
22,pymongo,mongodb/mongo-python-driver,pymongo,conda-forge/pymongo,,db-clients,,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000000,2020-12-23 23:48:05.000000,2020-12-22 03:22:29.000000,969.0,7.0,,3189.0,4617.0,2020-12-02 23:37:26.000000,3.11.2,115.0,PyMongo - the Python driver for MongoDB.,118354.0,82492.0,179.0,36,https://pypi.org/project/pymongo,2020-12-02 23:31:25.000000,35862.0,5941476.0,5947273.0,https://anaconda.org/conda-forge/pymongo,2020-10-12 20:39:14.177000,318876.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
23,h5py,h5py/h5py,h5py,conda-forge/h5py,,data-containers,,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-01 10:48:16.133000,2020-12-01 10:28:11.000000,393.0,182.0,937.0,1459.0,3463.0,2020-11-06 14:30:54.000000,3.1.0,25.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,119567.0,96631.0,156.0,36,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,5620636.0,5695955.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4367615.0,True,1,765.0,,,,,,,,,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,keras,conda-forge/keras,https://keras.io,ml-frameworks,['tensorflow'],https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2020-12-29 21:18:18.000000,2020-12-29 21:18:07.000000,18680.0,3144.0,7219.0,50430.0,5362.0,2020-06-24 22:40:48.000000,2.4.3,53.0,Deep Learning for humans.,14996.0,,893.0,35,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,2005533.0,2031683.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1385972.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
25,OpenAI Gym,openai/gym,gym,,,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2020-12-25 22:55:29.000000,2020-12-18 23:40:47.000000,6550.0,223.0,1061.0,23029.0,1240.0,2020-12-19 00:29:36.000000,0.18.0,92.0,A toolkit for developing and comparing reinforcement learning algorithms.,20432.0,16870.0,271.0,35,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,306896.0,306896.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,
26,XGBoost,dmlc/xgboost,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2020-12-31 19:02:10.000000,2020-12-31 19:02:08.000000,7840.0,263.0,3632.0,20343.0,5169.0,2020-12-22 13:38:41.000000,1.3.1,50.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",14182.0,12590.0,500.0,35,https://pypi.org/project/xgboost,2020-12-09 19:03:33.000000,1592.0,2734632.0,2762204.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1267332.0,True,2,1857.0,,,,,,,,,,,,,,,,,,,,,,,
27,Airflow,apache/airflow,apache-airflow,conda-forge/airflow,,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-01-01 11:13:21.000000,2021-01-01 11:11:01.000000,7625.0,907.0,1774.0,19996.0,11262.0,2020-12-18 13:21:47.000000,2.0.0,67.0,"Platform to programmatically author, schedule, and monitor workflows.",294.0,,1689.0,35,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,582882.0,639826.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,250777.0,True,1,69850.0,stable/airflow,,apache/airflow,https://hub.docker.com/r/apache/airflow,2020-12-31 13:24:27.745430,191.0,3461858.0,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,lightgbm,conda-forge/lightgbm,,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-01-01 09:15:43.000000,2020-12-29 23:46:57.000000,3136.0,88.0,1910.0,11993.0,2181.0,2020-12-08 03:00:35.000000,3.1.1,24.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",5686.0,5130.0,192.0,35,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1456516.0,1469203.0,https://anaconda.org/conda-forge/lightgbm,2020-12-08 18:04:57.617000,455936.0,True,2,82448.0,,,,,,,,,,,,,,,,,,,,,,,
29,gensim,RaRe-Technologies/gensim,gensim,conda-forge/gensim,,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2020-12-27 07:46:30.000000,2020-11-15 20:49:41.000000,3825.0,349.0,1239.0,11541.0,3849.0,2020-05-04 05:55:15.000000,3.8.3,83.0,Topic Modelling for Humans.,24433.0,19691.0,384.0,35,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,6863112.0,6877713.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,582211.0,False,1,2895.0,,,,,,,,,,,,,,,,,,,,,,,
30,Plotly,plotly/plotly.py,plotly,conda-forge/plotly,,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-01-01 02:46:37.000000,2020-12-29 17:55:42.000000,1711.0,760.0,1037.0,8547.0,4886.0,2020-12-09 13:48:45.000000,4.14.1,263.0,The interactive graphing library for Python (includes Plotly Express).,4991.0,5.0,158.0,35,https://pypi.org/project/plotly,2020-12-09 13:29:15.000000,4982.0,2843198.0,2898000.0,https://anaconda.org/conda-forge/plotly,2020-12-09 14:47:46.237000,1134378.0,True,1,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2020-12-09 13:24:37.313000,4.0,33399.0,,,,,,,,,,,
31,torchvision,pytorch/vision,torchvision,conda-forge/torchvision,,image,['pytorch'],https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2020-12-31 12:30:50.000000,2020-12-23 09:15:15.000000,4100.0,458.0,1022.0,8051.0,1396.0,2020-12-10 17:10:41.000000,0.8.2,21.0,"Datasets, Transforms and Models specific to Computer Vision.",42569.0,37957.0,346.0,35,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,758134.0,759055.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34107.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,seaborn,conda-forge/seaborn,,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2020-12-31 21:20:57.000000,2020-12-29 22:33:18.000000,1354.0,80.0,1646.0,7952.0,2733.0,2020-12-20 20:53:25.000000,0.11.1,23.0,Statistical data visualization using matplotlib.,88338.0,75552.0,144.0,35,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,2114386.0,2148849.0,https://anaconda.org/conda-forge/seaborn,2020-12-21 10:06:33.576000,1826530.0,True,1,107.0,,,,,,,,,,,,,,,,,,,,,,,
33,dask,dask/dask,dask,conda-forge/dask,,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2020-12-28 19:33:40.000000,2020-12-21 17:17:36.000000,1197.0,688.0,2777.0,7700.0,6265.0,2020-12-11 01:53:58.000000,2020.12.0,109.0,Parallel computing with task scheduling.,28038.0,24122.0,420.0,35,https://pypi.org/project/dask,2020-12-11 01:53:58.000000,3916.0,1349434.0,1399229.0,https://anaconda.org/conda-forge/dask,2020-12-11 06:35:53.129000,2788526.0,True,1,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
34,Arrow,apache/arrow,pyarrow,conda-forge/arrow,,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-01-01 12:12:36.000000,2021-01-01 11:13:58.000000,1706.0,128.0,537.0,6802.0,8212.0,2020-10-19 21:15:12.000000,2.0.0,29.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,1014.0,28.0,607.0,35,https://pypi.org/project/pyarrow,2020-10-19 21:15:12.000000,986.0,12730551.0,12738439.0,https://anaconda.org/conda-forge/arrow,2020-10-12 18:31:14.221000,441737.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
35,PyMySQL,PyMySQL/PyMySQL,PyMySQL,conda-forge/pymysql,,db-clients,,https://github.com/PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,MIT,2011-07-27 17:38:47.000000,2020-12-10 02:51:07.000000,2020-12-10 02:51:06.000000,1238.0,18.0,515.0,6262.0,944.0,2020-09-10 07:38:01.000000,0.10.1,32.0,Pure Python MySQL Client.,89497.0,71071.0,104.0,35,https://pypi.org/project/PyMySQL,2020-09-10 07:38:01.000000,18426.0,5447202.0,5453071.0,https://anaconda.org/conda-forge/pymysql,2020-11-17 22:05:17.850000,228923.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
36,google-cloud-storage,googleapis/google-cloud-python,google-cloud-storage,conda-forge/google-cloud-storage,,db-clients,,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47.000000,2020-12-16 16:42:20.918000,2020-10-29 21:15:18.000000,1333.0,22.0,3313.0,3446.0,9049.0,2020-12-14 23:49:51.000000,1.35.0,100.0,Google Cloud Client Library for Python.,2108.0,,311.0,35,https://pypi.org/project/google-cloud-storage,2020-12-14 23:49:51.000000,2108.0,15191365.0,15204394.0,https://anaconda.org/conda-forge/google-cloud-storage,2020-12-16 16:42:20.918000,560273.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
37,elasticsearch,elastic/elasticsearch-py,elasticsearch,conda-forge/elasticsearch,,db-clients,,https://github.com/elastic/elasticsearch-py,https://github.com/elastic/elasticsearch-py,Apache-2.0,2013-05-01 22:47:39.000000,2020-12-30 22:55:37.000000,2020-12-28 20:25:01.000000,957.0,71.0,772.0,3050.0,1260.0,2020-12-09 17:27:30.000000,7.10.1,64.0,Official Python low-level client for Elasticsearch.,29728.0,19154.0,168.0,35,https://pypi.org/project/elasticsearch,2020-12-09 17:25:00.000000,10574.0,3694020.0,3700305.0,https://anaconda.org/conda-forge/elasticsearch,2020-12-11 18:29:47.476000,344691.0,True,1,54.0,,,,,,,,,,,,,,,,,,,,,,,
