,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-07-07 12:45:27.000000,2022-07-07 08:26:04,28227.0,561.0,4311,331.0,8252.0,1761.0,6889.0,9829,"Ecosystem of open-source software for mathematics, science, and engineering.",1306.0,49,True,2022-05-18 13:22:14.000,1.8.1,80.0,scipy,conda-forge/scipy,,350699.0,42977203.0,591692.0,533496.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58196.0,42640073.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,24638756.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-07-07 02:43:59.000000,2022-07-07 02:43:24,13477.0,442.0,1861,211.0,3805.0,113.0,2452.0,9932,The friendly PIL fork (Python Imaging Library).,403.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,45857510.0,845278.0,782146.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63132.0,45639751.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,16331925.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-07-07 13:44:00.000000,2022-07-05 15:18:18,6976.0,198.0,2637,272.0,2793.0,392.0,2617.0,10951,Network Analysis in Python.,605.0,45,True,2022-06-14 04:04:30.000,2.8.4,79.0,networkx,conda-forge/networkx,,60.0,20048164.0,125432.0,112012.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13420.0,19946233.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,7033289.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-07-07 09:44:17.000000,2022-07-06 23:37:14,7102.0,338.0,19134,1945.0,5371.0,347.0,11103.0,55603,Deep Learning for humans.,1080.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,['tensorflow'],,9024723.0,326.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,326.0,8991285.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2374145.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-07-07 14:13:52.000000,2022-07-07 14:13:50,15532.0,145.0,3846,552.0,3200.0,101.0,5072.0,23718,Industrial-strength Natural Language Processing (NLP) in Python.,690.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,3143.0,4586696.0,43260.0,40904.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2356.0,4545165.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2696593.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-07-07 10:28:15.000000,2022-07-05 08:24:31,5843.0,115.0,8398,929.0,3596.0,287.0,4197.0,22941,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",567.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4466.0,8208595.0,34543.0,33202.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,8165237.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2772105.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-07-07 14:34:19.000000,2022-07-07 13:54:01,13256.0,1233.0,3675,425.0,15567.0,2664.0,8190.0,21189,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",719.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,1328271.0,5552.0,5275.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,277.0,1326238.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,38644.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-07-07 14:25:45.000000,2022-07-07 09:01:51,12170.0,1105.0,1742,284.0,6911.0,1108.0,2410.0,19277,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",421.0,44,True,2022-06-28 20:01:20.000,0.3.14,121.0,jax,conda-forge/jaxlib,,,702758.0,5182.0,4861.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,692910.0,https://anaconda.org/conda-forge/jaxlib,2022-06-25 03:27:15.374,354555.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-07-06 11:20:10.000000,2022-07-04 05:40:02,14310.0,51.0,2572,470.0,1361.0,222.0,1408.0,10880,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11716146.0,159864.0,148044.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11697372.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1333011.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-07-07 09:35:23.000000,2022-07-07 05:33:07,51312.0,585.0,3662,282.0,11633.0,4444.0,8012.0,9379,A computer algebra system written in pure Python.,1154.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,455924.0,2184608.0,47844.0,43712.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,2150938.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2179262.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-07-07 08:01:21.000000,2022-07-06 03:08:32,13234.0,71.0,2017,188.0,3776.0,618.0,1841.0,4963,Image processing in Python.,560.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,7330909.0,116588.0,107257.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,7281891.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3627346.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-07-07 14:09:21.000000,2022-07-07 08:22:41,33550.0,728.0,25782,2074.0,37093.0,220.0,,33320,Apache Spark Python API.,2686.0,43,True,2022-06-15 08:58:01.000,3.3.0,30.0,pyspark,conda-forge/pyspark,['spark'],,24503763.0,840.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,840.0,24476191.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1764643.0,1.0,,stable/spark,1.0,,,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-07 06:37:19.000000,2022-07-06 14:03:27,19586.0,60.0,3956,454.0,5192.0,715.0,6237.0,16454,"Interactive Data Visualization in the browser, from Python.",607.0,43,True,2022-05-18 19:00:14.000,2.4.3,129.0,bokeh,conda-forge/bokeh,,,2952367.0,57007.0,53454.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,2829278.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7754623.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-07-07 12:32:49.000000,2022-07-06 17:49:09,7261.0,160.0,1500,221.0,4718.0,744.0,3686.0,10072,Parallel computing with task scheduling.,543.0,43,True,2022-06-24 16:00:12.000,2022.6.1,146.0,dask,conda-forge/dask,,,9047228.0,40835.0,38176.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2659.0,8966718.0,https://anaconda.org/conda-forge/dask,2022-06-24 22:50:48.953,5957803.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-07-06 00:41:19.000000,2022-07-06 00:41:16,2969.0,148.0,1594,246.0,833.0,108.0,1968.0,9572,Statistical data visualization in Python.,168.0,43,True,2021-08-16 00:42:18.000,0.11.2,27.0,seaborn,conda-forge/seaborn,,220.0,8319059.0,176730.0,167348.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9382.0,8261187.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4108820.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-07-07 01:40:52.000000,2022-06-29 20:31:36,14662.0,128.0,2431,264.0,3579.0,2266.0,2529.0,7517,Statsmodels: statistical modeling and econometrics in Python.,377.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,8903655.0,70485.0,65972.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8814338.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6520163.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-07-07 14:23:07.000000,2022-07-06 16:03:55,5091.0,88.0,1511,189.0,4128.0,576.0,1126.0,5895,TensorFlows Visualization Toolkit.,281.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,14230448.0,117168.0,114768.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,14176013.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3048377.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-07-06 15:18:03.000000,2022-07-06 15:18:03,1679.0,112.0,7796,992.0,1337.0,110.0,1597.0,27981,A toolkit for developing and comparing reinforcement learning algorithms.,366.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,593759.0,33127.0,30674.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,589298.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,120473.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-07-07 14:18:09.000000,2022-07-06 07:40:44,2822.0,209.0,6034,369.0,3843.0,727.0,1816.0,12002,"Datasets, Transforms and Models specific to Computer Vision.",487.0,42,True,2022-06-28 16:45:08.000,0.13.0,31.0,torchvision,conda-forge/torchvision,['pytorch'],8344.0,3703218.0,3704.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3704.0,3697870.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,286884.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-07-07 10:12:17.000000,2022-06-24 01:11:35,5535.0,107.0,2163,273.0,1372.0,1187.0,1204.0,11747,The interactive graphing library for Python (includes Plotly Express).,202.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,7858721.0,4133.0,10.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,7770909.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2824396.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,48032.0,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-07-07 08:11:45.000000,2022-07-07 08:11:45,4160.0,151.0,1795,1738.0,3925.0,162.0,2323.0,9978,WebGL2 powered visualization framework.,198.0,42,True,2022-07-05 21:37:30.000,8.8.3,544.0,pydeck,conda-forge/pydeck,['jupyter'],,1100709.0,4684.0,4274.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,828163.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,131166.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-07-05 21:39:23.989,386.0,268024.0,,,,,,,,,,,,,,,,
31,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-07-06 23:15:12.000000,2022-07-06 23:15:12,2418.0,225.0,7251,615.0,2093.0,106.0,1521.0,22466,The fastai deep learning library.,613.0,41,True,2022-07-04 04:02:49.000,2.7.5,139.0,fastai,,['pytorch'],,314779.0,10911.0,10610.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,314779.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
32,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-07-07 14:20:55.000000,2022-07-07 11:52:04,36395.0,1229.0,4585,731.0,29090.0,2872.0,12897.0,18498,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,769.0,41,True,2022-07-05 06:35:15.000,2.3.1,55.0,paddlepaddle,,['paddle'],15318.0,76584.0,180.0,130.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,76369.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
33,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-24 15:26:33.000000,2022-06-16 14:46:20,2277.0,102.0,2503,251.0,470.0,1375.0,601.0,16854,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,3670084.0,6109.0,5834.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3642970.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1274381.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-07-07 14:07:04.000000,2022-07-07 14:07:03,3019.0,91.0,3541,448.0,2622.0,218.0,2522.0,13958,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",261.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,156299.0,6216964.0,14624.0,13994.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,6196469.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1080918.0,2.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-07-05 02:27:33.000000,2022-05-06 00:53:28,4383.0,39.0,4210,432.0,1608.0,374.0,1395.0,13327,Topic Modelling for Humans.,430.0,41,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,3829.0,4615888.0,37462.0,34584.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,4601520.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,830618.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-07-07 13:53:59.000000,2022-07-03 13:21:49,1990.0,66.0,2789,426.0,2281.0,282.0,1752.0,12839,Open standard for machine learning interoperability.,241.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17668.0,1312213.0,7824.0,7441.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,383.0,1303905.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,447975.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-07-07 14:27:51.000000,2022-07-07 10:48:09,2893.0,261.0,2792,274.0,3849.0,934.0,1510.0,12220,Open source platform for the machine learning lifecycle.,446.0,41,True,2022-06-29 03:41:27.000,1.27.0,60.0,mlflow,conda-forge/mlflow,,,11075306.0,325.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,325.0,11059334.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,622944.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-07-07 14:45:06.000000,2022-07-07 07:04:54,13308.0,976.0,710,127.0,2547.0,125.0,1112.0,6614,A hyperparameter optimization framework.,201.0,41,True,2022-06-13 05:38:25.000,2.10.1,47.0,optuna,conda-forge/optuna,,,2732053.0,3880.0,3650.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,230.0,2722966.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,290802.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,
