,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-16 14:11:42.000000,2023-11-16 13:50:39,14516.0,774.0,23020.0,1072.0,13883.0,925.0,12626.0,115273.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2258.0,50,True,2023-11-15 16:39:42.000,4.35.2,125.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",116650.0,114165.0,https://pypi.org/project/transformers,17854862.0,17890962.0,https://anaconda.org/conda-forge/transformers,2023-11-15 00:12:51.565,1444014.0,,,,,1.0,,2023-11-15 16:38:58.000,2485.0,,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-16 07:16:48.000000,2023-11-16 06:31:32,10031.0,549.0,18535.0,1918.0,6738.0,118.0,11262.0,59739.0,Deep Learning for humans.,1252.0,50,True,2023-09-12 16:19:40.000,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],189359.0,189359.0,https://pypi.org/project/keras,13325941.0,13406965.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3321987.0,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-11-16 13:20:28.000000,2023-11-16 11:45:22,31115.0,417.0,4859.0,348.0,10024.0,1676.0,8056.0,11905.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1552.0,49,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,923770.0,858957.0,https://pypi.org/project/scipy,65485172.0,66703907.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,43735124.0,,,,,1.0,387176.0,2023-09-27 21:55:42.000,64813.0,2.0,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-11-16 13:31:53.000000,2023-11-14 19:38:48,56616.0,1027.0,3997.0,290.0,12771.0,4826.0,8560.0,11539.0,A computer algebra system written in pure Python.,1259.0,47,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,97861.0,93105.0,https://pypi.org/project/sympy,10072453.0,10128925.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4704106.0,,,,,1.0,521536.0,2023-05-10 18:24:09.226,4756.0,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-16 12:06:08.000000,2023-11-14 12:46:45,16488.0,363.0,1931.0,225.0,4466.0,79.0,2869.0,11234.0,Python Imaging Library (Fork).,449.0,47,True,2023-10-15 13:05:17.000,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1421793.0,1421793.0,https://pypi.org/project/Pillow,74215001.0,75085259.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34810353.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-16 09:24:00.000000,2023-11-16 09:23:56,18248.0,1143.0,2286.0,316.0,11586.0,1175.0,3503.0,25551.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",597.0,45,True,2023-11-02 23:29:45.000,jax-v0.4.20,89.0,jax,conda-forge/jaxlib,,,,19268.0,19268.0,https://pypi.org/project/jax,12055056.0,12079213.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,990458.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-16 13:04:45.000000,2023-11-16 04:15:01,9913.0,330.0,2988.0,244.0,9667.0,664.0,5930.0,25140.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",912.0,45,True,2023-11-15 20:56:33.000,2.1.2,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26010.0,26010.0,https://pypi.org/project/pytorch-lightning,4410406.0,4435453.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,1009537.0,,,,,1.0,13600.0,,,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-16 14:00:23.000000,2023-11-16 13:51:17,44794.0,1670.0,5163.0,727.0,41361.0,1079.0,16418.0,21012.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1133.0,45,True,2023-07-25 11:09:59.000,2.5.0,60.0,paddlepaddle,,,,['paddle'],4265.0,4265.0,https://pypi.org/project/paddlepaddle,174892.0,175068.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,,,,
18,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-16 14:01:55.000000,2023-11-16 13:47:09,19838.0,1123.0,4742.0,468.0,25024.0,3301.0,12816.0,28653.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,940.0,44,True,2023-11-03 00:55:09.000,ray-2.8.0,93.0,ray,conda-forge/ray-tune,,,,12713.0,12284.0,https://pypi.org/project/ray,2496231.0,2501193.0,https://anaconda.org/conda-forge/ray-tune,2023-11-15 20:08:23.496,173666.0,,,,,1.0,113.0,2023-11-03 00:48:02.000,429.0,,,,,,,,,,,,,,,,,,,
19,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-15 08:44:20.000000,2023-11-10 07:05:07,16071.0,70.0,4233.0,567.0,3914.0,93.0,5426.0,27575.0,Industrial-strength Natural Language Processing (NLP) in Python.,743.0,44,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,76870.0,73995.0,https://pypi.org/project/spacy,6652579.0,6732697.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3284858.0,,,,,1.0,,2023-10-16 16:09:47.000,2875.0,,,,,,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-16 10:16:00.000000,2023-11-16 10:15:59,6637.0,128.0,8118.0,914.0,4795.0,332.0,4652.0,24985.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-09 20:24:31.000,2.0.2,55.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,72065.0,72065.0,https://pypi.org/project/xgboost,11417165.0,11527023.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4391756.0,,,,,2.0,7639.0,,,,,,,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-16 12:15:22.000000,2023-11-16 10:59:49,5029.0,502.0,3696.0,291.0,6941.0,1279.0,2256.0,15822.0,Open source platform for the machine learning lifecycle.,670.0,44,True,2023-11-16 02:55:35.000,2.8.1,84.0,mlflow,conda-forge/mlflow,,,,26568.0,26060.0,https://pypi.org/project/mlflow,14269270.0,14309535.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1650893.0,,,,,1.0,,2023-11-16 02:08:43.000,508.0,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-15 21:49:36.000000,2023-11-15 15:53:28,6241.0,73.0,2384.0,279.0,1570.0,1385.0,1360.0,14401.0,The interactive graphing library for Python This project now includes Plotly Express!.,249.0,44,True,2023-10-25 19:52:56.000,5.18.0,97.0,plotly,conda-forge/plotly,,,,216277.0,216277.0,https://pypi.org/project/plotly,11303664.0,11470318.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5063558.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,46094.0,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-11-16 13:12:39.000000,2023-11-16 13:12:39,7508.0,148.0,3095.0,276.0,3545.0,397.0,2900.0,13435.0,Network Analysis in Python.,693.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,214806.0,199954.0,https://pypi.org/project/networkx,34155301.0,34517995.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14145080.0,,,,,1.0,65.0,2023-10-28 08:41:36.000,14852.0,,,,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-16 12:19:08.000000,2023-11-08 23:32:52,20299.0,108.0,4043.0,444.0,5877.0,743.0,6734.0,18295.0,"Interactive Data Visualization in the browser, from Python.",675.0,43,True,,,55.0,bokeh,conda-forge/bokeh,,,,79265.0,79265.0,https://pypi.org/project/bokeh,3584678.0,3903721.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13080768.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-16 12:07:31.000000,2023-11-16 11:26:49,2597.0,121.0,3601.0,438.0,3024.0,301.0,2282.0,15881.0,Open standard for machine learning interoperability.,299.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,21233.0,20602.0,https://pypi.org/project/onnx,4270244.0,4291947.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,878947.0,,,,,1.0,19488.0,2023-10-26 18:30:51.000,631.0,,,,,,,,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-16 13:56:53.000000,2023-11-16 04:10:54,3376.0,58.0,3771.0,441.0,3025.0,316.0,2859.0,15646.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 02:08:33.000,4.1.0,34.0,lightgbm,conda-forge/lightgbm,,,,27755.0,26949.0,https://pypi.org/project/lightgbm,6798032.0,6856232.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2112390.0,,,,,2.0,206322.0,2023-09-12 02:08:33.000,806.0,,,,,,,,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-16 10:47:36.000000,2023-11-10 21:33:39,7909.0,68.0,1658.0,212.0,5507.0,1001.0,4043.0,11523.0,Parallel computing with task scheduling.,589.0,43,True,2023-11-10 21:36:00.000,2023.11.0,184.0,dask,conda-forge/dask,,,,57465.0,54420.0,https://pypi.org/project/dask,7009225.0,7258582.0,https://anaconda.org/conda-forge/dask,2023-11-10 23:54:07.170,10473012.0,,,,,1.0,,2023-11-10 21:36:00.000,3045.0,,,,,stable/dask,,,,,,,,,,,,,,
28,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-15 16:51:26.000000,2023-11-07 12:02:40,3199.0,42.0,1812.0,257.0,1061.0,115.0,2310.0,11350.0,Statistical data visualization in Python.,202.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,335845.0,324628.0,https://pypi.org/project/seaborn,12459901.0,12650299.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7806241.0,,,,,1.0,301.0,2023-09-29 18:58:33.000,11217.0,,,,,,,,,,,,,,,,,,,
29,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-11-08 17:58:10.000000,2023-10-29 06:30:59,15118.0,20.0,2596.0,278.0,3814.0,2532.0,2714.0,9027.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,107256.0,107256.0,https://pypi.org/project/statsmodels,11463101.0,11752265.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11855740.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-16 00:22:07.000000,2023-11-15 23:17:02,5719.0,87.0,1620.0,196.0,4858.0,646.0,1215.0,6399.0,TensorFlows Visualization Toolkit.,309.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],201375.0,198516.0,https://pypi.org/project/tensorboard,21636928.0,21744666.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4417286.0,,,,,1.0,,2023-11-02 20:49:50.000,2859.0,,,,,,,,,,,,,,,,,,,
31,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-16 14:47:10.000000,2023-11-16 14:45:48,5917.0,370.0,1664.0,140.0,2908.0,443.0,2737.0,23480.0,"Wrap UIs around any model, share with anyone.",223.0,42,True,2023-11-14 03:23:00.000,4.3.0,528.0,gradio,,,,,17209.0,16996.0,https://pypi.org/project/gradio,2966262.0,2966262.0,,,,,,,,1.0,,2023-11-14 03:23:00.000,213.0,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-11-16 11:34:33.000000,2023-11-14 17:33:48,3735.0,111.0,6818.0,398.0,5076.0,945.0,2276.0,14782.0,"Datasets, Transforms and Models specific to Computer Vision.",558.0,42,True,2023-11-15 22:18:12.000,0.16.1,39.0,torchvision,conda-forge/torchvision,,,['pytorch'],4805.0,21.0,https://pypi.org/project/torchvision,9281671.0,9310983.0,https://anaconda.org/conda-forge/torchvision,2023-11-13 09:15:21.265,924561.0,,,,,1.0,33233.0,2023-11-15 16:45:49.000,4784.0,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-16 10:20:38.000000,2023-11-16 10:20:27,4574.0,81.0,2047.0,1697.0,4412.0,266.0,2555.0,11316.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:58:59.931,8.9.32,620.0,pydeck,conda-forge/pydeck,,,['jupyter'],7269.0,6751.0,https://pypi.org/project/pydeck,1737338.0,2232270.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,461698.0,,,,,1.0,,2023-04-15 06:29:01.705,48.0,,deck.gl,https://www.npmjs.com/package/deck.gl,484673.0,,2023-11-14 10:33:47.834,470.0,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-16 08:53:37.000000,2023-11-14 20:33:02,3597.0,55.0,761.0,144.0,1297.0,185.0,1719.0,8549.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45.000,5.1.2,38.0,altair,conda-forge/altair,,,,87150.0,86528.0,https://pypi.org/project/altair,14076925.0,14167882.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2091997.0,,,,,1.0,89.0,2023-10-03 17:40:10.000,622.0,,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-16 14:01:34.000000,2023-11-14 20:22:20,13775.0,108.0,2214.0,185.0,4310.0,742.0,2023.0,5668.0,Image processing in Python.,637.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,170482.0,160174.0,https://pypi.org/project/scikit-image,9618317.0,9759671.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5795535.0,,,,,1.0,,2023-10-03 21:35:27.000,10308.0,,,,,,,,,,,,,,,,,,,
36,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-10-22 22:49:37.000000,2023-01-30 18:15:21,1757.0,,8561.0,1068.0,1449.0,69.0,1716.0,33061.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2023-07-20 15:30:49.667,0.0.1,108.0,gym,conda-forge/gym,,,,50052.0,47371.0,https://pypi.org/project/gym,619478.0,625451.0,https://anaconda.org/conda-forge/gym,2023-06-16 19:18:41.854,256871.0,,,,,1.0,,2022-10-04 23:58:42.348,2681.0,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-16 12:44:48.000000,2023-11-15 19:38:27,1953.0,218.0,3589.0,308.0,2293.0,832.0,1431.0,29585.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",262.0,41,True,2023-11-13 17:54:24.000,0.12.3,78.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4885.0,4799.0,https://pypi.org/project/deepspeed,411164.0,411539.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17285.0,1.0,,2023-11-13 17:54:24.000,86.0,,,,,,,,,,,,,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-11-16 07:59:49.000000,2023-11-15 23:43:14,5936.0,252.0,2530.0,306.0,3906.0,694.0,3048.0,28490.0,Streamlit A faster way to build and share data apps.,204.0,41,True,2023-11-13 20:42:41.000,1.28.2,211.0,streamlit,,,,,1183.0,,https://pypi.org/project/streamlit,2713094.0,2713094.0,,,,,,,,1.0,,2023-11-13 20:42:32.000,1183.0,,,,,,,,,,,,,,,,,,,
