,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
19,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-02-20 14:02:02.000000,2025-02-20 11:34:23,25771.0,1473.0,2853.0,334.0,17633.0,1496.0,4476.0,31348.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",834.0,45,True,2025-01-17 18:27:26.000,jax-v0.5.0,173.0,jax,conda-forge/jaxlib,,,,39597.0,37454.0,https://pypi.org/project/jax,2025-01-17 17:40:30.000,2143.0,6709042.0,6750337.0,https://anaconda.org/conda-forge/jaxlib,2025-01-06 04:26:25.655,2312549.0,,,,,1.0,,,,,,,,jax-ml/jax,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-02-20 07:06:50.000000,2025-02-20 07:06:50,7342.0,145.0,8740.0,909.0,5853.0,456.0,5023.0,26608.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",657.0,45,True,2025-02-06 18:23:31.000,2.1.4,86.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,134442.0,132186.0,https://pypi.org/project/xgboost,2025-02-06 18:16:59.000,2256.0,22892700.0,22999180.0,https://anaconda.org/conda-forge/xgboost,2025-02-07 00:07:26.580,5850662.0,,,,,1.0,13807.0,,,,,,,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-02-20 12:56:02.000000,2025-02-20 12:56:02,52896.0,1115.0,5668.0,714.0,52403.0,1754.0,17588.0,22485.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1348.0,45,True,2024-09-13 08:31:46.000,2.6.2,73.0,paddlepaddle,,,,['paddle'],7271.0,7059.0,https://pypi.org/project/paddlepaddle,2025-01-23 03:28:11.000,212.0,317125.0,317276.0,,,,,,,,1.0,15428.0,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-02-19 16:27:51.000000,2025-02-18 19:34:07,20713.0,73.0,4206.0,437.0,6282.0,796.0,7084.0,19617.0,"Interactive Data Visualization in the browser, from Python.",709.0,45,True,2025-02-05 17:52:27.000,3.6.3,230.0,bokeh,conda-forge/bokeh,,,,99973.0,98107.0,https://pypi.org/project/bokeh,2025-02-13 18:53:19.000,1866.0,3981674.0,4265780.0,https://anaconda.org/conda-forge/bokeh,2025-02-06 12:06:49.451,15909946.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-02-19 17:12:53.000000,2025-02-19 17:12:53,7909.0,79.0,3253.0,281.0,4024.0,344.0,3065.0,15418.0,Network Analysis in Python.,760.0,45,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,364123.0,354493.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,68992622.0,69368766.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,20311807.0,,,,,1.0,79.0,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-02-20 05:28:58.000000,2025-02-20 05:28:58,14714.0,18.0,2887.0,461.0,1505.0,276.0,1578.0,13868.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,469.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,355278.0,350581.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,25417410.0,25481599.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,3016926.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-02-19 12:26:31.000000,2025-02-19 12:26:31,15662.0,73.0,3091.0,288.0,3984.0,2851.0,2820.0,10436.0,Statsmodels: statistical modeling and econometrics in Python.,451.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,158639.0,154170.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16002986.0,16311306.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,17265932.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-02-20 05:59:16.000000,2025-02-19 23:42:05,7475.0,252.0,2729.0,180.0,4885.0,465.0,4898.0,36216.0,"Wrap UIs around any model, share with anyone.",508.0,44,True,2025-02-19 20:05:11.000,5.16.2,622.0,gradio,,,,,58290.0,57254.0,https://pypi.org/project/gradio,2025-02-19 20:05:11.000,1036.0,6947034.0,6947034.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-02-03 17:32:33.000000,2025-02-03 17:32:23,16225.0,12.0,4443.0,563.0,4036.0,182.0,5524.0,30954.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,44,True,2025-01-14 11:08:42.000,3.8.4,239.0,spacy,conda-forge/spacy,,,,118580.0,115649.0,https://pypi.org/project/spacy,2025-01-14 11:08:42.000,2931.0,11985334.0,12080734.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5341401.0,,,,,1.0,1543.0,,,,,,,,,,,,,,,,,,,
28,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-02-20 09:58:14.000000,2025-02-20 09:55:51,7233.0,410.0,4342.0,307.0,10267.0,1696.0,2702.0,19533.0,Open source platform for the machine learning lifecycle.,824.0,44,True,2025-02-13 13:24:22.000,2.20.2,125.0,mlflow,conda-forge/mlflow,,,,53633.0,52647.0,https://pypi.org/project/mlflow,2025-02-13 10:57:46.000,986.0,14024919.0,14077995.0,https://anaconda.org/conda-forge/mlflow,2025-02-13 21:33:32.191,2972260.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-02-20 06:30:19.000000,2025-02-20 06:22:32,19554.0,1137.0,2167.0,95.0,4092.0,1249.0,3406.0,17804.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",408.0,44,True,2025-02-20 06:30:19.000,1.61.11-nightly,1091.0,litellm,,,,others,8537.0,7701.0,https://pypi.org/project/litellm,2025-02-20 05:42:10.000,836.0,5599503.0,5599706.0,,,,,,,,1.0,407.0,,,,,,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-02-20 11:43:06.000000,2025-02-20 11:43:06,9469.0,127.0,1742.0,214.0,6183.0,1105.0,4366.0,12952.0,Parallel computing with task scheduling.,619.0,44,True,2025-02-13 23:03:39.000,2025.2.0,216.0,dask,conda-forge/dask,,,,72948.0,70282.0,https://pypi.org/project/dask,2025-02-13 23:03:39.000,2666.0,9991735.0,10213858.0,https://anaconda.org/conda-forge/dask,2025-02-14 01:09:15.019,12661051.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,,,,,,
31,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-02-18 10:24:34.000000,2025-02-18 10:24:33,10509.0,54.0,3435.0,251.0,10382.0,866.0,6352.0,29015.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",994.0,43,True,2024-12-21 01:35:39.000,2.5.0.post0,282.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],43635.0,42099.0,https://pypi.org/project/pytorch-lightning,2024-12-21 01:36:45.000,1536.0,7535509.0,7561519.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1441649.0,,,,,2.0,11517.0,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-02-19 23:51:55.000000,2025-02-14 21:26:12,7787.0,29.0,2108.0,426.0,1193.0,529.0,1388.0,21952.0,Data Apps & Dashboards for Python. No JavaScript Required.,170.0,43,True,2024-11-04 21:17:37.000,2.18.2,184.0,dash,conda-forge/dash,,,,79447.0,77942.0,https://pypi.org/project/dash,2025-02-18 20:27:39.000,1505.0,4738987.0,4768987.0,https://anaconda.org/conda-forge/dash,2025-01-24 13:51:51.640,1679979.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-02-20 09:38:01.000000,2025-02-20 09:14:18,3010.0,87.0,3700.0,437.0,3564.0,338.0,2609.0,18469.0,Open standard for machine learning interoperability.,338.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,41417.0,40364.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5725454.0,5754512.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1612662.0,,,,,1.0,23002.0,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2025-02-20 02:16:26.000000,2025-02-17 12:39:16,3646.0,45.0,3856.0,436.0,3344.0,402.0,3106.0,16971.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",325.0,43,True,2025-02-15 04:02:50.000,4.6.0,39.0,lightgbm,conda-forge/lightgbm,,,,46095.0,44847.0,https://pypi.org/project/lightgbm,2025-02-15 04:02:50.000,1248.0,8238776.0,8301325.0,https://anaconda.org/conda-forge/lightgbm,2025-02-19 15:41:37.440,3155653.0,,,,,2.0,282932.0,,,,,,,,2.0,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-02-20 12:35:01.000000,2025-02-20 03:21:16,3446.0,449.0,1729.0,195.0,4165.0,707.0,932.0,14518.0,Development repository for the Triton language and compiler.,369.0,43,True,2025-01-22 19:12:21.000,3.2.0,197.0,triton,,,,,54064.0,53728.0,https://pypi.org/project/triton,2025-01-22 19:12:21.000,336.0,19401268.0,19401268.0,,,,,,,,1.0,,,,,,,,triton-lang/triton,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-02-20 08:19:57.000000,2025-02-20 08:19:57,5103.0,85.0,2109.0,1667.0,4988.0,375.0,2765.0,12498.0,WebGL2 powered visualization framework.,282.0,43,True,2025-02-17 15:44:20.754,9.1.2,685.0,pydeck,conda-forge/pydeck,,,['jupyter'],9118.0,8683.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,6357271.0,6910251.0,https://anaconda.org/conda-forge/pydeck,2025-01-31 18:06:48.129,695896.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-02-17 15:44:20.754,315.0,540328.0,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-02-19 09:24:15.000000,2025-02-19 09:24:15,18899.0,377.0,1057.0,119.0,3866.0,61.0,1655.0,11398.0,A hyperparameter optimization framework.,288.0,43,True,2025-02-12 07:57:23.000,4.2.1,72.0,optuna,conda-forge/optuna,,,,23450.0,22294.0,https://pypi.org/project/optuna,2025-02-12 07:57:23.000,1156.0,3437830.0,3478187.0,https://anaconda.org/conda-forge/optuna,2025-02-14 01:37:55.790,2260040.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
