,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,new_addition,updated_github_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-02-10 13:32:28.000000,2022-02-10 11:23:54,27265.0,570.0,4086,331.0,7670.0,1852.0,6407.0,9202,"Ecosystem of open-source software for mathematics, science, and engineering.",1230.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,513901.0,457543.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56358.0,35658903.0,35962297.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,20638614.0,,,,,1.0,338480.0,,,,,,,,,,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-02-10 14:06:29.000000,2022-02-10 13:52:07,8944.0,630.0,13604,793.0,6883.0,439.0,8313.0,57945,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1144.0,48,True,2022-01-31 16:54:26.000,4.16.2,87.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",22857.0,22102.0,https://pypi.org/project/transformers,2022-01-31 16:52:49.000,755.0,3533043.0,3536467.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,94868.0,,,,,1.0,1427.0,,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-02-10 08:37:34.000000,2022-02-09 13:17:17,11829.0,61.0,4207,475.0,2488.0,517.0,4161.0,18630,Asynchronous task queue/job queue based on distributed message passing.,1177.0,46,True,2021-12-29 05:52:09.000,5.2.3,187.0,celery,conda-forge/celery,,,,79224.0,64391.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000,14833.0,5166992.0,5177979.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,780088.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-02-09 12:51:23.000000,2022-02-09 12:51:15,14220.0,52.0,2545,472.0,1335.0,211.0,1378.0,10435,Suite of libraries and programs for symbolic and statistical natural language processing for English.,412.0,45,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,141444.0,129650.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11794.0,11061653.0,11078592.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1117979.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-02-10 14:02:40.964000,2022-02-10 07:40:17,12590.0,299.0,1788,212.0,3597.0,152.0,2286.0,9433,The friendly PIL fork (Python Imaging Library).,385.0,45,True,2022-02-03 03:49:29.000,9.0.1,86.0,Pillow,conda-forge/pillow,,,,62222.0,,https://pypi.org/project/Pillow,2022-02-03 03:41:36.000,62222.0,36573980.0,36753891.0,https://anaconda.org/conda-forge/pillow,2022-02-10 14:02:40.964,12593798.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-02-10 10:45:33.000000,2022-02-10 00:42:47,6465.0,275.0,18986,1978.0,4936.0,266.0,10856.0,53928,Deep Learning for humans.,1026.0,44,True,2022-02-03 05:13:44.000,2.8.0,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],224.0,,https://pypi.org/project/keras,2022-01-31 19:00:05.000,224.0,8052276.0,8083133.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2036568.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-02-10 14:39:54.000000,2022-02-10 14:38:53,14997.0,918.0,9976,732.0,15350.0,940.0,4111.0,25007,"Platform to programmatically author, schedule, and monitor workflows.",2261.0,44,True,2022-01-10 18:26:40.000,helm-chart/1.4.0,100.0,apache-airflow,conda-forge/airflow,apache/airflow,,,445.0,,https://pypi.org/project/apache-airflow,2021-12-21 16:23:13.000,445.0,4158017.0,4933774.0,https://anaconda.org/conda-forge/airflow,2021-12-22 16:00:13.998,536033.0,https://hub.docker.com/r/apache/airflow,2022-01-25 18:25:05.854481,317.0,62582840.0,1.0,245618.0,stable/airflow,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-02-10 12:45:46.000000,2022-02-10 12:45:46,15268.0,94.0,3654,563.0,2923.0,102.0,4934.0,22386,Industrial-strength Natural Language Processing (NLP) in Python.,648.0,44,True,2021-12-07 16:30:56.000,3.2.1,189.0,spacy,conda-forge/spacy,,,,36866.0,34660.0,https://pypi.org/project/spacy,2021-12-15 15:54:05.638,2206.0,3912953.0,3955410.0,https://anaconda.org/conda-forge/spacy,2022-01-14 17:00:05.760,2544596.0,,,,,1.0,3122.0,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-02-10 12:40:57.000000,2022-02-10 08:58:02,5652.0,103.0,8297,942.0,3356.0,300.0,4025.0,22186,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",547.0,44,True,2022-01-17 16:17:38.000,1.5.2,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,28087.0,26814.0,https://pypi.org/project/xgboost,2022-01-17 16:17:38.000,1273.0,8497475.0,8536219.0,https://anaconda.org/conda-forge/xgboost,2022-01-26 21:02:30.362,2283700.0,,,,,1.0,3698.0,,,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-02-10 13:32:52.000000,2022-02-09 19:08:51,6689.0,57.0,2466,277.0,2469.0,336.0,2464.0,10282,Network Analysis in Python.,566.0,44,True,2021-09-09 22:09:39.000,2.6.3,70.0,networkx,conda-forge/networkx,,,,110558.0,97502.0,https://pypi.org/project/networkx,2021-12-15 13:42:18.312,13056.0,16028326.0,16113788.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009,5469623.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,,
20,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-02-10 12:35:52.000000,2022-02-10 05:42:14,50056.0,821.0,3508,289.0,11274.0,4242.0,7795.0,8849,A computer algebra system written in pure Python.,1124.0,44,True,2021-10-08 23:27:06.000,sympy-1.9,40.0,sympy,conda-forge/sympy,,,,43187.0,39140.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000,4047.0,1968011.0,1999277.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086,1860163.0,,,,,1.0,443734.0,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-02-10 07:38:44.000000,2022-02-09 07:36:38,14485.0,230.0,2430,258.0,3503.0,2263.0,2488.0,7095,Statsmodels: statistical modeling and econometrics in Python.,358.0,44,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,61864.0,57354.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4510.0,7515480.0,7597269.0,https://anaconda.org/conda-forge/statsmodels,2021-11-13 01:23:06.115,5561708.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-02-10 05:05:39.000000,2022-02-10 05:05:39,13090.0,133.0,1929,184.0,3664.0,314.0,2047.0,4763,Image processing in Python.,542.0,44,True,2021-12-15 17:06:01.000,0.19.1,43.0,scikit-image,conda-forge/scikit-image,,,,101832.0,92823.0,https://pypi.org/project/scikit-image,2021-12-15 17:04:53.000,9009.0,4975111.0,5020858.0,https://anaconda.org/conda-forge/scikit-image,2021-12-17 22:08:09.599,3156559.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-02-10 14:15:29.000000,2022-02-10 12:44:22,11251.0,910.0,3238,417.0,12922.0,2321.0,7136.0,19140,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",629.0,43,True,2022-02-04 19:23:01.000,ray-1.10.0,65.0,ray,conda-forge/ray-tune,,,,4136.0,3904.0,https://pypi.org/project/ray,2022-02-04 18:58:12.000,232.0,853976.0,855581.0,https://anaconda.org/conda-forge/ray-tune,2022-02-07 13:21:59.855,22476.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-02-10 12:08:13.000000,2022-02-09 15:17:37,19487.0,118.0,3866,461.0,5088.0,703.0,6132.0,15952,"Interactive Data Visualization in the browser, from Python.",596.0,43,True,2021-11-22 17:49:14.000,2.4.2,118.0,bokeh,conda-forge/bokeh,,,,48331.0,44848.0,https://pypi.org/project/bokeh,2022-01-27 18:33:32.000,3483.0,2823540.0,2935353.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6485197.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-02-10 14:27:38.000000,2022-02-10 14:27:38,6977.0,135.0,1430,228.0,4433.0,777.0,3429.0,9517,Parallel computing with task scheduling.,506.0,43,True,2022-01-28 20:32:36.000,2022.1.1,135.0,dask,conda-forge/dask,,,,36247.0,33696.0,https://pypi.org/project/dask,2022-01-28 20:32:36.000,2551.0,7577830.0,7649569.0,https://anaconda.org/conda-forge/dask,2022-01-29 02:27:03.372,4950007.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-02-10 14:36:42.000000,2022-02-10 13:11:06,10921.0,586.0,2200,334.0,11678.0,201.0,698.0,9070,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,802.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,50583485.0,50596141.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,873311.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-02-10 13:59:19.000000,2022-02-10 13:32:18,32329.0,668.0,25125,2088.0,35453.0,232.0,,32027,Apache Spark Python API.,2612.0,42,True,2022-01-26 05:20:58.000,3.2.1,28.0,pyspark,conda-forge/pyspark,,,['spark'],759.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,759.0,17116541.0,17141118.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1450101.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,,
28,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-02-09 10:19:07.000000,2022-02-08 16:20:18,1496.0,74.0,7337,991.0,1126.0,118.0,1380.0,26382,A toolkit for developing and comparing reinforcement learning algorithms.,343.0,42,True,2021-10-06 22:04:25.000,0.21.0,96.0,gym,conda-forge/gym,,,,28626.0,26284.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000,2342.0,565948.0,570008.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,89321.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-02-10 13:58:57.000000,2022-02-10 13:10:38,6520.0,493.0,2151,221.0,5631.0,490.0,4152.0,17301,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",619.0,42,True,2022-02-09 20:53:39.000,1.5.10,203.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],7107.0,6797.0,https://pypi.org/project/pytorch-lightning,2022-02-09 20:53:39.000,310.0,1118366.0,1138226.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-01-21 10:04:45.400,393754.0,,,,,2.0,5381.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-02-06 22:52:22.000000,2022-02-01 02:45:53,2856.0,92.0,3459,446.0,2452.0,168.0,2381.0,13442,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",250.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,11743.0,11167.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,9734667.0,9753142.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,886158.0,,,,,2.0,137137.0,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-02-09 19:41:03.000000,2022-02-09 18:45:14,5379.0,69.0,2110,268.0,1301.0,1094.0,1162.0,10968,The interactive graphing library for Python (includes Plotly Express).,191.0,42,True,2022-02-09 18:43:08.000,5.6.0,277.0,plotly,conda-forge/plotly,,,,3852.0,9.0,https://pypi.org/project/plotly,2022-02-09 18:28:55.000,3839.0,7172374.0,7257364.0,https://anaconda.org/conda-forge/plotly,2021-12-21 05:39:52.763,2196223.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,51714.0,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-02-10 14:13:46.000000,2022-02-10 14:13:42,3943.0,115.0,1720,1753.0,3705.0,139.0,2220.0,9441,WebGL2 powered visualization framework.,187.0,42,True,2022-02-02 00:06:12.571,8.6.8,517.0,pydeck,conda-forge/pydeck,,,['jupyter'],3953.0,3552.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,16.0,828851.0,1119988.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,67883.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-02-10 08:30:10.984,385.0,288309.0,,,,,,,,,,,,,,
33,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-02-10 00:27:14.000000,2022-02-10 00:27:13,4947.0,97.0,1469,190.0,3952.0,545.0,1089.0,5762,TensorFlows Visualization Toolkit.,275.0,42,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],96092.0,93799.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2293.0,12839922.0,12893618.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2738498.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-02-10 13:28:24.000000,2022-02-10 13:16:14,33858.0,1265.0,4253,733.0,25261.0,2773.0,12102.0,17572,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,701.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,,,['paddle'],135.0,91.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,104732.0,104963.0,,,,,,,,2.0,15308.0,,,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-02-07 15:11:17.000000,2022-01-25 16:55:35,4302.0,15.0,4094,432.0,1577.0,380.0,1362.0,12898,Topic Modelling for Humans.,417.0,41,True,2021-09-18 14:21:47.000,4.1.2,89.0,gensim,conda-forge/gensim,,,,33079.0,30258.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000,2821.0,9557432.0,9571926.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380,765770.0,,,,,1.0,3505.0,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-02-10 01:30:04.000000,2022-02-07 18:35:52,1895.0,43.0,2321,430.0,2134.0,481.0,1363.0,12033,Open standard for machine learning interoperability.,221.0,41,True,2021-10-26 19:14:09.000,1.10.2,24.0,onnx,conda-forge/onnx,,,,5827.0,5509.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000,318.0,1428310.0,1435515.0,https://anaconda.org/conda-forge/onnx,2021-12-14 07:56:56.053,350377.0,,,,,1.0,17421.0,,,,,,,,,,,,,,,,,,,,
37,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-02-10 12:48:02.000000,2022-02-10 10:34:02,2458.0,229.0,5588,361.0,3276.0,650.0,1608.0,10832,"Datasets, Transforms and Models specific to Computer Vision.",461.0,41,True,2022-01-27 22:31:01.000,0.11.3,29.0,torchvision,conda-forge/torchvision,,,['pytorch'],3482.0,,https://pypi.org/project/torchvision,2022-01-27 20:36:45.000,3482.0,2949258.0,2952673.0,https://anaconda.org/conda-forge/torchvision,2022-02-06 13:13:27.836,170765.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
