,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,npm_latest_release_published_at,npm_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-01-04 10:05:34.000000,2024-01-04 09:15:31,49330.0,611.0,7118.0,591.0,17579.0,1167.0,8827.0,18665.0,matplotlib: plotting with Python.,1635.0,48,True,2023-11-18 01:36:36.000,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1050224.0,1050224.0,https://pypi.org/project/matplotlib,44160520.0,44660131.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21483304.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-04 13:35:16.000000,2024-01-04 12:50:43,16930.0,563.0,1951.0,223.0,4568.0,69.0,2905.0,11381.0,Python Imaging Library (Fork).,457.0,47,True,2024-01-02 09:38:41.000,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1484588.0,1484588.0,https://pypi.org/project/Pillow,68301572.0,69144962.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35422393.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-04 13:55:38.000000,2024-01-04 12:08:28,18793.0,1020.0,2424.0,322.0,11995.0,1506.0,3603.0,26187.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",613.0,46,True,2023-12-14 07:31:53.000,0.4.23,157.0,jax,conda-forge/jaxlib,,,,21512.0,20735.0,https://pypi.org/project/jax,4618339.0,4641995.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1017246.0,,,,,1.0,,2023-12-14 07:31:53.000,777.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-04 12:21:45.000000,2024-01-02 09:29:33,10210.0,418.0,18581.0,1911.0,6851.0,145.0,11355.0,60125.0,Deep Learning for humans.,1267.0,45,True,2023-12-21 19:22:48.000,3.0.2,56.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,12804342.0,12882219.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3348734.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-04 00:48:10.000000,2024-01-02 15:24:52,10034.0,249.0,3030.0,244.0,9807.0,630.0,6020.0,25590.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",918.0,45,True,2023-12-21 15:14:18.000,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27675.0,27675.0,https://pypi.org/project/pytorch-lightning,4063157.0,4087526.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1030315.0,,,,,1.0,13929.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-04 10:59:10.000000,2024-01-03 23:50:15,15240.0,130.0,2825.0,279.0,3836.0,2701.0,2730.0,9176.0,Statsmodels: statistical modeling and econometrics in Python.,421.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,116997.0,111486.0,https://pypi.org/project/statsmodels,11512368.0,11792144.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12030398.0,,,,,1.0,30.0,2023-12-14 14:50:21.000,5511.0,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-04 13:46:05.000000,2024-01-04 07:47:03,20273.0,892.0,4998.0,464.0,25682.0,3372.0,13194.0,29304.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,957.0,44,True,2023-12-21 00:32:08.000,ray-2.9.0,96.0,ray,conda-forge/ray-tune,,,,13531.0,13073.0,https://pypi.org/project/ray,2566148.0,2570999.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,179443.0,,,,,1.0,172.0,2023-12-21 00:27:32.000,458.0,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-02 09:03:06.000000,2024-01-02 09:03:06,16084.0,31.0,4150.0,555.0,3931.0,75.0,5444.0,27917.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22.000,3.7.2,100.0,spacy,conda-forge/spacy,,,,77503.0,77503.0,https://pypi.org/project/spacy,5894582.0,5971487.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3306938.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-04 13:00:14.000000,2024-01-04 08:51:33,6704.0,131.0,8132.0,911.0,4904.0,339.0,4697.0,25160.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",632.0,44,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,76670.0,76670.0,https://pypi.org/project/xgboost,11510369.0,11617108.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4480254.0,,,,,2.0,7952.0,,,,,,,,,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-04 14:12:17.000000,2024-01-04 11:55:06,45834.0,1834.0,5189.0,726.0,42742.0,1043.0,16574.0,21196.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1149.0,44,True,2023-07-25 11:09:59.000,2.5.0,60.0,paddlepaddle,,,,['paddle'],4472.0,4472.0,https://pypi.org/project/paddlepaddle,180075.0,180247.0,,,,,,,,2.0,15368.0,,,,,,,,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-04 07:02:08.000000,2024-01-04 07:02:07,5188.0,452.0,3743.0,292.0,7220.0,1301.0,2290.0,16165.0,Open source platform for the machine learning lifecycle.,685.0,44,True,2023-12-14 15:34:34.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,28749.0,28227.0,https://pypi.org/project/mlflow,13638784.0,13678122.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1691561.0,,,,,1.0,,2023-12-14 05:30:49.000,522.0,,,,,,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-12-31 21:18:34.000000,2023-12-21 22:10:00,6257.0,50.0,2403.0,280.0,1584.0,1402.0,1371.0,14641.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56.000,5.18.0,97.0,plotly,conda-forge/plotly,,,,228560.0,228560.0,https://pypi.org/project/plotly,10411643.0,10559126.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5141425.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,30633.0,,,,,,,,,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-01-04 00:59:02.000000,2024-01-04 00:59:02,56833.0,444.0,4044.0,291.0,12843.0,4247.0,8606.0,11730.0,A computer algebra system written in pure Python.,1265.0,44,False,2023-05-10 18:09:23.000,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,103260.0,103260.0,https://pypi.org/project/sympy,9140651.0,9197362.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4832244.0,,,,,1.0,527673.0,,,,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-03 20:19:50.194000,2023-12-31 21:35:22,3225.0,34.0,1750.0,259.0,1081.0,114.0,2336.0,11543.0,Statistical data visualization in Python.,209.0,44,True,2023-12-31 22:09:55.000,0.13.1,36.0,seaborn,conda-forge/seaborn,,,,345072.0,345072.0,https://pypi.org/project/seaborn,11858869.0,12042759.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7907158.0,,,,,1.0,373.0,,,,,,,,,,,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-04 11:18:30.000000,2024-01-03 19:29:16,6084.0,341.0,1773.0,144.0,3112.0,429.0,3030.0,25317.0,"Wrap UIs around any model, share with anyone.",240.0,43,True,2023-12-22 21:09:15.000,4.12.0,539.0,gradio,,,,,20437.0,20186.0,https://pypi.org/project/gradio,3885224.0,3885224.0,,,,,,,,1.0,,2023-12-22 21:09:15.000,251.0,,,,,,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-04 12:49:47.000000,2024-01-04 09:17:26,20349.0,113.0,4064.0,444.0,5940.0,722.0,6791.0,18449.0,"Interactive Data Visualization in the browser, from Python.",679.0,43,True,,,56.0,bokeh,conda-forge/bokeh,,,,81169.0,81169.0,https://pypi.org/project/bokeh,3839628.0,4147431.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13235551.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-04 05:40:05.000000,2024-01-03 19:39:00,2626.0,74.0,3613.0,438.0,3062.0,303.0,2316.0,16154.0,Open standard for machine learning interoperability.,303.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,23065.0,22404.0,https://pypi.org/project/onnx,3704492.0,3725644.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,898249.0,,,,,1.0,19732.0,2023-10-26 18:30:51.000,661.0,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-03 19:11:41.000000,2024-01-03 16:21:21,3405.0,49.0,3788.0,437.0,3049.0,337.0,2883.0,15767.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",293.0,43,True,2023-12-22 04:47:45.000,4.2.0,35.0,lightgbm,conda-forge/lightgbm,,,,29338.0,28475.0,https://pypi.org/project/lightgbm,6357037.0,6413325.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2147878.0,,,,,2.0,210029.0,2023-12-22 04:47:45.000,863.0,,,,,,,,,,,,,,,,,,,
28,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-01-04 13:36:36.000000,2024-01-04 12:02:48,31333.0,352.0,4799.0,349.0,10190.0,1473.0,8131.0,12045.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1563.0,43,True,2023-11-18 21:48:38.000,1.11.4,84.0,scipy,conda-forge/scipy,,,,21.0,21.0,https://pypi.org/project/scipy,66962257.0,68133725.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,44370094.0,,,,,1.0,391112.0,,,,,,,-5.0,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-04 13:35:09.000000,2024-01-04 13:23:56,7963.0,86.0,1664.0,213.0,5578.0,1031.0,4066.0,11661.0,Parallel computing with task scheduling.,592.0,43,True,2023-12-15 20:45:42.000,2023.12.1,186.0,dask,conda-forge/dask,,,,59079.0,55987.0,https://pypi.org/project/dask,6219151.0,6460198.0,https://anaconda.org/conda-forge/dask,2023-12-15 22:47:54.178,10606096.0,,,,,1.0,,2023-12-15 20:45:42.000,3092.0,,,,,,stable/dask,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-27 18:42:51.000000,2023-12-27 18:42:50,5737.0,60.0,1627.0,194.0,4881.0,647.0,1219.0,6442.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],210937.0,208032.0,https://pypi.org/project/tensorboard,20475718.0,20579452.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4460592.0,,,,,1.0,,2023-11-02 20:49:50.000,2905.0,,,,,,,,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-01-04 13:02:53.000000,2024-01-03 19:16:49,7550.0,114.0,2993.0,275.0,3597.0,174.0,2932.0,13718.0,Network Analysis in Python.,700.0,42,False,2023-10-28 09:53:23.000,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,213069.0,213069.0,https://pypi.org/project/networkx,34265658.0,34617525.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14426583.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-12-27 20:15:34.000000,2023-12-24 12:24:15,14508.0,42.0,2692.0,468.0,1446.0,250.0,1498.0,12661.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,451.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,242140.0,242140.0,https://pypi.org/project/nltk,12019241.0,12045988.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2380486.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-04 14:24:27.000000,2024-01-03 14:02:56,4602.0,75.0,1974.0,1694.0,4442.0,252.0,2570.0,11436.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:36:42.000,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6958.0,6958.0,https://pypi.org/project/pydeck,1787109.0,2121209.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,467950.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,324144.0,,,,,,,,,,,,,,,
34,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-01-01 20:55:31.000000,2023-12-22 22:10:20,13790.0,54.0,2115.0,186.0,4329.0,526.0,2035.0,5731.0,Image processing in Python.,644.0,42,False,2023-10-03 21:36:37.000,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,165746.0,165746.0,https://pypi.org/project/scikit-image,11609835.0,11746338.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5869652.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-03 00:54:10.000000,2023-12-30 20:13:06,2116.0,84.0,4341.0,305.0,431.0,70.0,757.0,28253.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08.000,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],21028.0,21028.0,https://pypi.org/project/timm,3542957.0,3653182.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,117182.0,,,,,1.0,6016377.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,,
36,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2024-01-04 13:19:27.000000,2024-01-04 12:50:46,18770.0,668.0,2451.0,343.0,18350.0,674.0,9250.0,24931.0,"A cloud-native vector database, storage for next generation AI applications.",261.0,41,True,2024-01-03 03:52:59.000,2.3.5,100.0,pymilvus,,milvusdb/milvus,,,80.0,,https://pypi.org/project/pymilvus,377318.0,575809.0,,,,https://hub.docker.com/r/milvusdb/milvus,2024-01-04 12:25:33.000990,38.0,10086730.0,1.0,63229.0,2024-01-03 03:52:59.000,80.0,,,,,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-01-02 14:01:32.000000,2024-01-02 14:01:29,2583.0,54.0,3064.0,252.0,783.0,1412.0,956.0,20857.0,A game theoretic approach to explain the output of any machine learning model.,229.0,41,True,2023-12-07 12:26:48.000,0.44.0,100.0,shap,conda-forge/shap,,,,15586.0,15137.0,https://pypi.org/project/shap,6740713.0,6801277.0,https://anaconda.org/conda-forge/shap,2023-12-21 19:21:37.314,2240885.0,,,,,1.0,,2023-12-07 12:26:48.000,449.0,shap/shap,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-01-04 12:28:05.000000,2024-01-03 14:12:45,9141.0,124.0,1137.0,137.0,5325.0,523.0,4037.0,12731.0,ML Experiments Management with Git.,290.0,41,True,2024-01-04 12:28:05.000,3.38.0,503.0,dvc,conda-forge/dvc,,,,11740.0,11647.0,https://pypi.org/project/dvc,714373.0,758949.0,https://anaconda.org/conda-forge/dvc,2023-12-28 08:33:15.189,1746987.0,,,,,1.0,47396.0,2024-01-04 12:28:05.000,93.0,,,,,,,dvc,dvc,dvc,,,,,,,,,,
