,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,dnf_id,yay_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-19 18:59:42.000000,2022-06-19 15:46:46,43460,699.0,6387,581.0,14631.0,1839.0,7140.0,15665,matplotlib: plotting with Python.,1373.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,629714.0,575186.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,28546209.0,28699356.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12404932.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-19 20:48:34.000000,2022-06-19 20:48:34,28134,565.0,4250,331.0,8164.0,1763.0,6840.0,9763,"Ecosystem of open-source software for mathematics, science, and engineering.",1289.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,582941.0,525233.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,42127837.0,42461430.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,24045239.0,,,,,1.0,349195.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-19 13:21:43.000000,2022-06-19 13:21:43,13394,486.0,1856,211.0,3788.0,135.0,2435.0,9884,The friendly PIL fork (Python Imaging Library).,400.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,830081.0,767173.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,46016408.0,46230000.0,https://anaconda.org/conda-forge/pillow,2022-06-15 13:38:25.992,15805879.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-19 09:19:50.000000,2022-06-16 15:12:38,6936,191.0,2637,273.0,2766.0,392.0,2577.0,10868,Network Analysis in Python.,599.0,45,True,2022-06-14 04:04:30.000,2.8.4,79.0,networkx,conda-forge/networkx,,,,123831.0,110411.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13420.0,19907310.0,20007027.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6780791.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-19 09:14:58.000000,2022-06-16 19:42:22,7068,405.0,19092,1945.0,5335.0,335.0,11081.0,55460,Deep Learning for humans.,1075.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,10626252.0,10659600.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2334361.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-18 07:12:47.000000,2022-06-17 19:24:13,15477,120.0,3846,555.0,3148.0,101.0,5049.0,23614,Industrial-strength Natural Language Processing (NLP) in Python.,683.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,,,42588.0,40232.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2356.0,6042394.0,6084239.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2675165.0,,,,,1.0,3141.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-17 18:17:39.000000,2022-06-16 20:07:31,5821,119.0,8398,929.0,3566.0,287.0,4178.0,22874,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,33789.0,32448.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,9568151.0,9611282.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2714606.0,,,,,1.0,4351.0,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-18 20:38:53.000000,2022-06-18 19:33:52,11977,1113.0,1642,273.0,6772.0,1080.0,2310.0,18364,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",409.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,,4994.0,4691.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,568774.0,578440.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,338325.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-13 20:10:39.000000,2022-06-13 20:10:39,14304,54.0,2572,471.0,1360.0,222.0,1402.0,10824,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,157904.0,146084.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13264254.0,13282828.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1300247.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-19 20:40:29.000000,2022-06-19 20:18:49,51109,532.0,3662,284.0,11582.0,4444.0,7972.0,9327,A computer algebra system written in pure Python.,1150.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,47268.0,43136.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1752802.0,1786233.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2130242.0,,,,,1.0,454766.0,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-18 05:59:29.000000,2022-06-16 16:51:28,13226,103.0,2017,186.0,3771.0,618.0,1840.0,4943,Image processing in Python.,558.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,115096.0,105765.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,8275368.0,8324066.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3555010.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-19 19:56:02.000000,2022-06-18 23:33:54,13062,1237.0,3618,427.0,15303.0,2567.0,8097.0,20958,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",709.0,43,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,,5360.0,5086.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,274.0,1228718.0,1230666.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,35075.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-18 20:46:11.000000,2022-06-18 19:34:16,7040,364.0,2411,227.0,6266.0,507.0,4596.0,18805,Build high-performance AI models with PyTorch Lightning (organized PyTorch). Deploy models with Lightning Apps..,687.0,43,True,2022-06-01 14:43:53.000,1.6.4,210.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9965.0,9580.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,385.0,3755036.0,3774369.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,459202.0,,,,,2.0,7032.0,,,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-19 16:44:05.000000,2022-06-15 20:16:39,19562,50.0,3947,455.0,5170.0,715.0,6215.0,16385,"Interactive Data Visualization in the browser, from Python.",606.0,43,True,2022-05-18 19:00:14.000,2.4.3,126.0,bokeh,conda-forge/bokeh,,,,56140.0,52592.0,https://pypi.org/project/bokeh,2022-06-13 19:18:35.000,3548.0,2715644.0,2837843.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7576365.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-19 04:25:10.000000,2022-06-17 03:22:45,7237,169.0,1497,223.0,4694.0,740.0,3669.0,10015,Parallel computing with task scheduling.,539.0,43,True,2022-06-10 21:53:29.000,2022.6.0,145.0,dask,conda-forge/dask,,,,40288.0,37638.0,https://pypi.org/project/dask,2022-06-10 21:53:29.000,2650.0,6208456.0,6287972.0,https://anaconda.org/conda-forge/dask,2022-06-11 00:24:06.072,5804702.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-18 16:34:58.000000,2022-06-18 16:34:42,2960,146.0,1594,247.0,826.0,108.0,1957.0,9528,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:42:18.000,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,172917.0,164075.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,9421089.0,9478121.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3992135.0,,,,,1.0,219.0,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-19 06:27:25.000000,2022-06-14 12:11:58,14606,76.0,2431,264.0,3568.0,2266.0,2527.0,7460,Statsmodels: statistical modeling and econometrics in Python.,376.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,69477.0,64964.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,10887742.0,10976128.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6363842.0,,,,,2.0,26.0,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-17 21:46:02.000000,2022-06-17 19:19:11,5069,87.0,1511,191.0,4104.0,576.0,1126.0,5883,TensorFlows Visualization Toolkit.,279.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],114854.0,112454.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,15638065.0,15692600.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,2999469.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-19 12:16:42.000000,2022-06-19 10:10:28,33399,733.0,25702,2075.0,36888.0,201.0,,33183,Apache Spark Python API.,2681.0,42,True,2022-06-15 08:58:01.000,3.3.0,30.0,pyspark,conda-forge/pyspark,,,['spark'],840.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,840.0,22506981.0,22534109.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1709065.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,
29,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-19 20:11:10.000000,2022-06-16 16:29:50,1650,100.0,7796,993.0,1313.0,110.0,1571.0,27847,A toolkit for developing and comparing reinforcement learning algorithms.,362.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,,32710.0,30257.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,548544.0,552978.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,115307.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-17 15:39:38.000000,2022-06-16 14:46:20,2277,192.0,2468,250.0,468.0,1366.0,597.0,16644,A game theoretic approach to explain the output of any machine learning model.,205.0,42,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,,5938.0,5663.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,4160742.0,4187593.0,https://anaconda.org/conda-forge/shap,2022-01-23 08:45:26.945,1235154.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-19 19:52:37.000000,2022-06-19 14:43:06,2999,94.0,3541,450.0,2601.0,218.0,2502.0,13907,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",259.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,,,14326.0,13696.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,7121507.0,7141886.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1055162.0,,,,,2.0,154749.0,,,,,,,,,,,,,,,,,,
32,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-11 18:04:24.000000,2022-05-06 00:53:28,4383,56.0,4210,431.0,1606.0,374.0,1393.0,13277,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,36951.0,34073.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,6431652.0,6446050.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,817994.0,,,,,1.0,3828.0,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-19 11:53:12.000000,2022-06-16 13:59:32,2800,242.0,5899,363.0,3810.0,705.0,1798.0,11887,"Datasets, Transforms and Models specific to Computer Vision.",487.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,5257108.0,5262183.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,267954.0,,,,,1.0,7027.0,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-06-15 15:23:51.000000,2022-06-14 19:22:27,5509,117.0,2161,273.0,1363.0,1173.0,1202.0,11662,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-06-10 16:45:47.000,5.8.2,281.0,plotly,conda-forge/plotly,,,,4120.0,10.0,https://pypi.org/project/plotly,2022-06-10 16:42:16.000,4106.0,7417413.0,7500186.0,https://anaconda.org/conda-forge/plotly,2022-06-10 21:16:29.949,2727890.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,43804.0,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-18 04:04:41.000000,2022-06-18 04:04:38,4130,137.0,1788,1738.0,3897.0,161.0,2293.0,9898,WebGL2 powered visualization framework.,198.0,42,True,2022-06-06 23:22:48.698,8.7.11,537.0,pydeck,conda-forge/pydeck,,,['jupyter'],4605.0,4196.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,883489.0,1157528.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,121295.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-13 19:49:04.818,385.0,269708.0,,,,,,,,,,,,
36,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-19 19:51:25.000000,2022-06-19 19:49:59,2398,227.0,7243,615.0,2083.0,109.0,1501.0,22403,The fastai deep learning library.,613.0,41,True,2022-06-19 06:28:14.000,2.7.2,137.0,fastai,,,,['pytorch'],10775.0,10474.0,https://pypi.org/project/fastai,2022-06-19 19:51:25.000,301.0,291927.0,291927.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
37,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-19 14:52:52.000000,2022-06-18 01:33:10,36130,1479.0,4515,730.0,28695.0,2894.0,12779.0,18377,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,761.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],169.0,121.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,87608.0,87826.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,
38,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-18 13:29:07.000000,2022-06-16 22:42:03,1979,69.0,2789,427.0,2256.0,282.0,1739.0,12725,Open standard for machine learning interoperability.,238.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,,,7586.0,7203.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,383.0,1143008.0,1151196.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,433111.0,,,,,1.0,17634.0,,,,,,,,,,,,,,,,,,
