,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-06-08 12:59:36.000000,2023-06-08 08:53:30,30298.0,581.0,4743.0,347.0,9518.0,1653.0,7738.0,11319.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1470.0,49,True,2023-02-19 21:46:42.000,1.10.1,77.0,scipy,conda-forge/scipy,,,,750127.0,750127.0,https://pypi.org/project/scipy,,,55377160.0,55834265.0,https://anaconda.org/conda-forge/scipy,2023-05-12 19:18:42.399,38519599.0,,,,,1.0,373766.0,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-06-08 14:14:40.000000,2023-06-07 01:53:47,47325.0,662.0,6726.0,588.0,16540.0,1314.0,8217.0,17518.0,matplotlib: plotting with Python.,1521.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,857784.0,857784.0,https://pypi.org/project/matplotlib,,,32408372.0,32613844.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,19108952.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-08 09:15:18.000000,2023-06-08 09:15:18,14881.0,364.0,1880.0,219.0,4277.0,82.0,2723.0,10886.0,Python Imaging Library (Fork).,437.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1204912.0,1204912.0,https://pypi.org/project/Pillow,,,54613352.0,54952880.0,https://anaconda.org/conda-forge/pillow,2023-05-21 08:34:35.799,29199428.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-06-08 13:51:15.000000,2023-06-03 18:16:43,54291.0,637.0,3975.0,290.0,12399.0,4752.0,8399.0,10844.0,A computer algebra system written in pure Python.,1226.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,69896.0,65351.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4545.0,9153358.0,9199454.0,https://anaconda.org/conda-forge/sympy,2023-05-15 20:27:39.985,3559038.0,,,,,1.0,502877.0,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-06-08 13:14:44.000000,2023-06-08 12:05:41,36982.0,868.0,26998.0,2040.0,41487.0,272.0,,35939.0,Apache Spark Python API.,2883.0,45,True,2023-04-13 18:49:07.812,3.4.0,36.0,pyspark,conda-forge/pyspark,,,['spark'],1024.0,,https://pypi.org/project/pyspark,2022-11-28 18:27:04.218,1024.0,24942363.0,24976891.0,https://anaconda.org/conda-forge/pyspark,2023-04-16 06:33:25.403,2589639.0,,,,,1.0,,7.0,stable/spark,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-01 08:25:37.000000,2023-05-17 23:23:50,15053.0,114.0,2530.0,275.0,3778.0,2451.0,2671.0,8557.0,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,94764.0,94764.0,https://pypi.org/project/statsmodels,,,10984547.0,11104304.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,10059593.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-08 09:43:36.000000,2023-06-08 09:43:36,15928.0,81.0,4130.0,553.0,3760.0,110.0,5347.0,26303.0,Industrial-strength Natural Language Processing (NLP) in Python.,726.0,44,True,2023-05-25 11:16:21.000,3.2.6,216.0,spacy,conda-forge/spacy,,,,64517.0,61848.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2669.0,5442533.0,5483026.0,https://anaconda.org/conda-forge/spacy,2023-05-16 12:39:45.588,3077539.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-08 14:06:58.000000,2023-06-08 11:27:34,17678.0,1376.0,4490.0,447.0,21818.0,2900.0,11444.0,25938.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,867.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,10414.0,9965.0,https://pypi.org/project/ray,2018-08-29 01:05:25.000,449.0,2192371.0,2196839.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,134038.0,,,,,1.0,83.0,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-08 13:42:51.000000,2023-06-08 13:07:22,16323.0,1133.0,2108.0,312.0,10101.0,1151.0,3093.0,23436.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",546.0,44,True,2023-06-01 06:29:29.000,jax-v0.4.11,73.0,jax,conda-forge/jaxlib,,,,13287.0,13287.0,https://pypi.org/project/jax,,,4433390.0,4449859.0,https://anaconda.org/conda-forge/jaxlib,2023-06-01 19:40:04.620,774066.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-08 12:41:36.000000,2023-06-08 10:39:41,20129.0,111.0,4105.0,448.0,5722.0,734.0,6603.0,17634.0,"Interactive Data Visualization in the browser, from Python.",660.0,44,True,2023-05-05 21:55:55.730,3.1.1,165.0,bokeh,conda-forge/bokeh,,,,73973.0,70256.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3717.0,3350963.0,3505387.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11427419.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-08 13:34:51.000000,2023-06-08 13:34:50,4132.0,332.0,3396.0,290.0,5560.0,1123.0,1975.0,14544.0,Open source platform for the machine learning lifecycle.,586.0,44,True,2023-06-06 14:54:09.911,2.4.0,76.0,mlflow,conda-forge/mlflow,,,,20552.0,20119.0,https://pypi.org/project/mlflow,2020-03-03 02:08:10.000,433.0,10373611.0,10400114.0,https://anaconda.org/conda-forge/mlflow,2023-06-07 04:15:03.065,1325170.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-08 11:12:24.000000,2023-06-07 17:24:04,6392.0,146.0,8049.0,917.0,4439.0,321.0,4503.0,24224.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",607.0,43,True,2023-03-30 18:30:05.000,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,58085.0,58085.0,https://pypi.org/project/xgboost,,,8779582.0,8832266.0,https://anaconda.org/conda-forge/xgboost,2023-06-02 10:01:13.176,3946908.0,,,,,2.0,6658.0,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-08 13:57:03.000000,2023-06-08 13:17:40,3277.0,60.0,3607.0,443.0,2906.0,260.0,2735.0,15031.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",283.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,22372.0,22372.0,https://pypi.org/project/lightgbm,,,5601964.0,5629404.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1764381.0,,,,,2.0,191660.0,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-08 13:58:39.000000,2023-06-05 13:44:41,7779.0,169.0,1630.0,214.0,5346.0,924.0,3990.0,11084.0,Parallel computing with task scheduling.,581.0,43,True,2023-05-26 20:10:46.954,2023.5.1,171.0,dask,conda-forge/dask,,,,52688.0,49756.0,https://pypi.org/project/dask,2016-08-18 12:21:05.000,2932.0,7658005.0,7764708.0,https://anaconda.org/conda-forge/dask,2023-05-26 22:07:27.812,9069780.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-08 04:57:52.000000,2023-06-07 17:20:49,5518.0,130.0,1595.0,191.0,4628.0,633.0,1195.0,6261.0,TensorFlows Visualization Toolkit.,300.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],174223.0,171586.0,https://pypi.org/project/tensorboard,2023-01-13 22:24:05.115,2637.0,19302891.0,19363063.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,4031544.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-08 08:35:03.000000,2023-06-07 17:19:48,8253.0,382.0,18453.0,1915.0,6431.0,293.0,11443.0,58548.0,Deep Learning for humans.,1184.0,42,True,2023-03-21 20:12:17.000,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,,,10045194.0,10082843.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3087244.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-08 13:58:25.000000,2023-06-08 11:56:35,42094.0,1691.0,5182.0,730.0,37549.0,1961.0,15755.0,20375.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1040.0,42,True,2023-05-08 08:33:39.000,2.4.2,62.0,paddlepaddle,,,,['paddle'],322.0,253.0,https://pypi.org/project/paddlepaddle,2023-02-17 11:58:01.010,69.0,126961.0,127148.0,,,,,,,,2.0,15353.0,,,,,,,,,,,,,,,,,,
27,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-08 14:52:30.000000,2023-06-08 12:24:13,5195.0,337.0,1228.0,128.0,1874.0,335.0,1888.0,18502.0,"Wrap UIs around any model, share with anyone.",168.0,42,True,2023-06-07 22:34:04.616,3.34.0,471.0,gradio,,,,,8023.0,7933.0,https://pypi.org/project/gradio,2023-02-20 00:20:01.258,90.0,3580922.0,3580922.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-06-08 11:31:18.000000,2023-06-06 19:56:47,3524.0,108.0,6703.0,384.0,4788.0,907.0,2132.0,14083.0,"Datasets, Transforms and Models specific to Computer Vision.",533.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4202.0,,https://pypi.org/project/torchvision,2018-04-24 19:12:00.028,4202.0,6922390.0,6933279.0,https://anaconda.org/conda-forge/torchvision,2023-06-02 10:31:02.417,695788.0,,,,,1.0,25714.0,6.0,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-06-08 02:55:59.000000,2023-06-08 02:55:58,7311.0,108.0,2925.0,281.0,3308.0,388.0,2801.0,12732.0,Network Analysis in Python.,653.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,162987.0,162987.0,https://pypi.org/project/networkx,,,26038595.0,26185857.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11780973.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-08 08:14:18.000000,2023-06-05 19:46:09,4453.0,68.0,1988.0,1709.0,4265.0,215.0,2482.0,10941.0,WebGL2 powered visualization framework.,228.0,42,True,2023-06-01 19:38:22.732,8.9.18,599.0,pydeck,conda-forge/pydeck,,,['jupyter'],6521.0,6037.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,35.0,1442016.0,1882648.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,385544.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-06-05 19:47:48.843,449.0,430994.0,,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-28 01:23:47.000000,2023-05-21 17:13:59,3147.0,26.0,1649.0,256.0,1003.0,118.0,2203.0,10789.0,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,267480.0,267480.0,https://pypi.org/project/seaborn,,,9010053.0,9092743.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6780416.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,
32,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-07 13:23:02.000000,2023-06-07 13:23:02,3506.0,76.0,694.0,149.0,1208.0,176.0,1624.0,8300.0,Declarative statistical visualization library for Python.,155.0,42,True,2023-05-26 21:55:53.000,5.0.1,23.0,altair,conda-forge/altair,,,,59134.0,59134.0,https://pypi.org/project/altair,,,12071155.0,12093193.0,https://anaconda.org/conda-forge/altair,2023-05-29 13:23:59.383,1829170.0,,,,,1.0,49.0,,,,,,,,,,,,,,,,,,
33,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-08 13:47:52.000000,2023-06-07 19:54:48,13591.0,129.0,2066.0,187.0,4162.0,486.0,1972.0,5434.0,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22.000,0.21.0,21.0,scikit-image,conda-forge/scikit-image,,,,143443.0,143443.0,https://pypi.org/project/scikit-image,,,7223600.0,7284065.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5139546.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-06-08 14:35:32.000000,2023-06-08 14:22:12,5549.0,210.0,2216.0,292.0,3385.0,641.0,2709.0,25161.0,Streamlit A faster way to build and share data apps.,182.0,41,True,2023-06-02 01:10:02.485,1.23.1,201.0,streamlit,,,,,1581.0,784.0,https://pypi.org/project/streamlit,2022-06-02 17:45:51.000,797.0,1843361.0,1843361.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-08 14:00:19.000000,2023-06-08 08:36:43,31970.0,640.0,4353.0,349.0,5802.0,125.0,6642.0,16484.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,41,True,2023-06-08 13:23:00.793,3.5.11,324.0,rasa,,,,['tensorflow'],3478.0,3413.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,65.0,128223.0,128223.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-08 10:34:18.000000,2023-06-06 19:10:20,2375.0,144.0,3533.0,431.0,2771.0,389.0,2044.0,14880.0,Open standard for machine learning interoperability.,284.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,16303.0,15816.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,487.0,3024238.0,3035625.0,https://anaconda.org/conda-forge/onnx,2023-05-15 20:27:33.538,744398.0,,,,,1.0,18901.0,,,,,,,,,,,,,,,,,,
37,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-06-05 15:05:40.278000,2023-06-03 20:12:44,8201.0,50.0,3216.0,474.0,654.0,34.0,2097.0,12018.0,A toolkit for making real world machine learning and data analysis applications in C++.,187.0,41,False,2023-06-03 20:05:00.841,19.24.2,34.0,dlib,conda-forge/dlib,,,,21103.0,20321.0,https://pypi.org/project/dlib,2022-05-08 14:40:14.000,782.0,169572.0,177046.0,https://anaconda.org/conda-forge/dlib,2023-06-05 15:05:40.278,584170.0,,,,,2.0,25255.0,,,,,,,,,,,,,,,,,,
38,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-02 02:45:48.000000,2023-06-02 02:45:47,14445.0,8.0,2615.0,469.0,1419.0,230.0,1480.0,12012.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,199365.0,199365.0,https://pypi.org/project/nltk,,,10841386.0,10865922.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,2011969.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
39,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-08 13:47:03.000000,2023-06-08 02:34:59,8766.0,231.0,1063.0,135.0,4943.0,573.0,3744.0,11620.0,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-05-31 12:45:12.029,2.58.2,434.0,dvc,conda-forge/dvc,,,,7805.0,7726.0,https://pypi.org/project/dvc,2018-05-17 17:05:03.000,79.0,698436.0,737015.0,https://anaconda.org/conda-forge/dvc,2023-05-31 14:47:12.166,1569590.0,,,,,1.0,108878.0,,,,,,,,dvc,dvc,dvc,,,,,,,,
