,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,bitbucket_id
10,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-11-17 17:04:40.000000,2021-11-17 17:03:52.000000,22237,2467.0,7245.0,47977.0,,scikit-learn: machine learning in Python.,2402.0,38,True,2021-10-25 11:00:07.000000,1.0.1,58.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],322173.0,284285.0,https://pypi.org/project/scikit-learn,2021-10-25 11:00:07.000000,37888.0,24799637.0,24957783.0,https://anaconda.org/conda-forge/scikit-learn,2021-11-13 11:24:34.144000,10436940.0,,,,,1.0,749.0,,,,,,,,,,,,,,,,,,,,,
11,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-11-17 10:34:54.000000,2021-11-16 02:51:12.000000,8212,300.0,3953.0,21855.0,5556.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",539.0,38,True,2021-10-17 17:15:49.000000,1.5.0,59.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,25296.0,23704.0,https://pypi.org/project/xgboost,2021-10-17 17:15:49.000000,1592.0,8785361.0,8822698.0,https://anaconda.org/conda-forge/xgboost,2021-10-24 20:16:54.255000,2088860.0,,,,,1.0,3372.0,,,,,,,,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-11-17 16:30:42.000000,2021-11-16 05:06:19.000000,3635,87.0,4835.0,21768.0,15176.0,Industrial-strength Natural Language Processing (NLP) in Python.,639.0,38,True,2021-11-05 15:54:48.000000,3.2.0,186.0,spacy,conda-forge/spacy,,,,34890.0,31824.0,https://pypi.org/project/spacy,2021-11-05 15:49:02.000000,3066.0,4058417.0,4101290.0,https://anaconda.org/conda-forge/spacy,2021-11-08 22:47:56.654000,2440917.0,,,,,1.0,3096.0,,,,,,,,,,,,,,,,,,,,,
13,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-11-17 18:49:08.000000,2021-11-17 18:49:08.000000,6124,2343.0,8042.0,18829.0,,The fundamental package for scientific computing with Python.,1361.0,38,True,2021-11-05 01:42:23.000000,1.21.4,104.0,numpy,conda-forge/numpy,,,,1054754.0,885032.0,https://pypi.org/project/numpy,2021-11-05 01:20:44.000000,169722.0,91600671.0,92003738.0,https://anaconda.org/conda-forge/numpy,2021-11-05 22:05:37.357000,26140961.0,,,,,1.0,419543.0,,,,,,,,,,,,,,,,,,,,,
14,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-11-17 18:28:18.000000,2021-11-16 16:20:38.000000,6156,1696.0,6651.0,14552.0,,matplotlib: plotting with Python.,1303.0,38,True,2021-11-16 07:19:21.000000,3.5.0,72.0,matplotlib,conda-forge/matplotlib,,,,537730.0,458626.0,https://pypi.org/project/matplotlib,2021-11-16 05:01:00.000000,79104.0,29077599.0,29217219.0,https://anaconda.org/conda-forge/matplotlib,2021-11-13 07:15:13.350000,10331925.0,,,,,1.0,,-4.0,,,,,,,,,,,,,,,,,,,,
15,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-11-17 01:33:48.000000,2021-10-31 20:52:06.000000,1489,97.0,1839.0,8927.0,2808.0,Statistical data visualization in Python.,158.0,38,True,2021-08-16 00:39:03.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,137782.0,124996.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,12786.0,11131006.0,11179969.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,3084591.0,,,,,1.0,206.0,,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-11-17 18:00:39.000000,2021-11-17 14:50:11.000000,24756,218.0,,31354.0,31704.0,Apache Spark Python API.,2574.0,37,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,,,['spark'],760.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,760.0,14682478.0,14706669.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1354724.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-11-17 17:27:33.000000,2021-11-17 17:25:24.000000,2099,201.0,671.0,8661.0,10360.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,757.0,37,True,2021-07-28 18:21:54.000000,5.0.0,34.0,pyarrow,conda-forge/arrow,,,,1042.0,56.0,https://pypi.org/project/pyarrow,2021-10-26 15:00:11.000000,986.0,34259528.0,34271951.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,819979.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-11-17 18:05:49.000000,2021-11-17 10:44:56.000000,3508,4242.0,7655.0,8598.0,49206.0,A computer algebra system written in pure Python.,1115.0,37,True,2021-10-08 23:27:06.000000,sympy-1.9,39.0,sympy,conda-forge/sympy,,,,43435.0,37013.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,6422.0,1911585.0,1942988.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086000,1783877.0,,,,,1.0,437583.0,,,,,,,,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-11-17 18:01:31.000000,2021-11-17 18:01:30.000000,1447,561.0,1045.0,5691.0,4857.0,TensorFlow's Visualization Toolkit.,274.0,37,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],88573.0,84959.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,3614.0,11085700.0,11141171.0,https://anaconda.org/conda-forge/tensorboard,2021-11-10 21:16:52.072000,2662624.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-11-17 17:25:44.000000,2021-11-14 13:59:04.000000,7337,118.0,1329.0,25707.0,1431.0,A toolkit for developing and comparing reinforcement learning algorithms.,326.0,36,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,,27931.0,24369.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,3562.0,1035261.0,1035261.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-11-15 18:02:13.000000,2021-10-20 18:24:29.000000,2138,1191.0,557.0,14612.0,2008.0,A game theoretic approach to explain the output of any machine learning model.,162.0,36,True,2021-10-20 18:36:57.000000,0.40.0,94.0,shap,conda-forge/shap,,,,3905.0,3769.0,https://pypi.org/project/shap,2021-10-20 19:13:31.000000,136.0,4373368.0,4391146.0,https://anaconda.org/conda-forge/shap,2021-10-24 14:05:16.285000,693343.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-11-17 08:17:37.000000,2021-11-17 03:32:03.000000,3429,154.0,2324.0,13188.0,2775.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",246.0,36,True,2021-10-27 23:58:39.000000,3.3.1,27.0,lightgbm,conda-forge/lightgbm,,,,10424.0,9868.0,https://pypi.org/project/lightgbm,2021-10-27 23:58:39.000000,556.0,12715959.0,12733691.0,https://anaconda.org/conda-forge/lightgbm,2021-11-14 14:17:04.388000,802139.0,,,,,1.0,126918.0,,,,,,,,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-11-09 13:39:50.380000,2021-10-28 01:18:52.000000,4094,380.0,1357.0,12647.0,4263.0,Topic Modelling for Humans.,411.0,36,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,,,33071.0,28329.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,4742.0,11723001.0,11737983.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380000,746727.0,,,,,1.0,3500.0,,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-11-15 23:48:07.000000,2021-11-15 14:48:48.000000,2035,1005.0,1146.0,10531.0,5315.0,The interactive graphing library for Python (includes Plotly Express).,188.0,36,True,2021-11-15 14:40:20.000000,5.4.0,275.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-11-15 14:39:00.000000,4982.0,12400029.0,12487635.0,https://anaconda.org/conda-forge/plotly,2021-11-15 16:33:27.242000,2073101.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,54700.0,,,,,,,,,,,,,,
25,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-11-17 14:36:26.000000,2021-11-16 14:17:16.000000,431,221.0,1047.0,1616.0,3840.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,172.0,36,True,2021-11-16 09:55:10.000000,3.6.0,31.0,h5py,conda-forge/h5py,,,,162021.0,139085.0,https://pypi.org/project/h5py,2021-11-16 13:35:22.000000,22936.0,10642670.0,10740225.0,https://anaconda.org/conda-forge/h5py,2021-09-13 23:55:44.101000,6631968.0,,,,,2.0,1557.0,,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-11-17 18:04:09.000000,2021-11-17 15:54:41.000000,1974,411.0,3839.0,16217.0,6054.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",574.0,35,True,2021-11-16 19:31:26.000000,1.5.2,195.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],5555.0,5541.0,https://pypi.org/project/pytorch-lightning,2021-11-16 19:31:26.000000,14.0,719867.0,742100.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-11-16 22:55:46.122000,375138.0,,,,,2.0,4676.0,,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-11-16 20:39:46.000000,2021-11-15 17:30:19.000000,2215,481.0,1285.0,11679.0,1853.0,Open standard for machine learning interoperability.,214.0,35,True,2021-10-26 19:14:09.000000,1.10.2,24.0,onnx,conda-forge/onnx,,,,4972.0,4676.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000000,296.0,1739650.0,1746535.0,https://anaconda.org/conda-forge/onnx,2021-10-24 18:06:22.378000,313721.0,,,,,1.0,17198.0,,,,,,,,,,,,,,,,,,,,,
28,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-11-17 10:41:59.000000,2021-11-12 13:31:53.000000,2513,220.0,1346.0,10254.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,409.0,35,True,2021-10-11 03:49:05.000000,3.6.5,45.0,nltk,conda-forge/nltk,,,,141797.0,120805.0,https://pypi.org/project/nltk,2021-10-11 03:49:05.000000,20992.0,9307772.0,9324479.0,https://anaconda.org/conda-forge/nltk,2021-10-11 12:28:19.966000,1052554.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-11-17 15:04:16.000000,2021-11-16 23:13:02.000000,2431,317.0,2449.0,9909.0,,Network Analysis in Python.,553.0,35,True,2021-09-09 22:09:39.000000,2.6.3,59.0,networkx,conda-forge/networkx,,,,111252.0,90434.0,https://pypi.org/project/networkx,2021-09-09 22:09:39.000000,20818.0,20843535.0,20925555.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009000,5003237.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,,,
30,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-11-10 16:59:17.809000,2021-04-13 19:05:58.000000,2505,680.0,2085.0,9495.0,28126.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,35,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,17266.0,11792.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,234187.0,261822.0,https://anaconda.org/conda-forge/theano,2021-11-10 16:59:17.809000,1768675.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
31,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-11-16 11:03:45.000000,2021-11-16 07:09:12.000000,1733,174.0,2184.0,9135.0,,The friendly PIL fork (Python Imaging Library).,373.0,35,True,2021-10-15 08:16:09.000000,8.4.0,84.0,Pillow,conda-forge/pillow,,,,111426.0,,https://pypi.org/project/Pillow,2021-10-15 08:10:15.000000,111426.0,35813588.0,35984880.0,https://anaconda.org/conda-forge/pillow,2021-11-10 16:07:31.860000,11476616.0,,,,,1.0,,-5.0,,,,,,,,,,,,,,,,,,,,
32,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-11-08 20:50:44.000000,2021-11-08 20:50:44.000000,315,332.0,375.0,2606.0,1385.0,Computing with Python functions.,106.0,35,True,2021-02-09 16:46:29.000000,1.0.1,102.0,joblib,conda-forge/joblib,,,,149110.0,142500.0,https://pypi.org/project/joblib,2021-10-07 14:42:42.000000,6610.0,29473250.0,29568991.0,https://anaconda.org/conda-forge/joblib,2021-10-07 20:15:36.705000,6127475.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-11-17 10:19:51.000000,2021-11-07 16:06:47.000000,2303,92.0,850.0,15141.0,4009.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",567.0,34,True,2021-11-06 14:59:15.000000,3.0.3,72.0,luigi,luigi,,,,2263.0,1587.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,793494.0,793615.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,8351.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-11-17 10:38:58.000000,2021-11-16 19:20:03.000000,1666,128.0,2177.0,9203.0,3833.0,WebGL2 powered visualization framework.,179.0,34,True,2021-11-14 22:51:34.270000,8.6.4,502.0,pydeck,conda-forge/pydeck,,,['jupyter'],2454.0,1892.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000000,2.0,595909.0,824581.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329000,60941.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-11-16 13:53:34.144000,560.0,225771.0,,,,,,,,,,,,,,
35,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-11-17 18:40:06.000000,2021-11-17 18:13:38.000000,1387,726.0,3342.0,9081.0,,Parallel computing with task scheduling.,485.0,34,True,2021-11-08 17:51:59.000000,2021.11.1,131.0,dask,conda-forge/dask,,,,35552.0,31636.0,https://pypi.org/project/dask,2021-11-08 17:51:59.000000,3916.0,8937149.0,9006163.0,https://anaconda.org/conda-forge/dask,2021-11-09 05:07:38.239000,4554969.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,
36,pandas-profiling,pandas-profiling/pandas-profiling,,data-viz,https://github.com/pandas-profiling/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,MIT,2016-01-09 23:47:55.000000,2021-11-17 18:11:43.000000,2021-11-17 17:52:45.000000,1194,92.0,432.0,8233.0,922.0,Create HTML profiling reports from pandas DataFrame objects.,82.0,34,True,2021-09-27 23:12:22.000000,3.1.0,31.0,pandas-profiling,conda-forge/pandas-profiling,,,"['jupyter', 'pandas']",5950.0,5790.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000000,160.0,6417029.0,6419839.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,177064.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-11-17 17:51:20.000000,2021-11-17 17:51:20.000000,1892,696.0,1996.0,4633.0,,Image processing in Python.,532.0,34,True,2021-08-24 18:20:04.000000,0.18.3,39.0,scikit-image,conda-forge/scikit-image,,,,100446.0,85672.0,https://pypi.org/project/scikit-image,2021-08-24 18:09:55.000000,14774.0,10632416.0,10678099.0,https://anaconda.org/conda-forge/scikit-image,2021-09-04 14:14:08.481000,3015104.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,Thinc,explosion/thinc,,ml-frameworks,https://github.com/explosion/thinc,https://github.com/explosion/thinc,MIT,2014-10-16 16:34:59.000000,2021-11-10 10:32:28.000000,2021-11-08 07:50:00.000000,223,18.0,97.0,2403.0,5003.0,"A refreshing functional take on deep learning, compatible with your favorite libraries.",42.0,34,True,2021-11-05 12:27:02.000000,8.0.13,199.0,thinc,conda-forge/thinc,,,,18318.0,17180.0,https://pypi.org/project/thinc,2021-11-05 12:27:02.000000,1138.0,3894038.0,3923975.0,https://anaconda.org/conda-forge/thinc,2021-10-29 09:02:13.534000,1706440.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
