,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-03-28 09:36:11.000000,2024-03-28 06:17:45,50004.0,572.0,7357.0,595.0,17820.0,1529.0,8972.0,19086.0,matplotlib: plotting with Python.,1660.0,50,True,2024-02-16 10:48:06.000,3.7.5,121.0,matplotlib,conda-forge/matplotlib,,,,1199760.0,1134026.0,https://pypi.org/project/matplotlib,2024-02-16 10:48:06.000,65734.0,61306949.0,61805208.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,22421696.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-03-28 16:24:31.000000,2024-03-28 15:28:21,31877.0,548.0,4977.0,348.0,10512.0,1795.0,8312.0,12338.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1604.0,50,True,2024-01-20 22:00:44.000,1.12.0,100.0,scipy,conda-forge/scipy,,,,1021452.0,954181.0,https://pypi.org/project/scipy,2024-03-19 18:18:21.000,67271.0,101171112.0,102326274.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,46053673.0,,,,,1.0,397430.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-28 06:12:04.000000,2024-03-28 06:12:04,17470.0,629.0,2100.0,222.0,4720.0,99.0,2960.0,11611.0,Python Imaging Library (Fork).,463.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1658314.0,1590387.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67927.0,92097767.0,92941779.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,37136568.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-03-28 09:39:34.000000,2024-03-26 01:55:41,57359.0,528.0,4215.0,294.0,13048.0,4986.0,8701.0,12010.0,A computer algebra system written in pure Python.,1285.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,51.0,sympy,conda-forge/sympy,,,,126651.0,121653.0,https://pypi.org/project/sympy,2024-03-27 14:48:42.000,4998.0,20853037.0,20911835.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5132651.0,,,,,1.0,537200.0,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-03-28 14:14:21.000000,2024-03-28 12:34:42,40327.0,965.0,27863.0,2034.0,45725.0,190.0,,38137.0,Apache Spark Python API.,3043.0,45,True,2024-02-26 02:41:49.000,3.5.1,43.0,pyspark,conda-forge/pyspark,,,['spark'],1299.0,,https://pypi.org/project/pyspark,2024-02-26 02:41:49.000,1299.0,30221325.0,30288868.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3039454.0,,,,,1.0,,stable/spark,7.0,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-28 16:10:29.000000,2024-03-27 22:39:46,6197.0,207.0,2748.0,310.0,4265.0,791.0,3261.0,31031.0,Streamlit A faster way to build and share data apps.,224.0,45,True,2024-03-14 15:16:16.000,1.32.2,219.0,streamlit,,,,,341812.0,340330.0,https://pypi.org/project/streamlit,2024-03-14 15:16:07.000,1482.0,4990444.0,4990444.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-28 15:09:07.000000,2024-03-28 05:43:13,21137.0,885.0,5157.0,471.0,26914.0,3597.0,14009.0,30594.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,993.0,45,True,2024-03-21 19:02:34.000,ray-2.10.0,100.0,ray,conda-forge/ray-tune,,,,14931.0,14443.0,https://pypi.org/project/ray,2024-03-21 18:35:24.000,488.0,3557885.0,3562805.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,191835.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-28 13:06:13.000000,2024-03-28 12:56:03,19962.0,1202.0,2495.0,323.0,12917.0,1632.0,3770.0,27518.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",663.0,45,True,2024-02-26 16:01:19.000,jax-v0.4.25,159.0,jax,conda-forge/jaxlib,,,,24232.0,23327.0,https://pypi.org/project/jax,2024-02-26 15:54:03.000,905.0,5744595.0,5768551.0,https://anaconda.org/conda-forge/jaxlib,2024-03-17 07:48:22.558,1078038.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-28 02:35:28.000000,2024-03-27 22:45:50,10256.0,224.0,3218.0,248.0,10057.0,660.0,6167.0,26611.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",942.0,45,True,2024-03-04 18:59:32.000,2.2.1,268.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],31116.0,30299.0,https://pypi.org/project/pytorch-lightning,2024-03-04 18:59:32.000,817.0,4905929.0,4930071.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1075061.0,,,,,1.0,8827.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-27 16:53:52.000000,2024-03-26 15:26:24,6791.0,100.0,8653.0,909.0,5033.0,442.0,4744.0,25466.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,87238.0,85368.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1870.0,19152974.0,19257664.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4603382.0,,,,,1.0,8219.0,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-28 14:08:34.000000,2024-03-28 14:08:33,47581.0,1808.0,5404.0,720.0,45016.0,1851.0,16891.0,21516.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1179.0,45,True,2024-01-08 06:43:49.000,2.6.0,67.0,paddlepaddle,,,,['paddle'],4943.0,4837.0,https://pypi.org/project/paddlepaddle,2024-03-19 06:55:39.000,106.0,256550.0,256718.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-28 08:20:05.000000,2024-03-26 11:51:39,20443.0,96.0,4154.0,444.0,6015.0,751.0,6857.0,18718.0,"Interactive Data Visualization in the browser, from Python.",689.0,45,True,2024-03-14 16:38:08.000,3.4.0,199.0,bokeh,conda-forge/bokeh,,,,89222.0,85383.0,https://pypi.org/project/bokeh,2024-03-18 16:22:43.000,3839.0,4876386.0,5177205.0,https://anaconda.org/conda-forge/bokeh,2024-03-15 07:03:52.633,13536869.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-26 21:09:05.000000,2024-03-18 09:13:32,15267.0,48.0,2812.0,280.0,3854.0,2744.0,2742.0,9447.0,Statsmodels: statistical modeling and econometrics in Python.,424.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,124413.0,118739.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5674.0,16914224.0,17191522.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12478452.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,
23,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-27 17:45:38.000000,2024-03-26 11:15:25,16121.0,29.0,4395.0,554.0,3971.0,94.0,5485.0,28545.0,Industrial-strength Natural Language Processing (NLP) in Python.,749.0,44,True,2024-02-15 19:16:59.000,3.7.4,229.0,spacy,conda-forge/spacy,,,,86653.0,83617.0,https://pypi.org/project/spacy,2024-02-15 18:47:21.000,3036.0,7237589.0,7312024.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3349617.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-03-28 16:40:49.000000,2024-03-28 06:41:03,6443.0,371.0,2043.0,153.0,3532.0,487.0,3489.0,27955.0,"Wrap UIs around any model, share with anyone.",283.0,44,True,2024-03-27 21:35:03.000,4.24.0,554.0,gradio,,,,,26330.0,25995.0,https://pypi.org/project/gradio,2024-03-27 21:35:03.000,335.0,5254937.0,5254937.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-28 13:04:34.000000,2024-03-28 13:04:33,5629.0,448.0,3883.0,290.0,7794.0,1397.0,2382.0,17056.0,Open source platform for the machine learning lifecycle.,713.0,44,True,2024-03-22 01:05:35.000,2.11.3,94.0,mlflow,conda-forge/mlflow,,,,33139.0,32566.0,https://pypi.org/project/mlflow,2024-03-21 21:09:52.000,573.0,13766128.0,13806105.0,https://anaconda.org/conda-forge/mlflow,2024-03-22 09:15:59.167,1798994.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-25 21:06:21.000000,2024-03-22 15:38:47,6390.0,121.0,2437.0,282.0,1617.0,1423.0,1398.0,15087.0,The interactive graphing library for Python This project now includes Plotly Express!.,259.0,44,True,2024-03-13 16:27:36.000,5.20.0,98.0,plotly,conda-forge/plotly,,,,250842.0,250842.0,https://pypi.org/project/plotly,,,14650038.0,14774738.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5412444.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,7039.0,,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-03-28 13:11:06.000000,2024-03-26 18:34:08,7650.0,107.0,3120.0,276.0,3713.0,321.0,2977.0,14069.0,Network Analysis in Python.,713.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,93.0,networkx,conda-forge/networkx,,,,251525.0,236095.0,https://pypi.org/project/networkx,2024-03-22 20:12:36.000,15430.0,49369049.0,49718407.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,15022418.0,,,,,1.0,67.0,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-03-28 08:14:54.000000,2024-03-27 14:23:57,8143.0,183.0,1665.0,212.0,5774.0,1050.0,4130.0,11922.0,Parallel computing with task scheduling.,597.0,44,True,2024-03-15 09:21:11.000,2024.3.1,192.0,dask,conda-forge/dask,,,,61693.0,58516.0,https://pypi.org/project/dask,2024-03-15 09:21:11.000,3177.0,7372103.0,7607905.0,https://anaconda.org/conda-forge/dask,2024-03-18 14:52:08.497,10846937.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-03-28 16:00:05.000000,2024-03-28 16:00:03,4793.0,198.0,2021.0,1690.0,4634.0,289.0,2649.0,11638.0,WebGL2 powered visualization framework.,254.0,44,True,2024-03-21 19:59:00.000,9.0.1,639.0,pydeck,conda-forge/pydeck,,,['jupyter'],7898.0,7341.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,59.0,3260210.0,3687781.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,489720.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,417577.0,2024-03-21 19:58:53.566,498.0,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-03-28 02:45:14.000000,2024-03-26 19:44:29,5800.0,63.0,1621.0,192.0,4965.0,663.0,1225.0,6514.0,TensorFlows Visualization Toolkit.,317.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],226060.0,223066.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2994.0,28532410.0,28633605.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4553791.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
31,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-03-28 05:39:35.000000,2024-03-27 18:10:11,10428.0,221.0,18634.0,1908.0,7017.0,216.0,11485.0,60759.0,Deep Learning for humans.,1283.0,43,True,2024-03-19 18:22:02.000,3.1.1,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,,,18001279.0,18077012.0,https://anaconda.org/conda-forge/keras,2024-03-22 14:49:27.132,3408002.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-03-28 13:24:38.000000,2024-03-28 12:39:23,2699.0,85.0,3582.0,438.0,3161.0,310.0,2394.0,16664.0,Open standard for machine learning interoperability.,312.0,43,True,2024-03-25 15:40:18.000,1.16.0,32.0,onnx,conda-forge/onnx,,,,26192.0,25476.0,https://pypi.org/project/onnx,2024-03-25 15:25:07.000,716.0,5271857.0,5293017.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,940422.0,,,,,1.0,20213.0,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-03-28 12:48:35.000000,2024-03-25 13:46:12,3445.0,44.0,3795.0,436.0,3102.0,345.0,2933.0,15972.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",297.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,31897.0,31021.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,8111424.0,8166914.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2220349.0,,,,,2.0,217925.0,,,,,,,,,,,,,,,,,,
34,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-03-18 05:49:19.000000,2024-02-25 16:31:25,3230.0,8.0,1876.0,259.0,1092.0,129.0,2359.0,11855.0,Statistical data visualization in Python.,211.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,394007.0,382043.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,11964.0,18418884.0,18602370.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8256751.0,,,,,1.0,378.0,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-03-28 16:17:25.000000,2024-03-28 03:36:32,1952.0,381.0,1194.0,172.0,2258.0,495.0,640.0,10574.0,Development repository for the Triton language and compiler.,235.0,43,True,2024-01-10 03:11:56.000,2.2.0,192.0,triton,,,,,20771.0,20668.0,https://pypi.org/project/triton,2024-01-10 03:11:56.000,103.0,10093084.0,10093084.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-03-28 11:40:03.000000,2024-03-28 08:12:57,2216.0,204.0,3742.0,321.0,2628.0,972.0,1570.0,32148.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",295.0,42,True,2024-03-08 01:11:46.000,0.14.0,88.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6382.0,6279.0,https://pypi.org/project/deepspeed,2024-03-08 01:11:46.000,103.0,496241.0,496597.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17831.0,1.0,,,,,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-03-25 23:10:59.000000,2024-03-11 08:45:50,2639.0,57.0,3124.0,241.0,848.0,1256.0,1169.0,21429.0,A game theoretic approach to explain the output of any machine learning model.,236.0,42,True,2024-03-08 11:55:08.000,0.45.0,102.0,shap,conda-forge/shap,,,,16911.0,16434.0,https://pypi.org/project/shap,2024-03-08 11:55:08.000,477.0,8045400.0,8108128.0,https://anaconda.org/conda-forge/shap,2024-03-12 17:37:09.107,2446418.0,,,,,1.0,,,,shap/shap,,,,,,,,,,,,,,,
38,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-03-28 11:47:42.000000,2024-03-26 12:31:30,3828.0,62.0,6804.0,406.0,5212.0,972.0,2354.0,15287.0,"Datasets, Transforms and Models specific to Computer Vision.",581.0,42,True,2024-03-27 21:10:50.000,0.17.2,43.0,torchvision,conda-forge/torchvision,,,['pytorch'],5244.0,21.0,https://pypi.org/project/torchvision,2024-03-27 21:10:50.000,5223.0,10566582.0,10595009.0,https://anaconda.org/conda-forge/torchvision,2024-02-26 00:12:18.834,1007209.0,,,,,1.0,37346.0,,,,,,,,,,,,,,,,,,
