,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
17,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-28 17:33:12.000000,2024-02-28 16:42:08,20406.0,93.0,4143.0,443.0,5986.0,754.0,6833.0,18621.0,"Interactive Data Visualization in the browser, from Python.",684.0,45,True,2024-01-25 18:45:35.000,3.3.4,196.0,bokeh,conda-forge/bokeh,,,,88079.0,84253.0,https://pypi.org/project/bokeh,2024-02-28 17:33:12.000,3826.0,4476357.0,4781349.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13419651.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-29 10:55:22.000000,2024-02-28 13:33:42,8115.0,198.0,1649.0,212.0,5744.0,1037.0,4105.0,11826.0,Parallel computing with task scheduling.,593.0,45,True,2024-02-23 18:13:34.000,2024.2.1,190.0,dask,conda-forge/dask,,,,60785.0,57638.0,https://pypi.org/project/dask,2024-02-23 18:13:34.000,3147.0,7287849.0,7526767.0,https://anaconda.org/conda-forge/dask,2024-02-26 17:58:46.709,10751350.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-28 15:04:54.000000,2024-02-28 12:40:58,15260.0,116.0,2825.0,280.0,3851.0,2701.0,2739.0,9344.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,121765.0,116143.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5622.0,13524790.0,13803816.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12277178.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,
20,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-02-29 13:29:48.000000,2024-02-29 09:37:03,6136.0,169.0,2705.0,307.0,4171.0,759.0,3207.0,30448.0,Streamlit A faster way to build and share data apps.,221.0,44,True,2024-02-12 17:53:30.000,1.31.1,215.0,streamlit,,,,,318956.0,317544.0,https://pypi.org/project/streamlit,2024-02-12 17:53:21.000,1412.0,5007214.0,5007214.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-29 14:36:47.000000,2024-02-29 14:36:46,20803.0,795.0,5076.0,469.0,26453.0,3606.0,13680.0,30127.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,978.0,44,True,2024-02-22 19:57:55.000,ray-2.9.3,99.0,ray,conda-forge/ray-tune,,,,14430.0,13955.0,https://pypi.org/project/ray,2024-02-22 19:42:56.000,475.0,3328003.0,3332977.0,https://anaconda.org/conda-forge/ray-tune,2024-02-13 16:37:02.206,188946.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-27 13:39:21.000000,2024-02-20 12:17:51,16117.0,37.0,4184.0,555.0,3964.0,82.0,5478.0,28352.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59.000,3.7.4,100.0,spacy,conda-forge/spacy,,,,81343.0,81343.0,https://pypi.org/project/spacy,,,6291241.0,6367086.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3337219.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-29 14:00:18.000000,2024-02-28 14:15:33,10189.0,217.0,3130.0,249.0,9979.0,630.0,6131.0,26337.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",931.0,44,True,2024-02-12 19:43:45.000,2.2.0.post0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],29353.0,29353.0,https://pypi.org/project/pytorch-lightning,,,4776975.0,4801309.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1057741.0,,,,,2.0,10063.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-29 14:34:51.000000,2024-02-29 10:27:01,5489.0,417.0,3851.0,293.0,7598.0,1366.0,2349.0,16848.0,Open source platform for the machine learning lifecycle.,702.0,44,True,2024-02-09 12:58:56.000,2.10.2,90.0,mlflow,conda-forge/mlflow,,,,31603.0,31046.0,https://pypi.org/project/mlflow,2024-02-09 06:04:53.000,557.0,15597466.0,15637150.0,https://anaconda.org/conda-forge/mlflow,2024-02-18 19:30:33.405,1746127.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-28 18:05:33.000000,2024-02-15 16:34:58,6368.0,105.0,2426.0,281.0,1608.0,1412.0,1392.0,14916.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-02-15 15:49:11.000,5.19.0,98.0,plotly,conda-forge/plotly,,,,243040.0,243040.0,https://pypi.org/project/plotly,,,12746401.0,12872306.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5285777.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,8444.0,,,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-02-29 11:57:29.000000,2024-02-28 20:03:49,7611.0,95.0,3172.0,275.0,3674.0,345.0,2959.0,13949.0,Network Analysis in Python.,708.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,243015.0,227743.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,15272.0,46211037.0,46563359.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14797527.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,
27,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-02-29 13:36:51.000000,2024-02-29 13:36:50,57166.0,431.0,4103.0,293.0,12978.0,4281.0,8671.0,11893.0,A computer algebra system written in pure Python.,1276.0,44,False,2023-05-10 18:09:23.000,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,114850.0,114850.0,https://pypi.org/project/sympy,,,14383163.0,14441318.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5017616.0,,,,,1.0,533824.0,,,,,,,,,,,,,,,,,,
28,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-26 05:50:36.000000,2024-02-25 16:31:25,3230.0,23.0,1769.0,260.0,1090.0,119.0,2353.0,11728.0,Statistical data visualization in Python.,211.0,44,True,2024-01-25 13:21:20.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,367715.0,367715.0,https://pypi.org/project/seaborn,,,15823059.0,16006990.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8092847.0,,,,,1.0,376.0,,,,,,,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-27 17:23:20.000000,2024-02-27 17:23:20,5773.0,50.0,1612.0,193.0,4928.0,652.0,1223.0,6483.0,TensorFlows Visualization Toolkit.,315.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],220408.0,217443.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2965.0,24652197.0,24754861.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4517228.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-29 10:13:13.000000,2024-02-28 22:56:29,6338.0,364.0,1876.0,147.0,3407.0,453.0,3332.0,26678.0,"Wrap UIs around any model, share with anyone.",270.0,43,True,2024-02-22 21:38:07.000,4.19.2,548.0,gradio,,,,,24114.0,23814.0,https://pypi.org/project/gradio,2024-02-22 21:38:07.000,300.0,7146790.0,7146790.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-29 05:08:14.000000,2024-02-29 04:28:53,2677.0,75.0,3584.0,438.0,3127.0,312.0,2363.0,16486.0,Open standard for machine learning interoperability.,308.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,25036.0,24337.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,699.0,5025870.0,5047180.0,https://anaconda.org/conda-forge/onnx,2024-02-23 12:29:58.727,926103.0,,,,,1.0,20019.0,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-29 09:02:57.000000,2024-02-29 05:30:27,3434.0,51.0,3795.0,434.0,3088.0,345.0,2917.0,15891.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",296.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,31043.0,30167.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,7870628.0,7926797.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2195477.0,,,,,2.0,214922.0,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-02-29 11:38:30.000000,2024-02-27 17:04:36,3793.0,49.0,6804.0,399.0,5166.0,972.0,2331.0,15167.0,"Datasets, Transforms and Models specific to Computer Vision.",574.0,42,True,2024-02-22 21:54:54.000,0.17.1,42.0,torchvision,conda-forge/torchvision,,,['pytorch'],5149.0,21.0,https://pypi.org/project/torchvision,2024-02-22 19:18:57.000,5128.0,10016868.0,10045532.0,https://anaconda.org/conda-forge/torchvision,2024-02-26 00:12:18.834,987452.0,,,,,1.0,37067.0,,,,,,,,,,,,,,,,,,
34,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-19 22:55:10.000000,2024-01-29 09:04:39,14509.0,27.0,2712.0,467.0,1451.0,248.0,1506.0,12845.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,254199.0,254199.0,https://pypi.org/project/nltk,,,14898378.0,14925270.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2420359.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-29 08:24:36.000000,2024-02-29 02:06:39,4687.0,98.0,2007.0,1692.0,4539.0,314.0,2611.0,11558.0,WebGL2 powered visualization framework.,249.0,42,True,2024-02-28 21:43:30.387,8.9.35,632.0,pydeck,conda-forge/pydeck,,,['jupyter'],7757.0,7205.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,58.0,2536465.0,2977546.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,479968.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,431082.0,2024-02-28 21:43:30.387,494.0,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-02-29 11:55:25.000000,2024-02-29 11:29:18,13862.0,76.0,2249.0,186.0,4359.0,762.0,2051.0,5789.0,Image processing in Python.,653.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,181933.0,171365.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10568.0,15910698.0,16046556.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5977781.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-29 09:40:49.000000,2024-02-27 13:34:09,2180.0,209.0,3724.0,315.0,2565.0,959.0,1538.0,31586.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",291.0,41,True,2024-02-26 23:53:30.000,0.13.4,86.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6036.0,5934.0,https://pypi.org/project/deepspeed,2024-02-26 23:53:30.000,102.0,406625.0,406987.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17740.0,1.0,,,,,,,,,,,,,,,,,,,
38,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-27 08:59:22.000000,2024-02-19 19:32:03,2172.0,65.0,4497.0,309.0,443.0,71.0,771.0,28896.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",129.0,41,True,2024-02-19 19:35:21.000,0.9.16,56.0,timm,conda-forge/timm,,,['pytorch'],24053.0,23657.0,https://pypi.org/project/timm,2024-02-19 19:33:42.000,396.0,4702671.0,4814872.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,123867.0,,,,,1.0,6231332.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,
