,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-05-13 14:07:05.000000,2021-05-13 14:06:57.000000,23545,218.0,,29639,30045.0,Apache Spark Python API.,2455.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,,,['spark'],1347.0,587.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,10015005.0,10035711.0,https://anaconda.org/conda-forge/pyspark,2021-03-04 09:44:05.675000,1035335.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-05-13 15:04:37.000000,2021-05-13 07:22:42.000000,5503,2277.0,7516.0,17134,,The fundamental package for scientific computing with Python.,1329.0,38,True,2021-05-10 15:39:14.000000,1.20.3,98.0,numpy,conda-forge/numpy,,,,875534.0,705812.0,https://pypi.org/project/numpy,2021-05-10 15:17:40.000000,169722.0,73142201.0,73467111.0,https://anaconda.org/conda-forge/numpy,2021-03-28 21:35:26.037000,19117271.0,,,,,1.0,339644.0,,,,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-05-13 13:53:35.000000,2021-05-13 13:10:54.000000,21401,2368.0,6874.0,45709,,scikit-learn: machine learning in Python.,2215.0,37,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],257752.0,219864.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,23153019.0,23285571.0,https://anaconda.org/conda-forge/scikit-learn,2021-04-28 21:30:13.539000,7952512.0,,,,,1.0,690.0,,,,,,,,,,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-05-13 11:49:10.000000,2021-05-12 20:34:59.000000,7983,296.0,3759.0,20982,5327.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",518.0,37,True,2021-05-13 11:35:17.000000,1.4.2,57.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,18412.0,16820.0,https://pypi.org/project/xgboost,2021-05-13 11:49:10.000000,1592.0,5234772.0,5267175.0,https://anaconda.org/conda-forge/xgboost,2021-04-29 20:56:44.761000,1618781.0,,,,,1.0,2450.0,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-05-12 22:36:31.000000,2021-05-11 15:10:16.000000,3403,115.0,4520.0,20419,14489.0,Industrial-strength Natural Language Processing (NLP) in Python.,580.0,37,True,2021-04-23 12:16:12.000000,3.0.6,177.0,spacy,conda-forge/spacy,,,,27901.0,24835.0,https://pypi.org/project/spacy,2021-04-23 12:16:12.000000,3066.0,2003932.0,2043950.0,https://anaconda.org/conda-forge/spacy,2021-04-24 09:37:43.886000,2038189.0,,,,,1.0,3020.0,,,,,,,,,,,,,,,,,,,,,,
15,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-05-13 15:08:00.000000,2021-05-13 15:07:59.000000,1419,147.0,365.0,12506,2630.0,Faker is a Python package that generates fake data for you.,400.0,37,True,2021-05-10 16:19:10.000000,8.1.3,138.0,Faker,conda-forge/faker,,,,32249.0,27537.0,https://pypi.org/project/Faker,2021-05-10 15:04:40.000000,4712.0,4161045.0,4169522.0,https://anaconda.org/conda-forge/faker,2021-05-10 17:39:25.233000,423864.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-05-13 12:14:04.000000,2021-05-13 12:13:47.000000,1410,97.0,1762.0,8405,2779.0,Statistical data visualization using matplotlib.,152.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,,,107304.0,94518.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,5066795.0,5107761.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2335036.0,,,,,1.0,161.0,,,,,,,,,,,,,,,,,,,,,,
17,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-05-13 14:08:44.000000,2021-05-13 11:02:27.000000,10913,441.0,6373.0,45885,7180.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,875.0,36,True,2021-05-12 15:07:35.000000,4.6.0,57.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",10899.0,10771.0,https://pypi.org/project/transformers,2021-05-12 15:07:07.000000,128.0,2258260.0,2260360.0,https://anaconda.org/conda-forge/transformers,2021-05-12 18:53:50.974000,39093.0,,,,,1.0,1318.0,,,,,,,,,,,,,,,,,,,,,,
18,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-05-09 14:49:47.000000,2021-04-06 15:18:55.000000,6928,300.0,1069.0,24161,1244.0,A toolkit for developing and comparing reinforcement learning algorithms.,275.0,36,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,23700.0,20138.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,937665.0,937665.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-05-13 15:18:57.000000,2021-05-13 14:48:36.000000,8447,943.0,2465.0,21695,12361.0,"Platform to programmatically author, schedule, and monitor workflows.",1863.0,36,True,2021-04-19 21:11:50.000000,2.0.2,75.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2021-04-19 20:59:24.000000,294.0,1672408.0,1964625.0,https://anaconda.org/conda-forge/airflow,2021-04-20 10:47:28.101000,321355.0,https://hub.docker.com/r/apache/airflow,2021-05-08 17:24:28.656060,240.0,20709881.0,1.0,126007.0,stable/airflow,,,,,,,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-05-13 11:54:27.000000,2021-05-13 03:35:22.000000,3273,104.0,2142.0,12511,2499.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",223.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,,,7465.0,6909.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,3904127.0,3919066.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,582539.0,,,,,1.0,111557.0,,,,,,,,,,,,,,,,,,,,,,
21,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-05-13 02:10:24.000000,2021-05-13 02:10:24.000000,3984,364.0,1292.0,12048,4144.0,Topic Modelling for Humans.,397.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,,,28065.0,23323.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,10805032.0,10819791.0,https://anaconda.org/conda-forge/gensim,2021-04-02 10:56:03.560000,647205.0,,,,,1.0,3304.0,,,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-05-11 00:43:42.000000,2021-05-11 00:43:42.000000,1791,865.0,1085.0,9478,4969.0,The interactive graphing library for Python (includes Plotly Express).,171.0,36,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,5348987.0,5408363.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1374797.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,35257.0,,,,,,,,,,,,,,,,
23,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-05-13 14:26:53.000000,2021-05-13 09:41:41.000000,4664,469.0,1249.0,9044,1692.0,"Datasets, Transforms and Models specific to Computer Vision.",381.0,36,True,2021-03-25 17:51:25.000000,0.9.1,23.0,torchvision,conda-forge/torchvision,,,['pytorch'],54239.0,49627.0,https://pypi.org/project/torchvision,2021-03-25 16:28:06.000000,4612.0,1504305.0,1505751.0,https://anaconda.org/conda-forge/torchvision,2021-04-22 07:21:30.407000,59323.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-05-13 15:06:18.000000,2021-05-13 14:07:49.000000,1896,152.0,594.0,7890,9213.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,675.0,36,True,2021-01-26 01:05:45.000000,3.0.0,31.0,pyarrow,conda-forge/arrow,,,,1027.0,41.0,https://pypi.org/project/pyarrow,2021-04-26 21:13:42.000000,986.0,27978841.0,27988377.0,https://anaconda.org/conda-forge/arrow,2021-05-06 18:27:26.800000,572182.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-05-13 11:37:49.000000,2021-05-13 11:37:49.000000,1391,552.0,972.0,5481,4495.0,TensorFlow's Visualization Toolkit.,258.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],67428.0,63814.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,10218478.0,10265271.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1965335.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-05-05 13:35:51.000000,2021-04-02 12:08:27.000000,286,291.0,358.0,2438,1370.0,Computing with Python functions.,99.0,36,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,107102.0,100492.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,24974411.0,25043392.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,4000925.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-05-11 01:45:49.000000,2021-04-28 16:45:14.000000,399,217.0,982.0,1516,3623.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,162.0,36,True,2021-03-05 10:04:46.000000,3.2.1,27.0,h5py,conda-forge/h5py,,,,137268.0,114332.0,https://pypi.org/project/h5py,2021-03-05 10:24:13.000000,22936.0,9820280.0,9903567.0,https://anaconda.org/conda-forge/h5py,2021-04-16 22:09:04.226000,5162508.0,,,,,1.0,1059.0,,,,,,,,,,,,,,,,,,,,,,
28,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-05-12 22:15:42.000000,2021-05-07 22:05:39.000000,1467,444.0,579.0,14497,3544.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",75.0,35,True,2021-04-08 22:35:48.000000,1.20.0,137.0,dash,conda-forge/dash,,,,21875.0,20267.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,471615.0,478498.0,https://anaconda.org/conda-forge/dash,2021-04-10 06:31:33.446000,247800.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-05-13 10:42:01.000000,2021-05-13 10:42:01.000000,2467,235.0,1247.0,9863,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,396.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,,120717.0,99725.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,9559580.0,9571842.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,698986.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-05-13 09:53:03.000000,2021-05-13 05:42:00.000000,2286,286.0,2345.0,9066,,Network Analysis in Python.,512.0,35,True,2021-04-03 22:22:02.000000,2.5.1,53.0,networkx,conda-forge/networkx,,,,95049.0,74231.0,https://pypi.org/project/networkx,2021-04-03 22:22:02.000000,20818.0,12638975.0,12704069.0,https://anaconda.org/conda-forge/networkx,2021-04-04 01:32:23.917000,3580200.0,,,,,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,
31,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-05-13 15:23:04.000000,2021-05-13 08:18:35.000000,3371,4150.0,7320.0,8079,46807.0,A computer algebra system written in pure Python.,1062.0,35,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,,,38093.0,31671.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,1464603.0,1493403.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1457815.0,,,,,1.0,423462.0,,,,,,,,,,,,,,,,,,,,,,
32,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-05-13 11:39:37.000000,2021-05-08 00:26:15.000000,6832,1880.0,7625.0,19454,11592.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",958.0,34,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,,,['mxnet'],2458.0,2014.0,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,231525.0,232071.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6150.0,,,,,2.0,23770.0,,,,,,,0.0,,,,,,,,,,,,,,,
33,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-05-06 08:03:59.000000,2021-04-16 07:52:49.000000,2246,73.0,843.0,14533,3993.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-16 09:12:59.000000,3.0.3,72.0,luigi,luigi,,,,2102.0,1426.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,864483.0,864596.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,7141.0,,,,,1.0,,stable/luigi,,,,,,0.0,,,,,,,,,,,,,,,
34,jax,google/jax,,ml-frameworks,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000000,2021-05-13 13:47:34.000000,2021-05-13 13:02:16.000000,1148,774.0,1629.0,12651,7955.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",282.0,34,True,2021-05-04 00:58:32.000000,0.2.13,92.0,jax,conda-forge/jaxlib,,,,1607.0,1561.0,https://pypi.org/project/jax,2021-05-04 00:58:32.000000,46.0,444327.0,449687.0,https://anaconda.org/conda-forge/jaxlib,2021-05-12 04:34:20.634000,117928.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,
35,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-05-11 11:29:21.000000,2021-04-06 00:10:26.000000,1825,1041.0,523.0,12610,1927.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,2652.0,2516.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2828553.0,2843444.0,https://anaconda.org/conda-forge/shap,2021-04-29 12:11:05.706000,491434.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-05-13 12:46:36.000000,2021-05-11 16:51:22.000000,1915,543.0,1028.0,10315,1746.0,Open standard for machine learning interoperability.,199.0,34,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,,,3355.0,3059.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1266920.0,1272746.0,https://anaconda.org/conda-forge/onnx,2021-05-08 08:02:42.009000,231440.0,,,,,1.0,13618.0,,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-04-29 07:32:59.000000,2021-04-13 19:05:58.000000,2514,674.0,2085.0,9417,28126.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,16394.0,10920.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,285539.0,311376.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1498575.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
