,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-12-14 11:20:27.000000,2023-12-14 07:43:31,49248.0,761.0,7111.0,591.0,17523.0,1172.0,8794.0,18564.0,matplotlib: plotting with Python.,1633.0,48,True,2023-11-18 01:36:36.000,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1031464.0,1031464.0,https://pypi.org/project/matplotlib,,,46734655.0,47244389.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21408842.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-12-14 06:20:48.000000,2023-12-13 20:47:04,10170.0,546.0,19499.0,1910.0,6816.0,134.0,11331.0,60013.0,Deep Learning for humans.,1263.0,47,True,2023-12-12 17:31:31.000,2.15.0,87.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],719.0,21.0,https://pypi.org/project/keras,2023-12-06 21:13:04.000,698.0,13506715.0,13586226.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3339482.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-12-14 14:35:59.000000,2023-12-14 13:04:15,31236.0,361.0,4929.0,348.0,10118.0,1719.0,8103.0,11979.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1560.0,47,True,2023-11-18 21:48:38.000,1.11.4,98.0,scipy,conda-forge/scipy,,,,65475.0,21.0,https://pypi.org/project/scipy,2023-11-18 21:01:18.000,65454.0,69360543.0,70557429.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,44141885.0,,,,,1.0,390173.0,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-12-14 12:10:49.000000,2023-12-14 07:34:33,16701.0,460.0,2108.0,224.0,4507.0,101.0,2887.0,11331.0,Python Imaging Library (Fork).,455.0,47,True,2023-10-15 13:05:17.000,10.1.0,95.0,Pillow,conda-forge/pillow,,,,1527345.0,1460005.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67340.0,74379404.0,75238085.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35205938.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-12-14 10:03:44.000000,2023-12-13 18:00:16,56756.0,664.0,4134.0,290.0,12812.0,4885.0,8581.0,11630.0,A computer algebra system written in pure Python.,1263.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,103990.0,99178.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4812.0,10380933.0,10437734.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4786153.0,,,,,1.0,525772.0,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-12-14 14:10:26.000000,2023-12-14 14:10:26,20162.0,1000.0,4976.0,466.0,25498.0,3507.0,13019.0,29021.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,949.0,45,True,2023-12-04 20:55:26.000,2.7.2,95.0,ray,conda-forge/ray-tune,,,,13197.0,12754.0,https://pypi.org/project/ray,2023-12-04 20:55:26.000,443.0,2668777.0,2673706.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,177417.0,,,,,1.0,143.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-12-13 08:27:45.000000,2023-12-12 09:19:57,16080.0,65.0,4233.0,557.0,3927.0,93.0,5441.0,27790.0,Industrial-strength Natural Language Processing (NLP) in Python.,745.0,45,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,79010.0,76102.0,https://pypi.org/project/spacy,2023-10-16 16:09:47.000,2908.0,6972038.0,7050580.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3298797.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-12-14 13:53:54.000000,2023-12-14 07:39:08,18636.0,1210.0,2322.0,321.0,11872.0,1201.0,3565.0,25984.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",607.0,45,True,2023-12-14 07:26:26.000,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,20152.0,20152.0,https://pypi.org/project/jax,,,4301057.0,4324999.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,1005591.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-12-14 14:15:31.000000,2023-12-14 13:59:45,10001.0,314.0,3017.0,244.0,9764.0,644.0,5983.0,25390.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",916.0,45,True,2023-11-15 20:56:33.000,2.1.2,105.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27029.0,27029.0,https://pypi.org/project/pytorch-lightning,,,4743980.0,4768752.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-12 11:23:27.572,1022930.0,,,,,1.0,13761.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-12-14 13:44:54.000000,2023-12-14 12:01:52,45463.0,1767.0,5188.0,726.0,42243.0,1053.0,16512.0,21145.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1146.0,45,True,2023-07-25 11:09:59.000,2.5.0,60.0,paddlepaddle,,,,['paddle'],4392.0,4392.0,https://pypi.org/project/paddlepaddle,,,190222.0,190396.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-12-14 12:30:43.000000,2023-12-13 05:42:42,20329.0,119.0,4196.0,444.0,5920.0,769.0,6777.0,18397.0,"Interactive Data Visualization in the browser, from Python.",679.0,45,True,2023-12-01 19:01:10.000,3.3.2,187.0,bokeh,conda-forge/bokeh,,,,84306.0,80520.0,https://pypi.org/project/bokeh,2023-12-01 19:01:10.000,3786.0,3960863.0,4274966.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13192335.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-12-14 10:28:37.000000,2023-12-14 10:28:37,6676.0,124.0,8688.0,913.0,4869.0,399.0,4669.0,25084.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",630.0,44,True,2023-11-13 00:33:35.000,2.0.2,79.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,76518.0,74745.0,https://pypi.org/project/xgboost,2023-11-13 00:33:35.000,1773.0,11187699.0,11296297.0,https://anaconda.org/conda-forge/xgboost,2023-11-17 02:03:43.585,4449825.0,,,,,2.0,7800.0,,,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-12-14 14:02:29.000000,2023-12-14 14:02:29,5147.0,499.0,3742.0,291.0,7156.0,1297.0,2282.0,16044.0,Open source platform for the machine learning lifecycle.,682.0,44,True,2023-12-14 05:30:49.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,27840.0,27323.0,https://pypi.org/project/mlflow,2023-12-14 05:30:49.000,517.0,14747589.0,14787476.0,https://anaconda.org/conda-forge/mlflow,2023-12-07 15:14:29.220,1675262.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-12-08 03:14:20.000000,2023-11-30 20:53:28,6255.0,51.0,2391.0,281.0,1577.0,1397.0,1367.0,14554.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56.000,5.18.0,97.0,plotly,conda-forge/plotly,,,,224018.0,224018.0,https://pypi.org/project/plotly,,,11853965.0,12024493.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5113870.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,51601.0,,,,,,,,,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-12-14 09:50:49.000000,2023-12-13 18:44:23,15170.0,65.0,2602.0,278.0,3823.0,2543.0,2722.0,9116.0,Statsmodels: statistical modeling and econometrics in Python.,419.0,44,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,109852.0,109852.0,https://pypi.org/project/statsmodels,,,11629587.0,11914623.0,https://anaconda.org/conda-forge/statsmodels,2023-12-11 18:05:29.839,11971544.0,,,,,2.0,30.0,,,,,1.0,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-12-14 14:32:34.000000,2023-12-13 22:48:39,6030.0,375.0,1754.0,144.0,3038.0,440.0,2939.0,24774.0,"Wrap UIs around any model, share with anyone.",235.0,43,True,2023-12-13 02:37:44.000,4.9.0,535.0,gradio,,,,,19112.0,18873.0,https://pypi.org/project/gradio,2023-12-13 02:37:44.000,239.0,3829127.0,3829127.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-12-14 08:55:43.000000,2023-12-14 05:18:20,2608.0,93.0,3611.0,440.0,3039.0,307.0,2299.0,16049.0,Open standard for machine learning interoperability.,300.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,22333.0,21688.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,645.0,4297800.0,4319275.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,890854.0,,,,,1.0,19627.0,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-12-14 06:15:27.000000,2023-12-14 03:35:46,3391.0,46.0,3786.0,439.0,3040.0,340.0,2876.0,15734.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",291.0,43,True,2023-09-12 02:08:33.000,4.1.0,34.0,lightgbm,conda-forge/lightgbm,,,,28718.0,27866.0,https://pypi.org/project/lightgbm,2023-09-12 02:08:33.000,852.0,6825909.0,6883248.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2134514.0,,,,,2.0,208655.0,,,,,,,,,,,,,,,,,,
28,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-11-29 14:59:13.000000,2023-11-09 20:19:22,14452.0,7.0,2781.0,467.0,1435.0,267.0,1493.0,12590.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,43,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,250662.0,237892.0,https://pypi.org/project/nltk,2023-07-20 15:52:53.307,12770.0,13413590.0,13440510.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2369012.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-12-14 14:02:32.000000,2023-12-14 11:33:38,7943.0,76.0,1662.0,212.0,5553.0,1029.0,4057.0,11617.0,Parallel computing with task scheduling.,591.0,43,True,2023-12-01 23:25:41.000,2023.12.0,185.0,dask,conda-forge/dask,,,,58491.0,55415.0,https://pypi.org/project/dask,2023-12-01 23:25:41.000,3076.0,6774493.0,7020320.0,https://anaconda.org/conda-forge/dask,2023-12-02 01:29:12.432,10570588.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-12-12 12:21:00.000000,2023-12-12 12:21:00,3213.0,38.0,1744.0,259.0,1074.0,114.0,2327.0,11468.0,Statistical data visualization in Python.,208.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,336980.0,336980.0,https://pypi.org/project/seaborn,,,12939782.0,13127179.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7870591.0,,,,,1.0,337.0,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-13 20:52:29.000000,2023-12-12 21:26:20,5732.0,78.0,1628.0,195.0,4874.0,643.0,1218.0,6431.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],207204.0,204313.0,https://pypi.org/project/tensorboard,2023-11-02 20:49:50.000,2891.0,22073711.0,22179561.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4445741.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-12-14 12:47:40.000000,2023-12-14 11:11:53,3755.0,77.0,6818.0,396.0,5109.0,945.0,2286.0,14889.0,"Datasets, Transforms and Models specific to Computer Vision.",561.0,42,True,2023-11-15 22:18:12.000,0.16.1,39.0,torchvision,conda-forge/torchvision,,,['pytorch'],4889.0,21.0,https://pypi.org/project/torchvision,2023-11-15 16:45:49.000,4868.0,10246728.0,10275698.0,https://anaconda.org/conda-forge/torchvision,2023-12-13 18:56:48.112,941751.0,,,,,1.0,34652.0,,,,,,,,,,,,,,,,,,
33,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-12-14 14:11:56.000000,2023-12-13 17:54:59,7529.0,142.0,2985.0,275.0,3570.0,179.0,2919.0,13631.0,Network Analysis in Python.,698.0,42,False,2023-10-28 09:53:23.000,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,207880.0,207880.0,https://pypi.org/project/networkx,,,35696411.0,36054507.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14323849.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-12-14 13:07:26.000000,2023-12-12 15:59:09,4593.0,84.0,2054.0,1694.0,4432.0,282.0,2567.0,11395.0,WebGL2 powered visualization framework.,241.0,42,True,2023-12-05 13:38:21.826,8.9.33,624.0,pydeck,conda-forge/pydeck,,,['jupyter'],7414.0,6881.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,52.0,2013745.0,2457721.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,465840.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,433850.0,,,2023-12-05 13:38:21.826,481.0,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-12-14 00:25:05.000000,2023-12-12 15:18:44,3608.0,43.0,706.0,143.0,1308.0,156.0,1723.0,8596.0,Declarative statistical visualization library for Python.,159.0,42,True,2023-11-28 06:23:39.000,5.2.0,27.0,altair,conda-forge/altair,,,,93649.0,93649.0,https://pypi.org/project/altair,,,15738999.0,15826820.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2107681.0,,,,,1.0,92.0,,,,,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-12-13 22:50:05.000000,2023-12-13 22:03:14,13786.0,97.0,2214.0,186.0,4324.0,742.0,2032.0,5703.0,Image processing in Python.,643.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,174010.0,163629.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10381.0,10407612.0,10546748.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5843742.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-10-22 22:49:37.000000,2023-01-30 18:15:21,1757.0,,8561.0,1064.0,1449.0,74.0,1716.0,33254.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2023-07-20 15:30:49.667,0.0.1,108.0,gym,conda-forge/gym,,,,51042.0,48356.0,https://pypi.org/project/gym,2023-07-20 15:30:49.667,2686.0,828556.0,834462.0,https://anaconda.org/conda-forge/gym,2023-06-16 19:18:41.854,259881.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-12-14 13:53:34.000000,2023-12-14 00:57:54,5980.0,220.0,2601.0,300.0,3968.0,692.0,3088.0,29000.0,Streamlit A faster way to build and share data apps.,211.0,41,True,2023-11-30 20:05:51.000,1.29.0,212.0,streamlit,,,,,1261.0,,https://pypi.org/project/streamlit,2023-11-30 20:05:42.000,1261.0,3159065.0,3159065.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
