,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-11-07 06:44:48.000000,2024-11-07 01:05:29,6771.0,244.0,3082.0,320.0,5055.0,1001.0,3678.0,35558.0,Streamlit A faster way to build and share data apps.,246.0,46,True,2024-11-06 21:29:47.000,1.40.0,229.0,streamlit,,,,,575706.0,572848.0,https://pypi.org/project/streamlit,2024-11-06 21:29:40.000,2858.0,6656812.0,6656812.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-11-07 13:03:00.000000,2024-11-07 13:03:00,7179.0,154.0,8716.0,908.0,5665.0,461.0,4913.0,26273.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",652.0,46,True,2024-10-23 14:31:13.000,2.1.2,84.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,116835.0,114789.0,https://pypi.org/project/xgboost,2024-10-23 14:19:26.000,2046.0,26940029.0,27044190.0,https://anaconda.org/conda-forge/xgboost,2024-10-29 21:33:36.986,5411688.0,,,,,1.0,11769.0,,,,,,,,,,,,,,,,,,,,
17,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-11-07 08:47:59.000000,2024-11-07 08:47:53,42708.0,882.0,28288.0,2021.0,48761.0,223.0,,39793.0,Apache Spark Python API.,3137.0,45,True,2024-10-25 08:14:53.000,3.4.4,49.0,pyspark,conda-forge/pyspark,,,['spark'],1574.0,,https://pypi.org/project/pyspark,2024-10-25 08:14:53.000,1574.0,29908688.0,29974957.0,https://anaconda.org/conda-forge/pyspark,2024-10-24 22:12:13.872,3512305.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,
18,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-11-07 14:04:04.000000,2024-11-07 13:31:07,22977.0,623.0,5729.0,474.0,29481.0,4179.0,15225.0,33825.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1090.0,45,True,2024-10-23 21:57:05.000,ray-2.38.0,118.0,ray,conda-forge/ray-tune,,,,19552.0,18764.0,https://pypi.org/project/ray,2024-10-23 19:27:39.000,788.0,6043080.0,6052679.0,https://anaconda.org/conda-forge/ray-tune,2024-10-30 16:31:33.519,451067.0,,,,,1.0,241.0,,,,,,,,,,,,,,,,,,,,
19,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-11-07 14:12:04.000000,2024-11-06 21:05:29,23988.0,1603.0,2779.0,334.0,16165.0,1423.0,4267.0,30419.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",779.0,45,True,2024-10-22 21:01:49.000,jax-v0.4.35,169.0,jax,conda-forge/jaxlib,,,,34166.0,32259.0,https://pypi.org/project/jax,2024-10-22 20:56:34.000,1907.0,4161872.0,4196427.0,https://anaconda.org/conda-forge/jaxlib,2024-10-24 10:52:07.546,1831426.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-10-23 10:43:24.000000,2024-10-23 10:42:54,16212.0,78.0,4383.0,564.0,4025.0,150.0,5521.0,30132.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,45,True,2024-10-01 18:20:24.000,3.8.2,237.0,spacy,conda-forge/spacy,,,,106391.0,103702.0,https://pypi.org/project/spacy,2024-10-01 18:20:24.000,2689.0,13183953.0,13267753.0,https://anaconda.org/conda-forge/spacy,2024-09-22 12:43:59.353,4441164.0,,,,,1.0,430.0,,,,,,,,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-11-07 14:16:33.000000,2024-11-07 14:16:33,51526.0,1240.0,5581.0,717.0,50593.0,1772.0,17437.0,22235.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1294.0,45,True,2024-09-13 08:31:46.000,2.6.2,71.0,paddlepaddle,,,,['paddle'],6421.0,6228.0,https://pypi.org/project/paddlepaddle,2024-11-01 08:33:35.000,193.0,330825.0,330980.0,,,,,,,,1.0,15410.0,,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-11-07 12:02:41.000000,2024-10-31 16:28:06,20636.0,71.0,4186.0,437.0,6198.0,771.0,6993.0,19347.0,"Interactive Data Visualization in the browser, from Python.",702.0,45,True,2024-11-06 19:51:28.000,3.6.1,221.0,bokeh,conda-forge/bokeh,,,,96003.0,94224.0,https://pypi.org/project/bokeh,2024-11-06 19:51:28.000,1779.0,4131046.0,4419334.0,https://anaconda.org/conda-forge/bokeh,2024-11-07 07:28:52.498,15279275.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-11-07 00:33:50.000000,2024-11-04 16:39:13,6899.0,199.0,2533.0,275.0,1733.0,528.0,2451.0,16247.0,The interactive graphing library for Python This project now includes Plotly Express!.,278.0,45,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,327597.0,321268.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,19367840.0,19510263.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7380242.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,5752.0,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-25 08:35:09.000000,2024-09-25 08:35:04,14681.0,59.0,2878.0,463.0,1495.0,277.0,1558.0,13597.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,323340.0,318643.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,21110819.0,21175629.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2851662.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-10-28 23:44:12.000000,2024-10-28 23:44:12,15563.0,102.0,2875.0,283.0,3952.0,2833.0,2797.0,10117.0,Statsmodels: statistical modeling and econometrics in Python.,446.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,145756.0,141287.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16154082.0,16448223.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,15589514.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-11-07 11:04:51.000000,2024-11-06 19:40:10,7195.0,244.0,2556.0,175.0,4575.0,427.0,4538.0,33745.0,"Wrap UIs around any model, share with anyone.",446.0,44,True,2024-11-04 23:15:16.000,5.5.0,605.0,gradio,,,,,46437.0,45592.0,https://pypi.org/project/gradio,2024-11-04 23:15:16.000,845.0,6755268.0,6755268.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-11-07 12:11:29.000000,2024-11-07 10:37:47,6743.0,393.0,4226.0,303.0,9458.0,1657.0,2613.0,18705.0,Open source platform for the machine learning lifecycle.,790.0,44,True,2024-10-31 08:34:32.000,2.17.2,117.0,mlflow,conda-forge/mlflow,,,,46344.0,45450.0,https://pypi.org/project/mlflow,2024-10-31 07:15:46.000,894.0,17238482.0,17284715.0,https://anaconda.org/conda-forge/mlflow,2024-11-01 09:55:36.068,2450397.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-11-06 07:29:31.000000,2024-11-06 07:29:30,7820.0,65.0,3235.0,278.0,3916.0,343.0,3035.0,14928.0,Network Analysis in Python.,753.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,321011.0,311381.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,68371170.0,68732883.0,https://anaconda.org/conda-forge/networkx,2024-10-30 18:06:44.746,18447410.0,,,,,1.0,76.0,,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-11-07 13:39:32.000000,2024-11-07 13:39:32,8375.0,113.0,1706.0,212.0,6017.0,1109.0,4293.0,12573.0,Parallel computing with task scheduling.,613.0,44,True,2024-10-17 09:20:07.000,2024.10.0,209.0,dask,conda-forge/dask,,,,68768.0,66332.0,https://pypi.org/project/dask,2024-10-17 09:13:37.000,2436.0,12433618.0,12659103.0,https://anaconda.org/conda-forge/dask,2024-10-18 13:49:42.706,12176222.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,
30,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-11-07 12:29:53.000000,2024-11-04 17:33:48,10436.0,25.0,3378.0,251.0,10302.0,818.0,6310.0,28335.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",975.0,43,True,2024-08-07 09:46:38.000,2.4.0,277.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],39731.0,38288.0,https://pypi.org/project/pytorch-lightning,2024-08-07 09:46:38.000,1443.0,6563961.0,6589319.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1330705.0,,,,,2.0,10312.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-11-07 10:36:48.494000,2024-10-15 08:44:34,2771.0,44.0,3262.0,244.0,979.0,729.0,1815.0,22818.0,A game theoretic approach to explain the output of any machine learning model.,251.0,43,True,2024-06-27 10:16:34.000,0.46.0,104.0,shap,conda-forge/shap,,,,22313.0,21565.0,https://pypi.org/project/shap,2024-06-27 10:16:34.000,748.0,6274966.0,6364828.0,https://anaconda.org/conda-forge/shap,2024-11-07 10:36:48.494,4223539.0,,,,,1.0,,,shap/shap,,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-11-04 21:17:01.000000,2024-11-04 20:26:22,7740.0,150.0,2066.0,425.0,1146.0,486.0,1359.0,21439.0,Data Apps & Dashboards for Python. No JavaScript Required.,167.0,43,True,2024-11-04 21:17:37.000,2.18.2,182.0,dash,conda-forge/dash,,,,72782.0,71435.0,https://pypi.org/project/dash,2024-11-04 21:12:56.000,1347.0,3578698.0,3607837.0,https://anaconda.org/conda-forge/dash,2024-09-14 04:47:51.793,1544337.0,,,,,1.0,85.0,,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-11-07 07:27:12.000000,2024-11-05 13:17:27,2904.0,123.0,3669.0,437.0,3456.0,351.0,2540.0,17892.0,Open standard for machine learning interoperability.,326.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,36550.0,35497.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5971348.0,5996356.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1311594.0,,,,,1.0,22185.0,,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-11-05 12:04:40.000000,2024-11-05 12:04:38,3599.0,49.0,3828.0,434.0,3286.0,371.0,3074.0,16671.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",320.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,,40561.0,39484.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,9487161.0,9546103.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2815901.0,,,,,2.0,238787.0,,,,,,,,,,,,,,,,,,,,
35,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-11-07 14:18:10.000000,2024-11-07 04:50:52,18260.0,2020.0,1581.0,72.0,2952.0,742.0,2888.0,13624.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",353.0,43,True,2024-11-06 23:22:06.000,1.52.0.de20,994.0,litellm,,,,others,4831.0,4331.0,https://pypi.org/project/litellm,2024-11-05 18:04:43.000,500.0,3312309.0,3312467.0,,,,,,,,1.0,316.0,,,,,,,,,,,,,,,,,,,,
36,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-11-07 14:42:07.000000,2024-11-07 14:42:07,2900.0,339.0,1596.0,193.0,3462.0,666.0,820.0,13311.0,Development repository for the Triton language and compiler.,338.0,43,True,2024-10-14 16:05:32.000,3.1.0,196.0,triton,,,,,42264.0,41999.0,https://pypi.org/project/triton,2024-10-14 16:05:32.000,265.0,14904216.0,14904216.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-11-07 14:05:18.000000,2024-11-04 18:47:06,5009.0,51.0,2087.0,1670.0,4876.0,350.0,2729.0,12235.0,WebGL2 powered visualization framework.,274.0,43,True,2024-10-24 15:05:03.613,9.0.34,674.0,pydeck,conda-forge/pydeck,,,['jupyter'],8682.0,8260.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,5618749.0,6237075.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,636898.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-10-24 15:05:03.613,302.0,607153.0,,,,,,,,,,,,,
