,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-04-14 13:40:15.000000,2022-04-14 06:22:32,42589,638.0,6296,579.0,14353.0,1795.0,6982.0,15322,matplotlib: plotting with Python.,1352.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,591485.0,538012.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,53473.0,26225715.0,26372640.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11607088.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-04-14 14:28:18.000000,2022-04-14 13:41:33,27668,553.0,4146,333.0,7896.0,1799.0,6640.0,9454,"Ecosystem of open-source software for mathematics, science, and engineering.",1255.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,550663.0,493827.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56836.0,40087217.0,40401156.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,21989650.0,,,,,1.0,342362.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-04-14 14:33:52.000000,2022-04-14 14:33:10,11899,78.0,4250,476.0,2567.0,537.0,4178.0,19111,Asynchronous task queue/job queue based on distributed message passing.,1202.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,82858.0,68004.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14854.0,5284180.0,5295239.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,807325.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-04-14 14:49:13.000000,2022-04-14 14:49:13,15763,1002.0,10381,739.0,16221.0,929.0,4502.0,25800,"Platform to programmatically author, schedule, and monitor workflows.",2363.0,45,True,2022-04-04 09:30:39.000,2.2.5,106.0,apache-airflow,conda-forge/airflow,apache/airflow,,,456.0,,https://pypi.org/project/apache-airflow,2022-04-04 07:17:20.000,456.0,6283417.0,7118115.0,https://anaconda.org/conda-forge/airflow,2022-04-04 14:18:26.777,576749.0,https://hub.docker.com/r/apache/airflow,2022-04-07 12:37:16.933397,329.0,69004844.0,1.0,274988.0,stable/airflow,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-04-14 09:05:06.000000,2022-04-13 13:07:20,12990,473.0,1824,211.0,3704.0,110.0,2366.0,9669,The friendly PIL fork (Python Imaging Library).,390.0,45,True,2022-04-01 14:40:43.000,9.1.0,87.0,Pillow,conda-forge/pillow,,,,62541.0,,https://pypi.org/project/Pillow,2022-04-01 14:37:06.000,62541.0,39836037.0,40029241.0,https://anaconda.org/conda-forge/pillow,2022-04-13 03:19:38.560,13910712.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-04-14 13:11:25.000000,2022-04-13 22:37:08,50691,878.0,3620,292.0,11440.0,4400.0,7879.0,9048,A computer algebra system written in pure Python.,1133.0,45,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,45321.0,41189.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1802342.0,1834197.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,1957739.0,,,,,1.0,449686.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-04-14 09:40:04.000000,2022-04-13 19:10:06,6760,393.0,19028,1962.0,5158.0,308.0,10971.0,54927,Deep Learning for humans.,1053.0,44,True,2022-02-03 05:13:44.000,2.8.0,62.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],263.0,,https://pypi.org/project/keras,2022-04-04 17:25:18.000,263.0,8973878.0,9005631.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2159207.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-04-14 11:34:44.000000,2022-04-14 11:34:01,15393,150.0,3790,558.0,3033.0,97.0,5002.0,23140,Industrial-strength Natural Language Processing (NLP) in Python.,671.0,44,True,2022-03-30 14:15:37.000,3.1.6,194.0,spacy,conda-forge/spacy,,,,39909.0,37617.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2292.0,4763896.0,4805824.0,https://anaconda.org/conda-forge/spacy,2022-03-31 10:26:05.872,2596634.0,,,,,1.0,3135.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-04-14 10:53:09.000000,2022-04-14 00:02:42,5733,120.0,8352,940.0,3453.0,284.0,4103.0,22481,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",556.0,44,True,2022-01-17 16:17:38.000,1.5.2,62.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,30768.0,29462.0,https://pypi.org/project/xgboost,2022-03-31 01:02:05.000,1306.0,7881138.0,7922559.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2524341.0,,,,,1.0,3856.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-04-14 07:57:15.000000,2022-04-07 16:36:03,19526,57.0,3881,461.0,5133.0,708.0,6185.0,16176,"Interactive Data Visualization in the browser, from Python.",600.0,44,True,2021-11-22 17:49:14.000,2.4.2,119.0,bokeh,conda-forge/bokeh,,,,53306.0,49808.0,https://pypi.org/project/bokeh,2022-03-03 18:34:50.000,3498.0,5528096.0,5643567.0,https://anaconda.org/conda-forge/bokeh,2022-04-13 06:00:47.827,6928268.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-04-13 03:25:56.000000,2022-04-13 03:25:55,14267,36.0,2572,473.0,1346.0,222.0,1389.0,10635,Suite of libraries and programs for symbolic and statistical natural language processing for English.,417.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,149961.0,138141.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11991129.0,12008490.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1180568.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-04-14 08:52:31.000000,2022-04-09 21:30:35,13159,114.0,1962,183.0,3719.0,425.0,1807.0,4861,Image processing in Python.,551.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,108699.0,99609.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9090.0,4884476.0,4930913.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3297082.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-04-14 14:38:36.000000,2022-04-14 14:33:18,12082,1139.0,3433,425.0,13992.0,2339.0,7677.0,19928,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",655.0,43,True,2022-03-09 01:45:26.000,ray-1.11.0,69.0,ray,conda-forge/ray-tune,,,,4747.0,4494.0,https://pypi.org/project/ray,2022-04-04 20:17:44.000,253.0,1133791.0,1135346.0,https://anaconda.org/conda-forge/ray-tune,2022-04-07 20:54:56.642,24890.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-04-14 14:14:36.000000,2022-04-13 19:32:21,6788,124.0,2581,274.0,2585.0,363.0,2499.0,10595,Network Analysis in Python.,583.0,43,True,2022-04-09 22:35:15.000,networkx-2.8,74.0,networkx,conda-forge/networkx,,,,117510.0,104256.0,https://pypi.org/project/networkx,2022-04-09 22:38:56.000,13254.0,16907679.0,16998540.0,https://anaconda.org/conda-forge/networkx,2022-04-10 05:15:19.223,5996876.0,,,,,1.0,59.0,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-04-14 13:23:05.000000,2022-04-13 21:54:57,7107,189.0,1464,224.0,4558.0,712.0,3559.0,9770,Parallel computing with task scheduling.,525.0,43,True,2022-04-01 15:17:51.000,2022.4.0,139.0,dask,conda-forge/dask,,,,38353.0,35758.0,https://pypi.org/project/dask,2022-04-01 15:17:51.000,2595.0,5661562.0,5736266.0,https://anaconda.org/conda-forge/dask,2022-04-01 20:17:17.613,5304030.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
25,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-04-14 14:32:34.000000,2022-04-14 13:39:45,11300,573.0,2292,338.0,12134.0,247.0,717.0,9353,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,844.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,44266749.0,44279816.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,927826.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-04-13 13:47:47.000000,2022-04-13 13:47:47,14542,108.0,2431,261.0,3536.0,2266.0,2507.0,7274,Statsmodels: statistical modeling and econometrics in Python.,363.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,65770.0,61257.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7924975.0,8008782.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5866519.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-04-14 00:02:21.000000,2022-04-14 00:02:21,5008,98.0,1472,193.0,4029.0,554.0,1112.0,5820,TensorFlows Visualization Toolkit.,278.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],105623.0,103322.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13453137.0,13506533.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2830040.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-04-14 13:39:48.000000,2022-04-14 12:36:07,32882,735.0,25366,2077.0,36176.0,247.0,,32566,Apache Spark Python API.,2653.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,,,['spark'],791.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,791.0,19494069.0,19519350.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1542159.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,
29,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-04-14 13:52:42.000000,2022-04-14 00:23:07,1572,106.0,7688,995.0,1207.0,111.0,1440.0,27207,A toolkit for developing and comparing reinforcement learning algorithms.,353.0,42,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,30681.0,28277.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2404.0,746001.0,750100.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,98397.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-04-14 12:49:47.000000,2022-04-14 10:29:29,6842,448.0,2291,220.0,6032.0,574.0,4361.0,18002,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",653.0,42,True,2022-04-13 18:30:15.000,1.6.1,207.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],8578.0,8231.0,https://pypi.org/project/pytorch-lightning,2022-04-13 18:41:32.000,347.0,2157956.0,2176897.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-04-14 05:59:45.710,412663.0,,,,,2.0,6100.0,,,,,,,,,,,,,,,,,,,
31,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-04-14 13:45:43.000000,2022-04-14 13:40:48,11117,918.0,1577,268.0,6186.0,1064.0,2189.0,17142,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",378.0,42,True,2022-04-13 00:52:00.000,jax-v0.3.6,113.0,jax,conda-forge/jaxlib,,,,4305.0,4018.0,https://pypi.org/project/jax,2022-04-13 00:53:55.000,287.0,369939.0,378902.0,https://anaconda.org/conda-forge/jaxlib,2022-04-10 09:48:43.977,295796.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-04-14 13:12:16.000000,2022-04-14 00:03:59,2935,84.0,3459,446.0,2521.0,168.0,2457.0,13671,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",256.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,12995.0,12419.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,7098778.0,7118068.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,960878.0,,,,,2.0,146004.0,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-04-14 13:47:25.000000,2022-04-14 07:51:00,2621,252.0,5746,370.0,3559.0,699.0,1715.0,11381,"Datasets, Transforms and Models specific to Computer Vision.",477.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3540.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3540.0,3560747.0,3564765.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,206148.0,,,,,1.0,3274.0,,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-04-09 10:37:22.000000,2022-04-05 19:03:00,5421,46.0,2134,271.0,1326.0,1141.0,1168.0,11313,The interactive graphing library for Python (includes Plotly Express).,193.0,42,True,2022-04-05 16:31:26.000,5.7.0,278.0,plotly,conda-forge/plotly,,,,3969.0,9.0,https://pypi.org/project/plotly,2022-04-05 16:26:03.000,3956.0,7692314.0,7772789.0,https://anaconda.org/conda-forge/plotly,2022-04-05 18:41:54.292,2372417.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45587.0,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-04-14 15:00:48.000000,2022-04-07 16:49:26,4009,109.0,1753,1745.0,3785.0,137.0,2257.0,9694,WebGL2 powered visualization framework.,190.0,42,True,2022-04-08 17:09:18.000,8.7.5,526.0,pydeck,conda-forge/pydeck,,,['jupyter'],4301.0,3894.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,22.0,990313.0,1279794.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,83414.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-04-08 17:10:08.414,385.0,286273.0,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-04-14 13:53:43.000000,2022-04-14 13:47:37,35294,1760.0,4375,728.0,27280.0,2947.0,12307.0,17953,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,723.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,,,['paddle'],150.0,106.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,93057.0,93282.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-04-14 06:12:50.000000,2022-04-13 19:13:03,1929,56.0,2570,429.0,2183.0,519.0,1431.0,12329,Open standard for machine learning interoperability.,228.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,6676.0,6328.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,348.0,1154056.0,1161560.0,https://anaconda.org/conda-forge/onnx,2022-03-01 13:35:47.004,380546.0,,,,,1.0,17522.0,,,,,,,,,,,,,,,,,,,
