,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,helm_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-08-24 10:41:44.000000,2023-08-24 00:10:42,48182.0,748.0,6827,588.0,16883.0,1185.0,8501.0,17932,matplotlib: plotting with Python.,1546.0,48,True,2023-07-05 20:58:47.000,3.7.2,75.0,matplotlib,conda-forge/matplotlib,,,,924314.0,924314.0,https://pypi.org/project/matplotlib,,,37251147.0,37780636.0,https://anaconda.org/conda-forge/matplotlib,2023-08-18 18:51:57.826,20120588.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-08-24 13:48:07.000000,2023-08-24 13:09:06,55494.0,1152.0,3997,291.0,12586.0,4826.0,8468.0,11219,A computer algebra system written in pure Python.,1237.0,48,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,82453.0,77854.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4599.0,9936303.0,9987481.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4086035.0,,,,,1.0,509827.0,,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-08-24 14:35:33.000000,2023-08-24 11:23:14,30691.0,466.0,4896,347.0,9791.0,1684.0,7912.0,11618,"Ecosystem of open-source software for mathematics, science, and engineering.",1521.0,47,True,2023-08-17 23:02:23.000,1.11.2,96.0,scipy,conda-forge/scipy,,,,63328.0,10.0,https://pypi.org/project/scipy,2023-08-17 22:08:09.000,63318.0,61643647.0,62888700.0,https://anaconda.org/conda-forge/scipy,2023-08-20 07:05:06.617,40957779.0,,,,,1.0,379248.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-08-24 09:02:43.000000,2023-08-23 17:33:59,15151.0,267.0,1913,221.0,4357.0,82.0,2783.0,11067,Python Imaging Library (Fork).,446.0,47,True,2023-07-01 14:57:17.000,10.0.0,51.0,Pillow,conda-forge/pillow,,,,1309112.0,1309112.0,https://pypi.org/project/Pillow,,,62518048.0,63375085.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,31710374.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-08-24 09:45:02.000000,2023-08-22 05:30:30,8343.0,103.0,19399,1919.0,6533.0,377.0,11511.0,59066,Deep Learning for humans.,1201.0,45,True,2023-06-27 23:42:33.000,2.13.1,81.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],632.0,10.0,https://pypi.org/project/keras,2023-08-03 20:50:32.000,622.0,10917284.0,11001431.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3197589.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-08-24 14:25:33.000000,2023-08-24 06:15:08,18825.0,1314.0,4691,459.0,23469.0,3156.0,12149.0,27238,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,906.0,44,True,2023-08-15 16:40:29.000,ray-2.6.3,89.0,ray,conda-forge/ray-tune,,,,11416.0,11019.0,https://pypi.org/project/ray,2023-08-15 16:39:07.000,397.0,3079373.0,3084296.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,157529.0,,,,,1.0,86.0,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-08-24 11:30:06.000000,2023-08-21 08:52:32,15983.0,62.0,4091,551.0,3846.0,76.0,5388.0,26923,Industrial-strength Natural Language Processing (NLP) in Python.,735.0,44,True,2023-08-08 14:45:58.000,3.6.1,100.0,spacy,conda-forge/spacy,,,,67710.0,67710.0,https://pypi.org/project/spacy,,,5815834.0,5899603.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3183224.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-08-24 11:01:27.000000,2023-08-23 21:29:52,6523.0,161.0,8641,912.0,4618.0,372.0,4582.0,24509,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",622.0,44,True,2023-06-19 03:01:12.670,1.7.6,76.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,66452.0,64786.0,https://pypi.org/project/xgboost,2023-08-17 18:54:04.000,1666.0,9951803.0,10064951.0,https://anaconda.org/conda-forge/xgboost,2023-08-05 01:52:21.106,4184219.0,,,,,1.0,6942.0,,,,,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-08-24 13:04:11.000000,2023-08-24 13:04:10,4558.0,496.0,3523,292.0,6173.0,1203.0,2081.0,15067,Open source platform for the machine learning lifecycle.,628.0,44,True,2023-08-15 07:11:16.000,2.6.0,80.0,mlflow,conda-forge/mlflow,,,,23472.0,22998.0,https://pypi.org/project/mlflow,2023-08-15 06:14:52.000,474.0,14074055.0,14112416.0,https://anaconda.org/conda-forge/mlflow,2023-08-15 08:47:37.291,1457732.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-08-18 15:36:10.000000,2023-08-10 17:52:58,15098.0,42.0,2754,277.0,3800.0,2653.0,2693.0,8792,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 11:36:02.375,0.14.0,35.0,statsmodels,conda-forge/statsmodels,,,,105829.0,100607.0,https://pypi.org/project/statsmodels,2023-05-05 11:36:02.375,5222.0,11270280.0,11398688.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11043169.0,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-08-24 14:10:16.000000,2023-08-24 13:03:10,17161.0,941.0,2204,313.0,10731.0,1197.0,3228.0,24391,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",564.0,43,True,2023-07-27 23:20:52.000,jax-v0.4.14,79.0,jax,conda-forge/jaxlib,,,,16711.0,16711.0,https://pypi.org/project/jax,,,2808764.0,2832133.0,https://anaconda.org/conda-forge/jaxlib,2023-07-30 18:45:00.131,888043.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-08-24 06:17:12.000000,2023-08-23 16:21:46,3324.0,53.0,3641,441.0,2965.0,286.0,2797.0,15394,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",287.0,43,True,2023-07-13 18:43:08.000,4.0.0,28.0,lightgbm,conda-forge/lightgbm,,,,24486.0,24486.0,https://pypi.org/project/lightgbm,,,6259588.0,6317677.0,https://anaconda.org/conda-forge/lightgbm,2023-07-14 13:55:17.383,1941801.0,,,,,1.0,198327.0,,,,,,,,,,,,,,,,,,,
22,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-08-24 13:45:53.000000,2023-08-24 13:45:53,5637.0,129.0,1604,192.0,4750.0,640.0,1201.0,6338,TensorFlows Visualization Toolkit.,305.0,43,True,2023-08-08 22:35:21.000,2.14.0,53.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],186932.0,184180.0,https://pypi.org/project/tensorboard,2023-08-08 22:35:21.000,2752.0,19746703.0,19857710.0,https://anaconda.org/conda-forge/tensorboard,2023-08-09 15:42:17.420,4218293.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-08-24 14:43:22.000000,2023-08-24 10:12:27,5567.0,429.0,1442,130.0,2311.0,401.0,2241.0,21233,"Wrap UIs around any model, share with anyone.",193.0,42,True,2023-08-23 23:33:20.000,3.41.0,482.0,gradio,,,,,12196.0,12054.0,https://pypi.org/project/gradio,2023-08-23 23:33:01.000,142.0,4350142.0,4350142.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-08-24 14:10:20.000000,2023-08-24 12:05:43,43216.0,1291.0,5107,727.0,39291.0,1086.0,16089.0,20760,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1090.0,42,True,2023-07-25 11:09:59.000,2.5.0,60.0,paddlepaddle,,,,['paddle'],277.0,277.0,https://pypi.org/project/paddlepaddle,,,174759.0,174941.0,,,,,,,,2.0,15357.0,,,,,,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-08-23 15:08:56.000000,2023-08-23 15:08:52,20195.0,82.0,4021,445.0,5793.0,732.0,6648.0,17873,"Interactive Data Visualization in the browser, from Python.",668.0,42,True,,,53.0,bokeh,conda-forge/bokeh,,,,74629.0,74629.0,https://pypi.org/project/bokeh,,,4653615.0,4978487.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12345173.0,,,,,1.0,,-3.0,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-08-24 00:04:53.000000,2023-08-23 23:35:28,2483.0,119.0,3567,433.0,2895.0,369.0,2150.0,15373,Open standard for machine learning interoperability.,292.0,42,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,18440.0,17874.0,https://pypi.org/project/onnx,2023-05-04 23:16:04.549,566.0,2693215.0,2714821.0,https://anaconda.org/conda-forge/onnx,2023-07-12 10:54:40.179,810679.0,,,,,1.0,19167.0,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-08-24 14:14:53.000000,2023-08-24 08:01:58,3636.0,125.0,6768,397.0,4937.0,931.0,2186.0,14450,"Datasets, Transforms and Models specific to Computer Vision.",547.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4515.0,10.0,https://pypi.org/project/torchvision,2023-05-08 17:33:10.987,4505.0,6793972.0,6822232.0,https://anaconda.org/conda-forge/torchvision,2023-06-22 22:01:34.204,808399.0,,,,,1.0,29275.0,4.0,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-08-24 06:55:53.000000,2023-08-24 06:55:53,7366.0,69.0,2876,279.0,3378.0,200.0,2831.0,13098,Network Analysis in Python.,663.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,179974.0,179974.0,https://pypi.org/project/networkx,,,26743406.0,26900661.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12894979.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-08-22 21:50:47.000000,2023-06-02 02:45:47,14445.0,1.0,2767,468.0,1427.0,258.0,1483.0,12256,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,42,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,227268.0,214754.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12514.0,11482535.0,11508245.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2159678.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-08-24 13:59:02.000000,2023-08-23 13:25:49,4497.0,51.0,2022,1702.0,4314.0,233.0,2519.0,11127,WebGL2 powered visualization framework.,234.0,42,True,2023-08-18 07:08:26.219,8.9.25,608.0,pydeck,conda-forge/pydeck,,,['jupyter'],6905.0,6401.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,38.0,1407374.0,1866506.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,427734.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-08-18 07:08:26.219,466.0,448948.0,,,,,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-08-24 01:09:06.000000,2023-08-24 01:09:05,3161.0,14.0,1693,256.0,1020.0,124.0,2237.0,11022,Statistical data visualization in Python.,198.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,293669.0,293669.0,https://pypi.org/project/seaborn,,,9877165.0,9963819.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7278837.0,,,,,1.0,260.0,,,,,,,,,,,,,,,,,,,
32,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-08-22 14:15:36.000000,2023-08-22 11:04:02,3547.0,46.0,700,150.0,1249.0,178.0,1651.0,8435,Declarative statistical visualization library for Python.,157.0,42,True,2023-05-26 21:55:53.000,5.0.1,23.0,altair,conda-forge/altair,,,,69338.0,69338.0,https://pypi.org/project/altair,,,14211494.0,14309918.0,https://anaconda.org/conda-forge/altair,2023-07-12 14:27:15.237,1968481.0,,,,,1.0,76.0,,,,,,,,,,,,,,,,,,,
33,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-08-21 18:06:34.000000,2023-08-21 18:02:12,13668.0,109.0,2086,187.0,4217.0,513.0,1986.0,5551,Image processing in Python.,625.0,42,False,2023-06-02 05:03:22.000,0.21.0,22.0,scikit-image,conda-forge/scikit-image,,,,151544.0,151544.0,https://pypi.org/project/scikit-image,,,8118776.0,8262500.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5461514.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-08-24 11:51:44.000000,2023-08-24 00:12:18,1753.0,212.0,3358,301.0,2047.0,864.0,1264.0,27880,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",231.0,41,True,2023-08-18 22:29:18.000,0.10.1,69.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],3450.0,3388.0,https://pypi.org/project/deepspeed,2023-08-18 22:27:52.000,62.0,520105.0,520501.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,3.0,17042.0,1.0,,,,,,,,,,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-08-23 14:23:34.000000,2023-08-23 14:23:26,2486.0,135.0,2970,258.0,666.0,1436.0,851.0,19960,A game theoretic approach to explain the output of any machine learning model.,220.0,41,True,2023-07-15 11:31:17.694,0.42.1,98.0,shap,conda-forge/shap,,,,13278.0,12877.0,https://pypi.org/project/shap,2023-07-15 11:31:17.694,401.0,7000428.0,7064515.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2050814.0,,,,,1.0,,,,,,,,shap/shap,,,,,,,,,,,,
36,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-08-24 10:44:27.000000,2023-08-22 08:27:29,32446.0,466.0,4418,346.0,6089.0,122.0,6642.0,16902,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",591.0,41,True,2023-08-23 16:41:56.000,3.6.6,345.0,rasa,,,,['tensorflow'],3681.0,3615.0,https://pypi.org/project/rasa,2023-08-23 16:41:44.000,66.0,104375.0,104375.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-08-24 13:43:13.000000,2023-08-24 13:43:08,4502.0,33.0,4376,434.0,1675.0,395.0,1440.0,14584,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:48:21.000,4.3.2,93.0,gensim,conda-forge/gensim,,,,52430.0,49334.0,https://pypi.org/project/gensim,2023-08-24 08:48:21.000,3096.0,3775705.0,3814397.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1120713.0,,,,,1.0,4450.0,,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-08-24 13:58:39.000000,2023-08-24 07:16:43,8945.0,201.0,1077,135.0,5125.0,568.0,3870.0,11895,Data Version Control | Git for Data & Models | ML Experiments Management.,285.0,41,True,2023-08-22 23:08:42.000,3.16.0,467.0,dvc,conda-forge/dvc,,,,9168.0,9100.0,https://pypi.org/project/dvc,2023-08-22 23:09:40.000,68.0,748149.0,795300.0,https://anaconda.org/conda-forge/dvc,2023-08-23 01:15:21.107,1671463.0,,,,,1.0,37995.0,,,,,,,,dvc,dvc,dvc,,,,,,,,,
39,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-08-24 14:18:04.000000,2023-08-18 20:23:41,7841.0,69.0,1643,214.0,5415.0,941.0,4017.0,11320,Parallel computing with task scheduling.,584.0,41,True,,,153.0,dask,conda-forge/dask,,,,51995.0,51995.0,https://pypi.org/project/dask,,,9392494.0,9644951.0,https://anaconda.org/conda-forge/dask,2023-08-18 22:28:14.439,9845835.0,,,,,1.0,,,,,,,,,,,,stable/dask,,,,,,,,
