,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-05-19 13:44:13.000000,2022-05-19 04:37:32,27853,481.0,4239,329.0,8032.0,1761.0,6753.0,9596,"Ecosystem of open-source software for mathematics, science, and engineering.",1274.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,567443.0,509816.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57627.0,44089203.0,44412909.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,23002385.0,,,,,1.0,346785.0,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-05-16 14:42:16.000000,2022-05-12 15:46:34,11927,94.0,4272,475.0,2599.0,551.0,4188.0,19359,Asynchronous task queue/job queue based on distributed message passing.,1212.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,84504.0,69644.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14860.0,5055482.0,5066802.0,https://anaconda.org/conda-forge/celery,2022-04-27 14:43:42.320,837691.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-05-19 14:21:34.000000,2022-05-19 14:09:51,16151,1057.0,10549,740.0,16677.0,957.0,4685.0,26282,"Platform to programmatically author, schedule, and monitor workflows.",2396.0,45,True,2022-05-01 00:37:18.000,2.3.0,110.0,apache-airflow,conda-forge/airflow,apache/airflow,,,468.0,,https://pypi.org/project/apache-airflow,2022-04-30 22:05:37.000,468.0,6288688.0,7148946.0,https://anaconda.org/conda-forge/airflow,2022-05-02 02:18:11.941,604157.0,https://hub.docker.com/r/apache/airflow,2022-05-08 22:26:51.004048,338.0,71960300.0,1.0,291516.0,stable/airflow,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-05-19 11:07:50.000000,2022-05-19 11:07:21,13249,537.0,1856,211.0,3760.0,135.0,2397.0,9777,The friendly PIL fork (Python Imaging Library).,398.0,45,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,62853.0,,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62853.0,44086985.0,44290614.0,https://anaconda.org/conda-forge/pillow,2022-05-17 20:00:29.570,14864972.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-05-19 10:06:09.000000,2022-05-18 23:05:28,6943,423.0,19095,1953.0,5246.0,332.0,11033.0,55222,Deep Learning for humans.,1065.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],292.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,292.0,9784138.0,9816733.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2249076.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-05-19 12:03:22.000000,2022-05-17 08:23:16,15429,115.0,3827,559.0,3083.0,101.0,5026.0,23381,Industrial-strength Natural Language Processing (NLP) in Python.,680.0,44,True,2022-04-29 07:49:22.000,3.3.0,194.0,spacy,conda-forge/spacy,,,,41313.0,38986.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2327.0,5678817.0,5720695.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2635474.0,,,,,1.0,3139.0,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-05-19 13:53:40.000000,2022-05-19 00:02:36,5790,124.0,8377,932.0,3522.0,278.0,4153.0,22632,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",560.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,32244.0,30905.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1339.0,9185265.0,9227618.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2623330.0,,,,,1.0,4138.0,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-05-19 08:24:14.000000,2022-05-19 05:21:23,11609,1028.0,1616,265.0,6514.0,1100.0,2248.0,17501,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",396.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,,4642.0,4344.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,298.0,440267.0,449435.0,https://anaconda.org/conda-forge/jaxlib,2022-05-12 19:19:38.047,311739.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-05-19 05:21:42.000000,2022-05-15 20:49:38,19546,54.0,3933,458.0,5153.0,709.0,6200.0,16291,"Interactive Data Visualization in the browser, from Python.",604.0,44,True,2022-05-18 19:00:14.000,2.4.3,125.0,bokeh,conda-forge/bokeh,,,,54788.0,51252.0,https://pypi.org/project/bokeh,2022-05-18 19:00:14.000,3536.0,3207461.0,3326218.0,https://anaconda.org/conda-forge/bokeh,2022-04-13 06:00:47.827,7244229.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-05-19 06:59:25.000000,2022-05-19 06:00:38,6841,133.0,2621,275.0,2656.0,366.0,2546.0,10748,Network Analysis in Python.,594.0,44,True,2022-05-18 17:44:43.000,2.8.1,76.0,networkx,conda-forge/networkx,,,,120710.0,107361.0,https://pypi.org/project/networkx,2022-05-18 17:44:43.000,13349.0,20128147.0,20223132.0,https://anaconda.org/conda-forge/networkx,2022-05-18 21:17:21.463,6364042.0,,,,,1.0,60.0,,1.0,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-19 09:49:20.000000,2022-05-13 20:06:47,14289,41.0,2572,472.0,1356.0,223.0,1398.0,10744,Suite of libraries and programs for symbolic and statistical natural language processing for English.,421.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,153985.0,142165.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13237530.0,13255502.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1240134.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-05-19 04:14:14.000000,2022-05-18 17:27:44,50946,612.0,3654,289.0,11521.0,4450.0,7931.0,9218,A computer algebra system written in pure Python.,1146.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,46296.0,42164.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1748652.0,1781313.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2044288.0,,,,,1.0,452552.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-05-18 19:55:06.000000,2022-05-18 00:21:28,13206,105.0,1994,185.0,3746.0,623.0,1824.0,4902,Image processing in Python.,554.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,112106.0,102865.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9241.0,7869503.0,7916975.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3418047.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-05-19 14:35:33.000000,2022-05-19 13:01:49,12584,1233.0,3558,424.0,14673.0,2357.0,7942.0,20485,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",686.0,43,True,2022-05-16 22:46:43.000,ray-1.12.1,72.0,ray,conda-forge/ray-tune,,,,5058.0,4788.0,https://pypi.org/project/ray,2022-05-16 22:38:01.000,270.0,1107525.0,1109164.0,https://anaconda.org/conda-forge/ray-tune,2022-05-19 11:04:50.644,27866.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-05-19 12:00:24.000000,2022-05-19 11:25:25,6967,426.0,2330,221.0,6174.0,478.0,4539.0,18451,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",678.0,43,True,2022-05-03 20:36:12.000,1.6.3,209.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9295.0,8936.0,https://pypi.org/project/pytorch-lightning,2022-05-03 20:47:46.000,359.0,3621468.0,3640697.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-05-04 00:29:27.477,437743.0,,,,,2.0,6715.0,,1.0,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-05-19 12:49:47.000000,2022-05-18 20:35:53,7184,183.0,1479,224.0,4640.0,731.0,3633.0,9889,Parallel computing with task scheduling.,530.0,43,True,2022-05-02 18:26:37.000,2022.5.0,142.0,dask,conda-forge/dask,,,,39335.0,36719.0,https://pypi.org/project/dask,2022-05-02 18:26:37.000,2616.0,6034015.0,6111167.0,https://anaconda.org/conda-forge/dask,2022-05-02 23:00:13.029,5554949.0,,,,,1.0,,stable/dask,-1.0,,,,,,,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-05-19 03:02:32.000000,2022-05-18 10:47:26,2929,115.0,1588,249.0,795.0,120.0,1915.0,9424,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:42:18.000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,166558.0,157716.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,8926243.0,8981279.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3797370.0,,,,,1.0,219.0,,1.0,,,,,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-05-18 18:18:05.000000,2022-05-18 18:14:23,14586,85.0,2431,262.0,3560.0,2266.0,2519.0,7377,Statsmodels: statistical modeling and econometrics in Python.,373.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,67660.0,63147.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,10102614.0,10188581.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6103673.0,,,,,2.0,26.0,,,,,,,,,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-05-18 21:26:28.000000,2022-05-17 23:45:57,5037,84.0,1494,193.0,4062.0,557.0,1119.0,5860,TensorFlows Visualization Toolkit.,278.0,43,True,2022-04-29 19:39:04.000,2.9.0,41.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],110344.0,107982.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2362.0,14845907.0,14899916.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2916537.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-05-19 13:59:08.000000,2022-05-19 12:06:11,33183,787.0,25618,2078.0,36587.0,217.0,,32890,Apache Spark Python API.,2671.0,42,True,2022-02-18 23:01:24.000,3.1.3,29.0,pyspark,conda-forge/pyspark,,,['spark'],822.0,,https://pypi.org/project/pyspark,2022-02-18 23:01:24.000,822.0,20319113.0,20345265.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1621429.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,,
30,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-05-19 10:46:47.000000,2022-05-18 20:56:10,1609,94.0,7796,994.0,1253.0,110.0,1471.0,27584,A toolkit for developing and comparing reinforcement learning algorithms.,358.0,42,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,31777.0,29337.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2440.0,590721.0,594971.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,106255.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-05-18 23:46:27.000000,2022-05-18 23:46:26,2963,89.0,3459,448.0,2552.0,189.0,2473.0,13803,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,13697.0,13121.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,7089629.0,7109424.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1005567.0,,,,,2.0,149979.0,,,,,,,,,,,,,,,,,,,,
32,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-06 00:53:28.000000,2022-05-06 00:53:28,4383,76.0,4210,433.0,1605.0,374.0,1388.0,13195,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,36079.0,33201.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,6192989.0,6207217.0,https://anaconda.org/conda-forge/gensim,2022-05-02 02:02:36.733,794053.0,,,,,1.0,3827.0,,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-05-19 13:10:42.000000,2022-05-19 09:51:50,2752,280.0,5899,365.0,3719.0,705.0,1772.0,11642,"Datasets, Transforms and Models specific to Computer Vision.",485.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,4732731.0,4737283.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,236734.0,,,,,1.0,5296.0,,,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-05-14 05:32:47.000000,2022-05-11 01:37:53,5477,92.0,2143,272.0,1347.0,1153.0,1195.0,11514,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-05-11 01:36:25.000,5.8.0,279.0,plotly,conda-forge/plotly,,,,4055.0,9.0,https://pypi.org/project/plotly,2022-05-11 01:30:01.000,4042.0,7625205.0,7707398.0,https://anaconda.org/conda-forge/plotly,2022-05-11 04:58:57.208,2539461.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45390.0,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-05-19 14:47:27.000000,2022-05-19 14:47:27,4047,98.0,1781,1743.0,3819.0,156.0,2276.0,9814,WebGL2 powered visualization framework.,194.0,42,True,2022-05-11 16:51:39.063,8.7.9,530.0,pydeck,conda-forge/pydeck,,,['jupyter'],4469.0,4061.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,23.0,979155.0,1287836.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,101266.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-05-18 15:44:45.816,385.0,304931.0,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-05-19 13:38:31.000000,2022-05-19 11:47:57,35756,1751.0,4515,728.0,28116.0,2894.0,12595.0,18212,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,735.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],161.0,113.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,89138.0,89359.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-05-19 00:49:34.000000,2022-05-18 19:23:16,1949,52.0,2707,429.0,2208.0,277.0,1707.0,12505,Open standard for machine learning interoperability.,232.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,7170.0,6797.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,373.0,1076822.0,1084621.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,403959.0,,,,,1.0,17587.0,,,,,,,,,,,,,,,,,,,,
