,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
14,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-02-04 14:22:17.000000,2021-02-04 14:00:18.000000,9839,568.0,5320.0,40424,6474.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,774.0,36,True,2021-01-21 08:14:39.000000,4.2.2,47.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",7571.0,7443.0,https://pypi.org/project/transformers,2021-01-21 08:11:31.000000,128.0,532578.0,533742.0,https://anaconda.org/conda-forge/transformers,2021-01-21 12:14:11.802000,17893.0,,,,,1.0,1254.0,,,,,,,,,,,,,,,,,,,,,
15,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-02-03 21:29:43.343000,2021-02-03 17:39:49.000000,1365,134.0,352.0,12054,2549.0,Faker is a Python package that generates fake data for you.,387.0,36,True,2021-02-03 17:40:32.000000,6.0.0,118.0,Faker,conda-forge/faker,,,,27785.0,23073.0,https://pypi.org/project/Faker,2021-02-03 17:40:22.000000,4712.0,1449888.0,1457721.0,https://anaconda.org/conda-forge/faker,2021-02-03 21:29:43.343000,368167.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-02-04 11:32:59.000000,2021-02-03 02:33:10.000000,2202,264.0,2303.0,8598,6409.0,Network Analysis in Python.,493.0,36,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,86872.0,66054.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,4039670.0,4096846.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2973185.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,,
17,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-02-04 13:31:26.000000,2021-02-03 20:40:01.000000,3273,4027.0,7106.0,7790,45962.0,A computer algebra system written in pure Python.,1035.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,35093.0,28671.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,440397.0,467273.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1272423.0,,,,,1.0,414337.0,,,,,,,,,,,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-02-03 11:29:45.000000,2021-01-31 16:51:58.000000,2156,2080.0,2252.0,5973,13573.0,Statsmodels: statistical modeling and econometrics in Python.,299.0,36,True,2021-02-02 11:08:49.000000,0.12.2,25.0,statsmodels,conda-forge/statsmodels,,,,43402.0,36746.0,https://pypi.org/project/statsmodels,2021-02-02 11:08:49.000000,6656.0,2155360.0,2213728.0,https://anaconda.org/conda-forge/statsmodels,2021-02-02 14:47:17.296000,3268643.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-02-04 09:22:37.000000,2021-02-04 02:22:55.000000,1357,536.0,934.0,5140,4251.0,TensorFlow's Visualization Toolkit.,250.0,36,True,2021-01-14 20:44:05.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],56827.0,53213.0,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,3681374.0,3722598.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1607767.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-02-04 10:49:45.000000,2021-02-02 05:06:26.000000,1727,661.0,1484.0,4176,12477.0,Image processing in Python.,480.0,36,True,2021-01-19 08:17:34.000000,0.18.1,35.0,scikit-image,conda-forge/scikit-image,,,,74839.0,60065.0,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1260226.0,1297431.0,https://anaconda.org/conda-forge/scikit-image,2021-01-21 20:53:16.554000,2120689.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-31 00:03:20.000000,2021-01-31 00:00:37.000000,393,184.0,946.0,1478,3535.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,161.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,124072.0,101136.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,3593844.0,3670641.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4530055.0,,,,,1.0,809.0,,,,,,,,,,,,,,,,,,,,,
22,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-02-04 06:09:16.000000,2021-02-04 00:42:26.000000,18720,3182.0,7230.0,50649,5389.0,Deep Learning for humans.,897.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1271297.0,1297566.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1418557.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
23,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-01-25 09:30:06.000000,2021-01-11 17:58:46.000000,6656,251.0,1061.0,23352,1241.0,A toolkit for developing and comparing reinforcement learning algorithms.,272.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,21241.0,17679.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,235655.0,235655.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-02-04 15:04:15.000000,2021-02-04 12:57:51.000000,7922,986.0,1932.0,20565,11576.0,"Platform to programmatically author, schedule, and monitor workflows.",1729.0,35,True,2020-12-18 13:21:47.000000,2.0.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,443445.0,533507.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,269212.0,https://hub.docker.com/r/apache/airflow,2021-02-04 02:44:05.998740,210.0,5795462.0,1.0,85047.0,stable/airflow,,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-02-04 07:32:56.000000,2021-02-04 01:13:09.000000,7873,250.0,3657.0,20515,5215.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",501.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,15109.0,13517.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,1769835.0,1798566.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1349348.0,,,,,1.0,1906.0,,,,,,,,,,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-02-04 06:18:36.000000,2021-02-03 22:32:23.000000,3176,92.0,2004.0,12137,2299.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",200.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,6112.0,5556.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,970167.0,983364.0,https://anaconda.org/conda-forge/lightgbm,2021-01-15 08:38:34.182000,481590.0,,,,,1.0,91937.0,,,,,,,,,,,,,,,,,,,,,
27,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-02-04 08:26:30.000000,2021-01-31 02:01:36.000000,3903,351.0,1251.0,11678,3849.0,Topic Modelling for Humans.,386.0,35,True,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,25312.0,20570.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,4658799.0,4673357.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,594936.0,,,,,1.0,3041.0,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-02-04 13:12:14.000000,2021-01-14 02:04:12.000000,1739,800.0,1051.0,8810,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,1834200.0,2059038.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1184196.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,202909.0,,,,,,,,,,,,,,,
29,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-02-04 14:33:15.000000,2021-02-04 14:28:39.000000,4299,455.0,1090.0,8301,1459.0,"Datasets, Transforms and Models specific to Computer Vision.",360.0,35,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],45333.0,40721.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,423079.0,423976.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34111.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-02-03 11:21:05.000000,2021-02-03 02:45:08.000000,1366,87.0,1683.0,8073,2752.0,Statistical data visualization using matplotlib.,147.0,35,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,92745.0,79959.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1445406.0,1481418.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,1944644.0,,,,,1.0,129.0,,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-02-04 15:06:04.000000,2021-02-04 02:06:44.000000,1215,727.0,2816.0,7865,6313.0,Parallel computing with task scheduling.,425.0,35,True,2021-01-22 18:21:58.000000,2021.1.1,111.0,dask,conda-forge/dask,,,,28943.0,25027.0,https://pypi.org/project/dask,2021-01-22 18:21:58.000000,3916.0,1034582.0,1085704.0,https://anaconda.org/conda-forge/dask,2021-01-23 02:09:28.436000,2914006.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,
32,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-02-04 15:05:07.000000,2021-02-04 15:04:26.000000,1776,136.0,562.0,7105,8493.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,623.0,35,True,2020-10-19 21:15:12.000000,3.0.0,30.0,pyarrow,conda-forge/arrow,,,,1017.0,31.0,https://pypi.org/project/pyarrow,2021-01-26 01:05:45.000000,986.0,10312767.0,10320870.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093000,461922.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
33,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-01-30 17:16:38.000000,2020-12-28 10:07:59.000000,286,291.0,352.0,2333,1365.0,Computing with Python functions.,98.0,35,True,2020-12-14 14:21:00.000000,1.0.0,99.0,joblib,conda-forge/joblib,,,,86793.0,80183.0,https://pypi.org/project/joblib,2020-12-14 14:21:00.000000,6610.0,10659087.0,10717564.0,https://anaconda.org/conda-forge/joblib,2020-12-14 14:36:22.998000,3216250.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-02-03 07:00:19.000000,2021-02-01 18:24:04.000000,1414,405.0,558.0,13875,3543.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",73.0,34,True,2021-01-20 00:00:50.000000,1.19.0,137.0,dash,conda-forge/dash,,,,18723.0,17115.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,165610.0,172045.0,https://anaconda.org/conda-forge/dash,2021-01-21 16:17:38.594000,212368.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-01-29 20:31:04.000000,2021-01-02 00:33:13.000000,2434,233.0,1224.0,9596,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,386.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,109151.0,88159.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,3516143.0,3527629.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,620278.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-01-27 07:16:52.000000,2020-09-05 10:39:50.000000,2501,674.0,2081.0,9333,28123.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",382.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15616.0,10142.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,130632.0,153980.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1284178.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,,ml-experiments,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000000,2021-02-04 15:02:59.000000,2021-02-04 07:53:52.000000,1872,687.0,1044.0,8326,1870.0,Open source platform for the machine learning lifecycle.,278.0,34,True,2020-12-31 09:17:41.000000,1.13.1,40.0,mlflow,conda-forge/mlflow,,,,2037.0,1883.0,https://pypi.org/project/mlflow,2020-12-31 08:55:08.000000,154.0,1787246.0,1796776.0,https://anaconda.org/conda-forge/mlflow,2021-01-28 17:21:24.799000,209665.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,dask.distributed,dask/distributed,,distributed-ml,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000000,2021-02-04 02:32:45.000000,2021-02-04 02:32:44.000000,506,721.0,1265.0,1142,3790.0,A distributed task scheduler for Dask.,227.0,34,True,2021-01-15 21:36:03.000000,2021.1.1,142.0,distributed,conda-forge/distributed,,,,18293.0,16515.0,https://pypi.org/project/distributed,2021-01-22 18:29:47.000000,1778.0,674798.0,738395.0,https://anaconda.org/conda-forge/distributed,2021-01-23 01:04:22.184000,3625057.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
