,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-05-08 02:22:39.000000,2025-05-07 10:17:52,35082.0,492.0,5306.0,353.0,12158.0,1723.0,9332.0,13650.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1775.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1383748.0,1333242.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,139472298.0,140622754.0,https://anaconda.org/conda-forge/scipy,2025-04-22 14:56:23.716,61900586.0,,,,,1.0,489687.0,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-05-08 11:47:24.000000,2025-05-08 11:47:24,60158.0,637.0,4669.0,291.0,13960.0,5328.0,9112.0,13605.0,A computer algebra system written in pure Python.,1374.0,50,True,2025-04-27 18:05:25.000,1.14.0,67.0,sympy,conda-forge/sympy,,,,265743.0,261436.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4307.0,52390302.0,52539952.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,8743113.0,,,,,1.0,558416.0,1.0,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-05-07 09:45:43.000000,2025-05-07 09:45:41,52456.0,420.0,7781.0,585.0,19152.0,1615.0,9583.0,21188.0,matplotlib: plotting with Python.,1804.0,49,True,2025-02-27 19:18:10.000,3.10.1,132.0,matplotlib,conda-forge/matplotlib,,,,1794816.0,1738699.0,https://pypi.org/project/matplotlib,2025-02-27 19:18:10.000,56117.0,83327969.0,83834424.0,https://anaconda.org/conda-forge/matplotlib,2025-04-22 14:56:20.111,29880873.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-05-08 09:17:48.000000,2025-05-08 09:16:40,19475.0,284.0,2278.0,219.0,5458.0,126.0,3213.0,12778.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-12 17:56:01.000,11.2.1,102.0,Pillow,conda-forge/pillow,,,,2281826.0,2267561.0,https://pypi.org/project/Pillow,2025-04-12 17:47:10.000,14265.0,141268354.0,142194969.0,https://anaconda.org/conda-forge/pillow,2025-05-07 23:14:11.930,53743703.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-05-07 22:02:11.000000,2025-05-07 22:02:11,11499.0,158.0,19579.0,1904.0,8039.0,316.0,12195.0,62962.0,Deep Learning for humans.,1406.0,47,True,2025-04-02 20:22:14.000,3.9.2,108.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1794.0,,https://pypi.org/project/keras,2025-04-02 19:03:07.000,1794.0,15334681.0,15403775.0,https://anaconda.org/conda-forge/keras,2025-04-30 05:21:25.343,4076597.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-05-08 14:38:32.000000,2025-05-08 12:12:55,25092.0,1259.0,6265.0,484.0,32403.0,4365.0,16373.0,36935.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1216.0,47,True,2025-05-07 21:12:53.000,ray-2.46.0,128.0,ray,conda-forge/ray-tune,,,,24662.0,23705.0,https://pypi.org/project/ray,2025-05-07 21:04:19.000,957.0,7628294.0,7642587.0,https://anaconda.org/conda-forge/ray-tune,2025-04-22 14:57:41.621,757456.0,,,,,1.0,255.0,,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-05-08 14:21:01.000000,2025-05-08 14:20:34,7567.0,505.0,3440.0,326.0,6100.0,1172.0,4025.0,39247.0,Streamlit A faster way to build and share data apps.,396.0,46,True,2025-04-29 17:34:38.000,1.45.0,243.0,streamlit,,,,,901133.0,897476.0,https://pypi.org/project/streamlit,2025-04-29 17:34:30.000,3657.0,10195800.0,10195800.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-05-07 06:54:13.000000,2025-05-05 20:07:17,7412.0,95.0,8766.0,906.0,5956.0,448.0,5064.0,26898.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",659.0,46,True,2025-03-15 13:45:01.000,3.0.0,88.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,155754.0,153426.0,https://pypi.org/project/xgboost,2025-03-15 13:45:01.000,2328.0,24501178.0,24606213.0,https://anaconda.org/conda-forge/xgboost,2025-04-22 14:56:33.345,6085139.0,,,,,1.0,15982.0,,,,,,,,,,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-05-08 14:54:21.000000,2025-05-06 15:55:33,8332.0,341.0,2137.0,422.0,1256.0,543.0,1430.0,22413.0,Data Apps & Dashboards for Python. No JavaScript Required.,177.0,46,True,2025-04-24 19:08:09.000,3.0.4,191.0,dash,conda-forge/dash,,,,86598.0,84983.0,https://pypi.org/project/dash,2025-04-24 19:06:41.000,1615.0,5378731.0,5409318.0,https://anaconda.org/conda-forge/dash,2025-04-27 13:39:41.261,1804612.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-05-07 20:48:50.000000,2025-05-07 20:04:15,7921.0,374.0,2637.0,278.0,1870.0,655.0,2543.0,17116.0,The interactive graphing library for Python.,285.0,46,True,2025-03-17 15:02:47.000,6.0.1,305.0,plotly,conda-forge/plotly,,,,429373.0,421250.0,https://pypi.org/project/plotly,2025-05-02 19:26:21.000,8114.0,23044838.0,23255356.0,https://anaconda.org/conda-forge/plotly,2025-04-22 14:56:26.042,9368427.0,,,,,1.0,188.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,54377.0,,,,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-05-08 14:10:42.000000,2025-05-08 14:10:36,27618.0,2050.0,2978.0,330.0,19279.0,1497.0,4685.0,32161.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",878.0,45,True,2025-04-17 00:04:02.000,jax-v0.6.0,177.0,jax,conda-forge/jaxlib,,,,45383.0,42955.0,https://pypi.org/project/jax,2025-04-17 00:00:18.000,2428.0,7593241.0,7637163.0,https://anaconda.org/conda-forge/jaxlib,2025-04-22 14:57:08.015,2591444.0,,,,,1.0,,,,,,,,jax-ml/jax,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-05-08 12:50:52.000000,2025-05-08 12:50:51,53763.0,982.0,5727.0,716.0,53645.0,1766.0,17715.0,22750.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1374.0,45,True,2025-03-31 01:41:13.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],8265.0,8033.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,232.0,404265.0,404411.0,,,,,,,,1.0,15434.0,,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-05-07 18:55:36.000000,2025-05-07 18:52:34,20767.0,81.0,4214.0,433.0,6332.0,807.0,7153.0,19836.0,"Interactive Data Visualization in the browser, from Python.",709.0,45,True,2025-03-28 08:06:33.000,3.7.2,237.0,bokeh,conda-forge/bokeh,,,,103562.0,101648.0,https://pypi.org/project/bokeh,2025-03-28 08:06:33.000,1914.0,3396371.0,3675857.0,https://anaconda.org/conda-forge/bokeh,2025-04-22 14:56:34.327,16489724.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-05-02 04:33:22.000000,2025-05-02 04:33:22,14744.0,41.0,2887.0,460.0,1516.0,276.0,1597.0,14035.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,391434.0,386737.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,33207638.0,33270796.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3157949.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-05-06 17:01:28.000000,2025-05-06 17:01:27,9555.0,109.0,1762.0,212.0,6277.0,1133.0,4411.0,13185.0,Parallel computing with task scheduling.,621.0,45,True,2025-04-25 20:39:20.000,2025.4.1,219.0,dask,conda-forge/dask,,,,76991.0,74132.0,https://pypi.org/project/dask,2025-04-25 20:39:20.000,2859.0,10734366.0,10953179.0,https://anaconda.org/conda-forge/dask,2025-04-25 22:34:49.225,13128783.0,,,,,1.0,,1.0,,,,,,,stable/dask,,,,,,,,,,,,
25,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-05-08 13:34:47.000000,2025-05-08 13:34:44,44347.0,782.0,28515.0,2016.0,50797.0,185.0,,41071.0,Apache Spark Python API.,3225.0,44,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1841.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1841.0,44269597.0,44334633.0,https://anaconda.org/conda-forge/pyspark,2025-04-22 14:56:33.311,3837125.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-05-06 15:04:08.000000,2025-05-05 11:53:26,7690.0,253.0,2873.0,183.0,5102.0,467.0,5178.0,37918.0,"Wrap UIs around any model, share with anyone.",578.0,44,True,2025-05-02 01:39:16.000,5.29.0,643.0,gradio,,,,,73938.0,72736.0,https://pypi.org/project/gradio,2025-05-02 01:39:16.000,1202.0,9247471.0,9247471.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-05-08 14:26:11.000000,2025-05-08 06:39:40,21808.0,2427.0,2828.0,116.0,5113.0,1460.0,4190.0,22150.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",511.0,44,True,2025-05-07 05:00:49.000,1.68.1-nightly,1140.0,litellm,,,,others,13170.0,12043.0,https://pypi.org/project/litellm,2025-05-07 04:37:16.000,1127.0,7963205.0,7963428.0,,,,,,,,1.0,670.0,1.0,,,,,,,,,,,,,,,,,,,
28,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-05-08 14:10:56.000000,2025-05-08 14:08:43,7617.0,454.0,4504.0,307.0,11039.0,1808.0,2819.0,20431.0,Open source platform for the machine learning lifecycle.,850.0,44,True,2025-04-24 09:56:38.000,2.22.0,136.0,mlflow,conda-forge/mlflow,,,,60819.0,59744.0,https://pypi.org/project/mlflow,2025-04-25 11:39:27.000,1075.0,16299028.0,16352953.0,https://anaconda.org/conda-forge/mlflow,2025-04-26 10:28:06.581,3181624.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-05-07 03:46:27.000000,2025-05-07 03:46:27,7975.0,86.0,3268.0,282.0,4124.0,344.0,3090.0,15713.0,Network Analysis in Python.,776.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,409368.0,399738.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,89530036.0,89914512.0,https://anaconda.org/conda-forge/networkx,2025-04-22 14:56:28.978,21915171.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,,
30,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-22 14:56:32.571000,2025-04-11 18:56:52,16228.0,3.0,4485.0,564.0,4050.0,198.0,5528.0,31522.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,43,True,2025-04-01 21:03:46.000,3.8.5,240.0,spacy,conda-forge/spacy,,,,133452.0,130399.0,https://pypi.org/project/spacy,2025-04-01 21:03:46.000,3053.0,18596634.0,18695105.0,https://anaconda.org/conda-forge/spacy,2025-04-22 14:56:32.571,5808207.0,,,,,1.0,2427.0,,,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-05-08 14:17:28.000000,2025-05-08 14:17:25,10592.0,87.0,3487.0,254.0,10476.0,933.0,6374.0,29427.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1010.0,43,True,2025-04-25 20:23:05.000,2.5.1.post0,287.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],47290.0,45616.0,https://pypi.org/project/pytorch-lightning,2025-04-25 20:24:27.000,1674.0,9205292.0,9231480.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-04-28 12:17:16.982,1529493.0,,,,,2.0,11938.0,-1.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,
32,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-05-08 14:06:04.000000,2025-05-08 14:06:04,1830.0,183.0,2574.0,144.0,705.0,1248.0,1147.0,16626.0,State-of-the-Art Text Embeddings.,221.0,43,True,2025-04-15 13:47:13.000,4.1.0,65.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],104242.0,101858.0,https://pypi.org/project/sentence-transformers,2025-04-15 13:46:12.000,2384.0,9062326.0,9074678.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-22 14:57:36.121,691718.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-05-08 14:17:43.000000,2025-05-08 14:09:08,3913.0,536.0,1912.0,197.0,4804.0,755.0,1006.0,15490.0,Development repository for the Triton language and compiler.,392.0,43,True,2025-04-09 20:27:25.000,3.3.0,198.0,triton,,,,,66065.0,65670.0,https://pypi.org/project/triton,2025-04-09 20:27:25.000,395.0,23312064.0,23312064.0,,,,,,,,1.0,,,,,,,,triton-lang/triton,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-05-08 14:10:49.000000,2025-05-08 10:55:53,5165.0,79.0,2116.0,1663.0,5088.0,423.0,2779.0,12675.0,WebGL2 powered visualization framework.,287.0,43,True,2025-04-18 11:03:48.824,9.1.11,694.0,pydeck,conda-forge/pydeck,,,['jupyter'],9519.0,9017.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,8705329.0,9280773.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,745275.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-04-18 11:03:48.824,345.0,562595.0,,,,,,,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-05-07 09:20:09.000000,2025-05-07 09:20:08,19193.0,315.0,1086.0,117.0,3916.0,63.0,1675.0,11891.0,A hyperparameter optimization framework.,292.0,43,True,2025-04-14 05:07:40.000,4.3.0,73.0,optuna,conda-forge/optuna,,,,27441.0,26194.0,https://pypi.org/project/optuna,2025-04-14 05:07:40.000,1247.0,3965479.0,4010661.0,https://anaconda.org/conda-forge/optuna,2025-04-22 14:57:16.783,2665747.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-05-06 15:40:27.000000,2025-05-06 15:40:27,15698.0,40.0,3091.0,286.0,4007.0,2851.0,2829.0,10636.0,Statsmodels: statistical modeling and econometrics in Python.,456.0,43,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,173155.0,168686.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16860257.0,17181920.0,https://anaconda.org/conda-forge/statsmodels,2025-04-22 14:56:24.492,18978149.0,,,,,2.0,35.0,,,,,,,,,,,,,,,,,,,,
37,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-05-08 15:00:12.000000,2025-05-07 22:51:10,7932.0,248.0,738.0,62.0,6251.0,637.0,2922.0,9846.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",211.0,43,True,2025-05-07 20:51:36.000,0.19.11,309.0,wandb,conda-forge/wandb,,,,78352.0,76499.0,https://pypi.org/project/wandb,2025-05-07 20:49:33.000,1853.0,17621655.0,17639736.0,https://anaconda.org/conda-forge/wandb,2025-04-23 18:02:45.083,1047889.0,,,,,1.0,707.0,,,,,,,wandb/wandb,,,,,,,,,,,,,
