,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,new_addition,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-01-07 21:31:57.000000,2021-01-07 13:06:22.000000,1554.0,233.0,1855.0,8080,11088.0,The friendly PIL fork (Python Imaging Library).,343.0,38,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,488549.0,377123.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,14350709.0,14466992.0,https://anaconda.org/conda-forge/pillow,2021-01-02 23:10:11.941000,6628173.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-01-08 00:36:23.000000,2021-01-08 00:36:22.000000,3200.0,90.0,4138.0,17969,11722.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,544.0,37,True,2020-12-11 14:45:05.000000,2.3.5,169.0,spacy,conda-forge/spacy,,,,23198.0,20132.0,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,902958.0,932271.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1375076.0,,,,,1.0,2907.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-01-07 15:22:33.000000,2021-01-07 10:18:06.000000,3908.0,487.0,3917.0,16495,11483.0,Asynchronous task queue/job queue based on distributed message passing.,1071.0,37,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,75519.0,47285.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,2036003.0,2042219.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,360576.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-01-07 20:58:13.000000,2021-01-07 15:07:15.000000,2155.0,253.0,2285.0,8454,6373.0,Network Analysis in Python.,484.0,37,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,84624.0,63806.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,5398152.0,5453512.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2823408.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,
14,boto3,boto/boto3,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2021-01-08 02:09:34.046000,2021-01-07 20:51:27.000000,1300.0,304.0,1945.0,6034,4023.0,AWS SDK for Python.,108.0,37,True,2021-01-07 22:08:14.000000,1.16.51,738.0,boto3,conda-forge/boto3,,,,115206.0,92116.0,https://pypi.org/project/boto3,2021-01-07 22:08:14.000000,23090.0,52674453.0,52757693.0,https://anaconda.org/conda-forge/boto3,2021-01-08 02:09:34.046000,4162033.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,SQLAlchemy,sqlalchemy/sqlalchemy,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2021-01-07 21:31:19.000000,2021-01-07 20:59:59.000000,491.0,153.0,5392.0,3174,13457.0,The Database Toolkit for Python.,448.0,37,True,2020-12-18 21:13:06.000000,1.3.22,207.0,SQLAlchemy,conda-forge/sqlalchemy,,,,311610.0,227904.0,https://pypi.org/project/SQLAlchemy,2020-12-18 21:13:06.000000,83706.0,12466943.0,12527009.0,https://anaconda.org/conda-forge/sqlalchemy,2020-12-19 08:49:20.725000,2879683.0,,,,,1.0,1170.0,,,,,,,,,,,,,,,,,,,
16,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-01-08 01:53:10.000000,2021-01-07 22:10:16.000000,9551.0,558.0,5025.0,39063,6258.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,745.0,36,True,2020-12-17 17:09:51.000000,4.1.1,44.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",6825.0,6697.0,https://pypi.org/project/transformers,2020-12-17 16:27:28.000000,128.0,679818.0,680784.0,https://anaconda.org/conda-forge/transformers,2020-12-19 08:26:53.237000,13786.0,,,,,1.0,1240.0,,,,,,,,,,,,,,,,,,,
17,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-01-07 17:28:28.119000,2021-01-07 16:11:07.000000,1346.0,137.0,343.0,11893,2503.0,Faker is a Python package that generates fake data for you.,380.0,36,True,2021-01-07 16:13:32.000000,5.4.0,106.0,Faker,conda-forge/faker,,,,26846.0,22134.0,https://pypi.org/project/Faker,2021-01-07 16:11:45.000000,4712.0,2014053.0,2021878.0,https://anaconda.org/conda-forge/faker,2021-01-07 17:28:28.119000,359994.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,redis,andymccurdy/redis-py,,db-clients,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000000,2020-12-21 07:23:24.000000,2020-11-22 20:52:44.000000,1903.0,62.0,808.0,9007,1550.0,Redis Python Client.,248.0,36,True,2020-06-01 21:30:33.000000,3.5.3,66.0,redis,,,,,49438.0,,https://pypi.org/project/redis,2020-06-01 21:30:33.000000,49438.0,8302376.0,8302376.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-01-08 02:36:32.000000,2021-01-07 09:31:39.000000,3209.0,3953.0,7072.0,7718,45646.0,A computer algebra system written in pure Python.,1029.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,34234.0,27812.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,565639.0,592135.0,https://anaconda.org/conda-forge/sympy,2020-12-13 04:16:18.209000,1227451.0,,,,,1.0,412037.0,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-01-07 23:50:52.000000,2021-01-07 18:56:57.000000,2140.0,2059.0,2236.0,5884,13532.0,Statsmodels: statistical modeling and econometrics in Python.,297.0,36,True,2020-10-29 16:36:43.000000,0.12.1,24.0,statsmodels,conda-forge/statsmodels,,,,41983.0,35327.0,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,2016248.0,2072526.0,https://anaconda.org/conda-forge/statsmodels,2020-11-21 19:18:02.779000,3095299.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-01-08 01:20:16.000000,2021-01-08 00:40:59.000000,1338.0,563.0,903.0,5107,4140.0,TensorFlow's Visualization Toolkit.,248.0,36,True,2020-11-12 03:15:42.000000,2.4.0,35.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],54071.0,50457.0,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,5243161.0,5283040.0,https://anaconda.org/conda-forge/tensorboard,2020-11-12 07:26:37.897000,1515427.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-01-07 21:08:11.000000,2021-01-07 08:19:17.000000,1713.0,644.0,1475.0,4123,12457.0,Image processing in Python.,474.0,36,True,2020-12-23 06:36:46.000000,0.18.1,35.0,scikit-image,conda-forge/scikit-image,,,,72651.0,57877.0,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1882766.0,1919078.0,https://anaconda.org/conda-forge/scikit-image,2020-12-23 15:59:08.642000,2033477.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,pymongo,mongodb/mongo-python-driver,,db-clients,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000000,2021-01-08 00:03:51.000000,2021-01-06 23:15:37.000000,969.0,7.0,,3196,4619.0,PyMongo - the Python driver for MongoDB.,179.0,36,True,2020-12-02 23:37:26.000000,3.11.2,115.0,pymongo,conda-forge/pymongo,,,,118941.0,83079.0,https://pypi.org/project/pymongo,2020-12-02 23:31:25.000000,35862.0,5897637.0,5903476.0,https://anaconda.org/conda-forge/pymongo,2020-10-12 20:39:14.177000,321145.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-07 11:01:40.000000,2021-01-06 14:55:54.000000,393.0,182.0,939.0,1460,3476.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,157.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,120397.0,97461.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,5394084.0,5469857.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4393928.0,,,,,1.0,771.0,,,,,,,,,,,,,,,,,,,
25,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-01-07 22:42:03.000000,2021-01-07 02:21:37.000000,18680.0,3153.0,7222.0,50462,5364.0,Deep Learning for humans.,894.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1930100.0,1956346.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1391066.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
26,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-01-07 14:14:15.000000,2020-12-18 23:40:47.000000,6583.0,230.0,1062.0,23106,1240.0,A toolkit for developing and comparing reinforcement learning algorithms.,271.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,20576.0,17014.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,292757.0,292757.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-01-08 02:05:40.000000,2021-01-08 02:05:39.000000,7840.0,263.0,3643.0,20363,5177.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",501.0,35,True,2020-12-22 13:38:41.000000,1.3.1,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,14373.0,12781.0,https://pypi.org/project/xgboost,2020-12-09 19:03:33.000000,1592.0,2640783.0,2668622.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1279598.0,,,,,2.0,1870.0,,,,,,,,,,,,,,,,,,,
28,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-01-08 02:34:51.954521,2021-01-07 23:54:19.000000,7738.0,968.0,1801.0,20125,11327.0,"Platform to programmatically author, schedule, and monitor workflows.",1700.0,35,True,2020-12-18 13:21:47.000000,2.0.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,555061.0,616609.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,254290.0,https://hub.docker.com/r/apache/airflow,2021-01-08 02:34:51.954521,198.0,3770801.0,1.0,72817.0,,stable/airflow,,,,,,,,,,,,,,,,,
29,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-01-08 01:51:50.000000,2021-01-07 20:34:51.000000,3136.0,88.0,1925.0,12019,2201.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",194.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,5754.0,5198.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1389831.0,1402649.0,https://anaconda.org/conda-forge/lightgbm,2020-12-08 18:04:57.617000,459555.0,,,,,2.0,84498.0,,,,,,,,,,,,,,,,,,,
30,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-01-07 13:16:42.000000,2020-11-15 20:49:41.000000,3825.0,349.0,1241.0,11560,3849.0,Topic Modelling for Humans.,384.0,35,False,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,24597.0,19855.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,7277107.0,7291756.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,584141.0,,,,,1.0,2895.0,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-01-04 20:17:25.000000,2020-12-29 17:55:42.000000,1711.0,760.0,1041.0,8594,4886.0,The interactive graphing library for Python (includes Plotly Express).,158.0,35,True,2020-12-09 13:48:45.000000,4.14.1,263.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2020-12-09 13:29:15.000000,4982.0,2767109.0,2818103.0,https://anaconda.org/conda-forge/plotly,2020-12-09 14:47:46.237000,1141581.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2020-12-09 13:24:37.313000,4.0,29455.0,,,,,,,,,,,,
32,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-01-07 21:52:34.000000,2021-01-07 21:52:33.000000,4185.0,470.0,1055.0,8079,1403.0,"Datasets, Transforms and Models specific to Computer Vision.",348.0,35,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],43047.0,38435.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,774115.0,775036.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34108.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-01-05 22:34:55.000000,2021-01-05 19:40:56.000000,1361.0,82.0,1656.0,7974,2736.0,Statistical data visualization using matplotlib.,144.0,35,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,89113.0,76327.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1978505.0,2013321.0,https://anaconda.org/conda-forge/seaborn,2020-12-21 10:06:33.576000,1845225.0,,,,,1.0,112.0,,,,,,,,,,,,,,,,,,,
34,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-01-08 01:28:17.000000,2021-01-07 19:28:55.000000,1204.0,714.0,2785.0,7728,6274.0,Parallel computing with task scheduling.,420.0,35,True,2020-12-11 01:53:58.000000,2020.12.0,109.0,dask,conda-forge/dask,,,,28192.0,24276.0,https://pypi.org/project/dask,2020-12-11 01:53:58.000000,3916.0,1280849.0,1330967.0,https://anaconda.org/conda-forge/dask,2020-12-11 06:35:53.129000,2806651.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
35,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-01-08 01:58:35.000000,2021-01-08 01:58:15.000000,1712.0,119.0,540.0,6833,8272.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,611.0,35,True,2020-10-19 21:15:12.000000,2.0.0,29.0,pyarrow,conda-forge/arrow,,,,1014.0,28.0,https://pypi.org/project/pyarrow,2020-10-19 21:15:12.000000,986.0,13534882.0,13542810.0,https://anaconda.org/conda-forge/arrow,2020-10-12 18:31:14.221000,443983.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
36,PyMySQL,PyMySQL/PyMySQL,,db-clients,https://github.com/PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,MIT,2011-07-27 17:38:47.000000,2021-01-08 01:38:15.000000,2021-01-08 01:38:14.000000,1238.0,18.0,524.0,6275,994.0,Pure Python MySQL Client.,108.0,35,True,2020-09-10 07:38:01.000000,1.0.0,33.0,PyMySQL,conda-forge/pymysql,,,,89973.0,71547.0,https://pypi.org/project/PyMySQL,2021-01-07 00:52:59.000000,18426.0,5377824.0,5383794.0,https://anaconda.org/conda-forge/pymysql,2021-01-07 04:37:43.358000,232861.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,google-cloud-storage,googleapis/google-cloud-python,,db-clients,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47.000000,2021-01-06 20:46:41.990000,2020-10-29 21:15:18.000000,1333.0,22.0,3314.0,3450,9049.0,Google Cloud Client Library for Python.,311.0,35,True,2020-12-14 23:49:51.000000,1.35.0,100.0,google-cloud-storage,conda-forge/google-cloud-storage,,,,2108.0,,https://pypi.org/project/google-cloud-storage,2020-12-14 23:49:51.000000,2108.0,15654994.0,15668115.0,https://anaconda.org/conda-forge/google-cloud-storage,2021-01-06 20:46:41.990000,564214.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,elasticsearch,elastic/elasticsearch-py,,db-clients,https://github.com/elastic/elasticsearch-py,https://github.com/elastic/elasticsearch-py,Apache-2.0,2013-05-01 22:47:39.000000,2021-01-04 23:08:07.000000,2021-01-04 23:01:33.000000,957.0,71.0,772.0,3061,1263.0,Official Python low-level client for Elasticsearch.,169.0,35,True,2020-12-09 17:27:30.000000,7.10.1,64.0,elasticsearch,conda-forge/elasticsearch,,,,29860.0,19286.0,https://pypi.org/project/elasticsearch,2020-12-09 17:25:00.000000,10574.0,3569982.0,3576291.0,https://anaconda.org/conda-forge/elasticsearch,2020-12-11 18:29:47.476000,345869.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,,
