,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-05-18 06:11:33.000000,2023-05-18 03:47:25,16116.0,1202.0,2150,307.0,9930.0,1426.0,3036.0,23169,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",535.0,45,True,2023-05-12 01:38:05.473,0.4.10,144.0,jax,conda-forge/jaxlib,,,,12598.0,11984.0,https://pypi.org/project/jax,4337491.0,4353506.0,https://anaconda.org/conda-forge/jaxlib,2023-05-12 16:14:11.017,736720.0,,,,,1.0,,2023-01-25 19:22:32.273,614.0,,,,,,,,,,,,,,,,,,,
14,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-05-18 08:15:50.000000,2023-05-17 23:23:50,15053.0,127.0,2700,275.0,3774.0,2596.0,2669.0,8485,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 11:36:02.375,0.14.0,35.0,statsmodels,conda-forge/statsmodels,,,,97736.0,92622.0,https://pypi.org/project/statsmodels,9953950.0,10071939.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,9793148.0,,,,,1.0,27.0,2022-11-02 17:40:09.913,5114.0,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-05-17 12:20:00.000000,2023-05-17 12:20:00,15916.0,90.0,4013,551.0,3743.0,70.0,5333.0,26141,Industrial-strength Natural Language Processing (NLP) in Python.,725.0,44,True,2023-05-15 09:59:21.000,3.5.3,100.0,spacy,conda-forge/spacy,,,,60149.0,60149.0,https://pypi.org/project/spacy,5166968.0,5207606.0,https://anaconda.org/conda-forge/spacy,2023-05-16 12:39:45.588,3047923.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-05-18 14:17:00.000000,2023-05-18 12:16:28,17371.0,1281.0,4474,443.0,21343.0,2786.0,11303.0,25605,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,860.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,10046.0,9557.0,https://pypi.org/project/ray,2112464.0,2116823.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,126432.0,,,,,1.0,60.0,2023-02-24 06:15:04.778,489.0,,,,,,,,,,,,,,,,,,,
17,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-05-18 13:55:24.000000,2023-05-18 09:14:15,4012.0,280.0,3354,289.0,5404.0,1093.0,1956.0,14351,Open source platform for the machine learning lifecycle.,576.0,44,True,2023-05-13 01:03:53.000,2.3.2,75.0,mlflow,conda-forge/mlflow,,,,19745.0,19290.0,https://pypi.org/project/mlflow,10463143.0,10489610.0,https://anaconda.org/conda-forge/mlflow,2023-05-13 01:43:53.717,1296896.0,,,,,1.0,,2023-04-28 08:24:05.154,455.0,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-05-18 13:14:36.000000,2023-05-16 22:54:50,54230.0,817.0,3961,290.0,12370.0,4729.0,8387.0,10675,A computer algebra system written in pure Python.,1221.0,44,False,2023-05-10 18:09:23.000,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,62173.0,62173.0,https://pypi.org/project/sympy,7865963.0,7910754.0,https://anaconda.org/conda-forge/sympy,2023-05-15 20:27:39.985,3406386.0,,,,,1.0,500290.0,,,-2.0,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-05-18 02:11:36.000000,2023-05-17 08:38:51,6351.0,140.0,8034,915.0,4358.0,323.0,4482.0,24143,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",605.0,43,True,2023-03-30 18:30:05.000,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,56006.0,56006.0,https://pypi.org/project/xgboost,8889210.0,8941715.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3881061.0,,,,,1.0,6556.0,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-05-17 20:22:57.000000,2023-05-17 09:51:50,20099.0,148.0,4097,448.0,5698.0,718.0,6586.0,17580,"Interactive Data Visualization in the browser, from Python.",655.0,43,True,2023-05-05 21:55:55.730,3.1.1,164.0,bokeh,conda-forge/bokeh,,,,3928.0,222.0,https://pypi.org/project/bokeh,3435057.0,3588066.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11169727.0,,,,,1.0,,2022-12-20 09:06:57.840,3706.0,4.0,,,,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-05-17 17:50:27.000000,2023-05-16 03:49:31,3271.0,81.0,3706,443.0,2898.0,261.0,2724.0,14969,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",282.0,43,True,2023-01-24 03:35:51.144,3.3.5,32.0,lightgbm,conda-forge/lightgbm,,,,22436.0,21689.0,https://pypi.org/project/lightgbm,5971217.0,5998373.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1719153.0,,,,,1.0,189597.0,2023-01-24 03:35:51.144,747.0,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-05-18 14:25:22.000000,2023-05-18 10:10:41,7754.0,185.0,1621,212.0,5321.0,923.0,3981.0,11020,Parallel computing with task scheduling.,581.0,43,True,2023-05-12 15:55:45.454,2023.5.0,170.0,dask,conda-forge/dask,,,,52060.0,48924.0,https://pypi.org/project/dask,7195995.0,7301374.0,https://anaconda.org/conda-forge/dask,2023-05-12 17:29:33.599,8851915.0,,,,,1.0,,2023-03-01 21:19:05.337,3136.0,,stable/dask,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-16 06:43:08.000000,2023-05-13 15:24:52,3146.0,32.0,1712,256.0,1001.0,119.0,2195.0,10721,Statistical data visualization in Python.,197.0,43,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,268835.0,258380.0,https://pypi.org/project/seaborn,9042337.0,9124258.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6635484.0,,,,,1.0,244.0,2023-01-02 17:36:07.692,10455.0,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-05-18 05:37:15.000000,2023-05-17 20:56:35,5499.0,133.0,1590,191.0,4607.0,636.0,1188.0,6235,TensorFlows Visualization Toolkit.,299.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],169243.0,166559.0,https://pypi.org/project/tensorboard,19066232.0,19126270.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,3962517.0,,,,,1.0,,2023-01-13 22:24:05.115,2684.0,,,,,,,,,,,,,,,,,,,
25,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-05-17 20:22:34.000000,2023-05-16 01:16:13,8174.0,372.0,18442,1917.0,6377.0,289.0,11427.0,58373,Deep Learning for humans.,1182.0,42,True,2023-03-21 20:12:17.000,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10018433.0,10055930.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3037294.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-05-18 13:30:01.000000,2023-05-18 12:46:35,41798.0,1807.0,4992,729.0,37130.0,999.0,15659.0,20250,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1032.0,42,True,2023-05-08 08:33:39.000,2.4.2,59.0,paddlepaddle,,,,['paddle'],245.0,245.0,https://pypi.org/project/paddlepaddle,115106.0,115295.0,,,,,,,,2.0,15350.0,,,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-05-18 14:16:46.000000,2023-05-18 14:06:26,3497.0,139.0,6686,390.0,4756.0,903.0,2116.0,13970,"Datasets, Transforms and Models specific to Computer Vision.",530.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4302.0,,https://pypi.org/project/torchvision,5591468.0,5601986.0,https://anaconda.org/conda-forge/torchvision,2023-05-08 00:12:23.200,661846.0,,,,,1.0,24561.0,2022-12-15 20:19:32.655,4302.0,6.0,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-05-17 14:17:18.000000,2023-05-10 13:08:53,5902.0,127.0,2334,277.0,1498.0,1342.0,1321.0,13460,The interactive graphing library for Python This project now includes Plotly Express!.,225.0,42,True,2023-04-05 18:48:14.000,5.14.1,289.0,plotly,conda-forge/plotly,,,,4829.0,,https://pypi.org/project/plotly,8127905.0,8212916.0,https://anaconda.org/conda-forge/plotly,2023-04-05 21:57:15.625,4203387.0,,,,,1.0,,2023-01-23 19:05:16.751,4823.0,6.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,33118.0,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-05-17 21:34:04.000000,2023-05-17 18:48:48,7287.0,97.0,2814,280.0,3286.0,178.0,2792.0,12648,Network Analysis in Python.,652.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,157900.0,157900.0,https://pypi.org/project/networkx,25649949.0,25794684.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11434136.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-05-18 13:32:36.000000,2023-05-18 08:45:43,4443.0,112.0,1983,1712.0,4250.0,223.0,2470.0,10885,WebGL2 powered visualization framework.,224.0,42,True,2023-05-14 02:45:14.559,8.9.15,595.0,pydeck,conda-forge/pydeck,,,['jupyter'],6373.0,5884.0,https://pypi.org/project/pydeck,1437969.0,1892877.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,363412.0,,,,,1.0,,2022-11-04 14:23:59.154,41.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-05-14 02:45:14.559,448.0,445590.0,,,,,,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-05-18 10:16:32.000000,2023-05-14 13:37:18,3495.0,110.0,732,149.0,1199.0,218.0,1590.0,8256,Declarative statistical visualization library for Python.,155.0,42,True,2023-05-09 15:04:23.000,5.0.0,34.0,altair,conda-forge/altair,,,,56646.0,56081.0,https://pypi.org/project/altair,12241560.0,12263229.0,https://anaconda.org/conda-forge/altair,2023-05-09 19:10:00.456,1776868.0,,,,,1.0,31.0,2023-03-01 22:49:04.725,565.0,,,,,,,,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-05-18 14:05:02.000000,2023-05-18 14:05:02,13540.0,120.0,2136,187.0,4109.0,665.0,1967.0,5401,Image processing in Python.,616.0,42,False,2023-02-28 23:32:35.000,0.20.0,55.0,scikit-image,conda-forge/scikit-image,,,,150408.0,140435.0,https://pypi.org/project/scikit-image,7179702.0,7239702.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5040081.0,,,,,1.0,,2022-06-12 18:11:12.000,9973.0,,,,,,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-05-18 14:28:19.000000,2023-05-17 23:56:48,5514.0,222.0,2175,289.0,3339.0,620.0,2670.0,24715,Streamlit A faster way to build and share data apps.,179.0,41,True,2023-04-27 18:43:04.434,1.22.0,199.0,streamlit,,,,,1552.0,749.0,https://pypi.org/project/streamlit,1808289.0,1808289.0,,,,,,,,1.0,,2023-03-09 21:00:47.459,803.0,,,,,,,,,,,,,,,,,,,
34,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-05-15 21:26:07.221000,2023-05-15 21:14:03,6800.0,196.0,1868,407.0,938.0,735.0,800.0,18689,Data Apps & Dashboards for Python. No JavaScript Required.,136.0,41,True,2023-04-13 17:42:40.000,2.9.3,163.0,dash,conda-forge/dash,,,,47712.0,46355.0,https://pypi.org/project/dash,1561101.0,1576957.0,https://anaconda.org/conda-forge/dash,2023-05-15 21:26:07.221,951363.0,,,,,1.0,,2023-01-30 17:00:04.941,1357.0,,,,,,,,,,,,,,,,,,,
35,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-05-17 17:33:02.000000,2023-05-17 15:41:57,31857.0,581.0,4197,348.0,5735.0,1.0,6642.0,16332,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-05-12 15:04:51.000,3.5.8,100.0,rasa,,,,['tensorflow'],3340.0,3340.0,https://pypi.org/project/rasa,144772.0,144772.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-05-18 08:51:50.000000,2023-05-17 15:37:27,2360.0,164.0,3516,431.0,2750.0,383.0,2021.0,14718,Open standard for machine learning interoperability.,279.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,15646.0,15119.0,https://pypi.org/project/onnx,3056112.0,3067362.0,https://anaconda.org/conda-forge/onnx,2023-05-15 20:27:33.538,724012.0,,,,,1.0,18829.0,2022-12-12 13:26:02.139,527.0,,,,,,,,,,,,,,,,,,,
37,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-05-15 06:47:55.000000,2023-05-14 13:21:27,4467.0,39.0,4133,431.0,1668.0,366.0,1435.0,14334,Topic Modelling for Humans.,446.0,41,True,2022-12-21 00:42:57.000,4.3.0,42.0,gensim,conda-forge/gensim,,,,45659.0,45659.0,https://pypi.org/project/gensim,3937265.0,3952813.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1054092.0,,,,,1.0,4309.0,,,,,,,,,,,,,,,,,,,,,
38,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-05-18 12:11:49.000000,2023-05-18 12:11:49,8197.0,50.0,3199,473.0,650.0,38.0,2089.0,11964,A toolkit for making real world machine learning and data analysis applications in C++.,186.0,41,False,2023-05-14 13:10:44.000,19.24.2,33.0,dlib,conda-forge/dlib,,,,20581.0,19797.0,https://pypi.org/project/dlib,177446.0,184874.0,https://anaconda.org/conda-forge/dlib,2023-03-24 02:36:47.638,573098.0,,,,,2.0,25244.0,2022-05-08 14:40:14.000,784.0,,,,,,,,,,,,,,,,,,,
39,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-05-17 22:15:20.000000,2023-05-17 22:15:20,14442.0,7.0,2610,468.0,1418.0,229.0,1480.0,11952,Suite of libraries and programs for symbolic and statistical natural language processing for English.,440.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,194288.0,194288.0,https://pypi.org/project/nltk,10118785.0,10143058.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1966142.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
