,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-01-19 14:19:50.000000,2023-01-19 13:43:36,11798.0,689.0,17592,881.0,10396.0,546.0,10295.0,78334,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1693.0,49,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",47520.0,46546.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,8216286.0,8235391.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,744616.0,,,,,1.0,627.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-01-19 13:35:36.000000,2023-01-19 11:52:10,29356.0,439.0,4547,343.0,9005.0,1690.0,7406.0,10731,"Ecosystem of open-source software for mathematics, science, and engineering.",1408.0,49,True,2023-01-03 22:48:32.000,1.10.0,88.0,scipy,conda-forge/scipy,,,,689661.0,631442.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,45340868.0,45743212.0,https://anaconda.org/conda-forge/scipy,2023-01-04 12:04:30.808,31863950.0,,,,,1.0,364123.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-01-19 11:52:43.000000,2023-01-18 20:53:17,14298.0,426.0,1962,219.0,4091.0,106.0,2625.0,10451,Python Imaging Library (Fork).,422.0,47,True,2023-01-02 21:32:51.909,9.4.0,91.0,Pillow,conda-forge/pillow,,,,1042452.0,979305.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,47646884.0,47924384.0,https://anaconda.org/conda-forge/pillow,2023-01-02 17:04:40.551,22477503.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-01-19 13:37:28.000000,2023-01-19 10:00:03,52846.0,473.0,3813,284.0,12022.0,4632.0,8243.0,9990,A computer algebra system written in pure Python.,1192.0,47,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,55135.0,50926.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4209.0,3248019.0,3287199.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2795278.0,,,,,1.0,483429.0,,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-01-19 14:37:48.000000,2023-01-19 10:00:12,15674.0,999.0,4118,438.0,18977.0,2654.0,10083.0,23702,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,802.0,45,True,2022-12-13 19:58:35.871,2.2.0,79.0,ray,conda-forge/ray-tune,,,,7322.0,7043.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1814870.0,1818477.0,https://anaconda.org/conda-forge/ray-tune,2023-01-11 02:13:20.359,90183.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-01-17 23:54:20.000000,2023-01-17 23:54:20,14883.0,140.0,2620,273.0,3689.0,2470.0,2604.0,8113,Statsmodels: statistical modeling and econometrics in Python.,404.0,45,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,,,82703.0,78038.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,8552727.0,8659245.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8414953.0,,,,,1.0,26.0,1.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-01-19 09:55:32.000000,2023-01-18 19:31:33,7637.0,173.0,19261,1934.0,5809.0,369.0,11325.0,57106,Deep Learning for humans.,1138.0,44,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9591885.0,9628668.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2832323.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-01-19 13:35:11.000000,2023-01-19 13:35:06,35533.0,1084.0,26386,2064.0,39625.0,218.0,,34791,Apache Spark Python API.,2803.0,44,True,2022-11-28 18:27:04.218,3.2.3,32.0,pyspark,conda-forge/pyspark,,,['spark'],845.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,845.0,25746140.0,25778546.0,https://anaconda.org/conda-forge/pyspark,2022-12-20 19:29:42.235,2268455.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-01-19 14:15:42.000000,2023-01-19 12:29:17,15777.0,117.0,4008,549.0,3544.0,100.0,5249.0,25021,Industrial-strength Natural Language Processing (NLP) in Python.,714.0,44,True,2022-12-16 07:55:55.000,2.3.9,206.0,spacy,conda-forge/spacy,,,,51298.0,48923.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4758574.0,4799574.0,https://anaconda.org/conda-forge/spacy,2022-12-29 11:37:56.768,2911054.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-01-19 02:50:02.000000,2023-01-19 01:16:08,6159.0,163.0,8537,928.0,4021.0,351.0,4372.0,23666,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",590.0,44,True,2023-01-06 19:21:10.487,1.7.3,71.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,43904.0,42535.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1369.0,8413736.0,8464065.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3519380.0,,,,,1.0,5720.0,,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-01-17 21:12:27.000000,2023-01-17 21:12:27,14408.0,38.0,2673,469.0,1403.0,221.0,1464.0,11417,Suite of libraries and programs for symbolic and statistical natural language processing for English.,437.0,44,True,2023-01-02 22:02:43.849,3.8.1,52.0,nltk,conda-forge/nltk,,,,183722.0,171764.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11958.0,10186171.0,10208267.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1701452.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-01-19 05:00:15.000000,2023-01-19 04:39:18,14465.0,959.0,2025,296.0,8597.0,1281.0,2820.0,21560,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",494.0,43,True,2022-12-13 18:24:20.000,jaxlib-v0.4.1,134.0,jax,conda-forge/jaxlib,,,,7190.0,6869.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,606411.0,620264.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,581863.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-01-19 05:35:56.000000,2023-01-19 01:23:07,3164.0,55.0,3673,449.0,2780.0,239.0,2677.0,14558,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",278.0,43,True,2023-01-05 03:01:03.350,3.3.4,31.0,lightgbm,conda-forge/lightgbm,,,,18412.0,17769.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,5946995.0,5971362.0,https://anaconda.org/conda-forge/lightgbm,2023-01-05 16:30:00.876,1439281.0,,,,,2.0,176703.0,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-01-19 07:41:28.000000,2023-01-18 18:47:45,7168.0,106.0,2818,280.0,3102.0,403.0,2716.0,12118,Network Analysis in Python.,639.0,43,True,2023-01-08 00:03:20.000,networkx-3.0,85.0,networkx,conda-forge/networkx,,,,145426.0,131967.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13459.0,19175120.0,19302733.0,https://anaconda.org/conda-forge/networkx,2023-01-08 04:17:56.857,9571047.0,,,,,1.0,63.0,,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-01-18 20:07:06.000000,2023-01-18 20:07:06,7508.0,104.0,1582,217.0,5026.0,856.0,3871.0,10677,Parallel computing with task scheduling.,572.0,43,True,2023-01-13 20:56:03.625,2023.1.0,161.0,dask,conda-forge/dask,,,,46061.0,43396.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2665.0,7177461.0,7273257.0,https://anaconda.org/conda-forge/dask,2023-01-13 21:59:20.587,7663730.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-01-19 12:43:37.000000,2023-01-16 23:47:49,3105.0,32.0,1688,254.0,961.0,108.0,2121.0,10253,Statistical data visualization in Python.,183.0,43,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,219743.0,210333.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8485255.0,8558908.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,5671182.0,,,,,1.0,238.0,,,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-01-19 14:32:18.000000,2023-01-19 14:30:16,5330.0,105.0,1566,191.0,4412.0,620.0,1160.0,6088,TensorFlows Visualization Toolkit.,294.0,43,True,2023-01-13 22:24:05.115,2.11.2,47.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],144661.0,142242.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2419.0,16150657.0,16209165.0,https://anaconda.org/conda-forge/tensorboard,2023-01-14 05:33:49.180,3627518.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2023-01-19 11:52:34.000000,2023-01-19 11:52:34,13360.0,46.0,2075,186.0,3925.0,650.0,1908.0,5200,Image processing in Python.,586.0,43,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,133697.0,124332.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9365.0,5017726.0,5073341.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4449203.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-01-19 14:15:43.000000,2023-01-19 09:41:34,39616.0,1496.0,4845,735.0,33887.0,3060.0,15046.0,19437,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,908.0,42,True,2022-12-13 09:22:18.000,2.4.1,59.0,paddlepaddle,,,,['paddle'],235.0,185.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,85739.0,85938.0,,,,,,,,2.0,15330.0,,,,,,,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-01-19 14:24:44.000000,2023-01-17 22:33:00,19918.0,116.0,4013,452.0,5476.0,703.0,6433.0,17120,"Interactive Data Visualization in the browser, from Python.",628.0,42,True,2022-12-09 18:39:04.000,3.0.3,152.0,bokeh,conda-forge/bokeh,,,,3733.0,181.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3529488.0,3671302.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9785170.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-01-18 15:51:14.000000,2023-01-17 18:34:26,5718.0,96.0,2271,277.0,1443.0,1329.0,1247.0,12777,The interactive graphing library for Python (includes Plotly Express).,211.0,42,True,2023-01-13 19:26:39.000,5.12.0,285.0,plotly,conda-forge/plotly,,,,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,6480955.0,6559636.0,https://anaconda.org/conda-forge/plotly,2023-01-14 15:25:15.924,3619902.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,31670.0,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-01-19 12:49:45.000000,2023-01-18 15:10:38,4299.0,60.0,1905,1728.0,4095.0,190.0,2411.0,10545,WebGL2 powered visualization framework.,213.0,42,True,2023-01-18 13:18:42.198,8.8.23,571.0,pydeck,conda-forge/pydeck,,,['jupyter'],5699.0,5253.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,860623.0,1152499.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,274820.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-01-18 13:18:42.198,422.0,284024.0,,,,,,,,,,,,,
32,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2023-01-19 10:23:00.000000,2023-01-19 10:22:56,45298.0,21183.0,1072,193.0,323.0,479.0,1489.0,6882,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",1052.0,42,True,2022-11-01 19:55:14.000,1.1.1,105.0,catboost,conda-forge/catboost,,,,238.0,,https://pypi.org/project/catboost,2022-05-19 06:17:02.000,238.0,1933276.0,1956652.0,https://anaconda.org/conda-forge/catboost,2022-11-01 21:17:44.021,1208537.0,,,,,2.0,114938.0,1.0,,,,,,,,,,,,,,,,,,,
33,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-01-19 13:59:41.000000,2023-01-19 11:59:00,8547.0,636.0,2710,229.0,8142.0,618.0,5196.0,21253,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",820.0,41,True,2023-01-18 02:35:00.780,1.9.0,239.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],395.0,,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,395.0,3055569.0,3077531.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-12-09 04:00:55.441,669136.0,,,,,2.0,10185.0,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-01-19 13:57:20.000000,2023-01-18 22:15:38,2138.0,54.0,3264,429.0,2480.0,346.0,1911.0,13949,Open standard for machine learning interoperability.,266.0,41,True,2022-12-12 14:38:36.000,1.13.0,27.0,onnx,conda-forge/onnx,,,,10764.0,10372.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,392.0,2151026.0,2161398.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,625050.0,,,,,1.0,18335.0,,,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-01-18 07:52:19.000000,2022-12-21 00:41:18,4427.0,36.0,4299,429.0,1646.0,387.0,1423.0,13870,Topic Modelling for Humans.,440.0,41,True,2022-12-21 00:42:57.000,4.3.0,91.0,gensim,conda-forge/gensim,,,,43248.0,40347.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4226389.0,4241390.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,957049.0,,,,,1.0,4161.0,,,,,,,,,,,,,,,,,,,,
36,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-01-19 14:23:32.000000,2023-01-19 09:27:52,3654.0,310.0,3123,288.0,4889.0,1004.0,1828.0,13461,Open source platform for the machine learning lifecycle.,541.0,41,True,2022-12-26 09:02:40.000,2.1.1,68.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,10367467.0,10392852.0,https://anaconda.org/conda-forge/mlflow,2023-01-19 00:29:16.131,1142325.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-01-19 13:56:21.000000,2023-01-19 13:56:20,3258.0,143.0,6451,384.0,4413.0,826.0,2024.0,13130,"Datasets, Transforms and Models specific to Computer Vision.",517.0,41,True,2022-12-16 00:34:17.000,0.14.1,34.0,torchvision,conda-forge/torchvision,,,['pytorch'],3716.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3716.0,7566126.0,7574469.0,https://anaconda.org/conda-forge/torchvision,2022-12-10 21:10:27.610,493244.0,,,,,1.0,17820.0,,,,,,,,,,,,,,,,,,,,
