,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,dnf_id,yay_id,snap_id,new_addition
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-06-01 14:15:15.000000,2023-06-01 10:09:25,47257.0,688.0,6721,587.0,16492.0,1329.0,8186.0,17473,matplotlib: plotting with Python.,1516.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,851090.0,851090.0,https://pypi.org/project/matplotlib,32634676.0,32839050.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,19006852.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-01 14:04:48.000000,2023-06-01 14:04:48,14861.0,377.0,1874,219.0,4272.0,85.0,2716.0,10866,Python Imaging Library (Fork).,437.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1194584.0,1194584.0,https://pypi.org/project/Pillow,55021306.0,55358057.0,https://anaconda.org/conda-forge/pillow,2023-05-21 08:34:35.799,28960657.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-06-01 01:10:48.000000,2023-05-31 08:16:30,54270.0,684.0,3975,288.0,12388.0,4752.0,8394.0,10716,A computer algebra system written in pure Python.,1226.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,68897.0,64352.0,https://pypi.org/project/sympy,8565433.0,8610934.0,https://anaconda.org/conda-forge/sympy,2023-05-15 20:27:39.985,3509093.0,,,,,1.0,502043.0,2022-08-30 17:34:08.040,4545.0,,,,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-01 14:12:25.000000,2023-06-01 12:46:19,60729.0,3405.0,17848,1652.0,68341.0,11196.0,22946.0,67421,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4083.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10430541.0,11208774.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,16338551.0,,,,,1.0,16783.0,,,-6.0,,,,,,,,,,,,,,,,,
14,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-01 08:25:37.000000,2023-05-17 23:23:50,15053.0,115.0,2526,275.0,3778.0,2448.0,2670.0,8531,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,94161.0,94161.0,https://pypi.org/project/statsmodels,10709446.0,10828051.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,9962861.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-01 13:09:31.000000,2023-05-31 15:23:07,15922.0,84.0,4024,553.0,3755.0,73.0,5342.0,26250,Industrial-strength Natural Language Processing (NLP) in Python.,725.0,44,True,2023-05-25 11:16:21.000,3.2.6,100.0,spacy,conda-forge/spacy,,,,61419.0,61419.0,https://pypi.org/project/spacy,5233224.0,5273562.0,https://anaconda.org/conda-forge/spacy,2023-05-16 12:39:45.588,3065720.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-01 14:20:53.000000,2023-06-01 14:11:38,17560.0,1341.0,4452,445.0,21667.0,2821.0,11408.0,25842,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,865.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,10362.0,9868.0,https://pypi.org/project/ray,2200771.0,2205141.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,131079.0,,,,,1.0,82.0,2023-02-24 06:15:04.778,494.0,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-01 14:07:43.000000,2023-06-01 14:07:40,16238.0,1170.0,2100,312.0,10038.0,1146.0,3078.0,23375,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",540.0,44,True,2023-06-01 06:29:29.000,jax-v0.4.11,73.0,jax,conda-forge/jaxlib,,,,12854.0,12854.0,https://pypi.org/project/jax,4351108.0,4367297.0,https://anaconda.org/conda-forge/jaxlib,2023-05-30 05:58:14.761,760893.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-01 14:03:17.000000,2023-06-01 10:27:11,4085.0,302.0,3389,290.0,5502.0,1110.0,1973.0,14484,Open source platform for the machine learning lifecycle.,583.0,44,True,2023-05-13 01:03:53.000,2.3.2,75.0,mlflow,conda-forge/mlflow,,,,20345.0,19886.0,https://pypi.org/project/mlflow,10295005.0,10321314.0,https://anaconda.org/conda-forge/mlflow,2023-05-18 17:43:16.977,1315450.0,,,,,1.0,,2023-04-28 08:24:05.154,459.0,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-01 13:32:11.000000,2023-05-31 12:27:27,6377.0,155.0,8051,916.0,4403.0,325.0,4494.0,24197,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",607.0,43,True,2023-03-30 18:30:05.000,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,57514.0,57514.0,https://pypi.org/project/xgboost,8671136.0,8723458.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3919743.0,,,,,1.0,6626.0,,,,,,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-01 03:54:33.000000,2023-06-01 01:02:20,3275.0,64.0,3706,443.0,2901.0,261.0,2731.0,15009,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",283.0,43,True,2023-01-24 03:35:51.144,3.3.5,32.0,lightgbm,conda-forge/lightgbm,,,,22952.0,22181.0,https://pypi.org/project/lightgbm,5900263.0,5927474.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1748868.0,,,,,1.0,190923.0,2023-01-24 03:35:51.144,771.0,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-05-31 20:52:28.000000,2023-05-31 16:26:55,5509.0,138.0,1592,191.0,4620.0,639.0,1189.0,6257,TensorFlows Visualization Toolkit.,299.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],172943.0,170243.0,https://pypi.org/project/tensorboard,19068387.0,19128044.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,3997032.0,,,,,1.0,,2023-01-13 22:24:05.115,2700.0,,,,,,,,,,,,,,,,,,
22,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-01 13:39:21.000000,2023-06-01 01:40:37,8241.0,407.0,18455,1916.0,6416.0,297.0,11435.0,58478,Deep Learning for humans.,1184.0,42,True,2023-03-21 20:12:17.000,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10056636.0,10093936.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3058645.0,,,,,2.0,,,,-4.0,,,,,,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-06-01 13:55:14.000000,2023-05-31 22:41:57,9290.0,397.0,2915,233.0,8934.0,688.0,5527.0,23522,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",875.0,42,True,2023-04-24 14:51:08.481,2.0.2,249.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],641.0,,https://pypi.org/project/pytorch-lightning,4176197.0,4199306.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-04-24 18:49:45.463,817568.0,,,,,2.0,11979.0,2023-01-18 02:35:00.780,641.0,,,,,,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-01 14:14:23.000000,2023-06-01 14:02:53,41977.0,1721.0,5012,728.0,37392.0,989.0,15736.0,20335,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1036.0,42,True,2023-05-08 08:33:39.000,2.4.2,59.0,paddlepaddle,,,,['paddle'],252.0,252.0,https://pypi.org/project/paddlepaddle,119677.0,119864.0,,,,,,,,2.0,15350.0,,,,,,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-01 13:52:46.000000,2023-06-01 13:51:36,5156.0,327.0,1199,126.0,1836.0,357.0,1856.0,18234,"Wrap UIs around any model, share with anyone.",162.0,42,True,2023-05-21 06:59:01.603,3.32.0,468.0,gradio,,,,,7703.0,7602.0,https://pypi.org/project/gradio,3819575.0,3819575.0,,,,,,,,1.0,,2023-02-20 00:20:01.258,101.0,,,,,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-01 12:22:36.000000,2023-05-31 12:03:41,20121.0,117.0,4010,448.0,5715.0,696.0,6596.0,17619,"Interactive Data Visualization in the browser, from Python.",659.0,42,True,,,50.0,bokeh,conda-forge/bokeh,,,,69767.0,69767.0,https://pypi.org/project/bokeh,3372763.0,3525966.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11337069.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-06-01 10:03:40.000000,2023-05-31 20:45:13,7304.0,101.0,2824,282.0,3301.0,181.0,2800.0,12712,Network Analysis in Python.,653.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,161460.0,161460.0,https://pypi.org/project/networkx,25491647.0,25637458.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11664883.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,,,
28,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-05-31 20:11:00.000000,2023-05-31 20:10:57,4449.0,84.0,1986,1711.0,4259.0,220.0,2477.0,10914,WebGL2 powered visualization framework.,226.0,42,True,2023-05-31 13:10:12.424,8.9.17,597.0,pydeck,conda-forge/pydeck,,,['jupyter'],6496.0,6005.0,https://pypi.org/project/pydeck,1449423.0,1872815.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,380209.0,,,,,1.0,,2022-11-04 14:23:59.154,42.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-05-31 13:10:12.424,449.0,413887.0,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-28 01:23:47.000000,2023-05-21 17:13:59,3147.0,26.0,1647,256.0,1003.0,118.0,2200.0,10762,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,264787.0,264787.0,https://pypi.org/project/seaborn,8906676.0,8988772.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6731743.0,,,,,1.0,246.0,,,,,,,,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-01 11:27:52.000000,2023-06-01 04:11:08,13565.0,112.0,2064,187.0,4137.0,482.0,1969.0,5413,Image processing in Python.,617.0,42,False,2023-02-28 23:32:35.000,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,142644.0,142644.0,https://pypi.org/project/scikit-image,7159654.0,7219707.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5104568.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-06-01 11:54:20.000000,2023-05-31 10:18:30,5537.0,223.0,2199,287.0,3371.0,615.0,2703.0,25002,Streamlit A faster way to build and share data apps.,181.0,41,True,2023-04-27 18:43:04.434,1.22.0,199.0,streamlit,,,,,1600.0,773.0,https://pypi.org/project/streamlit,1825643.0,1825643.0,,,,,,,,1.0,,2023-03-09 21:00:47.459,827.0,,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-06-01 10:49:13.000000,2023-05-31 15:42:32,6850.0,195.0,1887,407.0,950.0,741.0,807.0,18771,Data Apps & Dashboards for Python. No JavaScript Required.,136.0,41,True,2023-05-31 16:21:43.000,2.10.2,166.0,dash,conda-forge/dash,,,,48589.0,47223.0,https://pypi.org/project/dash,1491589.0,1507457.0,https://anaconda.org/conda-forge/dash,2023-05-31 19:24:15.163,967992.0,,,,,1.0,,2023-01-30 17:00:04.941,1366.0,,,,,,,,,,,,,,,,,,
33,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-05-30 09:35:06.000000,2023-05-26 11:11:24,31897.0,594.0,4209,348.0,5776.0,1.0,6642.0,16428,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-05-24 07:43:27.000,3.5.10,100.0,rasa,,,,['tensorflow'],3390.0,3390.0,https://pypi.org/project/rasa,121341.0,121341.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-01 04:46:16.000000,2023-05-30 19:36:06,2369.0,143.0,3522,431.0,2764.0,381.0,2041.0,14827,Open standard for machine learning interoperability.,281.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,16175.0,15636.0,https://pypi.org/project/onnx,2999167.0,3010451.0,https://anaconda.org/conda-forge/onnx,2023-05-15 20:27:33.538,737533.0,,,,,1.0,18880.0,2022-12-12 13:26:02.139,539.0,,,,,,,,,,,,,,,,,,
35,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-06-01 08:48:32.000000,2023-05-24 11:46:30,8199.0,48.0,3199,474.0,654.0,38.0,2091.0,11995,A toolkit for making real world machine learning and data analysis applications in C++.,186.0,41,False,2023-05-14 13:10:44.000,19.24.2,33.0,dlib,conda-forge/dlib,,,,20995.0,20208.0,https://pypi.org/project/dlib,164096.0,171524.0,https://anaconda.org/conda-forge/dlib,2023-03-24 02:36:47.638,580443.0,,,,,2.0,25254.0,2022-05-08 14:40:14.000,787.0,,,,,,,,,,,,,,,,,,
36,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-05-25 04:06:24.000000,2023-05-17 22:15:20,14442.0,5.0,2612,468.0,1419.0,230.0,1480.0,11992,Suite of libraries and programs for symbolic and statistical natural language processing for English.,440.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,197924.0,197924.0,https://pypi.org/project/nltk,10506462.0,10530802.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1995889.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-01 02:58:28.000000,2023-05-31 20:14:28,8747.0,247.0,1039,135.0,4922.0,555.0,3739.0,11590,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-05-31 12:42:24.000,2.58.2,238.0,dvc,conda-forge/dvc,,,,7576.0,7576.0,https://pypi.org/project/dvc,722765.0,761090.0,https://anaconda.org/conda-forge/dvc,2023-05-31 14:47:12.166,1558622.0,,,,,1.0,108423.0,,,,,,,,,dvc,dvc,dvc,,,,,,,,,
38,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-01 08:17:20.000000,2023-06-01 08:17:19,7777.0,186.0,1583,213.0,5340.0,757.0,3988.0,11065,Parallel computing with task scheduling.,581.0,41,True,,,147.0,dask,conda-forge/dask,,,,49510.0,49510.0,https://pypi.org/project/dask,7477265.0,7583054.0,https://anaconda.org/conda-forge/dask,2023-05-26 22:07:27.812,8992139.0,,,,,1.0,,,,,,,,,,,,,stable/dask,,,,,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-05-31 15:29:15.000000,2023-05-26 22:04:04,3503.0,79.0,734,148.0,1207.0,197.0,1622.0,8287,Declarative statistical visualization library for Python.,155.0,41,True,2023-05-26 21:55:53.000,5.0.1,35.0,altair,conda-forge/altair,,,,58732.0,58158.0,https://pypi.org/project/altair,12074089.0,12095949.0,https://anaconda.org/conda-forge/altair,2023-05-29 13:23:59.383,1814440.0,,,,,1.0,45.0,2023-03-01 22:49:04.725,574.0,,,,,,,,,,,,,,,,,,
40,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2023-06-01 12:54:03.000000,2023-06-01 11:35:17,45980.0,553.0,1117,193.0,333.0,500.0,1583.0,7162,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",1130.0,41,True,2023-05-01 23:11:47.000,1.2,106.0,catboost,conda-forge/catboost,,,,311.0,,https://pypi.org/project/catboost,5381600.0,5405217.0,https://anaconda.org/conda-forge/catboost,2023-05-02 12:26:07.128,1309139.0,,,,,2.0,148790.0,2022-11-01 14:25:39.961,311.0,5.0,,,,,,,,,,,,,,,,,
