,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-05-11 14:15:30.000000,2023-05-11 05:30:10,16040.0,1279.0,2143,305.0,9872.0,1426.0,3027.0,23085,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",534.0,45,True,2023-05-10 00:13:04.541,0.4.9,143.0,jax,conda-forge/jaxlib,,,,12160.0,11549.0,https://pypi.org/project/jax,4304639.0,4320411.0,https://anaconda.org/conda-forge/jaxlib,2023-04-26 20:52:50.319,725512.0,,,,,1.0,,2023-01-25 19:22:32.273,611.0,,,,,,,,,,,,,,,,,,
16,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-05-08 11:49:42.000000,2023-05-08 10:53:36,15051.0,137.0,2517,275.0,3769.0,2436.0,2668.0,8462,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,91911.0,91911.0,https://pypi.org/project/statsmodels,9670616.0,9787588.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,9708695.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-05-11 12:14:55.000000,2023-05-11 09:54:16,15906.0,82.0,4012,550.0,3732.0,71.0,5329.0,26080,Industrial-strength Natural Language Processing (NLP) in Python.,724.0,44,True,2023-04-12 07:50:01.000,3.5.2,100.0,spacy,conda-forge/spacy,,,,59469.0,59469.0,https://pypi.org/project/spacy,5041119.0,5081641.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3039181.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-05-11 14:27:29.000000,2023-05-11 11:29:01,17256.0,1256.0,4420,445.0,21189.0,2785.0,11249.0,25511,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,858.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,9879.0,9395.0,https://pypi.org/project/ray,2175765.0,2180035.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,123851.0,,,,,1.0,60.0,2023-02-24 06:15:04.778,484.0,,,,,,,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-05-11 13:27:56.000000,2023-05-11 10:04:04,3994.0,288.0,3350,288.0,5379.0,1094.0,1949.0,14314,Open source platform for the machine learning lifecycle.,575.0,44,True,2023-04-28 09:17:05.000,2.3.1,74.0,mlflow,conda-forge/mlflow,,,,19502.0,19047.0,https://pypi.org/project/mlflow,10416117.0,10442400.0,https://anaconda.org/conda-forge/mlflow,2023-05-05 01:06:04.131,1287870.0,,,,,1.0,,2023-04-28 08:24:05.154,455.0,,,,,,,,,,,,,,,,,,
20,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-05-09 16:52:09.000000,2023-05-03 17:42:14,7281.0,97.0,2890,280.0,3280.0,410.0,2790.0,12619,Network Analysis in Python.,652.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,170332.0,156078.0,https://pypi.org/project/networkx,25562455.0,25705766.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11321588.0,,,,,1.0,64.0,2023-01-08 00:03:30.177,14254.0,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-05-11 13:13:33.000000,2023-05-10 21:24:29,6346.0,157.0,8034,916.0,4341.0,322.0,4480.0,24120,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",604.0,43,True,2023-03-30 18:30:05.000,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,55256.0,55256.0,https://pypi.org/project/xgboost,8801282.0,8853569.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3864936.0,,,,,2.0,6513.0,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-05-11 04:27:02.000000,2023-05-11 00:09:52,3268.0,95.0,3595,443.0,2896.0,257.0,2719.0,14950,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",282.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,21429.0,21429.0,https://pypi.org/project/lightgbm,5910342.0,5937257.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1702923.0,,,,,2.0,188985.0,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-05-11 05:28:10.000000,2023-05-10 21:30:20,7737.0,187.0,1618,212.0,5308.0,921.0,3973.0,10996,Parallel computing with task scheduling.,581.0,43,True,2023-04-28 17:33:08.318,2023.4.1,169.0,dask,conda-forge/dask,,,,51785.0,48658.0,https://pypi.org/project/dask,7057642.0,7162186.0,https://anaconda.org/conda-forge/dask,2023-04-28 21:15:18.554,8781771.0,,,,,1.0,,2023-03-01 21:19:05.337,3127.0,,stable/dask,,,,,,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-11 12:36:50.000000,2023-05-09 11:20:55,3144.0,31.0,1650,256.0,1000.0,114.0,2192.0,10700,Statistical data visualization in Python.,197.0,43,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,254925.0,254925.0,https://pypi.org/project/seaborn,8906475.0,8987810.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6588044.0,,,,,1.0,244.0,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-05-10 21:15:45.000000,2023-05-10 17:38:34,5487.0,126.0,1591,190.0,4593.0,635.0,1184.0,6228,TensorFlows Visualization Toolkit.,299.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],167306.0,164626.0,https://pypi.org/project/tensorboard,18509004.0,18568772.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,3944732.0,,,,,1.0,,2023-01-13 22:24:05.115,2680.0,,,,,,,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-05-11 07:33:20.000000,2023-05-10 18:22:54,8164.0,393.0,18441,1917.0,6366.0,290.0,11421.0,58291,Deep Learning for humans.,1182.0,42,True,2023-03-21 20:12:17.000,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9858729.0,9896091.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3026386.0,,,,,2.0,,,,-4.0,,,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-05-11 14:11:44.000000,2023-05-11 12:53:17,41678.0,1792.0,5138,728.0,36956.0,1989.0,15608.0,20217,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1027.0,42,True,2023-05-08 08:33:39.000,2.4.2,61.0,paddlepaddle,,,,['paddle'],314.0,239.0,https://pypi.org/project/paddlepaddle,126968.0,127157.0,,,,,,,,2.0,15350.0,2023-02-17 11:58:01.010,75.0,,,,,,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-05-11 14:29:29.000000,2023-05-11 14:29:28,5083.0,313.0,1141,117.0,1747.0,318.0,1773.0,17267,"Wrap UIs around any model, share with anyone.",154.0,42,True,2023-05-09 15:55:43.000,3.29.0,465.0,gradio,,,,,6655.0,6562.0,https://pypi.org/project/gradio,3787131.0,3787131.0,,,,,,,,1.0,,2023-02-20 00:20:01.258,93.0,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-05-10 20:56:20.000000,2023-05-10 14:52:08,4438.0,125.0,1979,1712.0,4243.0,218.0,2466.0,10860,WebGL2 powered visualization framework.,224.0,42,True,2023-05-10 13:57:27.341,8.9.14,594.0,pydeck,conda-forge/pydeck,,,['jupyter'],6317.0,5830.0,https://pypi.org/project/pydeck,1361706.0,1853573.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,354287.0,,,,,1.0,,2022-11-04 14:23:59.154,41.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-05-10 13:57:27.341,446.0,482783.0,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-05-11 03:14:26.000000,2023-05-10 21:43:30,13523.0,117.0,2056,187.0,4094.0,477.0,1965.0,5390,Image processing in Python.,612.0,42,False,2023-02-28 23:32:35.000,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,139315.0,139315.0,https://pypi.org/project/scikit-image,7244861.0,7304458.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5006219.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-05-11 14:04:06.000000,2023-05-10 23:47:09,5504.0,228.0,2158,288.0,3320.0,656.0,2621.0,24577,Streamlit A faster way to build and share data apps.,177.0,41,True,2023-04-27 18:43:04.434,1.22.0,199.0,streamlit,,,,,1522.0,733.0,https://pypi.org/project/streamlit,1753178.0,1753178.0,,,,,,,,1.0,,2023-03-09 21:00:47.459,789.0,,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-05-05 07:10:29.000000,2023-04-26 20:13:33,6782.0,197.0,1868,407.0,936.0,735.0,796.0,18657,Data Apps & Dashboards for Python. No JavaScript Required.,135.0,41,True,2023-04-13 17:42:40.000,2.9.3,163.0,dash,conda-forge/dash,,,,47295.0,45938.0,https://pypi.org/project/dash,1605558.0,1621255.0,https://anaconda.org/conda-forge/dash,2023-04-14 05:50:33.991,941823.0,,,,,1.0,,2023-01-30 17:00:04.941,1357.0,,,,,,,,,,,,,,,,,,
33,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-05-11 11:55:47.000000,2023-05-11 07:44:57,31749.0,621.0,4330,347.0,5712.0,118.0,6640.0,16232,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-05-10 16:45:50.672,3.4.11,316.0,rasa,,,,['tensorflow'],3372.0,3306.0,https://pypi.org/project/rasa,151366.0,151366.0,,,,,,,,1.0,,2023-01-27 12:09:01.783,66.0,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-05-11 14:20:10.000000,2023-05-11 10:00:26,2348.0,167.0,3512,431.0,2741.0,386.0,2013.0,14675,Open standard for machine learning interoperability.,277.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,15409.0,14887.0,https://pypi.org/project/onnx,3057338.0,3068489.0,https://anaconda.org/conda-forge/onnx,2023-05-11 09:18:18.751,717506.0,,,,,1.0,18789.0,2022-12-12 13:26:02.139,522.0,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-05-11 11:28:15.000000,2023-04-29 19:41:03,4466.0,39.0,4132,430.0,1668.0,365.0,1434.0,14316,Topic Modelling for Humans.,446.0,41,True,2022-12-21 00:42:57.000,4.3.0,42.0,gensim,conda-forge/gensim,,,,45321.0,45321.0,https://pypi.org/project/gensim,4062552.0,4078021.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1048756.0,,,,,1.0,4306.0,,,,,,,,,,,,,,,,,,,,
36,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-05-09 15:01:38.000000,2023-05-09 14:39:05,8191.0,48.0,3199,473.0,647.0,38.0,2088.0,11938,A toolkit for making real world machine learning and data analysis applications in C++.,186.0,41,False,2023-03-23 01:44:00.937,19.24.1,33.0,dlib,conda-forge/dlib,,,,20406.0,19622.0,https://pypi.org/project/dlib,191290.0,198675.0,https://anaconda.org/conda-forge/dlib,2023-03-24 02:36:47.638,569642.0,,,,,2.0,25237.0,2022-05-08 14:40:14.000,784.0,,,,,,,,,,,,,,,,,,
37,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-05-11 10:52:31.000000,2023-05-08 08:23:09,14441.0,6.0,2606,468.0,1417.0,228.0,1478.0,11930,Suite of libraries and programs for symbolic and statistical natural language processing for English.,440.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,192497.0,192497.0,https://pypi.org/project/nltk,9916689.0,9940773.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1950822.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-05-11 10:30:08.000000,2023-05-11 02:46:25,8697.0,288.0,1055,134.0,4865.0,594.0,3706.0,11499,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-05-02 11:10:50.731,2.56.0,424.0,dvc,conda-forge/dvc,,,,7431.0,7339.0,https://pypi.org/project/dvc,688174.0,726281.0,https://anaconda.org/conda-forge/dvc,2023-05-02 16:16:47.633,1523038.0,,,,,1.0,109968.0,2023-03-06 21:00:01.192,92.0,,,,,,,,dvc,dvc,dvc,,,,,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-05-09 19:10:00.456000,2023-05-09 14:59:19,3491.0,113.0,732,148.0,1194.0,218.0,1588.0,8245,Declarative statistical visualization library for Python.,155.0,41,True,2023-05-09 15:04:23.000,5.0.0,34.0,altair,conda-forge/altair,,,,55326.0,54761.0,https://pypi.org/project/altair,11840895.0,11862360.0,https://anaconda.org/conda-forge/altair,2023-05-09 19:10:00.456,1760188.0,,,,,1.0,27.0,2023-03-01 22:49:04.725,565.0,,,,,,,,,,,,,,,,,,
