,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-12-19 13:07:19.000000,2024-12-19 13:07:19,34160.0,613.0,5212.0,350.0,11627.0,1709.0,9035.0,13198.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1720.0,50,True,2024-08-21 00:10:50.000,1.14.1,109.0,scipy,conda-forge/scipy,,,,1225448.0,1177039.0,https://pypi.org/project/scipy,2024-12-13 23:53:39.000,48409.0,122742541.0,123884891.0,https://anaconda.org/conda-forge/scipy,2024-12-08 23:50:50.522,55784782.0,,,,,1.0,,439164.0,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-12-16 17:09:00.000000,2024-12-16 17:08:59,59271.0,345.0,4458.0,293.0,13558.0,5148.0,8942.0,13134.0,A computer algebra system written in pure Python.,1344.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,204537.0,201037.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,32104025.0,32242318.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7384408.0,,,,,1.0,,552428.0,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-19 04:08:17.000000,2024-12-19 04:08:17,11248.0,277.0,19480.0,1914.0,7664.0,255.0,12026.0,62208.0,Deep Learning for humans.,1358.0,48,True,2024-11-26 17:04:02.000,3.7.0,104.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1654.0,,https://pypi.org/project/keras,2024-11-26 17:04:02.000,1654.0,14602739.0,14674108.0,https://anaconda.org/conda-forge/keras,2024-12-10 19:57:35.430,3853930.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-19 11:58:25.000000,2024-12-19 11:58:25,51491.0,410.0,7684.0,593.0,18689.0,1601.0,9406.0,20463.0,matplotlib: plotting with Python.,1759.0,48,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1519768.0,1466785.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,74427501.0,74934492.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27377550.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-18 06:08:51.000000,2024-12-18 06:08:51,18919.0,350.0,2242.0,219.0,5204.0,136.0,3125.0,12408.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17.000,11.0.0,99.0,Pillow,conda-forge/pillow,,,,1977140.0,1968245.0,https://pypi.org/project/Pillow,2024-10-15 14:21:49.000,8895.0,126310095.0,127208940.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47638789.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-19 14:44:10.000000,2024-12-19 14:15:46,6909.0,255.0,3126.0,320.0,5226.0,984.0,3777.0,36264.0,Streamlit A faster way to build and share data apps.,260.0,46,True,2024-12-13 21:22:19.000,1.41.1,233.0,streamlit,,,,,634983.0,631975.0,https://pypi.org/project/streamlit,2024-12-13 21:22:11.000,3008.0,7687496.0,7687496.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-19 14:08:10.000000,2024-12-19 14:08:09,23350.0,681.0,5872.0,480.0,29972.0,4266.0,15434.0,34533.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1116.0,46,True,2024-12-04 00:01:15.000,ray-2.40.0,120.0,ray,conda-forge/ray-tune,,,,20523.0,19703.0,https://pypi.org/project/ray,2024-12-03 23:45:31.000,820.0,6301263.0,6311606.0,https://anaconda.org/conda-forge/ray-tune,2024-12-06 00:00:37.515,496373.0,,,,,1.0,,248.0,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-19 14:11:41.000000,2024-12-19 14:07:14,24784.0,1663.0,2843.0,335.0,16843.0,1463.0,4347.0,30793.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",807.0,46,True,2024-12-17 23:03:44.000,0.4.38,172.0,jax,conda-forge/jaxlib,,,,36530.0,34460.0,https://pypi.org/project/jax,2024-12-17 23:03:44.000,2070.0,4787403.0,4824126.0,https://anaconda.org/conda-forge/jaxlib,2024-12-12 03:36:57.455,1983069.0,,,,,1.0,1.0,,jax-ml/jax,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-19 06:31:38.000000,2024-12-19 06:31:38,7265.0,175.0,8739.0,908.0,5764.0,450.0,4945.0,26413.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",655.0,46,True,2024-11-26 10:23:00.000,2.1.3,85.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,124010.0,121899.0,https://pypi.org/project/xgboost,2024-11-26 10:23:00.000,2111.0,26151152.0,26256163.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5560395.0,,,,,1.0,,12669.0,,,,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-18 20:43:31.000000,2024-12-17 17:18:05,7386.0,530.0,2558.0,276.0,1765.0,580.0,2490.0,16455.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,46,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,346477.0,340148.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,21052016.0,21202962.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,7818208.0,,,,,1.0,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,8797.0,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-12-16 14:17:50.000000,2024-12-11 13:14:08,16218.0,45.0,4417.0,561.0,4029.0,168.0,5523.0,30488.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,45,True,2024-12-11 13:12:14.000,3.8.3,238.0,spacy,conda-forge/spacy,,,,111624.0,108786.0,https://pypi.org/project/spacy,2024-12-11 13:12:14.000,2838.0,14905103.0,14993384.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4766565.0,,,,,1.0,,990.0,,,,,,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-19 13:22:36.000000,2024-12-19 13:22:36,52262.0,1263.0,5606.0,716.0,51626.0,1796.0,17510.0,22359.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1335.0,45,True,2024-09-13 08:31:46.000,2.6.2,71.0,paddlepaddle,,,,['paddle'],6803.0,6610.0,https://pypi.org/project/paddlepaddle,2024-11-01 08:33:35.000,193.0,338399.0,338553.0,,,,,,,,1.0,,15418.0,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-18 22:13:15.000000,2024-12-18 22:13:14,20651.0,58.0,4188.0,439.0,6224.0,785.0,7008.0,19465.0,"Interactive Data Visualization in the browser, from Python.",703.0,45,True,2024-12-03 15:39:22.000,3.6.2,223.0,bokeh,conda-forge/bokeh,,,,97542.0,95747.0,https://pypi.org/project/bokeh,2024-12-03 23:43:55.000,1795.0,4203445.0,4491641.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15562613.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-12-16 11:00:15.000000,2024-12-16 11:00:15,15620.0,122.0,3091.0,287.0,3968.0,2851.0,2809.0,10255.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,151239.0,146770.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,15972069.0,16274112.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16310369.0,,,,,1.0,,35.0,,,,,,,,,,,,,,,,,,
24,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-12-19 11:21:20.000000,2024-12-19 11:21:13,43056.0,817.0,28347.0,2023.0,49207.0,229.0,,40211.0,Apache Spark Python API.,3158.0,44,True,2024-10-25 08:14:53.000,3.4.4,49.0,pyspark,conda-forge/pyspark,,,['spark'],1574.0,,https://pypi.org/project/pyspark,2024-10-25 08:14:53.000,1574.0,31439354.0,31505929.0,https://anaconda.org/conda-forge/pyspark,2024-12-16 08:27:28.866,3595103.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-19 08:17:43.000000,2024-12-19 04:35:07,7310.0,284.0,2625.0,177.0,4707.0,455.0,4693.0,34678.0,"Wrap UIs around any model, share with anyone.",477.0,44,True,2024-12-16 23:26:54.000,5.9.1,611.0,gradio,,,,,51022.0,50088.0,https://pypi.org/project/gradio,2024-12-16 23:26:54.000,934.0,6416528.0,6416528.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-12-19 13:27:13.000000,2024-12-17 13:08:00,10487.0,67.0,3403.0,252.0,10348.0,831.0,6342.0,28647.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",991.0,44,True,2024-08-07 09:46:38.000,2.4.0,280.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],41441.0,39908.0,https://pypi.org/project/pytorch-lightning,2024-12-17 08:23:13.000,1533.0,6811822.0,6837529.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-13 01:55:30.156,1374453.0,,,,,2.0,,10743.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-19 09:52:27.000000,2024-12-19 08:22:29,6950.0,447.0,4284.0,304.0,9826.0,1682.0,2643.0,19035.0,Open source platform for the machine learning lifecycle.,804.0,44,True,2024-12-11 12:49:06.000,2.19.0,121.0,mlflow,conda-forge/mlflow,,,,49068.0,48136.0,https://pypi.org/project/mlflow,2024-12-11 09:49:32.000,932.0,14825093.0,14872580.0,https://anaconda.org/conda-forge/mlflow,2024-12-12 05:57:45.831,2564339.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-12-19 07:07:13.000000,2024-12-19 03:47:47,18681.0,906.0,1786.0,83.0,3325.0,958.0,3034.0,15246.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",367.0,44,True,2024-12-19 07:07:13.000,1.55.6,1026.0,litellm,,,,others,5933.0,5300.0,https://pypi.org/project/litellm,2024-12-19 07:07:13.000,633.0,3385247.0,3385483.0,,,,,,,,1.0,,473.0,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-12-17 23:03:52.000000,2024-12-17 23:03:52,7846.0,61.0,3253.0,279.0,3951.0,344.0,3050.0,15139.0,Network Analysis in Python.,757.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,338882.0,329252.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,69411958.0,69782033.0,https://anaconda.org/conda-forge/networkx,2024-11-13 18:04:48.334,19243924.0,,,,,1.0,,76.0,,,,,,,,,,,,,,,,,,
30,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-12-16 00:47:34.151000,2024-11-11 06:24:40,14683.0,4.0,2887.0,461.0,1498.0,276.0,1569.0,13706.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,462.0,44,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,336293.0,331596.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,25216573.0,25281783.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,2934485.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-19 08:16:15.000000,2024-12-17 20:23:29,8435.0,118.0,1720.0,213.0,6087.0,1104.0,4323.0,12699.0,Parallel computing with task scheduling.,613.0,44,True,2024-12-17 20:26:41.000,2024.12.1,214.0,dask,conda-forge/dask,,,,70592.0,68039.0,https://pypi.org/project/dask,2024-12-17 20:26:41.000,2553.0,15436300.0,15661689.0,https://anaconda.org/conda-forge/dask,2024-12-17 22:58:45.484,12396422.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-17 04:00:53.000000,2024-12-11 17:57:01,7769.0,81.0,2077.0,427.0,1167.0,495.0,1375.0,21682.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37.000,2.18.2,182.0,dash,conda-forge/dash,,,,75581.0,74234.0,https://pypi.org/project/dash,2024-11-04 21:12:56.000,1347.0,4722395.0,4752073.0,https://anaconda.org/conda-forge/dash,2024-12-15 07:31:13.084,1602569.0,,,,,1.0,,87.0,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-18 02:13:00.000000,2024-12-11 00:52:31,2927.0,105.0,3688.0,437.0,3482.0,351.0,2563.0,18120.0,Open standard for machine learning interoperability.,327.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,38572.0,37519.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,6406806.0,6432635.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1380719.0,,,,,1.0,,22520.0,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-12-18 22:01:40.000000,2024-12-18 22:01:38,3618.0,52.0,3834.0,435.0,3312.0,375.0,3089.0,16796.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",323.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,,42685.0,41608.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,10888869.0,10949147.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2940001.0,,,,,2.0,,242057.0,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-12-19 14:23:06.000000,2024-12-19 14:23:06,3113.0,414.0,1651.0,196.0,3746.0,672.0,878.0,13732.0,Development repository for the Triton language and compiler.,350.0,43,True,2024-10-14 16:05:32.000,3.1.0,196.0,triton,,,,,47065.0,46800.0,https://pypi.org/project/triton,2024-10-14 16:05:32.000,265.0,15588337.0,15588337.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-12-19 01:56:06.000000,2024-12-18 08:28:11,5031.0,48.0,2089.0,1667.0,4910.0,371.0,2743.0,12345.0,WebGL2 powered visualization framework.,277.0,43,True,2024-12-11 10:43:06.025,9.0.38,679.0,pydeck,conda-forge/pydeck,,,['jupyter'],8853.0,8426.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,6728192.0,7305284.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,663080.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-12-11 10:43:06.025,307.0,565660.0,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-12-19 00:24:09.000000,2024-12-19 00:24:08,18670.0,417.0,1042.0,117.0,3789.0,62.0,1631.0,11110.0,A hyperparameter optimization framework.,283.0,43,True,2024-11-12 05:51:56.000,4.1.0,67.0,optuna,conda-forge/optuna,,,,21177.0,20142.0,https://pypi.org/project/optuna,2024-11-12 05:51:56.000,1035.0,3955432.0,3992804.0,https://anaconda.org/conda-forge/optuna,2024-11-13 05:15:17.167,2018088.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
