,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-02 15:01:42.000000,2022-06-02 15:01:42,28034,588.0,4250,329.0,8106.0,1763.0,6799.0,9693,"Ecosystem of open-source software for mathematics, science, and engineering.",1281.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,574323.0,516615.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,44938043.0,45263489.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23451578.0,,,,,1.0,347995.0,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-01 22:29:31.000000,2022-06-01 22:02:42,13328,496.0,1856,211.0,3775.0,135.0,2415.0,9820,The friendly PIL fork (Python Imaging Library).,399.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,814839.0,751931.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,46883815.0,47090248.0,https://anaconda.org/conda-forge/pillow,2022-05-30 15:31:46.569,15276057.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-06-02 13:25:23.000000,2022-06-01 15:43:25,11935,93.0,4288,474.0,2608.0,555.0,4191.0,19427,Asynchronous task queue/job queue based on distributed message passing.,1213.0,46,True,2022-05-29 12:59:05.000,5.2.7,191.0,celery,conda-forge/celery,,,,85173.0,70306.0,https://pypi.org/project/celery,2022-05-29 12:57:59.000,14867.0,5462339.0,5473653.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,848607.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-02 14:41:48.000000,2022-06-02 14:39:30,16305,1045.0,10619,742.0,16859.0,954.0,4791.0,26528,"Platform to programmatically author, schedule, and monitor workflows.",2415.0,45,True,2022-05-25 10:26:20.000,2.3.1,114.0,apache-airflow,conda-forge/airflow,apache/airflow,,,470.0,,https://pypi.org/project/apache-airflow,2022-06-01 13:33:53.000,470.0,6856189.0,7720585.0,https://anaconda.org/conda-forge/airflow,2022-05-28 02:54:03.706,623925.0,https://hub.docker.com/r/apache/airflow,2022-06-01 16:04:50.857115,343.0,73145976.0,1.0,298015.0,,stable/airflow,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-02 10:11:40.000000,2022-06-01 19:08:42,7025,445.0,19092,1950.0,5306.0,335.0,11052.0,55331,Deep Learning for humans.,1068.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,11031276.0,11063934.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2286117.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-02 13:56:51.000000,2022-06-02 13:56:27,15456,126.0,3833,557.0,3115.0,99.0,5037.0,23504,Industrial-strength Natural Language Processing (NLP) in Python.,681.0,44,True,2022-04-29 07:49:22.000,3.3.0,194.0,spacy,conda-forge/spacy,,,,41842.0,39504.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2338.0,6805710.0,6847170.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2650554.0,,,,,1.0,3141.0,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-02 13:52:36.000000,2022-06-02 13:52:36,5812,124.0,8398,928.0,3551.0,287.0,4165.0,22794,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",564.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,32968.0,31627.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,10364332.0,10406682.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2665450.0,,,,,1.0,4244.0,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-02 13:27:17.000000,2022-06-02 03:10:00,11772,1083.0,1627,265.0,6640.0,1080.0,2278.0,17632,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",402.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,,4776.0,4473.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,440565.0,449808.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,323537.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-02 13:22:26.000000,2022-06-02 13:10:27,6857,127.0,2622,273.0,2674.0,364.0,2557.0,10807,Network Analysis in Python.,597.0,44,True,2022-05-21 15:30:40.000,2.8.2,77.0,networkx,conda-forge/networkx,,,,122039.0,108684.0,https://pypi.org/project/networkx,2022-05-21 15:30:40.000,13355.0,21840570.0,21936695.0,https://anaconda.org/conda-forge/networkx,2022-05-21 19:58:09.960,6536511.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-02 12:25:53.000000,2022-06-02 12:25:53,51003,523.0,3662,286.0,11542.0,4444.0,7951.0,9276,A computer algebra system written in pure Python.,1147.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,46736.0,42604.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1680682.0,1713415.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2080012.0,,,,,1.0,453699.0,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-02 07:08:02.000000,2022-05-24 11:45:09,13207,98.0,2005,185.0,3751.0,623.0,1828.0,4921,Image processing in Python.,554.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,113463.0,104176.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9287.0,9497642.0,9545230.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3473986.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-02 14:18:43.000000,2022-06-02 13:16:51,12792,1281.0,3573,426.0,14939.0,2381.0,8021.0,20707,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",699.0,43,True,2022-05-16 22:46:43.000,ray-1.12.1,72.0,ray,conda-forge/ray-tune,,,,5179.0,4908.0,https://pypi.org/project/ray,2022-05-16 22:38:01.000,271.0,1202192.0,1203906.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,30854.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-02 13:39:15.000000,2022-06-02 13:39:14,7006,384.0,2376,223.0,6215.0,494.0,4564.0,18584,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",684.0,43,True,2022-06-01 14:32:40.000,1.6.4,210.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9599.0,9222.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,377.0,4322575.0,4341384.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-05-04 00:29:27.477,446725.0,,,,,2.0,6870.0,,,,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-01 23:59:47.000000,2022-06-01 10:04:13,19552,49.0,3933,456.0,5161.0,711.0,6207.0,16340,"Interactive Data Visualization in the browser, from Python.",605.0,43,True,2022-05-18 19:00:14.000,2.4.3,125.0,bokeh,conda-forge/bokeh,,,,55281.0,51745.0,https://pypi.org/project/bokeh,2022-05-18 19:00:14.000,3536.0,2601349.0,2720656.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7397035.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-30 11:40:09.000000,2022-05-25 20:00:43,14291,42.0,2572,471.0,1359.0,222.0,1402.0,10782,Suite of libraries and programs for symbolic and statistical natural language processing for English.,422.0,43,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,155802.0,143982.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,14222548.0,14240631.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1265839.0,,,,,1.0,,-2.0,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-02 13:36:52.000000,2022-06-01 13:50:05,7214,178.0,1489,225.0,4670.0,737.0,3658.0,9954,Parallel computing with task scheduling.,535.0,43,True,2022-05-26 22:05:43.000,2022.5.2,144.0,dask,conda-forge/dask,,,,39761.0,37125.0,https://pypi.org/project/dask,2022-05-26 22:05:43.000,2636.0,5998210.0,6075818.0,https://anaconda.org/conda-forge/dask,2022-05-27 01:12:14.569,5665389.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-02 13:12:04.000000,2022-06-02 13:11:53,2938,124.0,1594,250.0,803.0,108.0,1924.0,9472,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:42:18.000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,169513.0,160671.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,10057367.0,10112790.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3879499.0,,,,,1.0,219.0,,,,,,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-01 19:47:10.000000,2022-06-01 01:32:34,14599,78.0,2431,262.0,3563.0,2266.0,2523.0,7423,Statsmodels: statistical modeling and econometrics in Python.,374.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,68459.0,63946.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,11787143.0,11873394.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6210111.0,,,,,2.0,26.0,,,,,,,,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-02 05:19:30.000000,2022-05-31 20:17:51,5047,81.0,1494,192.0,4077.0,557.0,1120.0,5875,TensorFlows Visualization Toolkit.,278.0,43,True,2022-04-29 19:39:04.000,2.9.0,41.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],112318.0,109956.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2362.0,16139106.0,16192781.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2952136.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-02 13:17:57.000000,2022-06-02 12:44:17,33280,767.0,25644,2076.0,36724.0,219.0,,33020,Apache Spark Python API.,2676.0,42,True,2022-02-18 23:01:24.000,3.1.3,29.0,pyspark,conda-forge/pyspark,,,['spark'],826.0,,https://pypi.org/project/pyspark,2022-02-18 23:01:24.000,826.0,20975182.0,21001476.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1656578.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,
30,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-02 13:37:30.000000,2022-06-02 12:01:21,1628,95.0,7796,993.0,1274.0,110.0,1562.0,27706,A toolkit for developing and comparing reinforcement learning algorithms.,360.0,42,True,2022-05-25 16:44:14.000,0.24.0,100.0,gym,conda-forge/gym,,,,32165.0,29717.0,https://pypi.org/project/gym,2022-05-27 20:55:11.000,2448.0,665770.0,669999.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,109969.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-02 02:48:58.000000,2022-06-02 02:48:58,2979,88.0,3541,449.0,2574.0,218.0,2486.0,13853,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,,,14021.0,13391.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,7379705.0,7399560.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1026284.0,,,,,2.0,152592.0,,,,,,,,,,,,,,,,,,,
32,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-25 13:12:56.039000,2022-05-06 00:53:28,4383,71.0,4210,432.0,1605.0,374.0,1390.0,13233,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,36452.0,33574.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,7221865.0,7236008.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,803447.0,,,,,1.0,3828.0,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-02 11:47:53.000000,2022-06-02 04:15:11,2778,263.0,5899,362.0,3769.0,705.0,1787.0,11727,"Datasets, Transforms and Models specific to Computer Vision.",486.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,5763879.0,5768614.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,250478.0,,,,,1.0,6064.0,,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-05-29 19:35:05.000000,2022-05-29 19:35:05,5480,92.0,2143,271.0,1349.0,1153.0,1199.0,11577,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-05-11 01:36:25.000,5.8.0,279.0,plotly,conda-forge/plotly,,,,4056.0,10.0,https://pypi.org/project/plotly,2022-05-11 01:30:01.000,4042.0,7709703.0,7792055.0,https://anaconda.org/conda-forge/plotly,2022-05-27 11:15:21.671,2618927.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,44939.0,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-02 13:32:40.000000,2022-06-01 18:33:34,4069,85.0,1780,1739.0,3837.0,159.0,2281.0,9864,WebGL2 powered visualization framework.,196.0,42,True,2022-05-19 20:48:43.656,8.7.10,533.0,pydeck,conda-forge/pydeck,,,['jupyter'],4542.0,4134.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,23.0,941087.0,1238101.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,110220.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-01 09:38:50.328,385.0,293078.0,,,,,,,,,,,,
36,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-05-31 23:01:57.000000,2022-05-31 23:01:57,2335,257.0,7239,618.0,2064.0,115.0,1489.0,22336,The fastai deep learning library.,613.0,41,True,2022-05-01 02:04:54.000,2.6.3,133.0,fastai,,,,['pytorch'],10622.0,10323.0,https://pypi.org/project/fastai,2022-05-01 02:04:54.000,299.0,296207.0,296207.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,
37,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-02 14:04:41.000000,2022-06-02 14:04:41,35919,1601.0,4515,727.0,28345.0,2894.0,12678.0,18295,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,745.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],167.0,119.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,101641.0,101859.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,
38,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-02 14:39:14.000000,2022-05-31 13:44:04,1961,56.0,2707,427.0,2225.0,277.0,1724.0,12566,Open standard for machine learning interoperability.,236.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,7324.0,6951.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,373.0,1164757.0,1172650.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,416866.0,,,,,1.0,17609.0,,,,,,,,,,,,,,,,,,,
