,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-05-30 14:23:51.000000,2024-05-30 13:00:05,32580.0,886.0,5038.0,346.0,10826.0,1808.0,8490.0,12570.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1636.0,51,True,2024-05-23 04:06:33.000,1.13.1,103.0,scipy,conda-forge/scipy,,,,1048880.0,1007431.0,https://pypi.org/project/scipy,2024-05-30 02:42:50.000,41449.0,107568025.0,108723336.0,https://anaconda.org/conda-forge/scipy,2024-05-23 18:18:29.047,48363416.0,,,,,1.0,403012.0,,,,,,,,,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-05-30 12:30:45.000000,2024-05-29 23:24:03,10704.0,348.0,19352.0,1909.0,7207.0,200.0,11700.0,61094.0,Deep Learning for humans.,1300.0,48,True,2024-04-26 23:21:04.000,3.3.3,98.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1345.0,,https://pypi.org/project/keras,2024-04-22 23:37:45.000,1345.0,17582652.0,17657265.0,https://anaconda.org/conda-forge/keras,2024-04-27 08:28:33.749,3506851.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-05-30 11:14:43.000000,2024-05-30 01:08:27,50404.0,579.0,7424.0,594.0,18027.0,1546.0,9084.0,19463.0,matplotlib: plotting with Python.,1681.0,48,True,2024-05-15 23:51:33.000,3.9.0,124.0,matplotlib,conda-forge/matplotlib,,,,1252436.0,1207932.0,https://pypi.org/project/matplotlib,2024-05-15 23:37:04.000,44504.0,64949015.0,65455158.0,https://anaconda.org/conda-forge/matplotlib,2024-05-17 21:11:33.658,23788737.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-05-30 14:28:43.000000,2024-05-29 17:55:34,57670.0,453.0,4314.0,295.0,13161.0,5050.0,8745.0,12491.0,A computer algebra system written in pure Python.,1305.0,48,True,2024-05-29 17:56:24.000,1.12.1,56.0,sympy,conda-forge/sympy,,,,142715.0,139617.0,https://pypi.org/project/sympy,2024-05-29 17:56:05.000,3098.0,21993702.0,22056270.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5606054.0,,,,,1.0,542465.0,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-05-30 10:20:23.000000,2024-05-30 06:08:11,17840.0,554.0,2123.0,220.0,4846.0,117.0,3002.0,11795.0,Python Imaging Library (Fork).,470.0,48,True,2024-04-01 12:34:53.000,10.3.0,97.0,Pillow,conda-forge/pillow,,,,1683133.0,1678886.0,https://pypi.org/project/Pillow,2024-04-01 12:17:01.000,4247.0,97917183.0,98780715.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,39722480.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-05-30 13:44:37.000000,2024-05-29 14:38:51,6360.0,222.0,2824.0,314.0,4519.0,842.0,3359.0,32460.0,Streamlit A faster way to build and share data apps.,230.0,46,True,2024-05-23 17:12:57.000,1.35.0,222.0,streamlit,,,,,394559.0,392253.0,https://pypi.org/project/streamlit,2024-05-23 17:12:48.000,2306.0,4816261.0,4816261.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-05-30 13:56:14.000000,2024-05-30 09:31:28,41165.0,1141.0,27972.0,2030.0,46778.0,199.0,,38598.0,Apache Spark Python API.,3073.0,45,True,2024-04-18 08:17:20.000,3.4.3,44.0,pyspark,conda-forge/pyspark,,,['spark'],1389.0,,https://pypi.org/project/pyspark,2024-04-18 08:17:20.000,1389.0,28854870.0,28922362.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3172164.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-05-30 14:23:52.000000,2024-05-30 06:50:54,21744.0,903.0,5319.0,471.0,27765.0,3738.0,14320.0,31560.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1023.0,45,True,2024-05-22 23:37:00.000,ray-2.23.0,106.0,ray,conda-forge/ray-tune,,,,16439.0,15751.0,https://pypi.org/project/ray,2024-05-22 22:51:23.000,688.0,4243975.0,4249562.0,https://anaconda.org/conda-forge/ray-tune,2024-05-29 06:33:26.486,229001.0,,,,,1.0,213.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-05-30 14:18:44.000000,2024-05-30 13:13:01,20975.0,1375.0,2572.0,325.0,13695.0,1596.0,3877.0,28343.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",698.0,45,True,2024-05-09 23:28:46.000,jax-v0.4.28,162.0,jax,conda-forge/jaxlib,,,,27338.0,25806.0,https://pypi.org/project/jax,2024-05-09 23:23:10.000,1532.0,6385531.0,6411688.0,https://anaconda.org/conda-forge/jaxlib,2024-05-22 17:25:16.028,1229423.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-05-30 13:52:16.000000,2024-05-30 12:14:39,6874.0,100.0,8665.0,912.0,5176.0,443.0,4783.0,25679.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",641.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,95067.0,93279.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1788.0,19607826.0,19713184.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4843280.0,,,,,1.0,8611.0,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-05-30 13:51:56.000000,2024-05-30 11:19:05,48632.0,1573.0,5439.0,721.0,46546.0,1859.0,17046.0,21686.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1202.0,45,True,2024-04-09 11:19:43.000,2.6.1,67.0,paddlepaddle,,,,['paddle'],5296.0,5190.0,https://pypi.org/project/paddlepaddle,2024-03-19 06:55:39.000,106.0,195550.0,195715.0,,,,,,,,1.0,15374.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-05-30 14:32:54.000000,2024-05-30 14:32:50,20503.0,96.0,4161.0,443.0,6082.0,777.0,6898.0,18919.0,"Interactive Data Visualization in the browser, from Python.",693.0,45,True,2024-04-11 21:02:24.000,3.4.1,202.0,bokeh,conda-forge/bokeh,,,,89825.0,88242.0,https://pypi.org/project/bokeh,2024-05-21 08:47:33.000,1583.0,4517395.0,4814863.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13981020.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-05-30 13:38:02.000000,2024-05-25 15:36:27,15347.0,58.0,2824.0,281.0,3886.0,2780.0,2760.0,9633.0,Statsmodels: statistical modeling and econometrics in Python.,429.0,45,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,,129050.0,125060.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,3990.0,16433036.0,16714913.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,13248234.0,,,,,1.0,31.0,,,,,,,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-05-29 23:41:35.000000,2024-05-29 23:00:00,6663.0,325.0,2215.0,158.0,3772.0,500.0,3765.0,29795.0,"Wrap UIs around any model, share with anyone.",329.0,44,True,2024-05-29 23:09:22.000,4.32.0,569.0,gradio,,,,,31825.0,31252.0,https://pypi.org/project/gradio,2024-05-29 23:09:22.000,573.0,7372170.0,7372170.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-05-28 15:57:41.000000,2024-05-15 10:11:33,16131.0,14.0,4295.0,556.0,4002.0,117.0,5504.0,28960.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,44,True,2024-02-15 19:16:59.000,3.7.4,230.0,spacy,conda-forge/spacy,,,,91815.0,89409.0,https://pypi.org/project/spacy,2024-04-22 09:55:45.000,2406.0,13315457.0,13389346.0,https://anaconda.org/conda-forge/spacy,2024-04-04 16:04:13.461,3472794.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-05-30 12:57:37.000000,2024-05-30 10:12:41,10303.0,114.0,3266.0,244.0,10125.0,748.0,6189.0,27176.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",946.0,44,True,2024-05-22 17:36:29.000,2.2.5,272.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],34189.0,32826.0,https://pypi.org/project/pytorch-lightning,2024-05-22 17:36:29.000,1363.0,5337398.0,5361871.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-04-12 18:53:30.868,1140400.0,,,,,2.0,7578.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
26,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-05-30 13:58:21.000000,2024-05-30 13:58:21,5964.0,458.0,3966.0,289.0,8302.0,1475.0,2436.0,17505.0,Open source platform for the machine learning lifecycle.,730.0,44,True,2024-05-20 07:17:17.000,2.13.0,99.0,mlflow,conda-forge/mlflow,,,,37053.0,36275.0,https://pypi.org/project/mlflow,2024-05-20 00:48:19.000,778.0,13884346.0,13926226.0,https://anaconda.org/conda-forge/mlflow,2024-05-21 13:49:18.783,1968394.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-05-30 13:16:36.000000,2024-05-13 19:25:31,6490.0,111.0,2498.0,278.0,1641.0,1511.0,1414.0,15455.0,The interactive graphing library for Python This project now includes Plotly Express!.,263.0,44,True,2024-05-01 14:04:11.000,5.22.0,298.0,plotly,conda-forge/plotly,,,,275302.0,269768.0,https://pypi.org/project/plotly,2024-05-01 14:00:07.000,5525.0,15785214.0,15924233.0,https://anaconda.org/conda-forge/plotly,2024-05-04 13:44:40.868,5906354.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,15970.0,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-05-29 17:29:33.000000,2024-05-29 17:29:33,7691.0,77.0,3151.0,282.0,3768.0,337.0,2991.0,14317.0,Network Analysis in Python.,719.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,,266006.0,257562.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,8444.0,54255305.0,54609641.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,15945136.0,,,,,1.0,71.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-05-30 08:15:07.000000,2024-05-29 16:21:45,8207.0,90.0,1677.0,211.0,5839.0,1062.0,4176.0,12106.0,Parallel computing with task scheduling.,600.0,44,True,2024-05-17 20:18:01.000,2024.5.1,197.0,dask,conda-forge/dask,,,,62804.0,60680.0,https://pypi.org/project/dask,2024-05-17 20:12:49.000,2124.0,8636892.0,8869933.0,https://anaconda.org/conda-forge/dask,2024-05-18 02:42:15.720,11185982.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-05-29 18:26:54.070000,2024-05-29 18:09:36,4899.0,209.0,2049.0,1683.0,4753.0,300.0,2690.0,11805.0,WebGL2 powered visualization framework.,264.0,44,True,2024-05-29 18:26:54.070,9.0.17,658.0,pydeck,conda-forge/pydeck,,,['jupyter'],8023.0,7644.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,88.0,3683311.0,4146372.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,528028.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-05-29 18:26:54.070,291.0,452708.0,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-05-21 23:34:27.000000,2024-05-21 23:34:27,5833.0,60.0,1629.0,192.0,4999.0,663.0,1231.0,6575.0,TensorFlows Visualization Toolkit.,320.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],239343.0,237339.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2004.0,27495174.0,27595146.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4698704.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-05-30 02:23:30.000000,2024-05-23 05:41:30,2734.0,57.0,3612.0,437.0,3217.0,321.0,2428.0,17025.0,Open standard for machine learning interoperability.,317.0,43,True,2024-05-23 17:55:03.000,1.16.1,33.0,onnx,conda-forge/onnx,,,,29226.0,28297.0,https://pypi.org/project/onnx,2024-05-23 17:55:03.000,929.0,5610828.0,5632623.0,https://anaconda.org/conda-forge/onnx,2024-05-24 08:39:44.809,1012136.0,,,,,1.0,20696.0,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-05-30 03:24:05.000000,2024-05-30 02:36:01,3478.0,44.0,3782.0,435.0,3141.0,383.0,2979.0,16160.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",302.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,34407.0,33388.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,1019.0,7564180.0,7619643.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2324866.0,,,,,2.0,223223.0,,,,,,,,,,,,,,,,,,,
34,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-05-29 20:16:50.000000,2024-04-25 14:36:49,3234.0,4.0,1862.0,260.0,1108.0,150.0,2370.0,12043.0,Statistical data visualization in Python.,212.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,423015.0,413435.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,9580.0,17336329.0,17524914.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,8863399.0,,,,,1.0,392.0,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-05-30 14:37:12.000000,2024-05-30 13:48:56,2315.0,510.0,1342.0,183.0,2681.0,523.0,699.0,11526.0,Development repository for the Triton language and compiler.,271.0,43,True,2024-05-27 21:44:18.000,2.3.1,194.0,triton,,,,,26977.0,26802.0,https://pypi.org/project/triton,2024-05-27 21:44:18.000,175.0,12065304.0,12065304.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-05-30 00:45:34.000000,2024-05-28 17:21:56,2659.0,42.0,3172.0,240.0,866.0,810.0,1653.0,21851.0,A game theoretic approach to explain the output of any machine learning model.,239.0,42,True,2024-05-07 11:40:34.000,0.45.1,103.0,shap,conda-forge/shap,,,,18468.0,17784.0,https://pypi.org/project/shap,2024-05-07 11:40:34.000,684.0,6830402.0,6900635.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,2879556.0,,,,,1.0,,,shap/shap,,,,,,-1.0,,,,,,,,,,,
37,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-05-30 13:36:55.000000,2024-05-30 09:36:14,3860.0,67.0,6848.0,416.0,5274.0,995.0,2382.0,15576.0,"Datasets, Transforms and Models specific to Computer Vision.",591.0,42,True,2024-04-24 16:20:12.000,0.18.0,44.0,torchvision,conda-forge/torchvision,,,['pytorch'],4985.0,21.0,https://pypi.org/project/torchvision,2024-04-24 15:47:57.000,4964.0,13376793.0,13407628.0,https://anaconda.org/conda-forge/torchvision,2024-05-16 09:07:24.923,1154873.0,,,,,1.0,37765.0,,,,,,,,,,,,,,,,,,,
