,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-01-11 14:08:44.000000,2024-01-11 08:31:52,49365.0,561.0,7367.0,591.0,17602.0,1547.0,8839.0,18697.0,matplotlib: plotting with Python.,1637.0,50,True,2023-11-18 03:45:11.000,3.7.4,119.0,matplotlib,conda-forge/matplotlib,,,,1120599.0,1056502.0,https://pypi.org/project/matplotlib,2023-11-18 03:45:11.000,64097.0,44135540.0,44635850.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21513371.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-11 12:15:39.000000,2024-01-11 12:13:29,17000.0,603.0,2156.0,223.0,4579.0,93.0,2913.0,11401.0,Python Imaging Library (Fork).,458.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1560265.0,1492674.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67591.0,68530131.0,69375585.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35509084.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-10 19:31:39.000000,2024-01-10 19:31:39,10221.0,396.0,19521.0,1912.0,6860.0,161.0,11365.0,60157.0,Deep Learning for humans.,1269.0,47,True,2023-12-21 19:25:05.000,3.0.2,88.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],737.0,21.0,https://pypi.org/project/keras,2023-12-21 19:25:05.000,716.0,12664788.0,12742758.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3352750.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-11 14:21:13.000000,2024-01-11 14:21:07,18906.0,1010.0,2424.0,323.0,12079.0,1506.0,3616.0,26249.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",616.0,46,True,2023-12-14 07:31:53.000,0.4.23,157.0,jax,conda-forge/jaxlib,,,,21744.0,20933.0,https://pypi.org/project/jax,2023-12-14 07:31:53.000,811.0,4621395.0,4645155.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1021708.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-01-11 15:09:39.000000,2024-01-10 16:26:46,56849.0,373.0,4134.0,291.0,12855.0,4885.0,8611.0,11745.0,A computer algebra system written in pure Python.,1266.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,109417.0,104554.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4863.0,9115458.0,9172408.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4853765.0,,,,,1.0,528272.0,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-01-11 14:08:34.000000,2024-01-11 14:08:29,39504.0,1068.0,28069.0,2032.0,44664.0,237.0,,37565.0,Apache Spark Python API.,2995.0,45,True,2023-12-16 00:30:15.000,3.3.4,42.0,pyspark,conda-forge/pyspark,,,['spark'],1255.0,,https://pypi.org/project/pyspark,2023-12-16 00:30:15.000,1255.0,27733321.0,27802281.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2965318.0,,,,,1.0,,stable/spark,7.0,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-11 13:16:30.000000,2024-01-11 07:50:43,10052.0,233.0,3109.0,245.0,9821.0,640.0,6028.0,25638.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",921.0,45,True,2023-12-21 16:54:25.000,2.1.3,263.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28691.0,27922.0,https://pypi.org/project/pytorch-lightning,2023-12-21 16:54:25.000,769.0,3994938.0,4019376.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1033239.0,,,,,1.0,13958.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-11 09:43:39.000000,2024-01-11 04:10:21,6716.0,128.0,8692.0,911.0,4926.0,412.0,4700.0,25196.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",633.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,79299.0,77505.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1794.0,11528159.0,11635146.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4490668.0,,,,,1.0,7974.0,,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-11 14:01:43.000000,2024-01-11 12:53:26,45950.0,1794.0,5390.0,726.0,42911.0,1921.0,16601.0,21222.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1152.0,45,True,2024-01-08 06:43:49.000,2.6.0,66.0,paddlepaddle,,,,['paddle'],4584.0,4490.0,https://pypi.org/project/paddlepaddle,2023-12-26 06:45:52.000,94.0,177038.0,177210.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-11 09:56:45.000000,2024-01-09 19:27:41,20358.0,102.0,4202.0,443.0,5945.0,761.0,6798.0,18478.0,"Interactive Data Visualization in the browser, from Python.",680.0,45,True,2024-01-08 19:07:44.000,3.3.3,190.0,bokeh,conda-forge/bokeh,,,,85333.0,81530.0,https://pypi.org/project/bokeh,2024-01-08 19:07:44.000,3803.0,3658966.0,3967240.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13255809.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-10 01:35:35.000000,2024-01-04 18:06:07,15242.0,132.0,2825.0,279.0,3838.0,2701.0,2730.0,9205.0,Statsmodels: statistical modeling and econometrics in Python.,421.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,117521.0,112000.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5521.0,11786508.0,12066836.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12054120.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-11 15:07:05.000000,2024-01-11 09:17:42,20347.0,908.0,5037.0,464.0,25787.0,3390.0,13274.0,29420.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,960.0,44,True,2023-12-21 00:32:08.000,ray-2.9.0,96.0,ray,conda-forge/ray-tune,,,,13620.0,13161.0,https://pypi.org/project/ray,2023-12-21 00:27:32.000,459.0,2568126.0,2573003.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,180400.0,,,,,1.0,179.0,,,,,,,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-05 13:20:58.000000,2024-01-02 09:03:06,16084.0,28.0,4354.0,556.0,3931.0,93.0,5447.0,27962.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,80905.0,77967.0,https://pypi.org/project/spacy,2023-10-16 16:09:47.000,2938.0,5645126.0,5722111.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3310366.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-11 12:04:28.000000,2024-01-11 07:11:11,5214.0,436.0,3768.0,291.0,7244.0,1307.0,2293.0,16226.0,Open source platform for the machine learning lifecycle.,685.0,44,True,2023-12-14 15:34:34.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,29112.0,28582.0,https://pypi.org/project/mlflow,2023-12-14 05:30:49.000,530.0,13607275.0,13646734.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1696760.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-09 19:44:27.000000,2023-12-21 22:10:00,6257.0,45.0,2409.0,280.0,1587.0,1408.0,1371.0,14680.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,235817.0,230303.0,https://pypi.org/project/plotly,2023-10-25 19:43:41.000,5507.0,10351737.0,10499027.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5154859.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,30135.0,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-06 19:08:18.000000,2023-12-31 21:35:22,3225.0,34.0,1865.0,259.0,1082.0,128.0,2339.0,11574.0,Statistical data visualization in Python.,209.0,44,True,2023-12-31 22:10:18.000,0.13.1,36.0,seaborn,conda-forge/seaborn,,,,359187.0,347674.0,https://pypi.org/project/seaborn,2023-12-31 22:10:18.000,11513.0,11896699.0,12080980.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7923987.0,,,,,1.0,373.0,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-11 00:38:55.000000,2024-01-11 00:35:25,6111.0,357.0,1818.0,145.0,3140.0,437.0,3062.0,25491.0,"Wrap UIs around any model, share with anyone.",243.0,43,True,2024-01-10 21:46:06.000,4.14.0,541.0,gradio,,,,,20914.0,20656.0,https://pypi.org/project/gradio,2024-01-10 21:46:06.000,258.0,4123582.0,4123582.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-11 14:08:11.000000,2024-01-09 16:03:23,2631.0,77.0,3507.0,438.0,3066.0,266.0,2318.0,16206.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56.000,1.15.0,27.0,onnx,conda-forge/onnx,,,,22651.0,22651.0,https://pypi.org/project/onnx,,,3695904.0,3717131.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,901453.0,,,,,1.0,19774.0,,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-11 05:23:23.000000,2024-01-09 16:18:44,3409.0,47.0,3788.0,437.0,3056.0,337.0,2886.0,15784.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",293.0,43,True,2023-12-22 04:47:45.000,4.2.0,35.0,lightgbm,conda-forge/lightgbm,,,,29543.0,28677.0,https://pypi.org/project/lightgbm,2023-12-22 04:47:45.000,866.0,6307102.0,6363534.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2153348.0,,,,,2.0,210597.0,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-01-05 08:43:30.000000,2023-12-24 12:24:15,14508.0,42.0,2781.0,468.0,1447.0,267.0,1499.0,12682.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,452.0,43,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,256403.0,243581.0,https://pypi.org/project/nltk,2023-07-20 15:52:53.307,12822.0,11868781.0,11895581.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2385229.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-01-11 14:17:35.000000,2024-01-11 13:25:58,31402.0,404.0,4807.0,349.0,10223.0,1467.0,8158.0,12072.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1569.0,43,True,2023-11-18 21:48:38.000,1.11.4,84.0,scipy,conda-forge/scipy,,,,21.0,21.0,https://pypi.org/project/scipy,,,66823817.0,67997767.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,44464264.0,,,,,1.0,391567.0,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-11 14:01:45.000000,2024-01-11 14:01:45,7989.0,108.0,1665.0,213.0,5607.0,1029.0,4071.0,11681.0,Parallel computing with task scheduling.,592.0,43,True,2023-12-15 20:45:42.000,2023.12.1,186.0,dask,conda-forge/dask,,,,59274.0,56175.0,https://pypi.org/project/dask,2023-12-15 20:45:42.000,3099.0,6020579.0,6261955.0,https://anaconda.org/conda-forge/dask,2023-12-15 22:47:54.178,10620571.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
32,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-01-09 19:45:17.000000,2024-01-09 19:45:16,5740.0,59.0,1571.0,194.0,4883.0,594.0,1221.0,6446.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 18:45:45.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],209205.0,209205.0,https://pypi.org/project/tensorboard,,,20105812.0,20209694.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4466929.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-01-11 14:56:51.000000,2024-01-11 07:25:16,7560.0,109.0,2997.0,274.0,3607.0,172.0,2936.0,13748.0,Network Analysis in Python.,703.0,42,False,2023-10-28 09:53:23.000,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,214739.0,214739.0,https://pypi.org/project/networkx,,,34149537.0,34502434.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14468797.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-11 14:37:20.000000,2024-01-11 14:36:49,4608.0,78.0,1975.0,1693.0,4451.0,253.0,2575.0,11449.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:36:42.000,8.9.33,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6990.0,6990.0,https://pypi.org/project/pydeck,,,1699637.0,2030127.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,469000.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,,,320512.0,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-01-11 13:58:02.000000,2024-01-10 12:06:57,13793.0,47.0,2214.0,186.0,4336.0,742.0,2037.0,5735.0,Image processing in Python.,644.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,176867.0,166429.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10438.0,11789005.0,11925779.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5881291.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-11 14:06:19.000000,2024-01-09 23:04:34,2122.0,88.0,4487.0,306.0,433.0,66.0,763.0,28345.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08.000,0.9.12,55.0,timm,conda-forge/timm,,,['pytorch'],21718.0,21345.0,https://pypi.org/project/timm,2023-11-24 18:56:31.000,373.0,3591029.0,3701767.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,117983.0,,,,,1.0,6044050.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2024-01-11 15:06:11.000000,2024-01-11 11:20:57,18839.0,674.0,2451.0,338.0,18470.0,674.0,9301.0,25035.0,"A cloud-native vector database, storage for next generation AI applications.",262.0,41,True,2024-01-03 03:52:59.000,2.3.5,100.0,pymilvus,,milvusdb/milvus,,,81.0,,https://pypi.org/project/pymilvus,2024-01-03 03:52:59.000,81.0,357313.0,558777.0,,,,https://hub.docker.com/r/milvusdb/milvus,2024-01-11 13:57:01.336544,38.0,10233728.0,1.0,65278.0,,,,,,,,,,,,,,,,,,,
