,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-10-10 09:10:45.000000,2024-10-10 09:10:45,33600.0,633.0,5160.0,348.0,11341.0,1745.0,8857.0,12970.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1695.0,50,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,416800.0,139476345.0,1157675.0,1111799.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,45876.0,138342995.0,https://anaconda.org/conda-forge/scipy,2024-09-09 09:00:52.252,53091055.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-10-09 14:04:04.000000,2024-10-09 14:04:03,58999.0,656.0,4407.0,291.0,13440.0,5133.0,8872.0,12863.0,A computer algebra system written in pure Python.,1330.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,548931.0,30289903.0,180463.0,176963.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,30285837.0,https://anaconda.org/conda-forge/sympy,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-10-08 13:47:26.000000,2024-10-08 13:47:26,11028.0,212.0,19438.0,1911.0,7477.0,254.0,11902.0,61851.0,Deep Learning for humans.,1333.0,48,True,2024-10-03 19:44:54.000,3.6.0,103.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,13888197.0,1582.0,,https://pypi.org/project/keras,2024-10-03 19:44:54.000,1582.0,13816386.0,https://anaconda.org/conda-forge/keras,2024-10-07 20:46:42.672,3734201.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-10-10 08:07:45.000000,2024-10-10 08:07:44,51166.0,461.0,7597.0,595.0,18419.0,1597.0,9310.0,20089.0,matplotlib: plotting with Python.,1731.0,48,True,2024-08-13 01:44:21.000,3.9.2,127.0,matplotlib,conda-forge/matplotlib,,,,85153105.0,1414573.0,1364833.0,https://pypi.org/project/matplotlib,2024-08-13 01:44:21.000,49740.0,84648814.0,https://anaconda.org/conda-forge/matplotlib,2024-09-12 20:10:05.995,26223156.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-10-10 11:51:07.000000,2024-10-10 11:50:26,18686.0,533.0,2210.0,219.0,5109.0,134.0,3082.0,12162.0,Python Imaging Library (Fork).,479.0,48,True,2024-07-01 09:51:39.000,10.4.0,98.0,Pillow,conda-forge/pillow,,,,131147947.0,1865979.0,1858297.0,https://pypi.org/project/Pillow,2024-07-01 09:45:22.000,7682.0,130266038.0,https://anaconda.org/conda-forge/pillow,2024-09-11 18:35:06.338,44977385.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-10-10 08:06:30.000000,2024-10-10 08:05:47,6708.0,239.0,3030.0,318.0,4957.0,963.0,3646.0,35028.0,Streamlit A faster way to build and share data apps.,242.0,46,True,2024-10-01 17:36:45.000,1.39.0,228.0,streamlit,,,,,7212499.0,541479.0,538732.0,https://pypi.org/project/streamlit,2024-10-01 17:36:39.000,2747.0,7212499.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-10-09 10:21:36.000000,2024-10-09 10:21:36,7126.0,164.0,8711.0,909.0,5581.0,451.0,4898.0,26176.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",652.0,46,True,2024-07-31 08:14:26.000,2.1.1,83.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,11179.0,27159364.0,112788.0,110786.0,https://pypi.org/project/xgboost,2024-07-31 08:14:26.000,2002.0,27055001.0,https://anaconda.org/conda-forge/xgboost,2024-09-29 19:48:48.053,5318030.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-10-10 10:11:48.000000,2024-10-10 10:11:47,22756.0,612.0,5647.0,475.0,29159.0,4079.0,14974.0,33364.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1078.0,45,True,2024-09-24 23:37:52.000,ray-2.37.0,117.0,ray,conda-forge/ray-tune,,,240.0,6091824.0,19006.0,18238.0,https://pypi.org/project/ray,2024-09-24 23:30:46.000,768.0,6082633.0,https://anaconda.org/conda-forge/ray-tune,2024-10-01 08:55:53.218,422718.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-10-10 14:20:48.000000,2024-10-10 14:07:08,23501.0,1655.0,2755.0,335.0,15783.0,1386.0,4216.0,30160.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",762.0,45,True,2024-10-04 14:51:10.000,jax-v0.4.34,168.0,jax,conda-forge/jaxlib,,,,4047497.0,32818.0,30950.0,https://pypi.org/project/jax,2024-10-04 14:37:10.000,1868.0,4014236.0,https://anaconda.org/conda-forge/jaxlib,2024-10-02 23:05:15.613,1729586.0,1.0,,,,,,jax-ml/jax,,,,,,,,,,,,,,,,,,
19,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-10-01 23:10:18.000000,2024-10-01 23:01:40,16203.0,69.0,4363.0,562.0,4022.0,144.0,5519.0,29815.0,Industrial-strength Natural Language Processing (NLP) in Python.,758.0,45,True,2024-10-01 18:20:24.000,3.8.2,237.0,spacy,conda-forge/spacy,,,202.0,12979891.0,103784.0,101095.0,https://pypi.org/project/spacy,2024-10-01 18:20:24.000,2689.0,12898819.0,https://anaconda.org/conda-forge/spacy,2024-09-22 12:43:59.353,4215685.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-10-10 13:55:32.000000,2024-10-10 13:55:32,51177.0,1685.0,5554.0,717.0,50059.0,1710.0,17377.0,22134.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1285.0,45,True,2024-09-13 08:31:46.000,2.6.2,70.0,paddlepaddle,,,['paddle'],15406.0,378235.0,6205.0,6027.0,https://pypi.org/project/paddlepaddle,2024-09-13 08:31:46.000,178.0,378078.0,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-10-10 10:07:21.000000,2024-10-02 20:21:43,20613.0,63.0,4178.0,442.0,6174.0,760.0,6983.0,19277.0,"Interactive Data Visualization in the browser, from Python.",702.0,45,True,2024-09-26 16:27:00.000,3.6.0,218.0,bokeh,conda-forge/bokeh,,,,4790390.0,94942.0,93198.0,https://pypi.org/project/bokeh,2024-09-26 16:55:03.000,1744.0,4500789.0,https://anaconda.org/conda-forge/bokeh,2024-09-26 20:39:59.050,15059255.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-25 08:35:09.000000,2024-09-25 08:35:04,14681.0,90.0,2876.0,462.0,1492.0,275.0,1556.0,13502.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,22368052.0,316047.0,311350.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,22302848.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2803782.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-10-08 16:07:02.000000,2024-10-08 16:07:02,15497.0,65.0,2875.0,282.0,3934.0,2833.0,2791.0,10044.0,Statsmodels: statistical modeling and econometrics in Python.,436.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,34.0,17285134.0,142764.0,138295.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16992710.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,15206077.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-10-10 12:55:42.000000,2024-10-10 12:55:34,42402.0,830.0,28233.0,2023.0,48381.0,220.0,,39459.0,Apache Spark Python API.,3129.0,44,True,2024-09-24 00:28:04.000,3.5.3,48.0,pyspark,conda-forge/pyspark,,['spark'],,30548243.0,1545.0,,https://pypi.org/project/pyspark,2024-09-27 14:56:40.000,1545.0,30481728.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3458787.0,2.0,,,,,,,-1.0,stable/spark,,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-10-10 15:17:05.000000,2024-10-10 02:44:37,7076.0,268.0,2454.0,172.0,4441.0,551.0,4270.0,32674.0,"Wrap UIs around any model, share with anyone.",412.0,44,True,2024-10-09 22:17:27.000,5.0.1,598.0,gradio,,,,,6447500.0,43682.0,42885.0,https://pypi.org/project/gradio,2024-10-09 22:17:27.000,797.0,6447500.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-10-08 23:30:44.000000,2024-10-08 23:30:44,10428.0,60.0,3367.0,251.0,10282.0,782.0,6306.0,28143.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",974.0,44,True,2024-08-07 09:46:38.000,2.4.0,277.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],9170.0,6939568.0,38697.0,37254.0,https://pypi.org/project/pytorch-lightning,2024-08-07 09:46:38.000,1443.0,6914361.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1298859.0,2.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
27,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-10-09 21:55:56.000000,2024-10-04 20:25:37,6690.0,145.0,2533.0,275.0,1711.0,527.0,2443.0,16105.0,The interactive graphing library for Python This project now includes Plotly Express!.,271.0,44,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,20552687.0,317340.0,311011.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,20411626.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7146559.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,6221.0,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-10-10 12:20:11.000000,2024-10-10 12:20:11,8326.0,88.0,1699.0,213.0,5970.0,1107.0,4258.0,12473.0,Parallel computing with task scheduling.,610.0,44,True,2024-09-28 00:59:40.000,2024.9.1,208.0,dask,conda-forge/dask,,,,13177068.0,67733.0,65335.0,https://pypi.org/project/dask,2024-09-28 00:59:40.000,2398.0,12950525.0,https://anaconda.org/conda-forge/dask,2024-09-28 03:30:27.336,12006782.0,1.0,,,,,,,,stable/dask,,,,,,,,,,,,,,,,
29,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-10-09 16:12:05.000000,2024-10-09 16:03:01,2770.0,62.0,3262.0,241.0,971.0,750.0,1788.0,22652.0,A game theoretic approach to explain the output of any machine learning model.,251.0,43,True,2024-06-27 10:16:34.000,0.46.0,104.0,shap,conda-forge/shap,,,,6849791.0,21555.0,20807.0,https://pypi.org/project/shap,2024-06-27 10:16:34.000,748.0,6762397.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,4020124.0,1.0,,,,,,shap/shap,,,,,,,,,,,,,,,,,,
30,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-10-09 14:21:12.000000,2024-10-09 13:33:21,7690.0,117.0,2054.0,421.0,1132.0,481.0,1353.0,21301.0,Data Apps & Dashboards for Python. No JavaScript Required.,165.0,43,True,2024-09-12 16:11:13.000,2.18.1,181.0,dash,conda-forge/dash,,,78.0,3466862.0,71294.0,70011.0,https://pypi.org/project/dash,2024-09-12 16:08:23.000,1283.0,3437938.0,https://anaconda.org/conda-forge/dash,2024-09-14 04:47:51.793,1504017.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
31,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-10-10 07:52:26.000000,2024-10-10 03:24:22,6573.0,350.0,4180.0,297.0,9199.0,1607.0,2586.0,18471.0,Open source platform for the machine learning lifecycle.,775.0,43,True,2024-09-27 04:49:37.000,2.17.0rc0,114.0,mlflow,conda-forge/mlflow,,,,15174967.0,44453.0,43578.0,https://pypi.org/project/mlflow,2024-09-27 00:54:05.000,875.0,15129277.0,https://anaconda.org/conda-forge/mlflow,2024-09-17 10:26:09.229,2375907.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-10-10 14:40:25.000000,2024-10-10 09:01:50,2853.0,89.0,3658.0,438.0,3390.0,347.0,2518.0,17746.0,Open standard for machine learning interoperability.,325.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,21988.0,5554717.0,35289.0,34236.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5530140.0,https://anaconda.org/conda-forge/onnx,2024-10-05 10:56:04.588,1264466.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-10-10 08:17:38.424000,2024-10-09 23:46:26,3576.0,57.0,3819.0,433.0,3260.0,367.0,3064.0,16571.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",318.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,236846.0,9761774.0,39377.0,38300.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,9703196.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2741444.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
34,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-10-10 01:41:45.000000,2024-10-10 01:41:45,7796.0,51.0,3221.0,279.0,3886.0,342.0,3028.0,14821.0,Network Analysis in Python.,750.0,43,True,2024-04-06 13:09:07.000,networkx-3.3,95.0,networkx,conda-forge/networkx,,,76.0,80981276.0,310422.0,300909.0,https://pypi.org/project/networkx,2024-10-06 17:29:58.000,9513.0,80621684.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17979629.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-10-10 15:19:29.000000,2024-10-10 06:46:25,2772.0,311.0,1582.0,193.0,3297.0,653.0,787.0,12976.0,Development repository for the Triton language and compiler.,329.0,43,True,2024-07-09 07:22:23.000,3.0.0,195.0,triton,,,,,14959145.0,39159.0,38910.0,https://pypi.org/project/triton,2024-07-09 07:22:23.000,249.0,14959145.0,,,,1.0,,,,,,triton-lang/triton,,,,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-10-10 13:23:10.000000,2024-10-04 05:16:35,5005.0,69.0,2083.0,1673.0,4870.0,343.0,2727.0,12165.0,WebGL2 powered visualization framework.,273.0,43,True,2024-10-08 18:05:20.283,9.0.33,673.0,pydeck,conda-forge/pydeck,,['jupyter'],,6129680.0,8554.0,8135.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,5534362.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,620702.0,1.0,,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-10-08 18:05:20.283,299.0,584235.0,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-10-08 04:19:19.000000,2024-10-08 04:19:18,18279.0,249.0,1009.0,117.0,3659.0,70.0,1605.0,10685.0,A hyperparameter optimization framework.,272.0,43,True,2024-09-02 05:17:47.000,4.0.0,66.0,optuna,conda-forge/optuna,,,,3596886.0,19072.0,18074.0,https://pypi.org/project/optuna,2024-09-02 05:17:47.000,998.0,3564028.0,https://anaconda.org/conda-forge/optuna,2024-09-03 06:05:16.374,1708642.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-10-09 15:49:58.000000,2024-10-09 15:49:58,14150.0,110.0,2224.0,186.0,4510.0,809.0,2107.0,6060.0,Image processing in Python.,672.0,43,False,2024-06-18 19:05:37.000,0.24.0,69.0,scikit-image,conda-forge/scikit-image,,,,28482247.0,204803.0,198501.0,https://pypi.org/project/scikit-image,2024-10-07 07:58:05.000,6302.0,28348318.0,https://anaconda.org/conda-forge/scikit-image,2024-08-17 02:34:14.270,6964351.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
