,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,bitbucket_id
10,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2022-01-13 14:11:25.000000,2022-01-12 21:35:43.000000,27071.0,599.0,4015,333.0,7576.0,1828.0,6342.0,9082.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1219.0,49,True,2021-11-24 18:44:51.000000,1.7.3,74.0,scipy,conda-forge/scipy,,,,501455.0,445488.0,https://pypi.org/project/scipy,2021-12-21 17:28:09.000000,55967.0,29418793.0,29719888.0,https://anaconda.org/conda-forge/scipy,2021-11-25 04:00:02.224000,20182508.0,,,,,1.0,334995.0,,,,,,,,,,,,,,,,,,,,
11,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2022-01-13 11:45:30.000000,2022-01-13 11:45:30.000000,8699.0,562.0,13220,788.0,6621.0,421.0,8139.0,56791.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1118.0,47,True,2021-12-22 19:34:56.000000,4.15.0,83.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",21588.0,20872.0,https://pypi.org/project/transformers,2021-12-22 19:12:19.000000,716.0,2804585.0,2807969.0,https://anaconda.org/conda-forge/transformers,2021-12-23 04:13:36.107000,90384.0,,,,,1.0,1423.0,,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2022-01-13 14:28:39.000000,2022-01-13 14:28:38.000000,11821.0,90.0,4179,477.0,2468.0,494.0,4158.0,18504.0,Asynchronous task queue/job queue based on distributed message passing.,1173.0,46,True,2021-12-29 05:52:09.000000,5.2.3,187.0,celery,conda-forge/celery,,,,77906.0,63083.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000000,14823.0,4180533.0,4191527.0,https://anaconda.org/conda-forge/celery,2022-01-09 15:08:53.733000,769588.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2022-01-11 09:45:52.000000,2022-01-11 09:45:46.000000,14200.0,55.0,2536,477.0,1331.0,205.0,1369.0,10358.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,412.0,45,True,2021-12-28 23:28:57.000000,3.6.7,49.0,nltk,conda-forge/nltk,,,,138203.0,126467.0,https://pypi.org/project/nltk,2021-12-28 23:28:57.000000,11736.0,9325921.0,9342781.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981000,1095950.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2022-01-12 06:42:55.000000,2022-01-11 23:56:03.000000,12488.0,286.0,1777,211.0,3545.0,150.0,2251.0,9330.0,The friendly PIL fork (Python Imaging Library).,380.0,45,True,2022-01-02 22:19:51.000000,9.0.0,85.0,Pillow,conda-forge/pillow,,,,62061.0,,https://pypi.org/project/Pillow,2022-01-02 22:13:51.000000,62061.0,30525796.0,30702269.0,https://anaconda.org/conda-forge/pillow,2021-11-10 16:07:31.860000,12176681.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2022-01-13 16:24:49.000000,2022-01-13 13:45:12.000000,49729.0,892.0,3508,288.0,11163.0,4242.0,7751.0,8767.0,A computer algebra system written in pure Python.,1122.0,45,True,2021-10-08 23:27:06.000000,sympy-1.9,40.0,sympy,conda-forge/sympy,,,,42481.0,38434.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,4047.0,1800871.0,1832162.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086000,1833327.0,,,,,1.0,441809.0,,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000000,2022-01-13 03:27:27.000000,2022-01-12 22:02:29.000000,6354.0,243.0,18898,1988.0,4850.0,247.0,10805.0,53668.0,Deep Learning for humans.,1016.0,44,True,2021-11-03 16:24:54.000000,2.7.0,59.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],208.0,,https://pypi.org/project/keras,2021-12-21 23:41:49.000000,208.0,6922517.0,6953277.0,https://anaconda.org/conda-forge/keras,2021-11-25 20:30:37.739000,1999415.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2022-01-13 14:42:54.000000,2022-01-13 10:50:04.000000,14741.0,881.0,9846,730.0,15009.0,909.0,3943.0,24682.0,"Platform to programmatically author, schedule, and monitor workflows.",2228.0,44,True,2022-01-10 18:26:40.000000,helm-chart/1.4.0,100.0,apache-airflow,conda-forge/airflow,apache/airflow,,,437.0,,https://pypi.org/project/apache-airflow,2021-12-21 16:23:13.000000,437.0,3533223.0,4272335.0,https://anaconda.org/conda-forge/airflow,2021-12-22 16:00:13.998000,523395.0,https://hub.docker.com/r/apache/airflow,2021-12-21 23:47:08.459338,311.0,58866381.0,1.0,232673.0,stable/airflow,-1.0,,,,,,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2022-01-13 13:32:29.000000,2022-01-13 11:25:06.000000,15225.0,138.0,3654,566.0,2862.0,102.0,4898.0,22164.0,Industrial-strength Natural Language Processing (NLP) in Python.,645.0,44,True,2021-12-07 16:30:56.000000,3.2.1,189.0,spacy,conda-forge/spacy,,,,35881.0,33675.0,https://pypi.org/project/spacy,2021-12-15 15:54:05.638000,2206.0,4009691.0,4052527.0,https://anaconda.org/conda-forge/spacy,2021-12-14 12:41:39.668000,2524475.0,,,,,1.0,3110.0,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2022-01-13 13:55:15.000000,2022-01-13 13:53:06.000000,5612.0,122.0,8246,940.0,3306.0,308.0,3993.0,22091.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",545.0,44,True,2021-11-24 19:51:13.000000,1.5.1,60.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,27072.0,25813.0,https://pypi.org/project/xgboost,2021-11-24 19:51:13.000000,1259.0,8023346.0,8061347.0,https://anaconda.org/conda-forge/xgboost,2021-11-20 17:37:18.728000,2201888.0,,,,,1.0,3619.0,,,,,,,,,,,,,,,,,,,,
20,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2022-01-13 06:54:23.000000,2022-01-12 14:57:47.000000,6664.0,56.0,2461,277.0,2433.0,331.0,2454.0,10152.0,Network Analysis in Python.,562.0,44,True,2021-09-09 22:09:39.000000,2.6.3,70.0,networkx,conda-forge/networkx,,,,108077.0,95032.0,https://pypi.org/project/networkx,2021-12-15 13:42:18.312000,13045.0,14100926.0,14184780.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009000,5282804.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2022-01-13 13:32:46.000000,2022-01-13 04:17:36.000000,14414.0,223.0,2372,259.0,3436.0,2242.0,2470.0,6994.0,Statsmodels: statistical modeling and econometrics in Python.,351.0,44,True,2021-11-12 23:27:25.000000,0.13.1,29.0,statsmodels,conda-forge/statsmodels,,,,60373.0,55943.0,https://pypi.org/project/statsmodels,2021-12-15 13:56:38.577000,4430.0,6828933.0,6910514.0,https://anaconda.org/conda-forge/statsmodels,2021-11-13 01:23:06.115000,5465942.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2022-01-13 12:04:19.000000,2022-01-11 19:09:50.000000,13015.0,124.0,1929,184.0,3627.0,314.0,2035.0,4715.0,Image processing in Python.,540.0,44,True,2021-12-15 17:06:01.000000,0.19.1,43.0,scikit-image,conda-forge/scikit-image,,,,99447.0,90438.0,https://pypi.org/project/scikit-image,2021-12-15 17:04:53.000000,9009.0,4923137.0,4968701.0,https://anaconda.org/conda-forge/scikit-image,2021-12-17 22:08:09.599000,3098372.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Ray,ray-project/ray,,distributed-ml,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000000,2022-01-13 13:16:34.000000,2022-01-13 10:31:22.000000,10926.0,1054.0,3181,416.0,12496.0,2220.0,6944.0,18807.0,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",612.0,43,True,2022-01-11 19:46:09.000000,ray-1.9.2,64.0,ray,,,,,3922.0,3693.0,https://pypi.org/project/ray,2022-01-11 23:20:09.000000,229.0,616790.0,616790.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,,data-viz,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000000,2022-01-13 10:45:01.000000,2022-01-12 21:43:16.000000,19465.0,133.0,3859,460.0,5071.0,705.0,6115.0,15892.0,"Interactive Data Visualization in the browser, from Python.",593.0,43,True,2021-11-22 17:49:14.000000,2.4.2,117.0,bokeh,conda-forge/bokeh,,,,46657.0,43188.0,https://pypi.org/project/bokeh,2022-01-06 19:58:15.000000,3469.0,1889375.0,2000312.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6323440.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2022-01-13 15:21:59.000000,2022-01-13 15:21:59.000000,6911.0,120.0,1406,230.0,4358.0,752.0,3389.0,9390.0,Parallel computing with task scheduling.,497.0,43,True,2021-12-10 19:50:17.000000,2021.12.0,133.0,dask,conda-forge/dask,,,,35464.0,32933.0,https://pypi.org/project/dask,2021-12-10 19:50:17.000000,2531.0,4526067.0,4596853.0,https://anaconda.org/conda-forge/dask,2021-12-11 02:29:38.463000,4813462.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2022-01-13 15:05:15.000000,2022-01-13 13:40:33.000000,10714.0,577.0,2163,332.0,11434.0,199.0,692.0,8938.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,789.0,43,True,2021-10-26 15:00:11.000000,6.0.0,35.0,pyarrow,conda-forge/arrow,,,,1385.0,61.0,https://pypi.org/project/pyarrow,2021-11-18 03:54:39.000000,1324.0,33483910.0,33496515.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,857165.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2022-01-13 14:00:58.000000,2022-01-13 13:35:17.000000,32132.0,697.0,24892,2089.0,35168.0,244.0,,31806.0,Apache Spark Python API.,2601.0,42,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,,,['spark'],752.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,752.0,15024601.0,15049028.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1416806.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,,
28,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2022-01-13 07:02:51.000000,2022-01-11 17:12:05.000000,1464.0,52.0,7337,990.0,1098.0,118.0,1363.0,26183.0,A toolkit for developing and comparing reinforcement learning algorithms.,334.0,42,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,,27959.0,25617.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,2342.0,968078.0,968078.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2022-01-13 13:53:18.000000,2022-01-13 13:53:17.000000,6391.0,589.0,2078,220.0,5470.0,461.0,4040.0,16910.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",599.0,42,True,2022-01-05 15:35:04.000000,1.5.8,201.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],6648.0,6356.0,https://pypi.org/project/pytorch-lightning,2022-01-05 15:35:04.000000,292.0,849748.0,870321.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-01-05 22:37:03.161000,387724.0,,,,,2.0,5026.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2022-01-13 03:30:49.000000,2022-01-09 13:58:00.000000,2851.0,139.0,3456,443.0,2425.0,166.0,2368.0,13367.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",249.0,42,True,2022-01-07 15:20:18.000000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,11291.0,10717.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000000,574.0,10127637.0,10145803.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463000,854088.0,,,,,2.0,133982.0,,,,,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2022-01-13 14:53:03.000000,2022-01-13 11:37:02.000000,3899.0,90.0,1702,1759.0,3667.0,131.0,2203.0,9368.0,WebGL2 powered visualization framework.,187.0,42,True,2021-12-09 17:45:11.000000,8.6.5,509.0,pydeck,conda-forge/pydeck,,,['jupyter'],3843.0,3443.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000000,15.0,623851.0,826294.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329000,65219.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-12-30 09:39:26.744000,385.0,199608.0,,,,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2022-01-13 01:38:43.000000,2022-01-02 13:33:23.000000,2813.0,7.0,1489,245.0,770.0,97.0,1853.0,9061.0,Statistical data visualization in Python.,162.0,42,True,2021-08-16 00:42:18.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,142653.0,133811.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,8842.0,5248250.0,5297937.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,3229534.0,,,,,1.0,209.0,,,,,,,,,,,,,,,,,,,,
33,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2022-01-13 12:10:02.000000,2022-01-13 12:10:02.000000,4908.0,82.0,1463,190.0,3906.0,554.0,1069.0,5747.0,TensorFlows Visualization Toolkit.,275.0,42,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],93196.0,90925.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,2271.0,10905470.0,10959700.0,https://anaconda.org/conda-forge/tensorboard,2021-11-10 21:16:52.072000,2711513.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,PaddlePaddle,PaddlePaddle/Paddle,,ml-frameworks,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000000,2022-01-13 13:49:08.000000,2022-01-13 11:52:33.000000,33526.0,1236.0,4222,733.0,24806.0,2777.0,12020.0,17450.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,686.0,41,True,2021-12-08 05:04:30.000000,2.2.1,51.0,paddlepaddle,,,,['paddle'],129.0,88.0,https://pypi.org/project/paddlepaddle,2021-12-02 06:01:39.000000,41.0,97420.0,97655.0,,,,,,,,2.0,15307.0,,,,,,,,,,,,,,,,,,,,
35,jax,google/jax,,ml-frameworks,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000000,2022-01-13 13:52:27.000000,2022-01-13 03:48:04.000000,10176.0,738.0,1420,254.0,5560.0,928.0,2020.0,15925.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",354.0,41,True,2021-12-08 19:21:57.000000,0.2.26,105.0,jax,conda-forge/jaxlib,,,,3463.0,3227.0,https://pypi.org/project/jax,2021-12-08 19:21:57.000000,236.0,302000.0,310680.0,https://anaconda.org/conda-forge/jaxlib,2021-12-10 12:52:23.006000,260413.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2022-01-08 13:45:56.000000,2021-12-24 02:18:28.000000,4293.0,16.0,4094,431.0,1575.0,380.0,1362.0,12824.0,Topic Modelling for Humans.,417.0,41,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,,,32440.0,29619.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,2821.0,10056602.0,10071293.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380000,761539.0,,,,,1.0,3503.0,,,,,,,,,,,,,,,,,,,,
