,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-09 14:15:17.000000,2023-11-09 12:32:54,14446.0,768.0,21853.0,1065.0,13790.0,692.0,12574.0,114886.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2245.0,50,True,2023-11-02 17:00:05.000,4.35.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",111968.0,111968.0,https://pypi.org/project/transformers,17818817.0,17854721.0,https://anaconda.org/conda-forge/transformers,2023-11-03 06:43:08.009,1436053.0,,,,,1.0,143.0,,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-11-09 09:07:19.000000,2023-11-09 09:07:19,31071.0,420.0,4859.0,348.0,10001.0,1676.0,8047.0,11884.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1552.0,47,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,64834.0,21.0,https://pypi.org/project/scipy,65620678.0,66836270.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,43622085.0,,,,,1.0,386820.0,2023-09-27 21:55:42.000,64813.0,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-11-09 14:24:50.000000,2023-11-09 14:24:50,56593.0,1423.0,3997.0,290.0,12761.0,4826.0,8555.0,11511.0,A computer algebra system written in pure Python.,1257.0,47,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,96198.0,91442.0,https://pypi.org/project/sympy,10059746.0,10115911.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4677052.0,,,,,1.0,520637.0,2023-05-10 18:24:09.226,4756.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-08 16:49:16.000000,2023-11-07 09:35:24,16454.0,343.0,1929.0,225.0,4458.0,81.0,2862.0,11217.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17.000,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1409518.0,1409518.0,https://pypi.org/project/Pillow,73991447.0,74858743.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34691866.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-11-09 14:09:38.000000,2023-11-09 11:35:51,38722.0,1014.0,27668.0,2034.0,43704.0,262.0,,37145.0,Apache Spark Python API.,2968.0,45,True,2023-09-26 20:30:58.000,3.5.0,40.0,pyspark,conda-forge/pyspark,,,['spark'],1161.0,,https://pypi.org/project/pyspark,26515290.0,26586714.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2928387.0,,,,,1.0,,2023-09-26 20:30:58.000,1161.0,stable/spark,,,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-09 14:11:58.000000,2023-11-09 06:48:02,18161.0,1160.0,2303.0,315.0,11513.0,1563.0,3480.0,25467.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",596.0,45,True,2023-11-02 23:29:45.000,jax-v0.4.20,154.0,jax,conda-forge/jaxlib,,,,19702.0,18971.0,https://pypi.org/project/jax,11906798.0,11930857.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,986447.0,,,,,1.0,,2023-11-02 21:51:56.000,731.0,,,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-09 14:00:04.000000,2023-11-09 13:49:22,9897.0,348.0,3003.0,241.0,9648.0,701.0,5922.0,25069.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",911.0,45,True,2023-11-08 03:45:40.000,2.1.1,261.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],26410.0,25680.0,https://pypi.org/project/pytorch-lightning,4310806.0,4335735.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,1004816.0,,,,,1.0,13523.0,2023-11-08 03:45:40.000,730.0,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-09 13:59:04.000000,2023-11-09 12:58:32,44643.0,1666.0,5350.0,728.0,41186.0,2024.0,16396.0,20992.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1123.0,45,True,2023-07-27 06:56:01.000,2.5.1,65.0,paddlepaddle,,,,['paddle'],4311.0,4223.0,https://pypi.org/project/paddlepaddle,180324.0,180500.0,,,,,,,,1.0,15368.0,2023-10-25 08:55:59.000,88.0,,,,,,,,,,,,,,,,,,,
18,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-09 03:08:13.000000,2023-11-09 00:52:28,9964.0,533.0,18524.0,1920.0,6712.0,116.0,11254.0,59691.0,Deep Learning for humans.,1250.0,44,True,2023-09-12 16:19:40.000,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13224633.0,13305523.0,https://anaconda.org/conda-forge/keras,2023-10-27 17:22:04.536,3316528.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-09 11:37:08.000000,2023-11-09 01:22:25,19775.0,1203.0,4730.0,467.0,24932.0,3301.0,12790.0,28548.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,938.0,44,True,2023-11-03 00:55:09.000,ray-2.8.0,93.0,ray,conda-forge/ray-tune,,,,12575.0,12146.0,https://pypi.org/project/ray,2499255.0,2504186.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,172560.0,,,,,1.0,107.0,2023-11-03 00:48:02.000,429.0,,,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-09 10:35:11.000000,2023-11-08 16:35:24,16070.0,72.0,4136.0,567.0,3914.0,75.0,5423.0,27530.0,Industrial-strength Natural Language Processing (NLP) in Python.,743.0,44,True,2023-10-16 16:11:22.000,3.7.2,100.0,spacy,conda-forge/spacy,,,,73335.0,73335.0,https://pypi.org/project/spacy,6930646.0,7010653.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3280299.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-08 21:26:40.000000,2023-11-08 21:26:40,6633.0,143.0,8114.0,915.0,4791.0,328.0,4649.0,24948.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",629.0,44,True,2023-10-24 08:56:42.000,2.0.1,54.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,71253.0,71253.0,https://pypi.org/project/xgboost,11365517.0,11475192.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4384411.0,,,,,2.0,7577.0,,,,,,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-09 02:54:35.000000,2023-11-08 21:28:34,4984.0,512.0,3551.0,291.0,6858.0,1244.0,2250.0,15774.0,Open source platform for the machine learning lifecycle.,669.0,44,True,2023-10-29 21:36:49.000,2.8.0,83.0,mlflow,conda-forge/mlflow,,,,26282.0,25786.0,https://pypi.org/project/mlflow,13982435.0,14022526.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1643768.0,,,,,1.0,,2023-10-29 15:57:26.000,496.0,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-08 22:43:19.000000,2023-11-06 16:34:11,6233.0,81.0,2390.0,280.0,1568.0,1379.0,1359.0,14375.0,The interactive graphing library for Python This project now includes Plotly Express!.,247.0,44,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,219401.0,214054.0,https://pypi.org/project/plotly,11295941.0,11459653.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5045778.0,,,,,1.0,,2023-10-25 19:43:41.000,5341.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,43575.0,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-11-09 13:59:58.000000,2023-11-09 07:15:44,7499.0,145.0,3095.0,278.0,3535.0,397.0,2898.0,13400.0,Network Analysis in Python.,690.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,212565.0,197713.0,https://pypi.org/project/networkx,33125763.0,33486875.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14083403.0,,,,,1.0,65.0,2023-10-28 08:41:36.000,14852.0,,,,,,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-09 08:27:57.000000,2023-11-08 23:32:52,20299.0,113.0,4039.0,446.0,5872.0,737.0,6732.0,18271.0,"Interactive Data Visualization in the browser, from Python.",675.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78829.0,78829.0,https://pypi.org/project/bokeh,3536386.0,3854749.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,13052890.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-09 11:30:32.000000,2023-11-09 01:26:57,2590.0,121.0,3603.0,438.0,3018.0,297.0,2280.0,15849.0,Open standard for machine learning interoperability.,299.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,20910.0,20285.0,https://pypi.org/project/onnx,4252589.0,4274212.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,875660.0,,,,,1.0,19457.0,2023-10-26 18:30:51.000,625.0,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-09 09:36:35.000000,2023-11-09 04:56:08,3372.0,58.0,3771.0,441.0,3021.0,316.0,2854.0,15615.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 02:08:33.000,4.1.0,34.0,lightgbm,conda-forge/lightgbm,,,,27500.0,26694.0,https://pypi.org/project/lightgbm,6817231.0,6875241.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2105400.0,,,,,2.0,205823.0,2023-09-12 02:08:33.000,806.0,,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-09 12:38:00.000000,2023-11-09 09:11:08,7905.0,71.0,1645.0,212.0,5505.0,955.0,4042.0,11505.0,Parallel computing with task scheduling.,589.0,43,True,2023-10-27 22:14:53.000,2023.10.1,183.0,dask,conda-forge/dask,,,,57174.0,54139.0,https://pypi.org/project/dask,7067779.0,7316573.0,https://anaconda.org/conda-forge/dask,2023-10-28 00:11:07.362,10449357.0,,,,,1.0,,2023-10-27 22:14:53.000,3035.0,stable/dask,,,,,,,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-07 22:00:35.000000,2023-11-07 12:02:40,3199.0,42.0,1812.0,255.0,1059.0,115.0,2309.0,11316.0,Statistical data visualization in Python.,202.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,332513.0,321296.0,https://pypi.org/project/seaborn,12633696.0,12823519.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7782670.0,,,,,1.0,287.0,2023-09-29 18:58:33.000,11217.0,,,,,,,,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-11-08 17:58:10.000000,2023-10-29 06:30:59,15118.0,20.0,2593.0,278.0,3814.0,2530.0,2711.0,8999.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,106506.0,106506.0,https://pypi.org/project/statsmodels,11485890.0,11774266.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11823450.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-09 01:23:37.000000,2023-11-08 01:04:48,5715.0,92.0,1604.0,195.0,4853.0,640.0,1214.0,6388.0,TensorFlows Visualization Toolkit.,308.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],199613.0,196769.0,https://pypi.org/project/tensorboard,21651059.0,21758566.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4407803.0,,,,,1.0,,2023-11-02 20:49:50.000,2844.0,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-11-09 11:34:36.000000,2023-11-08 08:51:43,3729.0,132.0,6768.0,397.0,5066.0,931.0,2275.0,14747.0,"Datasets, Transforms and Models specific to Computer Vision.",557.0,42,True,2023-10-04 17:32:50.000,0.16.0,38.0,torchvision,conda-forge/torchvision,,,['pytorch'],4677.0,21.0,https://pypi.org/project/torchvision,9498422.0,9527574.0,https://anaconda.org/conda-forge/torchvision,2023-10-02 13:13:36.301,919599.0,,,,,1.0,32856.0,2023-10-04 17:02:21.000,4656.0,,,,,,,4.0,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-09 14:36:58.000000,2023-11-08 12:21:23,4556.0,65.0,2024.0,1698.0,4401.0,229.0,2553.0,11290.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:58:59.931,8.9.32,619.0,pydeck,conda-forge/pydeck,,,['jupyter'],7224.0,6714.0,https://pypi.org/project/pydeck,1672038.0,2157895.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,460200.0,,,,,1.0,,2023-04-15 06:29:01.705,40.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-11-02 22:00:35.806,470.0,475631.0,,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-09 02:01:04.000000,2023-11-08 17:23:44,3592.0,55.0,761.0,145.0,1293.0,185.0,1716.0,8541.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45.000,5.1.2,38.0,altair,conda-forge/altair,,,,85376.0,84759.0,https://pypi.org/project/altair,13736903.0,13827630.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2086720.0,,,,,1.0,89.0,2023-10-03 17:40:10.000,617.0,,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-09 14:19:11.000000,2023-11-09 14:19:10,13774.0,116.0,2214.0,186.0,4308.0,742.0,2022.0,5658.0,Image processing in Python.,635.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,169490.0,159182.0,https://pypi.org/project/scikit-image,10030582.0,10171548.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5779641.0,,,,,1.0,,2023-10-03 21:35:27.000,10308.0,,,,,,,,,,,,,,,,,,,
36,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-10-22 22:49:37.000000,2023-01-30 18:15:21,1757.0,,8561.0,1068.0,1449.0,69.0,1716.0,33026.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2023-07-20 15:30:49.667,0.0.1,108.0,gym,conda-forge/gym,,,,49795.0,47114.0,https://pypi.org/project/gym,532369.0,538325.0,https://anaconda.org/conda-forge/gym,2023-06-16 19:18:41.854,256114.0,,,,,1.0,,2022-10-04 23:58:42.348,2681.0,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-09 10:36:51.000000,2023-11-09 02:04:12,1937.0,212.0,3393.0,309.0,2280.0,804.0,1424.0,29455.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",257.0,41,True,2023-11-04 04:09:19.000,0.12.2,77.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4787.0,4702.0,https://pypi.org/project/deepspeed,395806.0,396181.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17268.0,1.0,,2023-11-04 04:09:19.000,85.0,,,,,,,,,,,,,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-11-09 06:45:28.000000,2023-11-09 02:30:28,5927.0,260.0,2457.0,308.0,3891.0,668.0,3034.0,28346.0,Streamlit A faster way to build and share data apps.,204.0,41,True,2023-11-03 00:23:33.000,1.28.1,210.0,streamlit,,,,,2207.0,1047.0,https://pypi.org/project/streamlit,2615607.0,2615607.0,,,,,,,,1.0,,2023-11-03 00:23:24.000,1160.0,,,,,,,,,,,,,,,,,,,
